creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-10 09:00:00+00:00,2025-08-06 18:05:34+00:00,喪屍老爸,walkerdad1228,798910562600799,798910562600799,167,18719.0,811307.0,"老婆得了流感…

#流感",20.87,{'0': '753188797012177'},2025-01-10 17:00:00+08:00,2025-08-07 02:05:34+08:00,DEo6Z9rJ7yQ,Yes,Instaloader
2025-01-17 10:00:00+00:00,2025-09-01 12:41:39+00:00,喪屍老爸,walkerdad1228,1247697853971534,1247697853971534,30,1752.0,121767.0,"我用La glow 花香嫩足禮盒娶到一個老婆有沒有看過?
這天來到花香森林找到一位美人幫我磨刀，
想不到她居然是用粗硬的腳皮來磨刀！
雖然她磨刀技術非常了得，
但身為一位有愛心有善心的英雄，
只好送她我剛打到的SSR寶物。
那就是La glow 花香嫩足禮盒！
裡面包含了2瓶隨身瓶、足霜、護足器還有泡澡球哦！
這個嫩足護理器是有經過安全認證的奈米玻璃材質而且免泡腳就可以使用，只要輕輕的磨腳底，很快就可以去除硬皮跟厚繭，重點是完全不會痛。
深層修護嫩足霜還有兩款香味，分別是淡雅鈴蘭以及清新檸檬草
它裡面還添加4%尿素，具有極佳的保濕能力，還有全新添加亮白配方 - 琥珀酸、熊果素、乙基維他命C，有效改善暗沉，讓足部肌膚白皙明亮。
還有一點很厲害的是它質地輕盈好堆勻，吸收又很快，
如果你睡前用完套個襪子，隔天起來保證你的腳水嫩嫩的。
也因為我送她這份稀有寶物，讓我順利抱得美人歸～
如果你身邊也有喜歡的女生但腳皮很粗的話就大膽的跟她說：
「妳腳很粗欸！送你La glow 花香嫩足禮盒啦！」
保證你單身一輩子哦XD
活動期間購買足霜禮盒還會再加贈磨甲器！趕快把握機會吧！

@laglowtw 

#Laglow深層修護嫩足霜#特殊保養專家#Laglow深層修護嫩足霜
官網連結： https://www.laglow.com.tw/SalePage/Index/8666146",67.53,{'0': '1930385490925094'},2025-01-17 18:00:00+08:00,2025-09-01 20:41:39+08:00,DE7C2cVPhTM,Yes,Instaloader
2025-01-24 10:00:00+00:00,2025-08-06 11:20:53+00:00,喪屍老爸,walkerdad1228,1954280618628899,1954280618628899,57,4867.0,177759.0,"大過年的老婆的火山居然爆發了！

還好我早就訂好了達美樂的龍蝦舞干貝奶香火山披薩來幫她壓壓驚！

這超浮誇的披薩一出場就是全場焦點，

今年過年就是要來吃點不一樣的！

龍蝦舞干貝奶香火山披薩

裡面有大干貝、蟹肉條、龍蝦沙拉

再搭配莫札瑞拉起司，每一口都吃得到鮮甜的海味，

沾上火山口濃厚香醇的奶香醬～

口感整個大提升！

怎麼才一轉眼披薩就被吃完了?

沒關係！

我還有達美樂跟Kit Kat聯名的Kit Kat香蕉榛果巧克力披薩，

甲甜甜，明年生後生。

吃完鹹的再來甜的， 

真的太完美啦！

推薦大家可以點過年套餐組合，

多了一顆大披薩、鱈魚星星、大可樂，

適合全家一起享用！

@dominospizza_tw 

#達美樂 #龍蝦舞干貝奶香火山披薩 #香蕉榛果巧克力披薩

#起司 #巧克力 #kitkat  #過年 #年菜",77.33,{'0': '899193968632277'},2025-01-24 18:00:00+08:00,2025-08-06 19:20:53+08:00,DFNEZFiJvw0,Yes,Instaloader
2025-01-26 09:33:10+00:00,2025-06-09 07:36:55+00:00,喪屍老爸,walkerdad1228,1319231466685472,1319231466685472,65,5644.0,151660.0,"來菲律賓的第一件事…

#拍了十次
#澳貝客遊學代辦

@ioutback100",6.23,,2025-01-26 17:33:10+08:00,2025-06-09 15:36:55+08:00,DFSKtaKJpNB,Yes,Instaloader
2025-01-26 10:01:49+00:00,2025-05-28 22:24:06+00:00,喪屍老爸,walkerdad1228,24409921298706060,24409921298706055,16,3379.0,160411.0,"我認為讓孩子們在學校保持乾淨，可以提升他們的社交自信力。

今天透過快問快答的方式訪問了國中的橙橙跟國小的彤彤，
橙橙表示如果衣服散發出奇怪的味道真的會影響人際關係，
而彤彤則是認為有乾淨的衣服才能讓自己上學的時候保持好心情。

身為家中洗衣總管的橙媽的秘密武器就是「蘭諾衣物芳香豆」！
只要在洗衣時加入芳香豆，就可以鎖住乾淨的香氣很久～ 
全家每天早上穿上的衣服，就跟剛洗好一樣，讓人一整天的心情都很好！ 
 老公身上散發的清香也讓彼此的感情更加親密，真是一舉數得～

蘭諾清新系列，有「淨白純棉」跟「春暖晨露」兩種香味，
 洗衣服的時候可以隨著心情調整香味，
也不會殘留在洗衣機中*，更不用再擔心衣服要重洗了！

#日本NO1 #蘭諾 #Lenor #蘭諾衣物芳香豆 

*蘭諾衣物芳香豆設計具備易溶於水的特性，確保水量充足無過多衣物、不超過 2 蓋的用量，正確使用不會因芳香豆溶解不完全而造成殘留",48.43,,2025-01-26 18:01:49+08:00,2025-05-29 06:24:06+08:00,DFSOH4AN32r,Yes,Instaloader
2025-01-28 10:30:00+00:00,2025-12-03 16:15:05+00:00,喪屍老爸,walkerdad1228,2115335959319196,2115335959319196,36,2025.0,100433.0,"老婆不懂我的一根粗一根細？

#農曆新年
#蛇年
#除夕夜",17.63,{'0': '753188797012177'},2025-01-28 18:30:00+08:00,2025-12-04 00:15:05+08:00,DFXa_Jdpdkx,Yes,Instaloader
2025-01-30 10:30:00+00:00,2025-07-30 20:46:20+00:00,喪屍老爸,walkerdad1228,1551599789269329,1551599789269329,26,4758.0,163376.0,"老婆帶小孩走了…

#蛇年
#農曆新年
#新年快樂
#初二回娘家",31.17,{'0': '753188797012177'},2025-01-30 18:30:00+08:00,2025-07-31 04:46:20+08:00,DFckr9Ip5Fk,Yes,Instaloader
2025-02-02 06:00:06+00:00,2025-02-08 11:04:41+00:00,喪屍老爸,walkerdad1228,2164323957656560,2164323957656560,24,2135.0,105544.0,"解鎖人生清單之一🎊
與鯨鯊共游，
沒有親身體驗真的無法體會那瞬間有多感動與震撼！

@ioutback100 
@englishfella.tw 

#澳貝客遊學 
#宿霧遊學 
#與鯨鯊共游",7.34,"{'0': '1301567364367026', '1': '753188797012177'}",2025-02-02 14:00:06+08:00,2025-02-08 19:04:41+08:00,DFjzrMaJRzq,Yes,Instaloader
2025-02-03 10:30:00+00:00,2025-07-01 05:38:35+00:00,喪屍老爸,walkerdad1228,898149303012224,898149303012224,17,1813.0,106659.0,"這是什麼神奇好吃麵包啦！

百年神仙蛋糕：桃園市中壢區新生路120號

#肉鬆貝貝
#中壢神仙蛋糕
#中壢美食推薦",21.33,"{'0': '1226825366227036', '1': '753188797012177'}",2025-02-03 18:30:00+08:00,2025-07-01 13:38:35+08:00,DFm30VfJR2W,Yes,Instaloader
2025-02-12 02:00:00+00:00,2025-02-14 03:30:06+00:00,喪屍老爸,walkerdad1228,2109402783216760,2109402783216760,6,600.0,88641.0,"巨大卡比獸獸獸獸….

#2025台灣燈會在桃園",5.63,,2025-02-12 10:00:00+08:00,2025-02-14 11:30:06+08:00,DF9Im0WPFGA,Yes,Instaloader
