creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-01 09:04:39+00:00,2025-04-29 12:42:54+00:00,林發條🇹🇼,wia627,899920769469300,899920769469300,31,3929.0,133783.0,2025年的第一天，大大跟多多祝大家新年快樂🎊平安健康🙏☺️,44.0,{'0': '1614325879994948'},2025-01-01 17:04:39+08:00,2025-04-29 20:42:54+08:00,DERvTj6TYK3,Yes,Instaloader
2025-01-03 09:44:41+00:00,2025-04-30 13:33:39+00:00,林發條🇹🇼,wia627,1458877592620150,1458877592620150,6,2567.0,120577.0,你們有想過，日月精華是什麼味道嗎？,29.84,{'0': '1614325879994948'},2025-01-03 17:44:41+08:00,2025-04-30 21:33:39+08:00,DEW94L6Tw-q,Yes,Instaloader
2025-01-04 06:11:38+00:00,2025-09-30 05:02:56+00:00,林發條🇹🇼,wia627,1598977504718445,1598977504718445,40,3565.0,233456.0,"新的一年，不要再一成不變了！

那天發現
我已經在過我人生的第五個十年了！
（目前43歲）

我自己覺得頂多活到六十幾歲
然後平凡的得癌症，平凡的走
所以我剩不到二十年的時間可以感受人生。

這樣想了想之後，突然覺得每一天都好珍貴😂

#走馬瀨農場 #草原新樂園",45.6,{'0': '610123648283343'},2025-01-04 14:11:38+08:00,2025-09-30 13:02:56+08:00,DEZJZtvzA6S,Yes,Instaloader
2025-01-06 06:42:55+00:00,2025-09-18 03:01:15+00:00,林發條🇹🇼,wia627,1630611637941245,1630611637941245,4,910.0,114975.0,"對於我來說，任何新奇的東西都是我在追求的🕺

最近在 #嘖嘖募資 上看到這個#qbarmour立方盾 
聽說不只是它保護貼，而且還可以直接裸視👁️3D?!🤩

為了幫大家證實它是否真的厲害🤔
我決定親自為大家做體驗💪🏻

#qbarmour立方盾
👀眼球追蹤 + 即時影像演算修正：有效觀影視角達到最大 ±65⁰
🔹專屬 App 搭配前置鏡頭追蹤眼球，同步影像偏光角度
🔹電子調節光柵時刻處理每一幀畫面！

🅰️獨家 AI 影像深度計算，最高識別 256 層物件遠近、立體效果大大加分！
且手機螢幕大小適中，不易引發 3D 暈眩， 有效觀看角度至少左右各45度-60度👌🏻

🛑 搭配專屬開發 App 觀看，一鍵即可開啟 / 關閉 3D 顯示模式，不影響一般日常使用顯示👁️

✅零額外設備需求👍🏻
光是這一點就省了很多空間跟預算💵
現在要在家看3D影片，除了高價的設備，還要佩戴很多煩人的配件🤷

#qbarmour立方盾 單純一片保護貼格式，隨時隨地手機拿起來就能開始看📱
不管是日常追劇看片；還是要看一下自己小孩或家裡寵物們的3D影片也都很方便❤️
當看到酒酒的影片變3D時，還是覺得🈵🈵地感動🥹那些美好回憶的影片，都變得如此真實的在我眼前🍷

‼️重點是qbarmour 立方盾它不只有裸視 3D功能！它本身還是個防撞品質與 Casetify 規格、價格皆相同的防撞螢幕貼✨

不只可以保護你的手機螢幕，還可以讓妳看小鮮肉🍗🌭時更具臨場感喔❤️

你們如果有興趣，快去嘖嘖看看吧～現在超便宜喔👍🏻

連結🔗傳送門👉🏻：https://r.zecz.ec/8vGK
🔥結帳輸入【3D100】再折扣 100元

🍺一起體驗科技帶來的美好😊🍺",83.8,,2025-01-06 14:42:55+08:00,2025-09-18 11:01:15+08:00,DEeXcFCTNQn,Yes,Instaloader
2025-01-07 08:59:40+00:00,2025-04-30 22:06:53+00:00,林發條🇹🇼,wia627,1991948315062411,1991948315062411,9,4006.0,155192.0,一興奮就打架の兄弟倆，想說請Happy幫忙勸架，但感覺像火上加油🤷,46.3,{'0': '1614325879994948'},2025-01-07 16:59:40+08:00,2025-05-01 06:06:53+08:00,DEhL18ZTK50,Yes,Instaloader
2025-01-11 15:09:02+00:00,2025-02-12 00:40:30+00:00,林發條🇹🇼,wia627,1233339032336681,1233339032336681,38,2931.0,260567.0,好神奇喔！大家趕快試試看🤩,35.27,,2025-01-11 23:09:02+08:00,2025-02-12 08:40:30+08:00,DEsJVIlTqyr,Yes,Instaloader
2025-01-13 04:40:01+00:00,2025-04-30 09:20:53+00:00,林發條🇹🇼,wia627,1234564792121121,1234564792121121,9,4049.0,224337.0,果然有遺傳酒酒的好鼻子👃🏻👍🏻,36.83,{'0': '1614325879994948'},2025-01-13 12:40:01+08:00,2025-04-30 17:20:53+08:00,DEwK78zzK-z,Yes,Instaloader
2025-01-14 04:20:46+00:00,2025-07-22 08:57:46+00:00,林發條🇹🇼,wia627,3337082996468217,3337082996468217,14,2525.0,208530.0,"不知道你們有沒有跟我一樣
自從有了孩子以後，開車時
三不五時都要看一下後照鏡，看看孩子在幹嘛？

雖然這一年換了特斯拉🚗

但是特斯拉雖然什麼鏡頭都有
就是沒有後座監視鏡頭

為了可以在開車時即時觀看後座情況
所以我裝了smile寶貝守護者車內記錄器安裝很簡單
開盒自己就能輕鬆完成✅

而且它鏡頭擺放的方式很自由
看你是要綁車座上，或者是黏在任何你想要拍攝的地方，隨心所欲
很適合我們這種像風一樣的個性💃

它是USB充電⚡️，無論是用附贈的USB車充頭
或是直接連接車內的USB插孔

甚至是行動電源🔋都很方便

隨機附贈了32G記憶卡，如果你想要記錄更多
可以再買更高容量的記憶卡更換

我個人是覺得32G很夠用了👌🏻
因為搭配它的專屬APP
可即時下載畫面到手機編輯
及即時觀看跟備份，去蕪存菁，只留精華✨

另外鏡頭是135°廣角，在拍攝後座幾乎0死角
無論是乘客、小孩或是毛孩也能隨時觀看他們在幹嘛

而且不間斷的循環錄影紀錄
不只錄影車內的大小事，也紀錄了每日每天的重要時刻❤️

喔對了！它還有夜視功能跟光感測器
就算是晚上光線不足，也會自動切換夜間模式，可愛的素材不分日夜讓你全部收集

高效能的5.5 吋觸控螢幕，讓你在開車時，輕鬆掌握後座的各個角度。

自從裝了AKEEYO的smile寶貝守護者車內記錄器後

現在每天開車，除了不用再分心看後照鏡
還可以記錄跟搜集到很多難得的回憶🍺

💝現在嘖嘖正在募資中，有興趣的朋友
趕快去看看😊👉：https://r.zecz.ec/eUhZ

@akeeyo_tw",139.04,,2025-01-14 12:20:46+08:00,2025-07-22 16:57:46+08:00,DEytevnTL_a,Yes,Instaloader
2025-01-16 03:52:38+00:00,2025-06-07 12:20:18+00:00,林發條🇹🇼,wia627,894969669957611,894969669957611,28,4556.0,227400.0,"我很愛吃白滷的滷味
尤其是台南的「你我他之家」滷味
📍台南市中西區西門路一段703巷26號

前一陣子在南紡附近看到
在東寧路老四川隔壁
有一家很低調的白滷豆乾

其實我對豆乾沒有很有興趣
但是看到他是白滷，我就很想試試看

第一次去想說買兩份
老闆跟我說一份蠻多的建議我不要買太多
怕我吃不完
所以我就傻傻的只買一份回玉井

回家吃完以後
發現根本吃不夠
尤其是老闆把豆乾切得那麼薄
加上白滷不死鹹
我跟林太太一眨眼就吃光光了
吃完非常後悔沒有多買一點

所以這一次我一次買了四份跟其他的東西
就算吃到吐，我也爽👍🏻

有興趣的朋友可以去買買看
很值得你為他脫褲懶の美味🍺

#大寶專業白滷豆乾
📍台南市東區東寧路536號

#網帥食記",50.43,,2025-01-16 11:52:38+08:00,2025-06-07 20:20:18+08:00,DE3zWm6z4SL,Yes,Instaloader
2025-01-17 08:50:41+00:00,2025-05-02 06:08:16+00:00,林發條🇹🇼,wia627,919210557170531,919210557170531,3,3303.0,154850.0,從小就在鱷魚群中生存の男孩💪🏻,46.57,{'0': '1614325879994948'},2025-01-17 16:50:41+08:00,2025-05-02 14:08:16+08:00,DE66wp0TBpi,Yes,Instaloader
