creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-20 16:20:25+00:00,2025-08-04 07:16:07+00:00,林 英雄,20141010hero,1842658253062859,1842658253062859,291,17958.0,491068.0,這麼剛好錄影片結尾 錄到地震,36.8,,2025-01-21 00:20:25+08:00,2025-08-04 15:16:07+08:00,DFDcqNNPI0u,Yes,Instaloader
2025-04-27 06:44:45+00:00,2025-07-27 10:56:13+00:00,林 英雄,20141010hero,933535239260054,933535239260054,22,4073.0,274010.0,"玩具一直都沒變 變的是人啊！
正式回鍋戰鬥陀螺
不過要趕上目前進度實在太麻煩了
直接去買退坑大禮包是最快的
那哪裡有呢？
就上mercari日本最大的二手交易平台
#mercari台灣 #美露可利 #日本 #beyblade #戰鬥陀螺",89.73,,2025-04-27 14:44:45+08:00,2025-07-27 18:56:13+08:00,DI8L4JoPjNv,Yes,Instaloader
2025-05-05 04:33:12+00:00,2025-07-30 14:12:53+00:00,林 英雄,20141010hero,1464377325322334,1464377325322334,23,4816.0,282651.0,"六年前觀眾的推薦
到現在每一年都會去陪媽祖走一段
今年比較忙
只能用這種方式還願
希望家人都能平平安安
#白沙屯媽祖 #白沙屯 #白沙屯拱天宮",88.87,,2025-05-05 12:33:12+08:00,2025-07-30 22:12:53+08:00,DJQjELQvXYu,Yes,Instaloader
2025-05-10 20:59:33+00:00,2025-07-28 02:23:17+00:00,林 英雄,20141010hero,1625962955108872,1625962955108872,112,10753.0,825117.0,"太震驚了 決定做一支影片紀念童年
#artale",81.85,,2025-05-11 04:59:33+08:00,2025-07-28 10:23:17+08:00,DJfL98KTb4Z,Yes,Instaloader
2025-09-14 14:53:56+00:00,2025-09-16 15:14:24+00:00,林 英雄,20141010hero,1483946276409417,1483946276409417,120,31592.0,742814.0,"希望大家都有一個能傳接球的人
有感而發做一支影片記錄一下",163.77,,2025-09-14 22:53:56+08:00,2025-09-16 23:14:24+08:00,DOljGo4D12Y,Yes,Instaloader
2025-10-19 08:05:32+00:00,2025-12-01 12:14:07+00:00,林 英雄,20141010hero,888419534183373,888419534183373,555,137946.0,2795907.0,我想對你們說的話 都寫在晚飯裡了⋯⋯吃飽好上路,82.0,,2025-10-19 16:05:32+08:00,2025-12-01 20:14:07+08:00,DP-8OGWDtqr,Yes,Instaloader
2025-10-24 10:30:22+00:00,2025-10-30 04:50:29+00:00,林 英雄,20141010hero,1442570270738980,1442570270738980,17,7047.0,116250.0,"這次我首度 把全世界唯一一套的
「中文版神奇寶貝 102張 初代初刷 PSA連號」
整套搬去「開箱！Mercari 秘密基地」！
曾經經歷『神奇寶貝』翻譯的各位絕對不能錯過吧！

完成指定任務還可抽限定盲盒，以及免費拍貼，其中一個印章點我已經透露了（噓

《開箱！Mercari 秘密基地》
展期：10/24-10/28  11:00 – 18:00
地點：華山文創園區 中7B館

〈Mercari 11/11開箱節〉
現在註冊日本最大網購市集mercari會員（即日起至11月11號)
新用戶有破天荒首購1折 (90% OFF) 優惠券，全用戶還可再享6張7折優惠券！
11月9到11號還有限時3天的全站免運活動，省運費超值機會不要錯過！
mercari現在已經推出了APP，大家可以下載試試看。
@mercari_tw #mercari台灣 #開箱mercari秘密基地 #日本 #日本動漫",97.0,,2025-10-24 18:30:22+08:00,2025-10-30 12:50:29+08:00,DQMEUM_D111,Yes,Instaloader
2025-11-01 10:55:53+00:00,2025-11-07 03:45:58+00:00,林 英雄,20141010hero,933956125787125,933956125787125,33,9573.0,145880.0,我讓我的模型場景，動起來了⋯,86.57,,2025-11-01 18:55:53+08:00,2025-11-07 11:45:58+08:00,DQgt5GjjzQo,Yes,Instaloader
2025-12-05 08:07:27+00:00,2025-12-08 15:17:59+00:00,林 英雄,20141010hero,856400384125901,856400384125901,14,3221.0,123932.0,"人生第一次經歷初雪
記錄一下大地變色的交界",121.28,,2025-12-05 16:07:27+08:00,2025-12-08 23:17:59+08:00,DR384YgD76H,Yes,Instaloader
2025-12-08 07:51:11+00:00,2025-12-12 19:31:19+00:00,林 英雄,20141010hero,1893064737985044,1893064737985044,15,6092.0,176566.0,"我中了人生目前為止最好的卡
而我全部送給了他

事情是這樣
我買了一盒價值15萬的卡盒  2025 MLB Topps Diamond Icons
找了宗哲一起來拆
為了增加節目可看度
我決定除了大谷以外 全部送他
於是就發生下面的畫面

開到了 目前世界上 
只有三個人開到的 SSP卡盒
crown jewel box

除了有四張世界只有一張的卡以外
還有各種MVP 傳奇球星 賽揚投手

總價值估計破四十萬

說到做到 全部送給了他
也希望這能成為他的護身符
不要受傷 重回他的目標 大聯盟

最後想開卡 找不到地方買 
不用這麼麻煩
金證一番賞 裡面有球員卡專區
大谷神卡 山本由伸都在這
各位可以試試手氣 不要上頭
拿到心愛的卡吧！

✨現在香港地區也可以下載啦🇭🇰
🚛香港也免運！！
✨基隆金證N，擁有5家實體門市
專營盲盒、卡牌、一番賞批發零售。
🔍現在下載專屬APP「基隆金證N」，就能線上體驗現場抽賞樂趣！抽到的「鑽石」還能兌換商城商品，
🚛全館免運進行中!!
來👉 @keelungnnn @keelunggold_headoffice @topps 找我們玩
點連結一起來玩:
⭐️基隆金證N APP IOS載點：https://reurl.cc/ZZz9Dg
⭐️基隆金證N APP Android載點：https://reurl.cc/EVxL3v #topps",179.7,"{'0': '35502278227989', '1': '2964910307036678'}",2025-12-08 15:51:11+08:00,2025-12-13 03:31:19+08:00,DR_pvVxD1a4,Yes,Instaloader
2025-12-12 08:42:27+00:00,2025-12-14 14:42:35+00:00,林 英雄,20141010hero,877623228428457,877623228428457,8,3698.0,63506.0,第一次在日本遇到寒流 記錄一下#日本 #japan,33.67,,2025-12-12 16:42:27+08:00,2025-12-14 22:42:35+08:00,DSKDOMsD6oa,Yes,Instaloader
2025-12-12 09:21:28+00:00,2025-12-18 20:32:08+00:00,林 英雄,20141010hero,1637044670781870,1637044670781870,13,5833.0,76104.0,"聖誕節🎄就是要交換禮物啦
原本這禮物是預期一天解一個賭癮⋯",148.77,,2025-12-12 17:21:28+08:00,2025-12-19 04:32:08+08:00,DSKH30uj1tG,Yes,Instaloader
2025-12-13 13:22:23+00:00,2025-12-31 09:13:20+00:00,林 英雄,20141010hero,2362152497571008,2362152497571008,60,29186.0,1018614.0,40元搞定在日本的錢包#lesserafım,46.73,,2025-12-13 21:22:23+08:00,2025-12-31 17:13:20+08:00,DSNIOezj-3e,Yes,Instaloader
2025-12-14 10:25:26+00:00,2025-12-29 13:26:26+00:00,林 英雄,20141010hero,1691247852038988,1691247852038988,72,106918.0,979662.0,日本販賣機的關東煮🍢吃一下#日本 #japan,99.82,,2025-12-14 18:25:26+08:00,2025-12-29 21:26:26+08:00,DSPYvnsDytU,Yes,Instaloader
