creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-01 10:02:10+00:00,2025-05-01 08:27:47+00:00,嘎嫂二伯,2uncle987,2106914173409245,2106914173409245,8,4279.0,479722.0,"欸！新年要到了
是不是還沒買過年要送禮的禮物？
還是漏了要送舅舅、姑姑的禮盒🤣
送紅包太俗氣，送春聯又太無聊
別擔心～ @7eleventw  都準備好啦

不管是要送禮氣派又好看的星巴克禮盒
有蛋捲&捲心酥款可以選擇
還是每年都超期待的造型禮盒
7-ELEVEN通通有
超多款式 ～你選哪一款？
超人力霸王、酷洛米、朝隈俊男、好想兔😍可愛好玩又好吃
還有OPEN！蛇年戳戳樂開運禮盒
過年必玩抽抽樂，除了零食
還有機會抽到最高高$200元7-ELEVEN商品卡👍🏻

影片中的禮盒都可以在7-ELEVEN買得到～
只要走到家巷口就能買拉～
還等什麼？快去門市挑選吧！
7-ELEVEN春節真好禮，收藏&送禮兩相宜！

#7ELEVEN #春節真好禮
本影片係與統一超商(股)公司商業合作，並為真實體驗心得。",89.36,{'0': '1531516694409268'},2025-01-01 18:02:10+08:00,2025-05-01 16:27:47+08:00,,Yes,MetaTool
2025-01-02 11:01:43+00:00,2025-05-10 09:16:15+00:00,嘎嫂二伯,2uncle987,773118798591430,773118798591430,30,9899.0,479416.0,"員工旅遊的時候，晚上想說去玩一下推幣機，結果每個座位上都是熟面孔🤣🤣🤣🤣
-
#請叫我推坑大師",62.9,,2025-01-02 19:01:43+08:00,2025-05-10 17:16:15+08:00,,Yes,MetaTool
2025-01-06 11:07:31+00:00,2025-04-30 02:54:42+00:00,嘎嫂二伯,2uncle987,2755643494807747,2755643494807747,22,6117.0,442758.0,"今天早上一個空檔，立刻跑去台茂快閃店帶大家來逛逛😍😍
-
#還有另一邊有滿滿好吃食物喔",76.13,{'0': '2370672686695760'},2025-01-06 19:07:31+08:00,2025-04-30 10:54:42+08:00,,Yes,MetaTool
2025-01-06 12:00:07+00:00,2025-09-18 10:48:21+00:00,嘎嫂二伯,2uncle987,1749299216321208,1749299216321208,7,4094.0,270341.0,"身為潔癖大師的另一半
我也是有持續在關注一些清潔小法寶
除了省力之外成分也很重要
尤其給小朋友使用的更要安全安心
推薦你們使用🛡️” 黃金盾”

🌟黃金盾泡沫式乾洗手
獨家生物界面活性劑，8小時長效護膜
沒有添加酒精、異位性皮膚炎、蠶豆症都適用
隨身攜帶大人小朋友都安心

🌟黃金盾長效衣物抗菌液
經過日本檢測可耐水洗5次依然制菌
代替柔軟精使用，衣服不怕再卡垢

🌟黃金盾矽利康除霉凝膠&黃金盾浴廁水垢清潔慕斯
廁所煩人霉菌、水垢通通輕鬆去除

現正開團優惠中~滿2000免運
還有下單禮、滿額禮、加購禮
更有「二伯獨家專屬優惠」，千萬別錯過!!
限動🔗連結下單～
有了黃金盾人人都是清潔大師！👍🏻👍🏻👍🏻

#黃金盾 @greenkeygs 
#0107乾洗手
#寶貝健康的防護盾",89.83,{'0': '928524566405624'},2025-01-06 20:00:07+08:00,2025-09-18 18:48:21+08:00,,Yes,MetaTool
2025-01-07 11:00:22+00:00,2025-07-26 20:37:48+00:00,嘎嫂二伯,2uncle987,1569088807473320,1569088807473320,1981,9754.0,489140.0,"下方留言你最喜歡吃什麼口味或想試什麼口味
我們就抽2位各送 6包！(隨機口味）

今天到台茂來會會我們辦公室零食區的新歡~OASIS馬琳糖 @_oasis.m_ 
它是一款低油、減糖超刷嘴的蛋白糖霜餅乾
香甜脆口又不會太負擔
現場也能試吃，超多種口味可以挑選
我最喜歡草莓脆脆&焦糖脆脆口味
每包分量充足，不管是辦公室分享還是過年零食都超適合

1/3~2/10 OASIS馬琳糖會在桃園台貿B2有快閃店
位置就在hahababy快閃店&哈根達斯的櫃位中間~
現場還有快閃優惠
1.任選5包 $1000
2.買七送一
3.追蹤IG就贈送限定口味
無法到現場的朋友也可以到他們官網購逛逛選購喔！ 
#快閃店
#馬琳糖
#辦公室團購",51.71,{'0': '2081884955939212'},2025-01-07 19:00:22+08:00,2025-07-27 04:37:48+08:00,,Yes,MetaTool
2025-01-07 12:11:52+00:00,2025-06-23 15:49:49+00:00,嘎嫂二伯,2uncle987,686259014480695,686259014480695,11,4998.0,409872.0,"Hahababy台茂快閃店
日期：1/4-1/22 
時間：11:00-22:00
歡迎大家有空可以來拍拍逛逛😍😍",71.28,,2025-01-07 20:11:52+08:00,2025-06-23 23:49:49+08:00,,Yes,MetaTool
2025-01-11 11:00:06+00:00,2025-03-11 15:42:40+00:00,嘎嫂二伯,2uncle987,1809547633082933,1809547633082933,11,6571.0,363194.0,"經歷了兩個冬天，hahababy圍巾終於產出🤣🤣 
只是圍起來太無聊，那就一起來裝可愛吧🎀🎀🎀",44.65,,2025-01-11 19:00:06+08:00,2025-03-11 23:42:40+08:00,,Yes,MetaTool
2025-01-15 06:11:27+00:00,2025-03-11 15:42:40+00:00,嘎嫂二伯,2uncle987,1886521375308458,1886521375308458,13,4685.0,460530.0,,5998.05,,2025-01-15 14:11:27+08:00,2025-03-11 23:42:40+08:00,,Yes,MetaTool
2025-01-15 10:02:39+00:00,2025-12-01 01:17:54+00:00,嘎嫂二伯,2uncle987,883817217723256,883817217723256,10,2573.0,269091.0,"謝謝一起來頂呱呱一日店長的大家
今天聯名活動正式開跑啦～～～✨
活動時間：1/15 - 3/31
週邊商品1/17開賣呦!!!",62.63,"{'0': '2368628143583568', '1': '1467313948154846'}",2025-01-15 18:02:39+08:00,2025-12-01 09:17:54+08:00,,Yes,MetaTool
2025-01-17 12:35:12+00:00,2025-08-08 14:08:08+00:00,嘎嫂二伯,2uncle987,1581382166473593,1581382166473593,59,7513.0,362560.0,"想到好像很久沒運動了
但瑜伽什麼的好像不適合我
那就～～～來學拳擊吧🤪🤪",78.33,,2025-01-17 20:35:12+08:00,2025-08-08 22:08:08+08:00,,Yes,MetaTool
