creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-03 14:33:17+00:00,2025-01-09 09:33:28+00:00,Six Wang,6tan,756575627101521,756575627101521,28,14085.0,397918.0,"麥卡貝吃尾牙要睡衣派對
想想也是摸雞農的事情
@cb.otaku",15.03,,2025-01-03 22:33:17+08:00,2025-01-09 17:33:28+08:00,,Yes,MetaTool
2025-01-12 06:25:14+00:00,2025-01-14 10:35:27+00:00,Six Wang,6tan,1227964566208756,1227964566208756,26,9255.0,204278.0,面部spa,30.86,,2025-01-12 14:25:14+08:00,2025-01-14 18:35:27+08:00,,Yes,MetaTool
2025-01-24 01:37:10+00:00,2026-01-31 16:32:26+00:00,Six Wang,6tan,2302851426868550,2302851426868550,7,3513.0,160644.0,"各位！我幫大家整理一下
看我第一天結束就馬上出影片多麼緊急！
這次台北國際電玩展
集英社好康超級超級懶人包

1. 大家到集英社的攤位試玩就可以得到周邊
2. 把參展遊戲通通加入願望清單任務完成一半
3. 真的真的沒辦法到現場的話，填寫表單參加線上的抽獎

沒辦法再更簡單了！
抽獎表單連結在限動或是點這邊： 
https://forms.gle/1pxUDz7rLb4bwx7N6

快啊！！！！",73.61,,2025-01-24 09:37:10+08:00,2026-02-01 00:32:26+08:00,,Yes,MetaTool
2025-01-25 00:59:46+00:00,2025-05-01 18:33:20+00:00,Six Wang,6tan,1317632350391912,1317632350391912,11,6040.0,286820.0,"各位安安 
有沒有人想要可愛的電競椅呀 
宜得利與魔物獵人推出聯名電競系列 
目前開放限量預購中 

這次體驗的電競椅附有頭枕腰枕 
讓大家長時間使用電腦保持舒適坐姿 
軟硬適中的彈性座面，還有容易清潔的合成皮革

我自己在電玩展現場坐起來覺得蠻舒適的 
電玩展結束後在宜得利台北敦北店也會繼續展示 
建議大家到現場試座看看喔 

 1/23-1/26，來電玩展宜得利家居攤位 
還能參加挑戰活動拿魔物獵人限定好禮喔！ 
👉 更多活動資訊與購買連結：https://reurl.cc/ZZzyaM 
@nitori.tw 
#宜得利x魔物獵人 
#日本國民家居品牌 
#ShareNitori",82.03,{'0': '917660887585133'},2025-01-25 08:59:46+08:00,2025-05-02 02:33:20+08:00,,Yes,MetaTool
2025-01-27 12:51:37+00:00,2025-01-29 21:01:43+00:00,Six Wang,6tan,775300035600818,775300035600818,27,3803.0,169725.0,"#巨魔小健 
準備過年囉",18.99,,2025-01-27 20:51:37+08:00,2025-01-30 05:01:43+08:00,,Yes,MetaTool
2025-02-01 04:30:56+00:00,2025-02-03 07:31:02+00:00,Six Wang,6tan,2796133080737409,2796133080737409,8,3953.0,166459.0,"各位好~
我是V朋朋的好朋朋
宣傳大使巨魔

這次來跟大家報告一個酷活動
Meridian Project 1st Fes.「MeridiaNight」

這是子午計畫首次舉辦旗下3D藝人的線上演唱會
浠Mizuki、汐Seki、響Hibiki、澪Rei、橙Yuzumi、煌Kirali
將以全 3D 形象於全新舞台唱跳、表演

過去子午計畫的3D初披露或是3D Live
都有許多高品質的表演
子午箱推仔一定要支持起來的吧！

活動直播時間：
2025/2/15(六) 20:00；19:00可連線入場。
重播可播放時間：
2025/2/16(日) 22:00
開放重複觀看至：
2025/3/15(六) 23:59

快告訴我你最期待誰的表演吧！

購票已經開始！趕緊前往KKTIX訂票：
https://meridianproject.kktix.cc/events/b8137ba4",89.7,,2025-02-01 12:30:56+08:00,2025-02-03 15:31:02+08:00,,Yes,MetaTool
2025-03-04 11:01:01+00:00,2025-07-18 11:34:20+00:00,Six Wang,6tan,1267515371932375,1267515371932375,3,1249.0,133417.0,"3/8.9在大安森林公園「桌遊大森公」有攤位，當天也會有上市前現開賽!!
4.0正式上市時間則是在3/15喔

https://myship.7-11.com.tw/general/detail/GM2502233208281
限量100盒4.0卡包盒預購免運費",58.08,,2025-03-04 19:01:01+08:00,2025-07-18 19:34:20+08:00,,Yes,MetaTool
2025-03-17 10:20:24+00:00,2025-03-17 13:38:04+00:00,Six Wang,6tan,1652311595929564,1652311595929564,30,4265.0,173755.0,"MINECRAFT X FOSSIL 聯名錶款好可愛
謝謝 @fossil  @dfapactw 
#fossiltw #Fossilwatch #Minecraft",25.83,,2025-03-17 18:20:24+08:00,2025-03-17 21:38:04+08:00,,Yes,MetaTool
2025-03-28 10:05:14+00:00,2025-03-29 13:35:20+00:00,Six Wang,6tan,1242617811130788,1242617811130788,121,14666.0,471952.0,夜景景觀餐廳推薦,24.78,{'0': '696751453273985'},2025-03-28 18:05:14+08:00,2025-03-29 21:35:20+08:00,,Yes,MetaTool
2025-04-05 19:53:44+00:00,2025-07-08 03:02:41+00:00,Six Wang,6tan,25421823907519752,25421823907519753,98,12903.0,297520.0,😇,14.68,,2025-04-06 03:53:44+08:00,2025-07-08 11:02:41+08:00,,Yes,MetaTool
