creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-01 04:00:00+00:00,2025-02-16 19:28:56+00:00,白癡公主,87acup,1992718734974290,1992718734974290,199,10894.0,402685.0,"2024年的各種cosplay
哪個角色你最印象深刻？

戴過的假髮怎麼比吃過的飯還多…？",84.42,,2025-01-01 12:00:00+08:00,2025-02-17 03:28:56+08:00,,Yes,MetaTool
2025-01-02 10:00:00+00:00,2025-09-16 05:14:03+00:00,白癡公主,87acup,1251896743504272,1251896743504272,22,3955.0,281321.0,"今年除夕你是哪一派！？
全家和樂看電視節目？出門騷兩圈刷存在？
還是出門刮刮樂刮到爽？
 
有人被疲憊的生活壓榨，忙著顧家顧小孩只想睡覺
有人已經不再守歲...只希望臉上的細紋不要再多一條...
 
原來守歲也要守住青春年歲？
碧歐斯讓你買保養品邊刮刮樂過年旺！
獎品有喜氣洋洋的黃金還有必備經典小香可抽，中獎率高達36%！
 
即日起到 #屈臣氏，購買抽獎版 #Pro黑金露 #Pro粉金露
時間是沒辦法倒轉的，但肌膚可以！
每個女人都需要的是——碧歐斯BIO金萃黃金精華露
全系列添加微米黃金胜肽
一擦讓肌膚恢復年輕活力，保持撫紋透亮
BIO金萃玫瑰黃金精華露——高效保濕抗初老對策好夥伴
BIO金萃黃金精華露——淡化細紋修復肌膚逆齡就靠這一瓶
BIO金萃黑魚子黃金精華露——極奢黑鑽魚子極致澎潤極致煥活
擦完後又可以回到18歲嗨一整晚了！
 
好奇大家今年是怎麼過的？
跟誰！
 
#全省通路都找得到#碧歐斯金萃精華露 #碧歐斯 #bioessence_taiwan #NO.1新加坡保養品牌",89.8,,2025-01-02 18:00:00+08:00,2025-09-16 13:14:03+08:00,,Yes,MetaTool
2025-01-03 10:00:00+00:00,2025-02-16 19:28:56+00:00,白癡公主,87acup,1296577979158985,1296577979158985,34,3693.0,309427.0,"牌品差等於人品差？
俗話說在麻將桌上，可看出一個人的修養
愛偷看別人的牌、詐胡出老千、打一張想3分鐘、邊吃東西追劇
已經穿上大紅內褲牌運還是超差
來啦！你需要桂格來補氣！

送禮最佳的好選擇——桂格天地合補
家人朋友之間就是要互補健康！
人蔘補氣、葉黃素顧晶亮、燕窩養顏、滴雞精補營養
2025禮盒新設計！不論平日聚會、過年送禮、打麻將串門子
體面又健康送進心坎裡！

還有哪些牌桌上的奇葩行為？
tag你身邊愛打麻將的朋友

@tdhb_taiwan 

#打麻將各種人
#桂格 #天地合補保健組 #過年送禮",85.23,,2025-01-03 18:00:00+08:00,2025-02-17 03:28:56+08:00,,Yes,MetaTool
2025-01-06 10:00:03+00:00,2025-02-16 19:28:56+00:00,白癡公主,87acup,743331088542788,743331088542788,13,2109.0,269723.0,"各位！再撐一下就要領年終了！
（換老闆美少女本人荷包失血…）
女人最大的差別不是妝前妝後
而是…領薪水前後吧！

對呀 過年揪似要穿新衣
除了好看之外，最重要的是要舒服！
不然怎麼廢躺在家？

大家幫我決定一下要穿哪一套回嘉義內？

全身都是  @mercci22 
01/07(二) 10:00 官網正式上架
📍輸入折扣代碼 「acup」 不限金額，官網可折$100（單個帳號限用1次）",27.63,,2025-01-06 18:00:03+08:00,2025-02-17 03:28:56+08:00,,Yes,MetaTool
2025-01-09 10:00:00+00:00,2025-02-16 19:28:56+00:00,白癡公主,87acup,1948327976069026,1948327976069026,64,5085.0,320991.0,"之前一直被網友說像女HOW哥
於是同事就無情的把同款衣服丟我身上？
 
這次的隔空ft. ，大家覺得我哪個造型最像HOW哥？😳",59.43,,2025-01-09 18:00:00+08:00,2025-02-17 03:28:56+08:00,,Yes,MetaTool
2025-01-11 13:00:00+00:00,2025-02-16 19:28:56+00:00,白癡公主,87acup,1813707009291036,1813707009291036,85,7528.0,495810.0,"新事業開始的第一天！叫賣家承本味的花膠冷料理，叫到嗓子都要啞了🥹。好不容易誘拐到一些顧客來試吃買，才曉得在年貨大街生存真的很不容易。跟團隊一起學到很多，以及隨機應變能力。感謝特地到場的觀眾，還有一些路過被我拐進來的，見到你們很開心啊哈哈

1/11～1/26每天美少女都會出沒在台北市大同區民生西路371號。

沒事可以晃過來看我喔！不能來的也可以透過官網下單喔齁：https://www.tasteplus.com.tw/product.php?lang=tw&tb=2",73.53,,2025-01-11 21:00:00+08:00,2025-02-17 03:28:56+08:00,,Yes,MetaTool
2025-01-12 14:18:24+00:00,2025-02-16 19:28:56+00:00,白癡公主,87acup,903923092010153,903923092010153,60,12782.0,717294.0,"新事業第二天，幸好當初堅持要做的抽獎，頭獎已經被抽中了，是真的有獎品啦！！！還有本人很禮貌的鄧佳華來訪～
所以到底誰比較漂亮？？？

歡迎大家來找我吃海裡的燕窩 花膠冷料理喲🤤
1/11~1/26 白癡公主每日都會出沒在店面：台北市大同區民生西路371號",26.33,,2025-01-12 22:18:24+08:00,2025-02-17 03:28:56+08:00,,Yes,MetaTool
2025-01-14 14:16:42+00:00,2025-07-18 09:05:26+00:00,白癡公主,87acup,797295113390428,797295113390428,85,6916.0,501485.0,"其實今天是第四天了，但我又打錯⋯對呀
謝謝阿志義氣相挺來代班！不知道粉絲有沒有覺得驚喜(傻眼)

歡迎大家來找我吃海裡的燕窩 花膠冷料理喲🤤
1/11~1/26 白癡公主每日都會出沒在店面：台北市大同區民生西路371號",66.43,,2025-01-14 22:16:42+08:00,2025-07-18 17:05:26+08:00,,Yes,MetaTool
2025-01-15 10:00:00+00:00,2025-02-16 19:28:56+00:00,白癡公主,87acup,906221028765936,906221028765936,47,3485.0,311142.0,"失散30年的母女除夕夜終於重逢了？
熱播八點檔《甜家好女兒》迎來續集！
還沒看第一集的先去看！
 
啟明拿出孝敬阿母的法寶
善存3效順暢益生菌粉末顆粒！
提供膠囊顆粒兩種劑型選擇
有專利代謝菌株和專利青春益生菌株成分跟鳳梨酵素
幫你補好菌養好菌，提升保護力
酸甜的水果口味好入口，隨身包攜帶也方便
團圓飯也能飲食自由， 幫助消化順暢！
你家的團圓飯有多好吃？也分享給素嬌一家人看吧！
 
究竟淑惠與啟明的關係會變成怎麼樣呢？
金素嬌背後還有什麼不為人知的秘密？
就讓我們繼續看下去！

屈臣氏超級品牌月，善存/挺立/克補 任兩件現折100！
https://centrum.pse.is/6wyfqx
 
#年菜飯後補充 #善存 #益生菌 #三效順暢益生菌粉末顆粒 #補好菌養好菌 #好消化好代謝青春好體質",78.5,,2025-01-15 18:00:00+08:00,2025-02-17 03:28:56+08:00,,Yes,MetaTool
2025-01-17 10:00:00+00:00,2025-04-14 17:58:32+00:00,白癡公主,87acup,1231335515635824,1231335515635824,98,11775.0,445165.0,"一年一度的過年要到了
表示一年一度的那些阿姨們要回來了？
過年阿姨們各出奇招

溫哥華阿姨聊起了自己拿第一桶金去Vancouver深造的過程？
精品包阿姨升級為苔積damn小富婆
嗑瓜子阿姨依舊是超八卦的嗑瓜子阿姨

肯德基新品紫芋金來金沙雞來了！
在經典咔啦脆雞上淋上滿滿鹹香的鹹蛋黃醬
再搭配靈魂配料：綿蜜的大甲芋頭
鹹甜滋味超涮嘴！！！
表皮撒上喜氣洋洋的紅綠脆片，為新年增添吉祥氛圍
能讓過年阿姨嘴巴停下來的只有肯德基？
肯德基爺爺化身為財神爺爺
一起招財招富貴！

新年一桶雞，今年一桶金
1/14-2/24期間限定販售，售完為止
還可以天天在line抽籤拿coupon
就有機會免費吃紫芋金來金沙雞喔！

現在還有99元的紫芋金來嘗鮮券優惠代碼 50456，就能擁有紫芋金沙雞x1，玉米濃湯(小)x1，跟懂投資的阿姨一樣精打細算😎

現在在留言處@兩位好友，並留言「今年一桶雞，新年一桶金」
就有機會加碼抽KFC紫芋金來金沙雞餐券一張喔!
你們的阿姨是哪一種？

#KFC #紫芋金來金沙雞 #今年一桶雞新年一桶金 #大雞大利",90.0,,2025-01-17 18:00:00+08:00,2025-04-15 01:58:32+08:00,,Yes,MetaTool
