creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-03 05:35:07+00:00,2025-07-16 00:21:34+00:00,蕭志瑋 八弟,afunnywii,3782253615244324,3782253615244324,68,25769.0,835718.0,"奇怪！
這跟我想像中的劇本不太一樣！
憑實力變粉絲了

偉晉：白痴唷，跟我合照幹嘛？
八弟：想說無聊測試一下！
偉晉：走啦，一起看首映啦！

會不會我現在標註他
他還是不知道我是誰哈哈
@weijin_huang",23.64,,2025-01-03 13:35:07+08:00,2025-07-16 08:21:34+08:00,,Yes,MetaTool
2025-01-11 05:46:53+00:00,2025-04-29 03:06:09+00:00,蕭志瑋 八弟,afunnywii,913357501623900,913357501623900,57,2040.0,235485.0,"阿元及Yubi表示：
他們這兩個男生，
到底在幹嘛啦？

來家裡的朋友
我都會介紹我家的生態給他們觀賞
但還沒有看到這麼忙的客人！

#馬達加斯加蟑螂
#日本人 #爬蟲",89.2,"{'0': '1275845467940066', '1': 'non_public_1259480298632116'}",2025-01-11 13:46:53+08:00,2025-04-29 11:06:09+08:00,,Yes,MetaTool
2025-01-18 10:41:27+00:00,2025-02-13 23:27:47+00:00,蕭志瑋 八弟,afunnywii,791507516769835,791507516769835,13,1395.0,100749.0,"當爸爸要會做家事外
還要會在家打曲棍球

我根本現代版彩衣娛妻～
叔叔有練過小朋友不要學",30.57,{'0': 'non_public_1259480298632116'},2025-01-18 18:41:27+08:00,2025-02-14 07:27:47+08:00,,Yes,MetaTool
2025-01-20 11:32:23+00:00,2025-07-18 14:26:59+00:00,蕭志瑋 八弟,afunnywii,1853028248699120,1853028248699120,56,16760.0,638190.0,"星期一適合跟老闆撒嬌一下
把影片傳給老闆
讓他開心一下吧！！
看可不可以過年包大包一點

＃撒嬌挑戰",82.34,{'0': '1071655808491275'},2025-01-20 19:32:23+08:00,2025-07-18 22:26:59+08:00,,Yes,MetaTool
2025-01-21 08:32:20+00:00,2025-02-13 23:27:47+00:00,蕭志瑋 八弟,afunnywii,1165769392131800,1165769392131800,360,687.0,84679.0,"八弟最愛小獅王辛巴
新產品顏色都好讚啦

大家快底下留言
「我愛八弟，造福媽咪」
就來抽八位幸運兒
獲得PPSU 270ml的奶瓶一支
顏色隨機出貨唷
年後會寄出
活動只到2025/2/3截止

#小獅王辛巴 #simba #奶瓶",81.48,,2025-01-21 16:32:20+08:00,2025-02-14 07:27:47+08:00,,Yes,MetaTool
2025-01-23 13:55:49+00:00,2025-02-13 23:27:47+00:00,蕭志瑋 八弟,afunnywii,4433891793556623,4433891793556623,7,1126.0,107618.0,"以為是景的問題
結果是人的問題",34.2,,2025-01-23 21:55:49+08:00,2025-02-14 07:27:47+08:00,,Yes,MetaTool
2025-01-27 12:27:56+00:00,2025-02-13 23:27:47+00:00,蕭志瑋 八弟,afunnywii,799991769270233,799991769270233,39,2071.0,97491.0,"祝福搭給新年快樂
來自狂哥的鞭炮祝福🧨
是在派啥啦！

#西門太狂 #新年快樂",29.67,,2025-01-27 20:27:56+08:00,2025-02-14 07:27:47+08:00,,Yes,MetaTool
2025-01-31 05:47:56+00:00,2025-05-01 22:16:59+00:00,蕭志瑋 八弟,afunnywii,1573074907252501,1573074907252501,53,3083.0,181141.0,"在路上遇到八弟
歡迎來找我拍照

我會很開心
你們有在路上遇過我嗎？
跟我分享一下啦！",73.88,,2025-01-31 13:47:56+08:00,2025-05-02 06:16:59+08:00,,Yes,MetaTool
2025-02-01 09:57:26+00:00,2025-04-26 07:18:04+00:00,蕭志瑋 八弟,afunnywii,915100224499809,915100224499809,39,2620.0,159010.0,"迪士尼唱跳型爸爸

#初四了",59.6,,2025-02-01 17:57:26+08:00,2025-04-26 15:18:04+08:00,,Yes,MetaTool
2025-02-03 07:13:45+00:00,2025-02-13 23:27:47+00:00,蕭志瑋 八弟,afunnywii,2789351624744218,2789351624744218,17,1095.0,88717.0,"祝福大家初一開工
旺旺來！！
業績多點「刺」激

#初一",17.58,,2025-02-03 15:13:45+08:00,2025-02-14 07:27:47+08:00,,Yes,MetaTool
