creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-03 12:00:10+00:00,2025-09-18 02:46:35+00:00,Andy老師,andy1994x,1474187097761249,1474187097761249,404,60406.0,1845999.0,"有我這位「姐姐」，你會幾點回家👀
YT有更多短影片模仿完整片段，大家記得去看！

#紫嘖之歌 #姊姊 #yt",16.7,,2025-01-03 20:00:10+08:00,2025-09-18 10:46:35+08:00,,Yes,MetaTool
2025-01-09 13:42:25+00:00,2025-05-23 21:58:04+00:00,Andy老師,andy1994x,1294898935803570,1294898935803570,90,13462.0,1091829.0,"1/11（六）20:00 跟你分享，關於我的「分手故事。」

#能遇見你就很不錯了 #cover #翻唱",77.27,,2025-01-09 21:42:25+08:00,2025-05-24 05:58:04+08:00,,Yes,MetaTool
2025-01-11 12:05:43+00:00,2026-01-28 16:24:42+00:00,Andy老師,andy1994x,26558524313759608,26558524313759606,586,138931.0,6774530.0,"面對分手，你會怎麼調適自己？
「YouTube影片完整版，現已上線！」

#分手 #andy老師 #單身 #分手語錄",40.47,,2025-01-11 20:05:43+08:00,2026-01-29 00:24:42+08:00,,Yes,MetaTool
2025-01-12 03:52:10+00:00,2025-03-15 15:14:15+00:00,Andy老師,andy1994x,1408955800716852,1408955800716852,60,12765.0,846542.0,"「先把自己人生活明白了，老天自有安排」 

YT有完整影片紀錄歡迎收看

#分手語錄 #andy老師 #單身",50.13,,2025-01-12 11:52:10+08:00,2025-03-15 23:14:15+08:00,,Yes,MetaTool
2025-01-17 12:03:33+00:00,2025-07-14 15:31:07+00:00,Andy老師,andy1994x,1953101952307244,1953101952307244,143,35040.0,1296543.0,"「放下過往」有標準答案嗎？

#andy老師 #放下 #情感 #單身",21.67,,2025-01-17 20:03:33+08:00,2025-07-14 23:31:07+08:00,,Yes,MetaTool
2025-01-18 10:18:33+00:00,2025-09-17 05:41:31+00:00,Andy老師,andy1994x,941084978360287,941084978360287,210,67633.0,1748170.0,"「雞」當居家寵物，有什麼優點？

#雞 #寵物 #andy老師",15.13,,2025-01-18 18:18:33+08:00,2025-09-17 13:41:31+08:00,,Yes,MetaTool
2025-01-19 10:33:34+00:00,2025-03-14 12:54:04+00:00,Andy老師,andy1994x,1188363866839630,1188363866839630,50,11040.0,1116134.0,"「強求來的果實，不會甜」
謝謝”牠” 讓我更了解自己❤️

「YT有新片 記得去看！」

#雞 #寵物 #andy老師 #情感",36.0,,2025-01-19 18:33:34+08:00,2025-03-14 20:54:04+08:00,,Yes,MetaTool
2025-01-24 12:00:46+00:00,2025-03-15 11:59:50+00:00,Andy老師,andy1994x,1443223620482948,1443223620482948,24,5450.0,802404.0,"你會選擇一個人的自由，還是兩人的甜蜜？

#單身 #分手 #Andy老師 #兩性 #心靈雞湯 #情侶",31.53,,2025-01-24 20:00:46+08:00,2025-03-15 19:59:50+08:00,,Yes,MetaTool
2025-01-25 09:41:22+00:00,2025-08-02 14:47:10+00:00,Andy老師,andy1994x,923626703433272,923626703433272,255,79320.0,2202275.0,"新的一年，祝你會遇到一個「忠誠的人❤️」

#單身 #分手 #Andy老師 #兩性 #心靈雞湯 #情侶",20.97,,2025-01-25 17:41:22+08:00,2025-08-02 22:47:10+08:00,,Yes,MetaTool
2025-01-26 10:06:07+00:00,2025-05-18 12:45:05+00:00,Andy老師,andy1994x,1535399154201169,1535399154201169,56,12083.0,1226648.0,"「在痛苦之中夾伴著幸福」你認同嗎？

#單身 #分手 #Andy老師 #兩性 #心靈雞湯 #情侶",23.4,,2025-01-26 18:06:07+08:00,2025-05-18 20:45:05+08:00,,Yes,MetaTool
2025-01-30 07:14:23+00:00,2025-08-03 14:19:14+00:00,Andy老師,andy1994x,1260194135972734,1260194135972734,44,7688.0,1074523.0,"一早就被抓起來跳😑 過年我只想睡飽…

#過年 #新年 #健康操 #長輩 #andy老師",28.27,,2025-01-30 15:14:23+08:00,2025-08-03 22:19:14+08:00,,Yes,MetaTool
