creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-16 10:16:11+00:00,2025-02-18 11:10:56+00:00,安啾 Anjou,anjouclever,1179482004064478,1179482004064478,17,5133.0,276798.0,"今年台灣好冷
是時候該泡溫泉了!!
對北投有一種情懷 
想到國中時和朋友們也去北投泡溫泉
然後就在回程的紅線上看著遠方的煙火
跨過了那一年
用溫泉做了一個很美好的收尾

最近也認真發現自己越長越大
身體肌膚越來越乾了
洗完澡很容易皮膚乾到癢癢的很不舒服

但Aveeno的燕麥養膚方程式
也就是艾惟諾燕麥高效舒緩沐浴露+燕麥高效舒緩保濕乳x20秒*
真的解救了我!!

裡面含有三重益菌生燕麥 滿滿的燕麥能量
有效舒緩6大敏弱問題^

用 #燕麥高效舒緩沐浴露 洗澡的時候
可以明顯感覺得到滋潤！

洗完澡再塗 #燕麥高效舒緩保濕乳
像是替肌膚上一層保水的膜
有潤澤感但不會過於黏膩不舒服
而且散發著淡淡的燕麥香 我自己蠻喜歡哈哈哈

只要沐浴露＆保濕乳一起使用 
20秒*就能急速舒緩乾燥敏感 肌膚含水量也會提升69.8%+
之後很長一段時間肌膚都潤潤的
真的有肌膚認真把水喝進去的感覺
實在是很開心!!

跟你們說現在~2/19屈臣氏有優惠喲!
1. 艾惟諾燕麥高效舒緩保濕乳354ml 特價$499 (原價$559)
2. 凡購買艾惟諾保濕乳系列滿$388，即贈艾惟諾燕麥高效舒緩沐浴露354ml 乙罐
3. 艾惟諾全系列消費滿$888元現折$100元

冬天一定要做好保濕哇!

@aveenotw
#艾惟諾 #Aveeno #3重益菌生燕麥 #保濕乳20秒舒緩乾癢

—
*依據消費者家用測試結果，100名消費者使用艾惟諾燕麥高效舒緩保濕乳後，99%消費者感覺20秒內能舒緩皮膚乾燥， 91%消費者感覺20秒內能舒緩敏感肌膚(因乾燥引起的皮膚敏感)。How To Agency, December 2022. (使用效果因人而異)

^指舒緩因乾燥引起的皮膚癢、泛紅、粗糙、緊繃、預防乾裂、減少脫屑​

+根據表皮水分測定儀(Corneometer)檢測結果顯示，100位受試者使用艾惟諾燕麥高效舒緩沐浴露與保濕乳，與使用前比較，顯著增加肌膚保濕度69.8%. How To Agency, 2021.(產品效果感受因人而異)",70.4,{'0': '947336244470007'},2025-01-16 18:16:11+08:00,2025-02-18 19:10:56+08:00,,Yes,MetaTool
2025-01-22 09:40:31+00:00,2025-07-12 14:09:11+00:00,安啾 Anjou,anjouclever,1242575267843015,1242575267843015,89,29994.0,766223.0,"過一個充滿三麗鷗的一天(*ˊᵕˋ* )🎀
沒想到台灣的飯店會這麼用心
而且只要訂三麗鷗房的客人
都能免費預約車站接送
也都在VIP室辦理入住
真的賓至如歸到像是成為一日公主的感覺

如果頭髮加上天使光芒的話
就更有公主的氣質！！
這時候日本樂絲朵-L摩洛哥護髮精華油
就是我的好夥伴

它的髮油質地如羽毛般輕盈卻非常滋潤
頭髮馬上柔軟、富有光澤
神奇的是它又不會讓細軟髮感覺過於黏膩！
我每天洗完頭都一定會用🥹

而且這次在日本
竟然推出了三麗鷗限定包裝
有美樂蒂、酷洛米、帕恰狗、山姆企鵝的款式
每一個角色都睡得好甜 超級可愛！！
它們各自對應不同的功效
我最喜歡適合細軟髮的美樂蒂款✨

三麗鷗的限定包裝從1/27起
在日本獨家販售
身為三麗鷗粉很開心能搶先拿到
寒假過年有去日本旅遊的話不要錯過
在各大藥妝通路找找看吧
數量有限 要把握機會喲！！
@lucidol_japan

#樂絲朵 #三麗鷗 #摩洛哥護髮精華油",110.11,,2025-01-22 17:40:31+08:00,2025-07-12 22:09:11+08:00,,Yes,MetaTool
2025-01-23 07:17:55+00:00,2025-04-08 01:10:19+00:00,安啾 Anjou,anjouclever,2672676989768487,2672676989768487,102,39465.0,805874.0,"\ 值20棟別墅的吉伊小提燈 /
居然卡關在小手手
但成品超吉可愛…!",58.61,,2025-01-23 15:17:55+08:00,2025-04-08 09:10:19+08:00,,Yes,MetaTool
2025-01-28 04:57:29+00:00,2025-07-10 10:40:58+00:00,安啾 Anjou,anjouclever,956460670663087,956460670663087,38,18239.0,517963.0,"全世界最大吉伊卡哇
就在高雄愛河！
真的吉度興奮！！！
整個城市都被小可愛的身影佔據

搭文化遊艇時
沿途經過了 #大港橋
是亞洲最長跨港旋轉橋哦
配上夕陽餘暉 吉伊的背影看起來很有故事(´∇｀)

晚上大家再一起大唱睡衣派對之歌 覺得莫名感動🥹
吉友們最高！

❄️高雄冬日遊樂園❄️
1/25（六）～2/16（日）登場

@kaohsiung.bravo
#kaohsiungbravo #高雄冬日遊樂園 #Kaohsiungwonderland",67.52,,2025-01-28 12:57:29+08:00,2025-07-10 18:40:58+08:00,,Yes,MetaTool
2025-02-12 03:29:40+00:00,2025-04-13 05:06:08+00:00,安啾 Anjou,anjouclever,1476101790608655,1476101790608655,10,4206.0,199394.0,"找到了幸福度高 罪惡感低的食物
也是減脂新手的入門夥伴！
加入豆渣真的差很多 
飽足感可以撐好一陣子
而且雞塊真的不會失望的好吃
貝果有很多口味可以選！
現在還有限量的大湖草莓乳酪貝果
大家不要錯過嚕🤍

✨安啾 x 原味時代限時團購✨
2/10-2/18
連結在主頁 細節放精選！

☁️運費門檻：消費滿$1800免運，未達門檻酌收冷凍運費$190元。(限台灣本島配送)
☁️滿額贈：消費滿$1800 贈「惡魔可可貝果1顆」限量50名",65.11,,2025-02-12 11:29:40+08:00,2025-04-13 13:06:08+08:00,,Yes,MetaTool
2025-03-07 14:27:42+00:00,2026-02-18 19:42:30+00:00,安啾 Anjou,anjouclever,1603351447606944,1603351447606944,32,11953.0,336750.0,"草莓花束不求人🍓
之前情人節看到草莓花束
覺得也太可愛實用了吧
兼具好看又美味⋯
於是決心自己來動手做一束！！

雖然不是包得很完美
但我已經很滿意了嘻嘻(＊’͜’ )ʕ𐭩

材料
🍓.•*¨*•.•*¨*•.¸¸
氣球桿（棒子+托）x25
花泥 22x7x9cm
透明膠帶
珠光雪梨紙 50x70cm x3
15cm魔帶
玻璃紙50x50cm x3
4cm魚尾紗緞帶
一米LED燈
尼龍束帶x 10
.•*¨*•.•*¨*•.¸¸🫧

上面材料像是氣球桿我有多買一些
在包的時候氣球桿可以再剪多一點 花束底盤比例會比較好
大家可以自己斟酌喲",71.66,,2025-03-07 22:27:42+08:00,2026-02-19 03:42:30+08:00,,Yes,MetaTool
2025-03-27 08:13:25+00:00,2025-08-06 16:53:09+00:00,安啾 Anjou,anjouclever,1308143177797393,1308143177797393,46,21581.0,682496.0,"成為一日東京女高校生！
每次看到迪士尼裡滿滿的高中生
其實很多都是已經畢業或剛好休假的日本人
特別穿來迪士尼玩唷

這次在舞浜站的KANKO SHOP租借制服
在IKSPIARI商場裡 需要仔細找一下
⚠️10:00才開始營業喔！

他們除了《舞浜店》還有《原宿店》 
如果想搶迪士尼DPA SP的人
可以在前一天去原宿店租好
直接穿來會比較保險

這次我是在舞浜店
租當日10:00～21:30的一日方案

費用如下！
———
一日M set ¥3600
（裙子、領結、襯衫、針織衫）
西裝外套 ¥2400
樂福鞋 ¥800
襪子 ¥200
書包 ¥800
置物櫃 ¥400
———
總共是約台幣1800元

這些制服都是真正日本高中生會穿的制服品牌
質感很好！有回到18歲的感覺哈哈哈

不過他們提供的租借制服好像偏小
我的身形竟然穿到L...已經有點極限XD

給大家做一個參考♡
一起穿著制服在東京迪士尼裡重溫青春吧

📍KANKO SHOP IKSPIARI
千葉県浦安市舞浜1-4
イクスピアリ 2F トレイル＆トラック
10:00~22:00

📍KANKO SHOP 原宿
東京都渋谷区神宮前6-8-4
アイズビル1F
11:00~19:00",39.01,,2025-03-27 16:13:25+08:00,2025-08-07 00:53:09+08:00,,Yes,MetaTool
2025-04-08 14:28:27+00:00,2025-07-06 09:08:17+00:00,安啾 Anjou,anjouclever,787099953898460,787099953898460,26,7082.0,289029.0,"啾Jo Pose🕺⭐
在日本的奇幻冒險
行前小小啾提議說想要拍
於是我們決心一起攜手挑戰",8.98,{'0': 'non_public_883734201151618'},2025-04-08 22:28:27+08:00,2025-07-06 17:08:17+08:00,,Yes,MetaTool
2025-05-23 05:14:16+00:00,2025-08-04 11:49:01+00:00,安啾 Anjou,anjouclever,1278767474099471,1278767474099471,224,8835.0,411694.0,"行李就是要整整齊齊🧳
#留言抽半半小物袋（共5 名）

5/21 - 5/26 《Branden 韓國品牌旅行壓縮袋》
🏷️安啾限時74折優惠組合：
M＋L＋托特＋盥洗＋小物袋，一次搞定！
🔗請至主頁連結下單
（ 除了組合商品外 也有拆售商品唷 ）

Branden布料很厚實 拉鍊也很順
收行李幾乎不費力就讓體積馬上縮小一半
外觀也很有質感 
影片裡的每樣都喜歡！

・滿 NT$3,800 免運
・未滿運費：本島 NT$80 / 外島 NT$120
・付款完成後 3～5 個工作天內出貨（不含假日）
・暫不提供海外寄送

#Branden",80.04,,2025-05-23 13:14:16+08:00,2025-08-04 19:49:01+08:00,,Yes,MetaTool
2025-05-29 10:10:00+00:00,2025-07-26 08:33:58+00:00,安啾 Anjou,anjouclever,1459326768892176,1459326768892176,32,27677.0,590342.0,"有麻糬口感的鬆餅🥞在家自己做！
麵糊稠到一度以為要失敗了
但煎的時候真的太香
吃下去整個QQ的好彈牙 好好吃

吃鬆餅當然不能少了好喝的咖啡
左岸咖啡館現在「厚乳拿鐵」新上市啦
這次甜度下修 喝起來很濃郁順口
下午被奶香圍繞真的很幸福

現在左岸咖啡館限時推出「巴黎流動杯」
每種口味都有不同的巴黎街景和療癒文字
只要轉動杯蓋 巴黎街邊的畫家、小提琴手就動起來呢

在家度過了一個小小的法式午後
就算人不在巴黎 但心情好愜意 彷彿身處在那裡

「厚乳拿鐵」小七限定販售
5/28-6/24在7-ELEVEN購買左岸30元系列任一口味，
即可用25元加購擁有一杯厚乳拿鐵！
快來一邊喝一邊轉動巴黎風景吧

#左岸咖啡館 #厚乳拿鐵 #新上市
#巴黎流動杯 #我在左岸咖啡館",49.97,,2025-05-29 18:10:00+08:00,2025-07-26 16:33:58+08:00,,Yes,MetaTool
