creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-02 07:40:08+00:00,2025-02-08 23:37:35+00:00,Boy playmj,boyplaymj,1456748572746947,1456748572746947,6,2506.0,108573.0,"可以自己跟其他桌的自己換手牌🤫（喂
感謝當天來玩的高雄朋朋們
@mafeiii.2024 的餐點真的讚
綠豆湯一生推🤭
#伯夷 #麻將 #麻雀 #麻將館 #一打三",58.08,,2025-01-02 15:40:08+08:00,2025-02-09 07:37:35+08:00,,Yes,MetaTool
2025-01-08 01:43:54+00:00,2025-08-03 16:41:28+00:00,Boy playmj,boyplaymj,965658458277350,965658458277350,74,7496.0,277236.0,"這樣打全場都無言🙃不是啊無嘴怎麼講話
馬丘MACHILL x Hello Kitty 50週年聯名麻將來辣
而且是電動桌專用的讚讚讚✊
現在購買還送紀念提袋送完為止
https://machill.in/boy-kt

#麻將 #麻雀 #伯夷 #馬丘 #MACHILL #hellokitty #KITTY #三麗鷗 #聯名麻將",139.84,{'0': '862312993533687'},2025-01-08 09:43:54+08:00,2025-08-04 00:41:28+08:00,,Yes,MetaTool
2025-01-08 09:16:00+00:00,2025-08-09 07:53:38+00:00,Boy playmj,boyplaymj,1398209791515842,1398209791515842,18,2374.0,163239.0,"有聽不去摸在那邊假會放槍了齁🦐啊
#伯夷 #麻將 #麻雀 #tre #清一色",59.96,"{'0': '1480649276814637', '1': '2449605332171835', '2': '880835644551274'}",2025-01-08 17:16:00+08:00,2025-08-09 15:53:38+08:00,,Yes,MetaTool
2025-01-08 21:37:17+00:00,2025-09-16 01:54:07+00:00,Boy playmj,boyplaymj,2085742175300333,2085742175300333,18,2326.0,134419.0,"神手K又玩瘋辣🥵🥵🥵
這攤好好玩 @onederfour__ 
好球 好球 😏 期待2025
#伯夷 #tse #葛萊分多 #拉姆 #涼森玲夢我愛妳",66.58,"{'0': '1072039038449619', '1': '777585475405566', '2': '1480649276814637', '3': '2449605332171835', '4': '25933859819567976'}",2025-01-09 05:37:17+08:00,2025-09-16 09:54:07+08:00,,Yes,MetaTool
2025-01-09 02:34:41+00:00,2025-09-16 01:54:13+00:00,Boy playmj,boyplaymj,1440416654164442,1440416654164442,10,1150.0,90787.0,"團隊綁定繼承😃要生大家都來生
#伯夷 #麻將 #麻雀 #嬰兒車 #greentom #yoyo",80.71,"{'0': '1072039038449619', '1': '812320981126456', '2': '750651627896229'}",2025-01-09 10:34:41+08:00,2025-09-16 09:54:13+08:00,,Yes,MetaTool
2025-01-09 13:49:14+00:00,2025-02-08 23:37:35+00:00,Boy playmj,boyplaymj,4290096107879664,4290096107879664,21,1465.0,138480.0,"瘋掉真的超美這牌尺🤣牌也可愛🐭
敲碗 @machill.tw 趕快再出新的SOU•SOU
拜ㄊ拜ㄊ
#伯夷 #麻將 #麻雀 #sousou #machill",85.63,{'0': '862312993533687'},2025-01-09 21:49:14+08:00,2025-02-09 07:37:35+08:00,,Yes,MetaTool
2025-01-10 03:12:06+00:00,2025-03-02 15:52:03+00:00,Boy playmj,boyplaymj,906315205338674,906315205338674,68,5309.0,890634.0,"米奇褲褲造型超調皮的啦🥳
這次年前在小七可以買得到
@beast_kingdom 出麻將還不買爆
#伯夷 #麻將 #麻雀 #迪士尼#Disney #DisneyStyleTW #DisneyStyl #米奇 #米奇與好朋友 
#MickeyandFriends #野獸國 #BeastKingdom #漫威 #marvel",59.88,"{'0': '1625959521895165', '1': '7200581929997622'}",2025-01-10 11:12:06+08:00,2025-03-02 23:52:03+08:00,,Yes,MetaTool
2025-01-10 11:01:08+00:00,2025-06-10 23:09:10+00:00,Boy playmj,boyplaymj,1815755929408438,1815755929408438,16,1725.0,134041.0,"可以上鎖🔒的麻將盒是怎🧐
漫威粉不能錯過 @beast_kingdom 出的麻將ㄅ
小七限時開賣中趕快帶回家
#伯夷 #麻將 #麻雀 #迪士尼#Disney #DisneyStyleTW #DisneyStyl #米奇 #米奇與好朋友 
#MickeyandFriends #野獸國 #BeastKingdom #漫威 #marvel",59.71,"{'0': '1625959521895165', '1': '7200581929997622'}",2025-01-10 19:01:08+08:00,2025-06-11 07:09:10+08:00,,Yes,MetaTool
2025-01-12 21:52:01+00:00,2025-02-08 23:37:35+00:00,Boy playmj,boyplaymj,1237557621226441,1237557621226441,16,977.0,97752.0,"天氣冷ㄌSML選手們都換成帽踢ㄅ😇😇😇
#伯夷 #麻將 #麻雀 #sml #玄武盃 #帽踢",60.0,"{'0': 'non_public_2186476428763060', '1': 'non_public_1169619255068346', '2': 'non_public_751076004513279', '3': 'non_public_1511697720511072', '4': 'non_public_1942808769944960', '5': '2449605332171835', '6': '944115138192592', '7': 'non_public_863383913393502', '8': '1574280747023872', '9': '1470092808160906', '10': '1699101834411583', '11': '1686411689398153', '12': '1894525524522258', '13': '793938667056583'}",2025-01-13 05:52:01+08:00,2025-02-09 07:37:35+08:00,,Yes,MetaTool
2025-01-13 10:21:30+00:00,2025-09-16 01:54:20+00:00,Boy playmj,boyplaymj,981250430900499,981250430900499,7,369.0,66947.0,"在家就能賣🧊還有制服全套一本裝
收也很方便超讚
#伯夷 #冰淇淋 #31冰淇淋",59.79,{'0': '1072039038449619'},2025-01-13 18:21:30+08:00,2025-09-16 09:54:20+08:00,,Yes,MetaTool
