creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-02-04 13:01:11+00:00,2025-04-30 21:45:10+00:00,許允樂,byleway,1397437644934812,1397437644934812,5,1752.0,195258.0,,247.93,,2025-02-04 21:01:11+08:00,2025-05-01 05:45:10+08:00,,Yes,MetaTool
2025-02-07 07:19:34+00:00,2025-02-14 08:14:19+00:00,許允樂,byleway,4262999700642372,4262999700642372,35,2518.0,292395.0,"🤔原來這個泡麵貓窩是這樣用的啊
我說怎麼回家這碗都掐豆在那邊😂🤣😂🤣

#我是一個小胖紙名字叫百威",57.37,,2025-02-07 15:19:34+08:00,2025-02-14 16:14:19+08:00,,Yes,MetaTool
2025-02-08 05:56:51+00:00,2026-01-15 00:08:42+00:00,許允樂,byleway,1654043806029499,1654043806029499,42,2262.0,393640.0,"出門前快速吃飽😊
不是超級厲害不要笑我
只是冰箱有什麼就拿來變點花樣
今天簡單營養午餐：燕麥 蛋 牛排 青菜🍚 🥚 🥩 🥬",29.87,,2025-02-08 13:56:51+08:00,2026-01-15 08:08:42+08:00,,Yes,MetaTool
2025-02-18 14:28:07+00:00,2025-02-20 15:28:12+00:00,許允樂,byleway,905558622341972,905558622341972,14,1575.0,244094.0,"怎麼有可能今日是 #兔樂拉 2025首次完整合體？
是要奪忙的！！！！這三個人！！！！！！

趁變臉表演空檔聊天➡️更新完畢就猛吃
又完全沒拍照，僅一個Boomerang謝謝😂",6.01,"{'0': '4190940484505960', '1': '916630113432257'}",2025-02-18 22:28:07+08:00,2025-02-20 23:28:12+08:00,,Yes,MetaTool
2025-02-19 04:56:56+00:00,2025-02-19 05:07:48+00:00,許允樂,byleway,3932664323709696,3932664323709696,15,1793.0,164723.0,,1899.25,,2025-02-19 12:56:56+08:00,2025-02-19 13:07:48+08:00,,Yes,MetaTool
2025-03-02 15:04:08+00:00,2025-04-16 07:13:19+00:00,許允樂,byleway,1959384318335647,1959384318335647,189,1430.0,308531.0,"@maybelline 
-直播底下記得留言留下最喜歡色號！有留言🎁
-也要記得曬出訂單編號！有曬單🎁

每年都介紹的媚比琳 #超持久水光鎖吻唇釉
終於又推出新色了💋 YAYA
安可拉裸紅色系（3色）+時尚教主（2色）
一抹時尚，輕鬆打造日常與派對高級唇色

酷辣x甜辣風格通通能選擇
啊我是按照慣例通通要包色

NEW安可拉裸紅色系：
#215 針織暖橘棕（主打色）：想要氣質想要顯白！！拜託選這支真的好美好喜歡！！
#220 毛呢磚酒紅（主打色）：想要一秒自帶氣場！！就要抹上這色～沈穩、高雅不得了！！
#230 煙燻皮革棕：：想要高級感upup！！必挑這支深棕紅完全不挑膚色還超級時尚！！

#235 甜辣教主（限定色）：百年不敗的紅棕色，甜甜辣辣氛圍感拉滿。
#240 酷辣女王（限定色）：帶粉色調的蕃茄紅，氣色極好！又酷又辣！
額外還有 #105微燻蜜柚：顏色太漂亮
之前只有寶雅通路有賣，這次通通買得到。
 
超百搭顏色！超親民價格：
必敗直播優惠組（請看精選）
#鎖吻棒 16H持久鎖吻 
鎖吻棒3步驟 tips
1搖鎖色：搖晃鎖吻棒5秒
2抹水光：輕抹於下唇中心，呈現水光唇妝效，後續可以暈染開變成緞面感
3不沾超持久

💋超顯色一筆遮色，深唇也不用擔心
💋超保濕科技修護不顯唇紋
💋相對市面唇釉清爽且不黏不染唇好卸除
💋水光/緞面妝效 自由切換
💋放心吃喝、放心接吻、口罩也不怕！

Momo 【媚比琳】38女王節優惠組合先給大家
📣超持久水光鎖吻唇釉2入組+贈眼唇卸40mlx2+24格透明口紅架：特惠價 $699 
📣超持久水光鎖吻唇釉3入團購組【小樂直播獨家!】+贈眼唇卸40mlx3，特惠價 $999（一支只要$333）更扯的是這組3/2再送100mo幣耶 (3/2一日限定)！等於一支300元!

最近眼線液如果要飽和酷甜就選熱賣經典的 
#絕不斷線小黑霸  #極致黑 或 #皮革棕
如果想要勾勒溫柔眼神就選新的 #冷萃灰棕 或 #冷萃裸棕
36H極抗暈、超激細、更顯色、更持久
無論手殘、手抖或任何場合，新手也可以輕易上手
📣36H極限持久激細抗暈眼線液(2入組)，直接送你一支正貨小黑霸眼線皮革棕，等於買2送1的意思！特惠價$609
 
全館優惠，只要買媚比琳產品就可以享以下優惠：
3/3前滿$838贈babylip正貨護唇
3/12前滿$799折138（3入獨家組合不列入此優惠）
 
#媚比琳 #超持久水光鎖吻唇釉 #NEW安可拉裸紅 #NO1鎖吻棒 #1搖鎖色不沾 #2抹顯色水光
#絕不斷線小黑霸 #滑順400M零斷點 #36H極抗暈

看完直播請留言，留言🎁鎖吻棒新色（隨機色）
看完直播下單完畢請於3/4中午12點留言曬單
曬單🎁媚比琳大禮包哦（聽說很強！！！）
留言會公布三位幸運兒
曬單會公布三位幸運兒",3703.41,{'0': '678875441085457'},2025-03-02 23:04:08+08:00,2025-04-16 15:13:19+08:00,,Yes,MetaTool
2025-03-21 09:48:24+00:00,2025-03-23 10:58:31+00:00,許允樂,byleway,2612959509087300,2612959509087300,30,3578.0,403261.0,"把三明治變酥脆更好吃！！

有時候早上來不及（或工作前小點心
就煎一顆蛋+咖啡+一根香蕉+一個三明治
🥪買洪瑞珍的滿漢，185度單面4分鐘！",20.47,{'0': '1705717190464135'},2025-03-21 17:48:24+08:00,2025-03-23 18:58:31+08:00,,Yes,MetaTool
2025-04-18 04:27:08+00:00,2025-05-29 18:33:16+00:00,許允樂,byleway,25224935317180640,25224935317180637,64,4035.0,344709.0,"🎂 最大的蛋糕 

Photographer |  @umostudio_tw @shang.chou.tw 
video l  @umostudio_tw @ixxiii.film @rickysohandsome 
Make up | @ginger_make_up
Dress |  @gingercbridal
decoration l @tigerWedding
Site l @BINMAAREA_134",37.92,"{'0': '912544197512872', '1': '1829777224289216', '2': '1505005618291562', '3': '892599240041453', '4': '1203030658691884'}",2025-04-18 12:27:08+08:00,2025-05-30 02:33:16+08:00,,Yes,MetaTool
2025-05-06 13:17:30+00:00,2025-05-25 23:59:32+00:00,許允樂,byleway,900435926031192,900435926031192,13,2816.0,197531.0,🫶🏻,4334.8,,2025-05-06 21:17:30+08:00,2025-05-26 07:59:32+08:00,,Yes,MetaTool
2025-06-02 05:35:58+00:00,2025-06-02 12:26:02+00:00,許允樂,byleway,1246600647425709,1246600647425709,80,5430.0,407567.0,🧜🏻‍♀️,13.37,,2025-06-02 13:35:58+08:00,2025-06-02 20:26:02+08:00,,Yes,MetaTool
