creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-02 08:53:53+00:00,2025-04-28 06:07:49+00:00,連環泡有芒果,corgimango,1224640736517992,1224640736517992,13,3812.0,57027.0,這種天氣好適合爛爛的躺著💤,24.54,,2025-01-02 16:53:53+08:00,2025-04-28 14:07:49+08:00,,Yes,MetaTool
2025-01-06 06:37:58+00:00,2025-02-13 23:27:06+00:00,連環泡有芒果,corgimango,1344040634197819,1344040634197819,11,2769.0,54394.0,多多是自律的孩子，十年多來從不間斷每天都要運動💪🏻不愧是站上中華職棒開球過の男兒🎾,24.7,,2025-01-06 14:37:58+08:00,2025-02-14 07:27:06+08:00,,Yes,MetaTool
2025-01-08 08:50:46+00:00,2025-02-13 23:27:06+00:00,連環泡有芒果,corgimango,1429620715287702,1429620715287702,9,4520.0,83692.0,繼承爸爸專業「喊飯」精神の林金大👍🏻,48.97,,2025-01-08 16:50:46+08:00,2025-02-14 07:27:06+08:00,,Yes,MetaTool
2025-01-10 09:13:22+00:00,2025-02-13 23:27:06+00:00,連環泡有芒果,corgimango,894220033583592,894220033583592,5,2818.0,53199.0,不管什麼天氣，都馬要滾一下才爽啊,46.67,,2025-01-10 17:13:22+08:00,2025-02-14 07:27:06+08:00,,Yes,MetaTool
2025-01-11 06:13:10+00:00,2025-02-13 23:27:06+00:00,連環泡有芒果,corgimango,1864813734149520,1864813734149520,0,26.0,1004.0,那個極品的屁股😍,40.77,,2025-01-11 14:13:10+08:00,2025-02-14 07:27:06+08:00,,Yes,MetaTool
2025-01-15 07:50:41+00:00,2025-04-08 01:28:18+00:00,連環泡有芒果,corgimango,25645985191750952,25645985191750951,7,1918.0,55082.0,短腿視角🍗,60.57,,2025-01-15 15:50:41+08:00,2025-04-08 09:28:18+08:00,,Yes,MetaTool
2025-01-16 11:26:17+00:00,2025-02-13 23:27:06+00:00,連環泡有芒果,corgimango,26175817928749500,26175817928749499,18,3756.0,78285.0,今天意外發現大大的新玩法😂,39.3,,2025-01-16 19:26:17+08:00,2025-02-14 07:27:06+08:00,,Yes,MetaTool
2025-01-23 09:09:34+00:00,2025-05-03 04:35:44+00:00,連環泡有芒果,corgimango,1910103383711609,1910103383711609,10,5626.0,121125.0,這兩天地震清理家裡，他們兄弟倆也變成黑豬仔🐽，明天媽媽再給妳們洗香香，今天先刮豬毛🐷,18.7,,2025-01-23 17:09:34+08:00,2025-05-03 12:35:44+08:00,,Yes,MetaTool
2025-01-25 02:31:41+00:00,2025-02-13 23:27:06+00:00,連環泡有芒果,corgimango,1907547183232577,1907547183232577,14,6461.0,137274.0,"從以前到現在，關於爭取東西這件事
都是酒酒在為他與兒子們處理的。

而當他離開後，多多就代替了酒酒
成為了與我們溝通的話事人👍🏻

至於大大，除了用咻息之類的怪招鬧他他會吠叫外
其他時候他都是：「？？？」",54.54,,2025-01-25 10:31:41+08:00,2025-02-14 07:27:06+08:00,,Yes,MetaTool
2025-01-27 02:55:26+00:00,2025-02-13 23:27:06+00:00,連環泡有芒果,corgimango,925733473261283,925733473261283,8,2861.0,77373.0,天氣越來越冷了，地震又搖不停。這兩隻臭豬仔前幾天剛洗完澡，今天又變髒了…,57.66,,2025-01-27 10:55:26+08:00,2025-02-14 07:27:06+08:00,,Yes,MetaTool
2025-01-28 07:48:59+00:00,2025-02-13 23:27:06+00:00,連環泡有芒果,corgimango,1122528839947984,1122528839947984,12,4076.0,75427.0,過年爽❤️新年快樂🎉,54.53,,2025-01-28 15:48:59+08:00,2025-02-14 07:27:06+08:00,,Yes,MetaTool
2025-02-03 09:01:18+00:00,2025-02-13 23:27:06+00:00,連環泡有芒果,corgimango,1617561909376526,1617561909376526,4,3150.0,64032.0,天氣變冷；但澆不息全糖大大の熱情🔥,37.97,,2025-02-03 17:01:18+08:00,2025-02-14 07:27:06+08:00,,Yes,MetaTool
2025-02-04 08:06:30+00:00,2025-02-13 23:27:06+00:00,連環泡有芒果,corgimango,2126789908073000,2126789908073000,22,3960.0,85766.0,每到天氣變冷，我都會想，不知道他們還記不記得「咬爸爸」,44.83,,2025-02-04 16:06:30+08:00,2025-02-14 07:27:06+08:00,,Yes,MetaTool
2025-02-07 09:05:35+00:00,2025-02-13 23:27:06+00:00,連環泡有芒果,corgimango,955041010519140,955041010519140,11,3662.0,76795.0,"林媽媽自己種的菜+水煮雞胸肉
他們兩位現在每天最期待的晚餐😂

#多多一依然堅持等大大吃完才要吃
#大大依然跟酒酒一樣深情的等晚餐",59.87,,2025-02-07 17:05:35+08:00,2025-02-14 07:27:06+08:00,,Yes,MetaTool
2025-02-12 12:08:35+00:00,2025-02-13 23:27:06+00:00,連環泡有芒果,corgimango,1596269558274302,1596269558274302,9,3666.0,81064.0,一興奮就要咬一下❤️今天開始下雨，等雨停了，預計他們倆的味道應該會更離奇…🤢,29.6,,2025-02-12 20:08:35+08:00,2025-02-14 07:27:06+08:00,,Yes,MetaTool
