creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-02 11:42:34+00:00,2025-03-28 16:29:32+00:00,方昶詠,cyfang58,1616188999286592,1616188999286592,19,2311.0,222132.0,"老婆⋯你辛苦了！
所有的生命都得來不易！
#試管嬰兒
#豹子腿方昶詠",39.33,{'0': '2132723480890805'},2025-01-02 19:42:34+08:00,2025-03-29 00:29:32+08:00,DEUlsK0SIV2,Yes,Instaloader
2025-01-04 10:04:32+00:00,2026-01-22 03:37:50+00:00,方昶詠,cyfang58,3824039441236636,3824039441236636,115,41016.0,1697330.0,"笑爛，打一輩子棒球沒打T揮空過
今天第一次
手超抖
一軍比賽都沒這麼緊張
當時的我緊張慘了

#豹子腿方昶詠
#性別趴
#試管嬰兒",12.8,{'0': '2132723480890805'},2025-01-04 18:04:32+08:00,2026-01-22 11:37:50+08:00,DEZjtaqS-eA,Yes,Instaloader
2025-01-05 04:59:54+00:00,2026-01-22 03:36:58+00:00,方昶詠,cyfang58,1305383461646543,1305383461646543,81,25832.0,685448.0,"完美的黃金90度！
#豹子腿方昶詠
#棒球 
#試管嬰兒
#豹寶
#小豹",11.53,{'0': '2132723480890805'},2025-01-05 12:59:54+08:00,2026-01-22 11:36:58+08:00,DEbmgeHSfYb,Yes,Instaloader
2025-02-04 10:01:46+00:00,2025-10-22 15:42:24+00:00,方昶詠,cyfang58,1257464485849492,1257464485849492,3,1097.0,54267.0,我終於改裝特斯拉了！#特斯拉 #卡特王 #汽車,73.7,{'0': '1349661543131247'},2025-02-04 18:01:46+08:00,2025-10-22 23:42:24+08:00,DFpZMwGyhNA,Yes,Instaloader
2025-02-09 09:31:34+00:00,2025-02-13 04:02:41+00:00,方昶詠,cyfang58,905951678710149,905951678710149,3,1047.0,50148.0,"加拿大楓木壘球棒！
開賣！#棒球 #壘球  #壘球棒
#豹子腿方昶詠",29.8,,2025-02-09 17:31:34+08:00,2025-02-13 12:02:41+08:00,DF2NuoXSUWK,Yes,Instaloader
2025-02-16 06:13:18+00:00,2025-03-09 00:37:24+00:00,方昶詠,cyfang58,985939890447452,985939890447452,15,1413.0,57567.0,"經典賽資格賽首戰先發名單預測
#經典賽
#資格賽
#棒球",46.35,,2025-02-16 14:13:18+08:00,2025-03-09 08:37:24+08:00,DGH4eL7yHGx,Yes,Instaloader
2025-02-17 07:58:15+00:00,2025-02-17 08:38:21+00:00,方昶詠,cyfang58,1987028115554124,1987028115554124,6,1104.0,56356.0,"（偷拍視角）
我家這孕婦剛剛突然開窗
做了不知道是什麼儀式
#孕婦
#懷孕
#試管嬰兒 
#豹子腿方昶詠",60.02,{'0': '2132723480890805'},2025-02-17 15:58:15+08:00,2025-02-17 16:38:21+08:00,DGKpYFrSIko,Yes,Instaloader
2025-02-22 09:49:51+00:00,2025-02-22 11:09:56+00:00,方昶詠,cyfang58,2089200101921314,2089200101921314,5,1465.0,62492.0,"不負責任預測
#豹子腿方昶詠 
#棒球 
#wbcq
#資格賽",49.95,,2025-02-22 17:49:51+08:00,2025-02-22 19:09:56+08:00,DGXuDjFy-l8,Yes,Instaloader
2025-02-27 13:22:21+00:00,2025-04-29 08:05:37+00:00,方昶詠,cyfang58,26247604191540968,26247604191540971,8,974.0,50598.0,"歡迎大家試試看
百發百中
喜歡我在放續集😆
#豹子腿方昶詠 
#豹嫂",18.33,{'0': '2132723480890805'},2025-02-27 21:22:21+08:00,2025-04-29 16:05:37+08:00,DGk-ciMSn3y,Yes,Instaloader
2025-03-01 03:05:30+00:00,2025-03-01 03:55:35+00:00,方昶詠,cyfang58,1671196770544841,1671196770544841,5,455.0,38696.0,"續集⋯⋯
#豹子腿方昶詠 
#家庭
#老婆
#夫妻",20.3,{'0': '2132723480890805'},2025-03-01 11:05:30+08:00,2025-03-01 11:55:35+08:00,DGpBfS7S4XC,Yes,Instaloader
