creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-02 12:35:54+00:00,2026-01-10 09:40:53+00:00,YING 林岱縈,daiying0,2292732861211538,2292732861211538,109,4324.0,250042.0,"2024 bye and thank you.
謝謝各大廠商愛戴，謝謝許多媒體朋友關照，謝謝縈河系相隨，謝謝親友陪伴，謝謝一路幫助我的人，謝謝自己勇敢。

2024是個非常有意義的一年，我不只是啦啦隊，我還…

成為紅心字會公益大使
參與很多大大小小的公益活動
登上許多新聞版面和報章雜誌
完成了人生首場個人演唱會
掉了很多眼淚
也讓很多遺憾不再那麼悲傷

第二年代言 @motionjet.collection 
發表了自己設計的聯名球衣
也是第二年在香港拍攝品牌 @instanamigirl 
並辦了《岱我走》港澳限定寫真發表記者會和簽名會

主演《回憶暫存事務所》影集殺青
為微風之夜走秀
拍了三支廣告
去了飛碟、中廣電台和時事論壇節目
解鎖校園演講和演唱
在宮崎交流賽、東京巨蛋表演
還當了日本地下偶像

另外
我買了第一幅畫
外甥大班畢業
和體重機絕交中
喜歡金秀賢和邊佑錫

2025 繼續加油：）

#2024bye #happynewyear",14.6,,2025-01-02 20:35:54+08:00,2026-01-10 17:40:53+08:00,DEUssSiSacI,Yes,Instaloader
2025-01-05 14:34:07+00:00,2025-02-15 03:41:19+00:00,YING 林岱縈,daiying0,1950726302145091,1950726302145091,58,4012.0,111777.0,"🔓yeah!!! 舉冠軍獎盃解鎖～～～（？
冠軍之路特展，大家也快去朝聖🏆✨✨

#冠軍之路 #behindthechampion #世界都看見 
#林岱縈",59.19,"{'0': '2122637058173511', '1': '1109184010871757'}",2025-01-05 22:34:07+08:00,2025-02-15 11:41:19+08:00,DEcoVeeSbw-,Yes,Instaloader
2025-01-07 05:51:45+00:00,2026-02-18 15:17:00+00:00,YING 林岱縈,daiying0,927460339793293,927460339793293,72,2441.0,83395.0,"不知道麗珠蘭在紅什麼，我也去體驗了
還不小心一起做了其他的項目，真的好值得好划算！
我在韓國江南詩麗雅變漂亮✨

看完影片的你也心動了嗎？
趕快儲存影片，日後好安排
記得需提前兩週預約喔

#xeniaclinic #詩麗雅 #江南詩麗雅 #皮膚管理 #韓國皮膚科 #美容情報 #韓國醫美 #麗珠蘭 #首爾",44.3,{'0': 'non_public_876078035199004'},2025-01-07 13:51:45+08:00,2026-02-18 23:17:00+08:00,DEg2O7KSfG5,Yes,Instaloader
2025-01-25 10:41:35+00:00,2025-09-05 07:30:06+00:00,YING 林岱縈,daiying0,950318817325472,950318817325472,131,3634.0,102833.0,我懷疑，手機有怎樣的主人，也會有怎樣的 #chatgpt,57.31,,2025-01-25 18:41:35+08:00,2025-09-05 15:30:06+08:00,DFPtjAVyDnI,Yes,Instaloader
2025-02-20 10:51:15+00:00,2025-06-05 16:05:46+00:00,YING 林岱縈,daiying0,1395656118281330,1395656118281330,92,6311.0,137424.0,"久違的石垣球場🏟️

#オドロッテ #岱縈 #小鹿
#小鹿林岱縈 #啦啦隊 #rakutengirls",50.0,"{'0': '1249907037098951', '1': 'non_public_785033460624458'}",2025-02-20 18:51:15+08:00,2025-06-06 00:05:46+08:00,DGSrPymyr9J,Yes,Instaloader
2025-03-04 18:11:25+00:00,2025-07-09 14:40:29+00:00,YING 林岱縈,daiying0,914529788186614,914529788186614,172,5432.0,124223.0,"晚安😴

#goodnight #睡 #zzz
#岱縈 #小鹿",8.8,,2025-03-05 02:11:25+08:00,2025-07-09 22:40:29+08:00,DGyXL3VyAuI,Yes,Instaloader
2025-03-14 09:20:45+00:00,2025-11-21 11:59:43+00:00,YING 林岱縈,daiying0,868317792682130,868317792682130,139,4213.0,83997.0,"🗻🌞
爬了398階變魔術給你們看😆

#富士山 #忠靈塔 #ふじさん",4.07,,2025-03-14 17:20:45+08:00,2025-11-21 19:59:43+08:00,DHLKfT2y_q_,Yes,Instaloader
2025-03-15 14:25:34+00:00,2025-07-03 16:44:39+00:00,YING 林岱縈,daiying0,4368236870129907,4368236870129907,217,11203.0,237163.0,"頭髮不知不覺又留好長了😳

#岱縈 #小鹿 #whiplash #aespa",26.83,,2025-03-15 22:25:34+08:00,2025-07-04 00:44:39+08:00,DHOR0dpS2tw,Yes,Instaloader
2025-03-21 12:50:48+00:00,2025-12-01 01:59:20+00:00,YING 林岱縈,daiying0,1426811839456742,1426811839456742,134,11308.0,354047.0,"默契穿搭，我們的第一次合拍🖤🤍

#rina #謝艾娜 #岱縈 #小鹿 #jisoo #earthquake",16.14,{'0': '802275298656293'},2025-03-21 20:50:48+08:00,2025-12-01 09:59:20+08:00,DHdjcq3yTfO,Yes,Instaloader
2025-04-01 10:56:22+00:00,2025-10-02 04:57:18+00:00,YING 林岱縈,daiying0,918934663841423,918934663841423,120,2521.0,112198.0,"經過深思熟慮，我們決定
再公開放閃一次😎

📹@l.t.s.76 ：「欸欸欸怎麼有這個橋段？！你真的會被沙s～」

#有ng片段 
#愛心裂了但笑到合不攏嘴 ？
#愚人節快樂 
#兆群 #岱縈 #sayoh",33.3,{'0': '403712299031750'},2025-04-01 18:56:22+08:00,2025-10-02 12:57:18+08:00,DH5qq9_Skb4,Yes,Instaloader
