creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-03 09:16:00+00:00,2025-02-08 21:03:39+00:00,♡           🍒紀卜心☺︎,eatzzz7,1419151846574835,1419151846574835,42,5918.0,482307.0,"新年新希望🐍蛇來運轉🐍喜蛇臨門🧨
必須要有 #嬌蘭蛇舞金春限定版 加持！

嬌蘭為蛇年製作蛇舞金春限定彩妝
以蛇鱗為靈感 象徵蛇年黃金瑞光 鴻運蛻變
為我們的新年銀來財富與幸運

蛇年開光跟著我一起畫蛇添福吧🫶🏻
首先用“24K妝前小奶管”打底 先幫自己的肌膚開光✨
好命光先養起來了 那前途一面光明啦😆

再用 24K純金絲光氣墊粉餅 還你完美無瑕的好命肌 
氣墊粉裡添加了24K金 不僅能滋養肌膚還能保濕一整天
新的一年不能有暗沉的時候 必須好命發光24H呀

最重要的就是 擦上 #紅寶之吻高訂唇膏 
蛇舞金春限定版的限定色 N°669 金運紅 
大理石花紋的唇膏 細節控一定會愛 肯定捨不得擦
豔麗飽和的紅色一上唇 畫蛇點睛 
沖太歲還是犯太歲都不擔心 好命感立馬爆棚

蛇舞金春限定版肯定有美美限量的唇膏與氣墊粉餅彩殼
由金色與紅色交織而成的奢華蛇紋 
絕美奢華中帶著蛇年的全新氣象
象徵著源源不絕的財富與幸運
這麼招財喜氣必須收錄今年必買彩妝名單裡

我的開運小撇步你們學會了嗎？
還沒學會快點跟上
在這也先跟大家拜個早年 
祝大家 嘶嘶如意 好蛇成雙 2025蛇麼都好🐍🧨
跟著我的開運小撇步一起開啟2025蛇年的好命年吧！

#Guerlaintw",52.61,,2025-01-03 17:16:00+08:00,2025-02-09 05:03:39+08:00,DEW6XXaPILI,Yes,Instaloader
2025-01-14 11:56:52+00:00,2025-05-29 15:31:38+00:00,♡           🍒紀卜心☺︎,eatzzz7,4018385351803928,4018385351803928,35,5000.0,513372.0,"淚溝、法令紋、面中等凹陷真的會顯老態
雖然不能完全讓它消失，但可以透過化妝技巧來改善😆
@moody.morandi 新品 #超霧感提亮高光 真的很好用
使用技巧也很簡單 一拍打造精緻的澎潤感！！",83.88,{'0': '928187389349746'},2025-01-14 19:56:52+08:00,2025-05-29 23:31:38+08:00,DEzhi4fvyEY,Yes,Instaloader
2025-01-15 09:26:13+00:00,2025-02-08 21:03:39+00:00,♡           🍒紀卜心☺︎,eatzzz7,1282420053743811,1282420053743811,59,12552.0,1040087.0,"又是開心的逛店時間😆😆
新年就是要穿新衣！在台灣也可以這麽好買
50PERCENT這間寶藏店必須推薦給大家
會跟我一樣失心瘋👏🏻

這次影片分享了三套穿搭單品～每一樣都很實穿
店內款式超多各種風格都有 
重點是價格也很甜 還有全館買三送一😱是不是不逛不行！

神年新衣在50PERCENT一次搞定
現在全館買三送一 超級划算
全省門市同步優惠販售中
快趁過年前把全家大小都帶來逛一波🧨

順便跟我分享你們喜歡哪一樣單品呢？趕快留言告訴我吧

#全省門市買3送1
#50PERCENT",68.1,{'0': '1184674916989124'},2025-01-15 17:26:13+08:00,2025-02-09 05:03:39+08:00,DE11R-JPHHk,Yes,Instaloader
2025-01-19 06:24:58+00:00,2025-02-08 21:03:39+00:00,♡           🍒紀卜心☺︎,eatzzz7,890739390478489,890739390478489,25,4659.0,590671.0,"分享手指粉撲多種用法🩵用的就是 @moody.morandi 漢頓聯名手指粉撲(6入)
可以乾濕兩用
濕的用在液態彩妝
乾的就用粉類彩妝
經典的水滴造型、手指大小，讓使用時更加靈活 上妝零死角
還貼心附贈收納盒！保存更乾淨又方便
這麼可愛又實用一定要入手的啊～～",80.97,{'0': '928187389349746'},2025-01-19 14:24:58+08:00,2025-02-09 05:03:39+08:00,DE_znhQPymw,Yes,Instaloader
2025-02-01 10:03:15+00:00,2025-04-30 09:03:23+00:00,♡           🍒紀卜心☺︎,eatzzz7,1305320861407748,1305320861407748,41,6690.0,772273.0,"想逗金牛座的女生歡心 #莓那麼簡單 🤔

身為金牛座的我要來打破這個謠言～
沒有什麼甜點不能讓金牛座女孩開心的！
如果不能 那就加個草莓吧🍓

7-ELEVEN 一年一度草莓季開始啦📣🎉
今年 #莓那麼簡單草莓季 的品項一樣沒讓人失望
不只品項多也很好吃
身為草莓控必須吃爆呀

💫草莓奶油雙色可頌🥐
不只外表長得超Ｑ很好拍
內餡紐西蘭奶油加上酸甜草莓醬 真的絕配～

💫LADEARS草莓法式千層🍰 
千層控＋草莓  酸甜好滋味
在7-ELEVEN能吃到這個千層真是有點水準😍

💫草莓乳酪歐式麵包🥖
草莓乾內餡乳酪好搭，可以放進烤箱烤一烤口感更棒

💫三得利微醉雞尾酒🍸
草莓聖代風味加上微微氣泡  真的喝了搖～曳 超chill

除了麵包外還有零食 糖果
莓到日本也能吃到的 #黑雷神巧克力
還有莓一口都是草莓 #BOURBON 草莓
草莓控真的會發芬

除了影片介紹這幾款還有超多口味沒介紹到
像是草莓口味的可口可樂、草莓燒酒……超過40款真的超多

這次還有吉伊卡哇吊飾＆超萌卡通絨毛娃娃滿足滿滿少女心
👉🏻2/5 上午11:00限量預購

📢7-ELEVEN 莓‧那麼簡單✨🍓
2/5-3/4只要挑選指定零食糖果 兩件8折/三件77折
快到7-ELEVEN，品嚐專屬你的甜蜜草莓時光吧！

#7ELEVEN  #草莓季 #莓那麼簡單

@7eleventw",65.27,{'0': '1531516694409268'},2025-02-01 18:03:15+08:00,2025-04-30 17:03:23+08:00,DFhq0cMvx4i,Yes,Instaloader
2025-02-20 04:30:55+00:00,2025-07-20 13:13:44+00:00,♡           🍒紀卜心☺︎,eatzzz7,1453702062979844,1453702062979844,28,7732.0,551128.0,"🇰🇷每次經過弘大插畫店都很想畫  這次總算實現了！
我是平日下午去現場人不算多
而且畫畫速度很快 成品超級滿意😍😍😍
現在很流行的人生四格漫畫真的必畫！！

第一間中文店名:橡子漫画
📍서울마포구동교로38길201층

第二間就在旁邊 店名: <redacted_mention> 
主要畫肖像 我覺得這間可以兩三個好友一起畫會比較豐富可愛，也可以畫寵物🐶🐱

這兩間我都沒特別跟繪畫師溝通畫什麼 都讓他們自由發揮
如果有想畫的元素可以跟他們說～～

#seoul#弘大#人生四格",48.65,,2025-02-20 12:30:55+08:00,2025-07-20 21:13:44+08:00,DGR-gsvPqhs,Yes,Instaloader
2025-02-21 09:59:12+00:00,2025-02-25 10:39:17+00:00,♡           🍒紀卜心☺︎,eatzzz7,1212961417232137,1212961417232137,20,6168.0,536892.0,"🇰🇷不專業美食日記
稍微分享一下四間韓國餐廳😋😋

1.弘大的蒜頭辣雞湯（實在不知道店名 店面長得就是影片中那樣）
📍麻浦區延南洞390-35

2.聖水洞烤肉店 안목 수비드목살구이
📍서울 성동구 성수동1가 13-209
營業時間週一-週六上午11點到晚上十點

3.新村 生牛肉拌飯단골손님 신촌점
📍서울 서대문구 연세로7길 20 2층

4.明洞河東館牛肉湯飯
📍서울중구명동9길12

分享給要去首爾旅遊的朋朋 
💡要去吃之前建議上網再看一下餐廳名地址或營業時間噢！有時候我上網查到想吃的餐廳到了才發現可能公休或已經倒閉🙂‍↔️",97.33,,2025-02-21 17:59:12+08:00,2025-02-25 18:39:17+08:00,DGVJ-sJPVWi,Yes,Instaloader
2025-02-26 12:24:37+00:00,2025-07-01 03:03:02+00:00,♡           🍒紀卜心☺︎,eatzzz7,1237842871205898,1237842871205898,94,9966.0,681684.0,"@kk_258 的改造作品 你們給幾分？
我給💯🤩",116.7,{'0': '635800002458698'},2025-02-26 20:24:37+08:00,2025-07-01 11:03:02+08:00,DGiSWsLvZVf,Yes,Instaloader
2025-03-11 13:43:34+00:00,2025-06-12 05:49:56+00:00,♡           🍒紀卜心☺︎,eatzzz7,1247231984172960,1247231984172960,48,9444.0,565810.0,"分享本趟最喜歡的戰利品🪐超能裝

@viviennewestwoodjapan",36.99,{'0': '1294253552361572'},2025-03-11 21:43:34+08:00,2025-06-12 13:49:56+08:00,DHD6HhKP2yY,Yes,Instaloader
2025-03-13 06:09:47+00:00,2025-08-04 07:22:24+00:00,♡           🍒紀卜心☺︎,eatzzz7,2118254092047709,2118254092047709,89,13215.0,743039.0,✋🏻,9.31,,2025-03-13 14:09:47+08:00,2025-08-04 15:22:24+08:00,DHIQEjJPU0f,Yes,Instaloader
2025-03-16 14:22:42+00:00,2025-04-26 01:39:23+00:00,♡           🍒紀卜心☺︎,eatzzz7,1578992653325580,1578992653325580,27,8179.0,623609.0,"上次去🇯🇵 每天必逛超商～～
發現全家有跟雷神巧克力推出一系列聯名甜點
身為螞蟻人馬上買來開箱😃
這些品項吃起來的共同點就是有雷神巧克力經典酥脆的巧克力餅乾 
第一名頒給泡芙跟長條型的雙層酥脆餅乾夾心 很讚！！泡芙內餡很滿很有誠意欸👍👍
趕快分享給有去日本旅遊的朋朋可以試一下

*其實還有聯名兩個冰品但我吃不下啦而且在戶外怕融化就沒買來開箱了 歡迎有吃到的跟我分享口感🤎
#ブラックサンダー",84.98,,2025-03-16 22:22:42+08:00,2025-04-26 09:39:23+08:00,DHQ23DmP8Go,Yes,Instaloader
2025-03-18 12:14:49+00:00,2025-03-19 01:14:53+00:00,♡           🍒紀卜心☺︎,eatzzz7,1910490229597747,1910490229597747,18,3192.0,205873.0,"去日本一定要扭扭蛋的吧
記得最想要的要說最不想要🤣🤣🤣

東京池袋扭蛋店 現場真的有上百台扭蛋機 
我在這待了兩個多小時🫢
快分享給要去🇯🇵旅遊的朋朋
📍〒170-8630 东京都丰岛区东池袋3-1-3
Sunshine City 世界進口商場大樓3F

#扭蛋",87.51,,2025-03-18 20:14:49+08:00,2025-03-19 09:14:53+08:00,DHVxWqaPcaP,Yes,Instaloader
2025-03-22 12:57:08+00:00,2025-06-05 06:43:01+00:00,♡           🍒紀卜心☺︎,eatzzz7,1462587751957647,1462587751957647,76,17507.0,856668.0,"聽說現在要這樣炫美甲？

@angelanails_",5.7,{'0': '1462506025246072'},2025-03-22 20:57:08+08:00,2025-06-05 14:43:01+08:00,DHgJ1oFvWL3,Yes,Instaloader
