creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-01 05:01:07+00:00,2025-02-11 08:37:45+00:00,厭世甜點店,energydessert2019,914645714479788,914645714479788,3,819.0,57975.0,"這招學起來，一年四季都能做草莓甜點？超酥脆的草莓棒棒泡芙！

拿拿摳教你用凍乾草莓做草莓甜點
再也不擔心買不到草莓，做出來滋味更濃郁！

草莓棒棒泡芙材料表
草莓卡士達內餡:真甘純草莓60g/牛奶A 300g/蛋黃3顆/砂糖135g/牛奶B 240g/低筋麵粉24g/玉米粉18g/檸檬汁20g/無鹽奶油30g

泡芙體:牛奶100g/常溫水100g/鹽巴4g/砂糖4g/無鹽奶油92g/中筋麵粉110g/全蛋液200g
蛋白霜:蛋白30g/糖粉30g/杏仁碎粒70g
烤箱180度烤15分，轉170度再烤25分 

草莓巧克力淋醬:甜心草莓25g/白巧克力80g
裝飾:開心果些許/甜心草莓切片些許/檸檬皮些許

即日起到2025/2/9為止，
義美生機官網輸入厭世甜點店專屬折扣碼：Dessert100
即享買千折百！
快來和拿拿摳一起做草莓棒棒泡芙： https://goingto.tw/ycDLw

🛒實體通路：好市多、全聯、全家、家樂福、寶雅、義美門市、屈臣氏、大樹、杏一
🔗線上通路：義美生機官網、義美食品線上購官網、momo、PChome
*實際販售品項及規格依通路而異
#義美生機 #凍乾草莓 #甜心草莓 #甜心草莓片 #真甘純草莓 #草莓料理 #草莓 #果乾 #草莓泡芙 #草莓甜點",69.48,"{'0': '1443165980497957', '1': '900017765202427'}",2025-01-01 13:01:07+08:00,2025-02-11 16:37:45+08:00,DERT0_RsEzB,Yes,Instaloader
2025-01-06 08:45:02+00:00,2025-02-11 08:37:45+00:00,厭世甜點店,energydessert2019,1604745184059257,1604745184059257,21,1233.0,62014.0,"再這樣下去，內用規定要寫成書啦～～～
「甜點創業534」ep13

完整系列點這裡 @linevoomtw x 厭世甜點店專區！
https://lin.ee/46mf3OK/kurk/energydessert

也歡迎大家投稿店內遇到的趣事唷❤️

#厭世甜點店 #奧客系列 #甜點創業543",58.21,"{'0': '4384123938484340', '1': '900017765202427', '2': '1808259376504650'}",2025-01-06 16:45:02+08:00,2025-02-11 16:37:45+08:00,DEelPyhzRI2,Yes,Instaloader
2025-01-08 02:01:41+00:00,2025-02-11 08:37:45+00:00,厭世甜點店,energydessert2019,2323872214775041,2323872214775041,7,914.0,49040.0,"第一次被要求在黑暗中開箱
是什麼東西讓拿拿摳不禁大喊:究極の美味！

哈根達斯的經典人氣口味「夏威夷果仁」
冰淇淋綿密口感包覆著口腔，酥脆堅果的香味在舌尖炸開
每一口都吃得到大顆飽滿又真材實料的夏威夷果仁，超有層次的享受
這個拿拿摳一次可以吃兩個迷你杯

除了夏威夷果仁口味還有「淇淋巧酥」系列
脆脆巧克力外皮配上大塊可可雪糕，超有口感～
還有比較少見的「開心果」口味 
開心果獨特又迷人的香氣，看到一定要買來試！

原來當人的視覺被關閉，其他感官就會變得更敏銳是真的！
你也想來場「無光饗宴」？
現在到各大便利商店、量販店與哈根達斯門市
來一組哈根達斯愉悅口感系列吧

#哈根達斯愉悅口感系列  #愉悅口感放縱享受
@haagendazstw",51.81,{'0': '1277326786706387'},2025-01-08 10:01:41+08:00,2025-02-11 16:37:45+08:00,DEjA4QbsGqE,Yes,Instaloader
2025-01-09 13:53:00+00:00,2025-02-11 08:37:45+00:00,厭世甜點店,energydessert2019,1222888890041086,1222888890041086,8,1503.0,97296.0,日本珍奶行不行？,45.33,,2025-01-09 21:53:00+08:00,2025-02-11 16:37:45+08:00,DEm3CTgTs8V,Yes,Instaloader
2025-01-13 02:50:30+00:00,2025-04-30 01:47:37+00:00,厭世甜點店,energydessert2019,940894788412352,940894788412352,27,1735.0,110155.0,"珍煮丹居然把布蕾加到飲料裡?

珍煮丹不雷系列新品全都加入了布蕾
口感細膩滑順的布蕾讓整杯飲料變得更有層次了
添加布蕾的紅茶拿鐵，茶乳交融，奶味提升一個檔次
招牌的黑糖珍珠鮮奶搭配布蕾絲滑口感，層次豐富又不膩口
一定要幫它取個響噹噹的名字！

1/13 珍煮丹全台不雷上市
一起喝不雷 不雷不雷 雷不雷

點擊下方連結看更多
https://lin.ee/HWjscYo",51.99,,2025-01-13 10:50:30+08:00,2025-04-30 09:47:37+08:00,DEv-PM8zc-8,Yes,Instaloader
2025-01-14 04:07:54+00:00,2025-02-11 08:37:45+00:00,厭世甜點店,energydessert2019,1600870414456585,1600870414456585,39,2815.0,103595.0,"臣妾錯了嗎？？？
「甜點創業534」ep14

完整系列點這裡 @linevoomtw x 厭世甜點店專區！
https://lin.ee/46mf3OK/kurk/energydessert

也歡迎大家投稿店內遇到的趣事唷❤️

#厭世甜點店 #奧客系列 #甜點創業543",39.68,,2025-01-14 12:07:54+08:00,2025-02-11 16:37:45+08:00,DEyr8AaTm8o,Yes,Instaloader
2025-01-15 04:54:22+00:00,2025-07-10 15:23:19+00:00,厭世甜點店,energydessert2019,3982877015179301,3982877015179301,80,15984.0,726442.0,"珍珠硬掉不要丟，1分鐘復活術
連湯圓、芋圓都能救？

更多食物復活術點擊YT完整版
#珍珠 #微波爐 #湯圓 #生活小知識 #生活小技巧",31.44,,2025-01-15 12:54:22+08:00,2025-07-10 23:23:19+08:00,DE1WMh2uezD,Yes,Instaloader
2025-01-20 12:28:08+00:00,2025-02-11 08:37:45+00:00,厭世甜點店,energydessert2019,1846478602718854,1846478602718854,77,6234.0,162314.0,"我要客訴！！
「甜點創業534」第一季最終回！

完整系列點這裡 @linevoomtw x 厭世甜點店專區！
https://lin.ee/46mf3OK/kurk/energydessert

也歡迎大家投稿店內遇到的趣事唷❤️

#厭世甜點店 #奧客系列 #甜點創業543",59.74,"{'0': '900017765202427', '1': '25605770095791803', '2': '1808259376504650', '3': '1456589985930173'}",2025-01-20 20:28:08+08:00,2025-02-11 16:37:45+08:00,DFDB-95TPlz,Yes,Instaloader
2025-01-21 02:13:17+00:00,2025-02-11 08:37:45+00:00,厭世甜點店,energydessert2019,25947789788220420,25947789788220424,64,3777.0,116853.0,"生日收到一箱木瓜
香甜多汁口感細緻，第一吃到這麼好吃的木瓜
冬天日陞木瓜比日本製壓縮機還稀少，每顆要價百元以上
謝謝楊總，希望每年都有(?",55.67,,2025-01-21 10:13:17+08:00,2025-02-11 16:37:45+08:00,DFEfu9gz5NO,Yes,Instaloader
2025-01-22 10:44:13+00:00,2025-05-26 18:22:34+00:00,厭世甜點店,energydessert2019,1822586538431094,1822586538431094,31,2356.0,96120.0,"地表最濃的抹茶，竟然有這種功效?

#抹茶 #宇治抹茶 #まっちゃ #maccha #日本",48.44,,2025-01-22 18:44:13+08:00,2025-05-27 02:22:34+08:00,DFH_x_-o4-C,Yes,Instaloader
