creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-01 04:53:56+00:00,2025-02-16 22:04:42+00:00,GINA HELLO,ginachiki,1440986934081279,1440986934081279,488,4131.0,384904.0,"新年快樂～～～～～～～
2025！來給你們開箱新娃娃
好不容易搶到一盒Labubu聯名娃
讓我們把壞運氣留到2024！
耶嘿

#真的快變成玩具頻道了😂",88.0,"{'0': '1037079651715379', '1': 'non_public_690116320731200', '2': '1090077758817314', '3': '594726473618362'}",2025-01-01 12:53:56+08:00,2025-02-17 06:04:42+08:00,DERSfPbyuY1,Yes,Instaloader
2025-01-07 11:09:37+00:00,2025-04-12 10:16:09+00:00,GINA HELLO,ginachiki,868117589592668,868117589592668,122,,580245.0,"小丑是我自己
我怎麼會覺得扭蛋店會有真眼影😂😂😂",31.67,,2025-01-07 19:09:37+08:00,2025-04-12 18:16:09+08:00,DEhaq_pSqlU,Yes,Instaloader
2025-01-09 03:32:54+00:00,2025-02-16 22:04:42+00:00,GINA HELLO,ginachiki,2907913926206311,2907913926206311,81,,265277.0,"嘿嘿
換季皮膚跟底妝都處理好了
頭髮也要來點讚的保養
長期燙染還可以維持柔順頭髮的秘密就在這裡！
我的愛油！巴黎萊雅金緻護髮精油全新升級了
帶來新的 #抗躁小金瓶
 
全新調配的成分比例
讓頭髮的毛躁感大大降低
同時也更清爽不油膩
新添加摩洛哥堅果油
真的是隨便抹抹
打結的頭髮柔順有感
完全不用梳子就可以把一頭獅子亂髮變成可愛小貓咪
 
不論是在洗頭後修護髮絲
或是早上整理毛躁頭髮都很好用！
 
升級版加入了大家都很愛的專櫃級調香
走一個超級好聞的典雅梔子花淡香！
就算再疊加其他的香氛啊、噴霧都不會突兀
非常清爽、舒服的味道
超超超級喜歡
 
然後就是要誇誇巴黎萊雅的大節日組合
贈品都超級豐富
買一次抵半年的那種！！
 
現在5款任選(棕色/金色/玫瑰精華/草本植萃/柏木櫻桃限量版)
單瓶嚐鮮組 特價$479（原價$579）
3瓶囤貨任選 限時$1211 平均一瓶只要$404！（原價$1737）
推薦搭配大金瓶洗髮精跟護髮素一起用
保證毛躁的頭髮再也不存在了！！
 
//AD//
#巴黎萊雅 #金緻護髮精油 #抗躁小金瓶 #大金瓶 #黃金胜肽修護系列 #終結毛躁 #24H柔順不打結 #百年髮肌養護專家 #因為我值得",90.01,,2025-01-09 11:32:54+08:00,2025-02-17 06:04:42+08:00,DEmm1eVyXF6,Yes,Instaloader
2025-01-10 03:28:49+00:00,2025-02-16 22:04:42+00:00,GINA HELLO,ginachiki,2012152652976305,2012152652976305,145,6598.0,452366.0,"剛好就在網路上看到新年福袋預約
下載日本麥當勞就可以參加抽選
填資料沒什麼難度！
送的禮物好可愛好懷舊
金額是那本商品卷的價格
（商品卷都是好吃不冷門的）
等於福袋玩具是贈品💗

之前還有哥吉拉、接下來有福音戰士
如果領獎日剛剛好有到日本出遊旅行
可以抽抽看！",49.88,,2025-01-10 11:28:49+08:00,2025-02-17 06:04:42+08:00,DEoTFyvSO0h,Yes,Instaloader
2025-01-13 04:39:21+00:00,2025-06-10 22:19:16+00:00,GINA HELLO,ginachiki,2459646371160418,2459646371160418,146,,500322.0,"Paul&joe的購物袋！原價可是要2500日幣的呀
一度以為是1300
結果是300？？？
我到現在還是不感相信！",38.55,,2025-01-13 12:39:21+08:00,2025-06-11 06:19:16+08:00,DEwK2gUSXDR,Yes,Instaloader
2025-01-19 08:57:10+00:00,2025-09-25 04:56:27+00:00,GINA HELLO,ginachiki,1476094573943853,1476094573943853,174,7626.0,631630.0,"20253月後新款的已經太雷
不要買了😆😆😆

——舊文備份——
太太太多人問！
重新修好影片來～喜歡色好趕快截圖
一隻70真的超級方便
這次去掃了其他顏色
想看嗎的留言耶嘿💗

卸甲是直接撕除就可以！
所以沒有辦法像去店面這麼持久～",58.42,,2025-01-19 16:57:10+08:00,2025-09-25 12:56:27+08:00,DFAFHhGy57L,Yes,Instaloader
2025-01-23 09:16:50+00:00,2025-05-24 21:15:46+00:00,GINA HELLO,ginachiki,4417615558559875,4417615558559875,67,,301685.0,"曼谷必必必買街頭小吃
📍lalai sap market 
📍ร้านนางเล็ด สีลมซอย7
咦，按到錄影就發動態
超好吃我要瘋掉！
我真的沒有吃過這麼好吃的爆米花啊啊啊啊啊
上面淋上巨巨巨滿的椰糖
不會卡牙！超脆超級香！
嗎威～本來我想吃團友買的就好！
結果沒辦法
我要過年慢慢啃！

一個禮拜只買兩天
一包50塊👌",27.21,,2025-01-23 17:16:50+08:00,2025-05-25 05:15:46+08:00,DFKZ5ogSDKE,Yes,Instaloader
2025-01-25 08:16:30+00:00,2025-04-09 01:53:53+00:00,GINA HELLO,ginachiki,797531236074541,797531236074541,59,,344728.0,比較辛苦😆,10.45,{'0': '1216911300574023'},2025-01-25 16:16:30+08:00,2025-04-09 09:53:53+08:00,DFPdKxISf_T,Yes,Instaloader
2025-01-26 13:40:56+00:00,2025-10-22 18:03:12+00:00,GINA HELLO,ginachiki,788875070944842,788875070944842,220,19722.0,721484.0,"⚠️danger danger⚠️

男模餐廳！可以的嗎？
吃飯的？是吃飯的？確定是吃飯的？

趕快標你的姐妹「吃飯喔」
//🔍Gosse
Restaurant&Rooftop Bar//",7.53,,2025-01-26 21:40:56+08:00,2025-10-23 02:03:12+08:00,DFSm6LUSNzB,Yes,Instaloader
2025-01-30 10:28:35+00:00,2025-06-21 08:46:01+00:00,GINA HELLO,ginachiki,1942184426657144,1942184426657144,1023,,325411.0,"新年不然我們來～～～
拆盲盒！
我要隱藏版 我要隱藏版",113.21,{'0': '7200581929997622'},2025-01-30 18:28:35+08:00,2025-06-21 16:46:01+08:00,DFckPJQyeak,Yes,Instaloader
