creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-30 11:11:49+00:00,2025-07-21 00:05:54+00:00,阿翰po影片,hanhanpovideo,1464397181700246,1464397181700246,487,29439.0,1279827.0,"西打的緊急救援
發生這種事就找西打？！

遇到這種事情
任你我都抵抗不了
跟誘惑妥協的當下
只好求救西打
做最後一道防線‼️

跟西打一樣
了解美麗的自己 
找到適合的保養方式
台灣敏弱肌保養品牌Be_
護送你到美的國度
@be_you_tw 

加強保濕鎖水，找鳳蕉！
舒緩肌膚不適，找鳳蕉！
想要皮膚嫩亮，還是找鳳蕉！

鳳蕉乳＆鳳蕉霜🍍🍌
敏弱肌的穩膚好夥伴
實在少不了他們
來Be_肌膚療癒室
了解自己的膚質
還能免費獲得專屬保養配方唷
👉加入Be_官方Line
（🔎搜尋 ＠be_tw ）
👉輸入文字「找鳳蕉」
👉進行快速膚質檢測
👉獲取「專屬保養配方」
👉再拿獨家7折券！

#敏感保養 #be_ 
#找鳳蕉 
#一起共患難的好朋友",282.7,{'0': '1432865224979940'},2025-01-30 19:11:49+08:00,2025-07-21 08:05:54+08:00,DFco7Bhzwqh,Yes,Instaloader
2025-02-05 10:56:32+00:00,2025-09-07 23:49:15+00:00,阿翰po影片,hanhanpovideo,1816390055717970,1816390055717970,477,30459.0,1105275.0,"月嬌廚房
終於有了？！竟然有這樣的好消息

月嬌廚房又來了
這次ㄧ開工
就迫不及待分享
令人開心的好消息
讓我們一起跟著月嬌
慶祝這件好事吧！！

@milksha_tw

#迷客夏 
#milksha
#就是蜂蜜
#迷客夏就是蜂蜜 
#喝一口繼續走
#月嬌廚房",252.17,,2025-02-05 18:56:32+08:00,2025-09-08 07:49:15+08:00,DFsDydoTnY2,Yes,Instaloader
2025-02-10 12:31:43+00:00,2025-09-02 17:22:38+00:00,阿翰po影片,hanhanpovideo,910478448237227,910478448237227,301,13691.0,681789.0,"翻到去年超認真運動的時期
不吃宵夜、飲食節制
前後瘦了11公斤
真覺得該po上來
隨時激勵自己
覺得好熱血 哈哈哈
現在看到都會突然嚇到
：這誰呀？！

前幾天在限動發了問答
結果一堆問題來
無法全部都回完 
於是開放在這貼文
歡迎大家問問題
或是無聊來聊聊天
我儘量有答案就回答

#一回台灣就開始復胖
#留下瘦的時候的倩影",20.13,,2025-02-10 20:31:43+08:00,2025-09-03 01:22:38+08:00,DF5GfkEzDhE,Yes,Instaloader
2025-02-18 10:58:49+00:00,2025-07-28 04:39:25+00:00,阿翰po影片,hanhanpovideo,944410941601169,944410941601169,395,32531.0,889684.0,"上次台日棒球冠軍賽
意外坐進日本應援區
見證台灣奪冠同時
還結交到兩個新朋友
牙敗弟淺井さん跟健健さん
對一個來自台灣的陌生觀眾
這麼外向友好實在很感動！

在最後東京遊學結束之前
與他們相約晚餐
還是依然外向、活潑大方😂
也相約下一次再見

会えてよかった！
また会おうね！
🇹🇼🇯🇵⚾️

牙敗弟淺井 @yoshi_jae_eon 
鈴木健健 @kesotta_723 

#台日友好
#原來這麼多巧合
#緣分真奇妙
#完整版在YT",576.02,"{'0': '929244320030159', '1': '1542837303484071'}",2025-02-18 18:58:49+08:00,2025-07-28 12:39:25+08:00,DGNh6pjzaqh,Yes,Instaloader
2025-03-04 10:49:15+00:00,2025-08-06 12:17:34+00:00,阿翰po影片,hanhanpovideo,2400256660472119,2400256660472119,624,31889.0,966791.0,"蛋哥的神明指示 
成為蛋界的傳奇？！
 
身為蛋行的二代
要如何轉型
原來蛋哥選擇這樣做….
 
立足台灣、放眼世界
能夠跟外國人做生意
英文很重要
這讓忙碌的蛋哥選擇了
不用出門也能學好英文的 TutorABC
🐔獨家AI配對技術：
每堂課都量身打造，每一堂都與你有關
🐓多元主題教材：
橫跨興趣、產業、職務及最新時事新聞
🐣學伴式雙語老師：
初學英文不緊張，保證學習成效提升
🐤國際專業母語師資：
100%純正母語教學，TEFL、Tesol認證師資
 
像這次蛋哥就學了很多
商業領域的英文
下課後就能學以致用
結束課程還可以回到平台
看教材、還有影檔復習
真的是非常方便！
這讓蛋哥學得自在沒壓力
也變得越來越國際化！！
三太子指示線上英文課程
→https://reurl.cc/eGej7R

@tutorabc.tw 

#蛋哥來了
#小蛋餅們聽好
#TutorABC",337.18,,2025-03-04 18:49:15+08:00,2025-08-06 20:17:34+08:00,DGxkvE4TbwP,Yes,Instaloader
2025-03-27 11:22:43+00:00,2025-04-30 17:49:08+00:00,阿翰po影片,hanhanpovideo,926860923399285,926860923399285,185,11366.0,605635.0,"月嬌廚房出外景  上集
阿宏跟月嬌這次
踏上日本佐賀
不是為了二度蜜月
而是有個重要任務
沒想到旅途中
居然有這樣的驚喜？！

台灣虎航
每個禮拜二、四、日
桃園到佐賀都有往返航班喔✈️
旅遊期間 2025/3/30到2025/10/25
婆婆聽了都想跟去了！

台灣虎航 @tigerair.taiwan 
阿宏 <redacted_mention> 

月嬌跟阿宏是不是假戲真做？",441.22,{'0': '1332665965131167'},2025-03-27 19:22:43+08:00,2025-05-01 01:49:08+08:00,DHs2w3tT8nM,Yes,Instaloader
2025-03-27 12:01:35+00:00,2025-08-06 16:19:11+00:00,阿翰po影片,hanhanpovideo,1307386501436852,1307386501436852,92,7419.0,637214.0,"月嬌廚房出外景 下集
旅行的尾聲 
才是他們感情升溫的開始
謝謝佐賀讓我們充滿
這麼多美好的回憶
湯豆腐 清酒 佐賀牛
真的適合戀愛中
或是渴望浪漫的人來

#台灣虎航直飛佐賀
#日本佐賀縣

月嬌廚房這次的手藝如何？",711.77,{'0': '1332665965131167'},2025-03-27 20:01:35+08:00,2025-08-07 00:19:11+08:00,DHs690Nzc4W,Yes,Instaloader
2025-04-30 10:56:06+00:00,2025-07-12 14:43:28+00:00,阿翰po影片,hanhanpovideo,2833750630289570,2833750630289570,384,22708.0,695339.0,"西打的床友 竟然有這樣的挑法？
西打又來敲門了
這次找好朋友
曾妮 @mani.kisausau 
一起完成任務
究竟會不會達成呢？！

東太陽女孩 ✹ Dremedreman曾妮 
首張專輯《全村的希望》
聽了不止大拇指
西打耳朵差點懷孕
熱情推薦給大家❤️
下次再一起出門玩蛤！

曾妮追求者 小柒
<redacted_mention> 

數位收聽 ⟡ https://reurl.cc/QYaAn5

#重壓測試可以找我們
#全村的希望
#蘋果西打的西打",318.18,{'0': '793452660464833'},2025-04-30 18:56:06+08:00,2025-07-12 22:43:28+08:00,DJEW13WTGmR,Yes,Instaloader
2025-05-01 10:27:12+00:00,2025-08-29 23:53:38+00:00,阿翰po影片,hanhanpovideo,1127656936079614,1127656936079614,481,54830.0,1370892.0,"出歌必轟動的巴大雄
這次推出的「舅媽」
實在是情感濃烈
讓人欲罷不能
雖然歌詞總是令人噴飯
但真不能忽略他的好歌喉
現場聽真的好過癮….

這次西打來MV咖一角
遇到了大雄的舅媽 曉君姐
還有原民嬌娃的邱邱
買醉上班族 信維
現場真的是太鬧了！
都捨不得拍完一樣
趕快來支持
這首巴大雄的新歌「舅媽」🍷

@tnm_official089 巴大雄
@samingad168 舅媽 曉君姐
@theashachiu 嬌娃 邱邱
@soundsgreat.lilpan 才子 信維

#巴大雄舅媽
#怎麼有中央山脈
#蘋果西打的西打",120.07,"{'0': '1937882500415078', '1': '769192752929263', '2': '1889178188379883'}",2025-05-01 18:27:12+08:00,2025-08-30 07:53:38+08:00,DJG4QOgzBsU,Yes,Instaloader
2025-05-09 10:24:37+00:00,2025-08-04 02:27:15+00:00,阿翰po影片,hanhanpovideo,899715672795131,899715672795131,639,50323.0,1177464.0,"上次在東京跟朋友討論
下次要一起吃什麼時
台灣料理被這樣評價
實在不太甘心😅
有誰可以推薦
東京厲害的台灣餐廳
拍一個雪恥篇 🔥

有在國外吃過台灣餐廳嗎？",80.97,,2025-05-09 18:24:37+08:00,2025-08-04 10:27:15+08:00,DJbeEaQT3mR,Yes,Instaloader
