creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-17 23:02:37+00:00,2025-01-18 10:42:45+00:00,阿淇博士 Dr.Achi,hithisisachi,801988872271989,801988872271989,43,1548.0,57182.0,"預祝大家新年快樂🎉

蛇麼都順，好運蛇進來",26.1,,2025-01-18 07:02:37+08:00,2025-01-18 18:42:45+08:00,DE8cJZWSU6g,Yes,Instaloader
2025-01-25 22:48:21+00:00,2025-01-25 22:58:41+00:00,阿淇博士 Dr.Achi,hithisisachi,1646082839921079,1646082839921079,2,247.0,31538.0,"簡單方便的甜點🍮 草莓抹茶提拉米蘇

雞蛋2顆+砂糖140g 
一邊攪拌，ㄧ邊隔水加熱到70C

放入攪拌機打到發，加入400g mascarpone cheese 繼續打發，隨喜好放入抹茶粉

奶酒 + 牛奶作為酒液。手指餅乾沾上酒液後放入模具，放入抹茶奶油糊。我還放了草莓🍓

用棉繩做出圖案，灑上抹茶粉，冷藏隔夜即可",15.72,,2025-01-26 06:48:21+08:00,2025-01-26 06:58:41+08:00,DFRAkx4yelO,Yes,Instaloader
2025-01-29 04:47:57+00:00,2025-08-29 03:48:08+00:00,阿淇博士 Dr.Achi,hithisisachi,4368589650042702,4368589650042702,2,148.0,28271.0,"年紀大了，越來越喜歡無酒精調酒

來一組無酒精基酒吧😘",28.3,,2025-01-29 12:47:57+08:00,2025-08-29 11:48:08+08:00,DFZYjSJxr-U,Yes,Instaloader
2025-02-11 04:56:31+00:00,2025-02-11 09:46:35+00:00,阿淇博士 Dr.Achi,hithisisachi,760062470182971,760062470182971,1,119.0,26575.0,雖然我覺得在那之前，會先有大規模失業啦,53.22,,2025-02-11 12:56:31+08:00,2025-02-11 17:46:35+08:00,DF634jUxjfC,Yes,Instaloader
2025-02-13 04:55:24+00:00,2025-09-09 07:22:52+00:00,阿淇博士 Dr.Achi,hithisisachi,1207118731404377,1207118731404377,4,197.0,28256.0,"台灣選舉受中國操弄，是國際新聞常報導的事情。

大家有覺得自己常收到假訊息嗎？",58.56,,2025-02-13 12:55:24+08:00,2025-09-09 15:22:52+08:00,DGABUPAxeQJ,Yes,Instaloader
2025-02-15 05:08:20+00:00,2025-04-22 20:59:39+00:00,阿淇博士 Dr.Achi,hithisisachi,1898906123936256,1898906123936256,3,350.0,29132.0,"寶寶四個月了，來準備收涎餅乾

Royal icing 果然還是要有蛋比較好控制啊😆",28.3,,2025-02-15 13:08:20+08:00,2025-04-23 04:59:39+08:00,DGFMYqWRrFz,Yes,Instaloader
2025-02-22 01:50:54+00:00,2025-09-15 18:57:58+00:00,阿淇博士 Dr.Achi,hithisisachi,1418521492776573,1418521492776573,22,1026.0,66162.0,"帶小孩搭 #星宇航空 #商務艙 是什麼體驗？

跨洋帶小孩真的很令人緊張！幸好阿藏用點數換到跨洋商務，旅程還是很舒服的！

#starlux #vlog #businessclass #travel",74.46,,2025-02-22 09:50:54+08:00,2025-09-16 02:57:58+08:00,DGW3Me6hxrS,Yes,Instaloader
2025-02-24 13:36:34+00:00,2025-02-24 14:26:38+00:00,阿淇博士 Dr.Achi,hithisisachi,1243282863967370,1243282863967370,8,387.0,34469.0,"各位父母都值得對自己好一點🥰
遛娃順便放輕鬆😎

#simplekaffa #taipei #taipei101",45.63,,2025-02-24 21:36:34+08:00,2025-02-24 22:26:38+08:00,DGdRqpUBFYJ,Yes,Instaloader
2025-03-01 13:48:10+00:00,2025-03-01 14:48:14+00:00,阿淇博士 Dr.Achi,hithisisachi,1439001567867503,1439001567867503,6,368.0,29547.0,"不考慮塞車的話，真是完美的假期😆

#賞櫻 #vlog #旅遊",61.81,,2025-03-01 21:48:10+08:00,2025-03-01 22:48:14+08:00,DGqK8YzBRgx,Yes,Instaloader
2025-03-10 10:51:49+00:00,2025-03-10 12:11:54+00:00,阿淇博士 Dr.Achi,hithisisachi,1485705159916519,1485705159916519,4,438.0,37818.0,"南港一日遊❤️ 

#南港 #travel #vlog",59.19,,2025-03-10 18:51:49+08:00,2025-03-10 20:11:54+08:00,DHBB9ADhwhA,Yes,Instaloader
