creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-01 14:03:32+00:00,2025-11-02 23:58:37+00:00,虎麗笑嗨嗨 高雄美食,hooleefun,760618577106465,760618577106465,26,22812.0,1936889.0,"巷弄裡的小餐館!!
手炒辣醬麻奶烏龍麵

隱藏在三多商圈巷弄裡的文青風小餐館
再次回歸不賣三明治
全新改版供應特製風味的麻奶鍋燒意麵
還有麻奶烏龍麵/台式燉飯/打拋豬飯
每一份都是現點現做熱騰騰上桌

無辣不歡推薦麻奶chip醬烏龍麵
是用闆娘阿媽的手炒辣醬料理
Q彈讚岐烏龍麵吸附醬汁 香辣又唰嘴

愛喝湯可以點一碗經典麻奶鍋燒意麵
蔬菜和炒洋蔥烹煮的高湯＋阿媽手炒辣醬
吃起來帶點辣感及奶香味

奶控們別錯過奶香chip醬米飯
使用紐西蘭進口牛奶加蒜頭&洋蔥炒香
有點像在吃牛奶湯汁泡飯 比較爽口不膩

想吃飯就來一份台式塔香打拋豬
香辣帶點酸甜感很下飯

記得點牛油厚吐司滿足甜食胃
推薦經典巧克脆脆＆最多人點的花生口味

- - - - - - - -✂️ - - - - - - - -
內用外帶都OK
—————————————
經典麻奶鍋燒意麵 160元
麻奶chip醬 烏龍 180元（附龍蝦沙拉、蒜香奶油鮮蔬、半熟蛋）
台式塔香打拋豬 140元 附桃子阿媽手炒辣椒(可事先告知調整辣度)
奶香chip醬 米飯 150元（附龍蝦沙拉、蒜香奶油鮮蔬、半熟蛋）
牛油厚吐司 花生 70元
牛油厚吐司 經典巧克脆脆 85元
—————————————
🎀 #奇奇老闆 麻奶鍋燒意麵
🆔 @chichi20180508
🏠 高雄市前鎮區林森三路193巷19號
🚇 捷運三多商圈站5號出口步行400公尺約6分中
☎️ 0974-288193
⌚️ 週二至週日 17:00-23:00
⌚️ 例假日及週六日 12:30-21:00
🚷 週一公休
⭐️ 內用低消100元/每人
—————————————
#taiwan #taiwanfood
#kaohsiung #kaohsiungfood
#虎麗 #hoolee #虎麗笑嗨嗨
#虎麗吃高雄 #高雄虎麗 #前鎮虎麗  #虎麗吃前鎮
—————————————
#高雄#高雄美食#前鎮#前鎮美食#前鎮區#前鎮區美食#高雄小吃#高雄麵食#高雄午餐#高雄晚餐#高雄鍋燒麵#高雄甜點#高雄厚片#三多商圈美食#高雄打拋豬#高雄烏龍麵",44.44,{'0': '845617975111288'},2025-01-01 22:03:32+08:00,2025-11-03 07:58:37+08:00,DESRzrezQYp,Yes,Instaloader
2025-01-02 13:59:24+00:00,2025-02-15 12:28:34+00:00,虎麗笑嗨嗨 高雄美食,hooleefun,748232561676641,748232561676641,2,714.0,94424.0,"到美術館附近吃義式料理

這家在美術館附近的青海路上
提供烘焙麵包及義式料理
用餐空間舒適輕鬆 很適合三五好友聚餐聊天

全新一季的餐點必吃吻仔魚佛手瓜比薩
是選用台灣農家食材佛手瓜料理
加上酥炸過的枋寮吻仔魚 清爽鮮香
搭配薄酥的餅皮和起司特別好吃

主餐推薦澳洲黑安格斯板腱牛肉
是選用天然方法養殖的200天純種安格斯黑牛
以低溫烹煮14小時
肉質軟嫩多汁充滿鮮甜滋味

喜歡海鮮可以點鮮魚蛤蜊蟹肉義大利麵
豐富蟹肉加上杜蘭小麥粉製作的手工麵
吃起來Q彈鮮香頗唰嘴

想吃飯來一份嫩煎雞腿肉醃漬鳳梨菌菇燉飯
選用義大利Arborio品種米粒料理
吸附醬汁軟中帶點顆粒感 雞肉很厚實

開胃前菜推薦酥炸麵皮鮮蝦沙拉盅
還有濃郁蔥蒜香氣的 菌菇燴田螺

- - - - - - - -✂️ - - - - - - - -
建議預約訂位
—————————————
菌菇燴田螺 340元
酥炸麵皮鮮蝦沙拉盅 350元
吻仔魚佛手瓜比薩 330元
鮮魚蛤蜊蟹肉海鮮醬汁義大利麵 480元
嫩煎雞腿肉醃漬鳳梨菌菇燉飯 350元
澳洲黑安格斯板腱牛肉 850元
—————————————
🎀 #帕莎蒂娜餐廳 青海店
🆔 @pasadena_sincewell
🏠 高雄市鼓山區青海路167號
🚇 台鐵美術館車站出口步行650公尺約9分鐘
🚇 輕軌台鐵美術館站出口步行650公尺約9分鐘
☎️ 07-5530889
⌚️ 週一至週日  午餐11:30-14:00、晚餐17:30-20:20(7歲以上低消350元)、Afternoon Tea 午茶時光(限歐式午茶品) 14:30-17:00(7歲以上低消200元)  
⭐️ 價格需另加10%服務費
—————————————
#taiwan #taiwanfood
#kaohsiung #kaohsiungfood
#虎麗 #hoolee #虎麗笑嗨嗨
#虎麗吃高雄 #高雄虎麗 #鼓山虎麗  #虎麗吃鼓山
—————————————
#高雄#高雄美食#鼓山#鼓山美食#鼓山區#鼓山區美食#高雄義大利麵#高雄燉飯#高雄披薩#高雄餐廳#高雄聚餐餐廳#高雄義式料理#高雄美術館美食#高雄約會餐廳",37.29,{'0': '1113352180830965'},2025-01-02 21:59:24+08:00,2025-02-15 20:28:34+08:00,DEU2KTzTbeC,Yes,Instaloader
2025-01-03 15:06:00+00:00,2025-08-17 19:49:12+00:00,虎麗笑嗨嗨 高雄美食,hooleefun,938002168788480,938002168788480,9,3357.0,493235.0,"這家有好吃的椒麻香拌麵

福德店在捷運五塊厝旁邊
提供素食的熱滷味 都是現點現滷
淋上特製醬汁吃起來清香甘醇

有多種草食滷味套餐可選擇
最多人點草食饗宴餐
能吃到黑胡椒素排/天婦羅/煙燻豆腸香Q糕等品項

想吃飽推薦來一碗薑軍拌飯
白飯拌入薑泥和白芝麻製成的薑軍醬
有薑的溫和辣感和麻油香氣
會讓人忍不住一口接一口

無辣不歡就試試椒麻香拌麵
Q彈的刀削麵有濃郁花椒香及微辣感
吃起來夠味唰嘴

另外也有炸物花枝圈圈&日式胡麻豆腐
可以再點一杯現沖的黑咖啡
或是滑順的拿鐵平衡味蕾

入素滷味 X 季洋精品咖啡
【入冬慶活動】

活動三選一
（即日起至114年1月31日止）

滿額活動一：買滷味+五星好評送精品黑咖啡（滿額200元）
滿額活動二：買滷味+粉專按讚送精品黑咖啡（滿額200元）
滿額活動三：買滷味+動態標記送精品黑咖啡（滿額200元）

買越多，送越多！
（可更換拿鐵+15元）

- - - - - - - -✂️ - - - - - - - -
內用外帶皆可
咖啡是福德店限定☕️
—————————————
草食饗宴餐 165元
椒麻香拌麵 刀削麵 75元
薑軍拌飯 25元
花枝圈圈 60元
日式胡麻豆腐 大 60元
小宇宙拿鐵 65元
小宇宙黑咖啡 50元
—————————————
🎀 #入素蔬食滷味 福德店
🆔 <redacted_mention>
🏠 高雄市苓雅區福德三路357號
🚇 捷運五塊厝站4號出口步行50公尺約1分鐘
☎️ 0900-604859
⌚️ 週一至週六 11:00-21:00
🚷 週日公休
⭐️ 咖啡為福德店限定
-
🎀  入素蔬食滷味 達仁店
🏠 高雄市新興區新興區東海街205號
☎️ 07-2222268
⌚️ 週一至週日 11:00-21:00(內用至20:30)
🚷 公休日請參考FB粉專或IG公告
⭐️ 達仁店無供應咖啡
—————————————
#taiwan #taiwanfood
#kaohsiung #kaohsiungfood
#虎麗 #hoolee #虎麗笑嗨嗨
#虎麗吃高雄 #高雄虎麗 #苓雅虎麗  #虎麗吃苓雅
—————————————
#高雄#高雄美食#苓雅#苓雅美食#苓雅區#苓雅區美食#高雄小吃#高雄滷味#高雄素食#高雄武廟美食#高雄蔬食#高雄午餐#高雄晚餐#高雄麵食",39.31,{'0': '1439246184206859'},2025-01-03 23:06:00+08:00,2025-08-18 03:49:12+08:00,DEXieUKz1Og,Yes,Instaloader
2025-01-05 14:10:41+00:00,2025-07-04 15:19:41+00:00,虎麗笑嗨嗨 高雄美食,hooleefun,892409763384151,892409763384151,69,11636.0,942529.0,"楠梓很多人買的炸黑輪

這家是楠梓的小吃美食
提供現點現炸的黑輪/米血/魚板
還有現煎蔥肉蛋餅&關東煮

之前的老闆已經開20多年
因為健康緣故將技術傳承給現任老闆

下午茶點心來一份現炸酥酥的黑輪片
帶點嚼感和鮮香味很唰嘴
厚實軟Q有點黏牙感的炸米血
加上胡椒粉調味 鹹甜好吃

蔥肉蛋餅一定要吃
有高麗菜/九層塔/酸菜可選擇
推薦點綜合口味 一次擁有三種配料
搭配自製麵糰加蛋現煎的蛋餅皮
淋上醬汁＆蒜泥很香醇 加辣更好吃

- - - - - - - -✂️ - - - - - - - -
目前僅提供外帶
—————————————
炸黑輪 25元/份
炸米血 22元/份
綜合蔥肉蛋餅 40元（限量供應，售完即止） 
—————————————
🎀 #黑輪嫂 #右昌蔥肉蛋餅
🏠 高雄市楠梓區盛昌街56-23號
🚌 搭乘公車(245/紅53梓官幹線/紅53梓官幹線副線/紅53梓官幹線區間車)至盛昌街口(三山街)步行約91公尺(1分鐘)
☎️ 0938-533537
⌚️ 週二至週日 10:30-17:30(售完即止)
🚷 週一公休
—————————————
#taiwan #taiwanfood
#kaohsiung #kaohsiungfood
#虎麗 #hoolee #虎麗笑嗨嗨
#虎麗吃高雄 #高雄虎麗 #楠梓虎麗  #虎麗吃楠梓
—————————————
#高雄#高雄美食#楠梓#楠梓美食#楠梓區#楠梓區美食#高雄小吃#楠梓小吃#右昌美食#高雄下午茶#高雄點心#高雄蔥肉餅#炸黑輪",23.06,,2025-01-05 22:10:41+08:00,2025-07-04 23:19:41+08:00,DEclxyozpCP,Yes,Instaloader
2025-01-06 14:15:55+00:00,2025-07-03 20:27:49+00:00,虎麗笑嗨嗨 高雄美食,hooleefun,1966072307640097,1966072307640097,64,1110.0,151876.0,"健康餐盒也吃得到現煎鴨胸
還有即食個人小火鍋!!

這家最多人買的是炙烤蜜香雞腿
雞腿肉厚實鮮嫩 扎實不乾柴
加上獨門醬汁調味 甜甜帶有微辣感

還有新推出『重量級』油蔥嫩雞腿
帶皮雞腿以自製蔥油醬汁料理
每一口都有濃郁的蔥香味

愛吃肉一定要試試香煎嫩鴨胸
師傅採用低溫舒肥技術以煎製方式烹飪
肉質鮮嫩香醇 鴨皮帶點Q感不油膩

另外也有肉質細嫩甘醇的味噌鯖魚
喜歡吃魚就點這個 非常下飯

餐盒都會附清爽時蔬/溏心蛋/帶皮地瓜
搭配紫米份享用 很有飽足感

天冷想吃鍋就試試新推出的鮮蔬豚肉鍋
是自家熬煮昆布湯的即食個人鍋
加入新鮮時蔬/豬肉片/板豆腐/鳥蛋等豐富配料
還有一碗紫米飯 吃起來暖心又滿足

- - - - - - - -✂️ - - - - - - - -
⬇️2025/1/7-1/12限時優惠⬇️
線上預訂專屬福利：小火鍋全面肉量升級多一份肉!!
—————————————
香煎嫩鴨胸 229元
『重量級』油蔥嫩雞腿 169元 
炙烤蜜香雞腿 115元
味噌烤鯖魚 189元
鮮蔬豚肉鍋 附米飯一碗 159元
—————————————
🎀 #健人餐廚 文自店
🆔 @fitnessmeal.formyfather
🏠 高雄市左營區重化街21號 
🚇 捷運生態園區站1號出口步行點公尺約3分鐘
☎️ 07-3500615 
⌚️ 週一至週日 11:00-13:00、17:00-19:00
-
🎀 巨蛋店
高雄市左營區富民路420號
07-5560627
🎀 中正店
高雄市新興區復興一路73號
07-2360786
🎀 澄清店
高雄市三民區澄清路329號
07-3852520
🎀 四維店
高雄市苓雅區四維二路94號​
07-7210712
🎀 鳳山店
高雄市鳳山區鎮西里自由路6號1樓
07-7191141
🎀 三多店
高雄市前鎮區三多二路355-1號
07-3388796
🎀 榮總店
高雄市三民區鼎中路773號
07-3509822
—————————————
#taiwan #taiwanfood
#kaohsiung #kaohsiungfood
#虎麗 #hoolee #虎麗笑嗨嗨
#虎麗吃高雄 #高雄虎麗 #左營虎麗  #虎麗吃左營
—————————————
#高雄#高雄美食#左營#左營美食#左營區#左營區美食#高雄健康餐盒#高雄便當#高雄午餐#高雄晚餐",32.2,{'0': '884469161175345'},2025-01-06 22:15:55+08:00,2025-07-04 04:27:49+08:00,DEfLM8YzXxx,Yes,Instaloader
2025-01-08 13:49:22+00:00,2025-10-30 18:40:30+00:00,虎麗笑嗨嗨 高雄美食,hooleefun,945662804789309,945662804789309,21,2528.0,194837.0,"發現一家好吃的漢堡店
爐烤牛胸肉漢堡

隱藏在高雄車站附近的小餐館
是寵物友善餐廳 可以帶毛小孩用餐哦

漢堡使用整塊原肉料理 而非肉排
可以吃到更豐富的口感

來這裡一定要試試爐烤牛胸肉漢堡
老闆特製的一整塊烤牛胸肉現點現切
厚實軟嫩的炙燒牛肉加BBQ醬香醇好吃
還有紅酒醋漬洋蔥/生菜/墨西哥辣椒增添口感

不吃牛推薦蒜香酸奶炸雞堡
厚實的無骨雞腿肉 有稍微醃製
帶點鹹甜鮮香味 外層麵衣薄酥不油膩
淋上蒜香酸奶醬富含蒜味超唰嘴

漢堡會附餐薯條和50元的飲料(可換購)
可以加價升級套餐
選擇現炸杏鮑菇 或 咖哩肉醬薯條

飲料來一杯莓果果醬氣泡飲
能吃到果肉 加氣泡水微微酸甜很爽口 

- - - - - - - -✂️ - - - - - - - -
目前不接受預約訂位，請直接到現場候位哦
—————————————
爐烤牛胸肉漢堡 310元（附薯條&50元飲料）
升級套餐A(更換薯條)：酥炸杏鮑菇 +25

蒜香酸奶炸雞堡 300元（附薯條&50元飲料）
升級套餐B(更換薯條)：咖哩肉醬薯條 +60元

冰紅茶（漢堡附飲品）50元
莓果果醬氣泡飲 90元 (漢堡附飲品更換+40元) 
—————————————
🎀 #溫度漢堡 WeDo Burger
🆔 @wedo_burger.project
🏠 高雄市三民區錦州街170號
🚇 台鐵後站出口步行650公尺約9分鐘
☎️ 07-3231302
⌚️ 週一至週四 11:00-20:00
⌚️ 週五至週日 11:00-21:00（下午時段不休息）
🚷 週二公休
⭐️ 只收現金
⭐️ 提供 Wi-Fi
⭐️ 寵物友善餐廳，允許狗狗入內
—————————————
#taiwan #taiwanfood
#kaohsiung #kaohsiungfood
#虎麗 #hoolee #虎麗笑嗨嗨
#虎麗吃高雄 #高雄虎麗 #三民虎麗  #虎麗吃三民
—————————————
#高雄#高雄美食#三民#三民美食#三民區#三民區美食#高雄漢堡#高雄漢堡店#高雄午餐#高雄晚餐#高雄聚餐餐廳#高雄必吃#高雄美食推薦",40.61,{'0': '4381280425484603'},2025-01-08 21:49:22+08:00,2025-10-31 02:40:30+08:00,DEkRzVkzhZ4,Yes,Instaloader
2025-01-10 13:46:10+00:00,2025-02-15 12:28:34+00:00,虎麗笑嗨嗨 高雄美食,hooleefun,789406230138445,789406230138445,6,1022.0,137711.0,"超濃郁香辣泰式咖喱鍋
#巨無霸海鮮杯

這家火鍋店真的很熱情
空間氛圍很棒 適合聚餐慶生
一個人來吃鍋也沒問題
會有熊熊陪伴用餐哦～

來這裡可以吃到精心料理的鍋物湯底
還有現切原塊肉品＆海鮮

無辣不歡推薦濃郁香醇的泰式咖喱鍋
有椰奶風味及辣感 很適合重口味鍋控

麻奶鍋是人氣必點
微麻微辣加上起司片增添風味
湯底喝起來溫潤順口 涮肉煮海鮮都很棒

浮誇系吃貨一定要點龍蝦海鮮拼盤巨無霸杯
超大杯裝龍蝦/三點蟹/鮑魚等海味
一端上桌就成為全場焦點 可以拍好多美照

肉控試試精選梅花豬搭配麻奶湯
鍋物都會附季節小農菜盤/特調飲料/副餐/沾醬
個人獨享份量吃得飽

- - - - - - - -✂️ - - - - - - - -
可以預約訂位
—————————————
精選梅花豬 438元
龍蝦海鮮拼盤 1,098元
皆附季節小農菜盤/特調飲料/副餐/沾醬
—————————————
🎀 #御私廚鍋物
🆔 @roayal251
🏠 高雄市鼓山區文信路251號
🚇 捷運巨蛋站2號出口步行300公尺約4分鐘
☎️ 0933-387961
⌚️ 週一至週日 11:30-22:00
—————————————
#taiwan #taiwanfood
#kaohsiung #kaohsiungfood
#虎麗 #hoolee #虎麗笑嗨嗨
#虎麗吃高雄 #高雄虎麗 #左營虎麗  #虎麗吃左營
—————————————
#高雄#高雄美食#鼓山#鼓山美食#鼓山區#鼓山區美食#高雄火鍋#高雄火鍋店#高雄晚餐#高雄午餐#高雄聚餐餐廳",42.14,{'0': '922052537062684'},2025-01-10 21:46:10+08:00,2025-02-15 20:28:34+08:00,DEpa-WIzbq1,Yes,Instaloader
2025-01-11 14:59:20+00:00,2025-02-15 12:28:34+00:00,虎麗笑嗨嗨 高雄美食,hooleefun,1407051251196677,1407051251196677,8,2638.0,278612.0,"左營台鐵美食!!
出差旅行可以吃這間

耕讀園第二家分店 在左營台鐵美食街
搭火車/高鐵 可以來這裡用餐
用餐空間很適合吃飯休息

套餐最多人點的是樹子蒸鱸魚
還有燉煮入味的紅燒牛腩
都會附三樣配菜/湯品/白飯/飲品/小點心

飲品可以用半價換購喜歡的特調
推薦來一杯白玉珍珠鮮奶茶

喜歡麵食就點胡麻乾拌麵
或是左營環球店限定的耕記茶香牛肉麵
Q彈手工茶麵吸附湯汁香醇好吃
牛肉十分厚實軟嫩
搭配附餐黃金地瓜球＆耕記紅茶享用更滿足

記得追加宮廷御點
加上自己沖茶的功夫泡 好吃又有趣

用餐免費招待小點心＆熱茶

- - - - - - - -✂️ - - - - - - - -
即日起-114/01/31（限定平日）
到店消費點「套餐或湯麵系列」
出示「虎麗這部耕讀園影片」
👉送大杯飲料（$120～$180任選）
(飲料平常搭配套餐飲品為半價)
—————————————
樹子蒸鱸魚套餐 410元 附飲品(可換其他飲品一律半價) 
紅燒牛腩套餐 380元 附飲品(可換其他飲品一律半價) 
白飯換購肉燥飯+20元 
白玉珍珠鮮奶茶 換購半價 90元(原價180元)
耕記茶香牛肉麵 茶友嚐鮮價 320元(附黃金地瓜球+耕記紅茶)
胡麻乾拌麵(素) 90元
蟹黃燒賣 95元
芝麻流沙包 95元
耕記炸豆腐 80元
唐揚雞 120元
香滷米血 85元
宮廷御點 驢打滾 100元
——————
衫林溪 二兩裝 880元
自備茶茶水費，每人酌收170元
點選指定茶葉，每人酌收茶水費120元
—————————————
🎀 #耕讀園 書香茶坊 高雄左營環球店
🆔 @teanet2018
🏠 高雄市左營區站前北路1號2樓
🚇 捷運高鐵左營站
🚇 台鐵新左營站
☎️ 0907-383366
⌚️ 週一至週四 11:00–21:30
⌚️ 週五六11:00–22:00
⌚️ 週日 11:00–21:30
⭐️ 每人低消150元
⭐️ 另收10%服務費 
—————————————
#taiwan #taiwanfood
#kaohsiung #kaohsiungfood
#虎麗 #hoolee #虎麗笑嗨嗨
#虎麗吃高雄 #高雄虎麗 #左營虎麗  #虎麗吃左營
—————————————
#高雄#高雄美食#左營#左營美食#左營區#左營區美食#高雄餐廳#高雄聚餐餐廳#高雄午餐#高雄晚餐#高雄麵食",45.28,{'0': '1245315610902802'},2025-01-11 22:59:20+08:00,2025-02-15 20:28:34+08:00,DEsICewzOc4,Yes,Instaloader
2025-01-12 14:15:45+00:00,2025-02-15 12:28:34+00:00,虎麗笑嗨嗨 高雄美食,hooleefun,26475588402038560,26475588402038559,8,3079.0,230114.0,"一整隻魷魚的濃厚麻奶鍋燒麵

隱藏在鳳山的鍋燒專賣
有多種風味湯底&主食 可以任意搭配組合
也能加價升級增加肉片/海鮮/炸物

簡單吃就來一碗招牌的原湯鍋燒
滋味清香甘醇
會附鮮蝦/蛤蠣/豬肉片/時蔬/丸餃火鍋料

無辣不歡一定要試試香濃麻奶鍋燒
搭配意麵吸附湯汁超唰嘴
再加點鮮嫩的一隻魷魚享用最過癮

喜歡更辣就點川味麻辣鍋燒
是多種特製辣醬+高湯烹煮 有濃郁辛辣感
很適合加軟Q歐巴泡麵 吃起來香辣唰嘴

炸物推薦現點現炸的唐揚雞
外酥裡嫩帶點鹹甜味 很好吃

- - - - - - - -✂️ - - - - - - - -
內用外帶皆可
—————————————
精燉原湯(沙茶) 火鍋料 意麵 90元
香濃麻奶 火鍋料 意麵 130元／加麵+15元／加料 一隻魷魚(一項69元) 
川味麻辣 火鍋料 歐巴泡麵 120元／炸物 唐揚雞(一項79元)／加會員送好禮：蛤蠣
—————————————
🎀 #伍郜齁賈 鍋燒麵 炸物
🆔 @it_tastes_so_fucking_delicious
🏠 高雄市鳳山區八德路二段280號一樓 
🚌 搭乘公車(橘7A 橘7A延駛大樹 橘7B 橘7B延 橘12 紅33明誠幹線)至濱山街口步行約190公尺(3分鐘)
☎️ 0966-251354
⌚️ 週一至週日 11:00-15:00、17:30-22:00
⭐️ 首次加入會員送蛤蠣 LINE帳號：@011lkjus
—————————————
#taiwan #taiwanfood
#kaohsiung #kaohsiungfood
#虎麗 #hoolee #虎麗笑嗨嗨
#虎麗吃高雄 #高雄虎麗 #鳳山虎麗  #虎麗吃鳳山
—————————————
#高雄#高雄美食#鳳山#鳳山美食#鳳山區#鳳山區美食#高雄小吃#高雄麵食#高雄麵店#高雄鍋燒麵#高雄午餐#高雄晚餐#鳳山午餐#鳳山晚餐",36.62,{'0': '979976341867117'},2025-01-12 22:15:45+08:00,2025-02-15 20:28:34+08:00,DEuoCTaz3TR,Yes,Instaloader
2025-01-13 14:22:33+00:00,2025-10-26 19:00:43+00:00,虎麗笑嗨嗨 高雄美食,hooleefun,899545145797268,899545145797268,10,2461.0,265205.0,"這間日本料理店的老闆有點帥!!

在高雄流行音樂中心附近的小餐館
可以品嚐帥老闆特製丼飯/握壽司/天婦羅
還有新推出的限量烏龍麵熱食

最多人點豪華海鮮丼
用料很實在 能吃到份量滿滿的海味
有鮭魚/天使紅蝦/干貝/蟹膏/海膽/鮭魚卵
爆多海鮮加上醋飯吃起來很過癮

再加點一份隨機搭配6貫的綜合握壽司
還有厚實脆嫩的炸蝦天婦羅

天冷想吃熱食就試試鴨胸白湯烏龍麵
費時熬煮6小時的雞白湯清香甘醇
Q彈烏龍麵吸附湯汁&溫泉蛋的蛋汁
每一口都能嚐到鮮美滋味

- - - - - - - -✂️ - - - - - - - -
座位不多,建議先訂位
—————————————
豪華海鮮丼 550元
鴨胸白湯烏龍麵 400元（限量供應）
綜合握壽司 6貫 350元（隨機搭配）
炸蝦天婦羅 200元
—————————————
🎀 #禾翰壽司
🆔 @hehan_2021
🏠 高雄市苓雅區永明街50號
🚇 輕軌光榮碼頭站出口步行350公尺約5分鐘
☎️ 07-2416778
⌚️ 週一至週日 11:00-14:00、17:00-21:00
—————————————
#taiwan #taiwanfood
#kaohsiung #kaohsiungfood
#虎麗 #hoolee #虎麗笑嗨嗨
#虎麗吃高雄 #高雄虎麗 #苓雅虎麗  #虎麗吃苓雅
—————————————
#高雄#高雄美食#苓雅#苓雅美食#苓雅區#苓雅區美食#高雄日本料理#高雄丼飯#高雄壽司#高雄午餐#高雄晚餐#高雄美食推薦#高雄必吃",41.07,{'0': '1915369762685282'},2025-01-13 22:22:33+08:00,2025-10-27 03:00:43+08:00,DExNnKnTGTj,Yes,Instaloader
