creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-10 10:02:00+00:00,2025-06-12 10:40:32+00:00,HowHow,howhowhasfriends,1436842471120771,1436842471120771,29,5101.0,187198.0,"欸欸不是啊空氣清淨機這麼小能用嗎？
小夫他們家的很大欸！？

你聽說過「飛利浦抗敏旗艦奈AC4221」嗎！？
高效性能，輕巧淨化大空間！
📍360度雙風扇+雙濾網循環科技 
只要6分鐘就能快速淨化大空間。
📍4層PM0.003*奈米級HEPA濾網
濾除目前已知最小病毒。
內含雙層椰殼活性碳濾網，
更有效吸附異味與甲醛！
讓家裡空氣都清新了起來～
📍SilentWings 貓頭鷹靜音氣旋科技
運作聲音僅15 分貝，
比悄悄話還小聲！
開著睡覺也不怕被吵醒。

家中必備神隊友，飛利浦抗敏旗艦奈AC4221！
現在買旗艦奈系列就送旗艦小奈! 
加碼再送一年份濾網
https://momo.dm/zBuBZZ 

@philipshomelivingtw 
#飛利浦抗敏專家 #抗敏淨化論 #飛利浦抗敏清淨機更美好你的生活 #這麼小都濾的掉才是真抗敏
*根據IUTA空氣過篩測試報告，可有效濾除小至PM0.003的懸浮微粒高達99.99%、",76.77,,2025-01-10 18:02:00+08:00,2025-06-12 18:40:32+08:00,DEpBY9Yq_KW,Yes,Instaloader
2025-01-15 10:17:00+00:00,2025-03-07 16:27:05+00:00,HowHow,howhowhasfriends,1366865975122900,1366865975122900,23,1951.0,104513.0,"要過年啦～
不管去年你有多不順、有多委屈，
只要吃一口How 孜味的美食，
2025 保證蛇麼都順！心想事成！
幸福如意！福如東海！福如我婆！

Uber Eats 推出了台灣人菜～諧音哏春聯！
把年味加上諧音的超台灣春聯！
快去Uber Eats過年活動網站下載你喜歡的春聯！
https://twubereatshappycny.com 

春節期間不管吃的用的，更是有多種優惠等著你！
趕快去下單吧～
Uber Eats（應該）都點得到",64.83,{'0': '8931859326943415'},2025-01-15 18:17:00+08:00,2025-03-08 00:27:05+08:00,DE17Fpfvj5A,Yes,Instaloader
2025-01-16 10:01:31+00:00,2025-06-14 16:23:38+00:00,HowHow,howhowhasfriends,1625707995102297,1625707995102297,29,3690.0,157351.0,"菜鳥新人剛入職就一堆鳥事？
加油...熬下去...

熬下去...熬得夠久...
就是...你的了...
共勉之...

這次被木星人點名，
一起熬下去！

高湯罐這邊買：
實體：全聯/家樂福/大潤發/愛買/美聯社/7-11
線上：牛頭牌線上購、Momo、PChome、蝦皮、東森購物

#牛頭牌 #牛頭牌原味高湯 #熬出頭
@bullhead_1958",58.37,,2025-01-16 18:01:31+08:00,2025-06-15 00:23:38+08:00,DE4eHKmJcOQ,Yes,Instaloader
2025-01-20 10:01:33+00:00,2025-09-17 11:06:24+00:00,HowHow,howhowhasfriends,26000084916269880,26000084916269878,32,3689.0,162456.0,"準備好這些東西，保證你過年笑嘻嘻。

過年總體來說還是開心的吧
除了可以放假超多天
還可以看到一年可能才會見到一次的親戚好開心（？
歡樂時刻就要刮刮樂！

今年新春限定2000萬超級紅包
總共有十個頭獎兩千萬，還有1200個100萬！
先不說了，我要去買更多玩具了

*投注不過度 助人又樂己 未滿18歲不得購買或兌領彩券
#台灣彩券 #刮刮樂 #歡樂時刻就要刮刮樂#刮刮樂就是一種過年的Style",54.74,,2025-01-20 18:01:33+08:00,2025-09-17 19:06:24+08:00,DFCxS67P9p2,Yes,Instaloader
2025-01-21 05:32:32+00:00,2025-07-09 13:05:46+00:00,HowHow,howhowhasfriends,1677610353647777,1677610353647777,104,11613.0,359054.0,我是不是假粉啊,21.99,,2025-01-21 13:32:32+08:00,2025-07-09 21:05:46+08:00,DFE3Ve-T3IJ,Yes,Instaloader
2025-02-01 10:01:18+00:00,2025-03-07 16:27:05+00:00,HowHow,howhowhasfriends,1642847353543256,1642847353543256,76,9173.0,296569.0,"有人要結婚了但什麼東西都沒帶的喔？

Uber Eats（應該）都點得到！
@ubereats_tw",80.83,,2025-02-01 18:01:18+08:00,2025-03-08 00:27:05+08:00,DFhq1UbsrfK,Yes,Instaloader
2025-02-08 10:01:06+00:00,2025-06-05 01:47:57+00:00,HowHow,howhowhasfriends,900070349669720,900070349669720,33,5435.0,210884.0,"外掃區就是我的決鬥場

神召守護隊「守護世界不肝PLAY」登入送5000抽
輸入HowHow的專屬序號【GDHOWHOWPLAY】還有更多好禮！
*序號兌換至2025/3/31 22:59止
#神召守護隊 #守護世界不肝PLAY #放置型RPG",70.83,,2025-02-08 18:01:06+08:00,2025-06-05 09:47:57+08:00,DFzsWR8BI5F,Yes,Instaloader
2025-02-27 02:55:27+00:00,2025-05-05 03:31:53+00:00,HowHow,howhowhasfriends,1615610229475683,1615610229475683,24,5785.0,216423.0,眼睛悖論,14.8,,2025-02-27 10:55:27+08:00,2025-05-05 11:31:53+08:00,DGj2x_1z-B0,Yes,Instaloader
2025-03-04 10:01:04+00:00,2025-05-01 11:02:20+00:00,HowHow,howhowhasfriends,1591725771972047,1591725771972047,34,4293.0,159479.0,"想脫單？來愛情商店就對了！
讓我們盡情享受一場跨越物種的愛情吧

全國電子50週年 一日狂撒百萬！
3/8(六) 13:00淡水店限時購！
*限量5折商品，秒殺開搶。
*抽結帳5折券，幸運翻倍省。
*10萬免單大獎，等你帶走！
千萬別錯過～3/8 就等你來！

全國電子淡水店
新北市淡水區濱海路一段300號",88.07,,2025-03-04 18:01:04+08:00,2025-05-01 19:02:20+08:00,DGxfcu1so1F,Yes,Instaloader
2025-03-05 10:02:09+00:00,2025-07-06 07:47:55+00:00,HowHow,howhowhasfriends,1399918698261645,1399918698261645,31,2921.0,145970.0,"只要一直打破規則，玩遊戲就會很舒服呢

@fragpunktw 
#FragPunk #界外狂潮 #3月6日全球",71.77,{'0': '701898736223416'},2025-03-05 18:02:09+08:00,2025-07-06 15:47:55+08:00,DG0EUg5sTjt,Yes,Instaloader
