creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-01 04:47:35+00:00,2025-02-16 11:24:01+00:00,超認真少年,imseriou,1191838849768412,1191838849768412,25,1079.0,93685.0,"被愛情a片幾耽誤的精美紙盒
我去應徵流水線不當總經理當什麼
#愛情a片幾 @maruto_hasegawa @deamark_limited",45.21,,2025-01-01 12:47:35+08:00,2025-02-16 19:24:01+08:00,DERSP2PzItX,Yes,Instaloader
2025-01-02 16:00:00+00:00,2025-06-26 18:50:10+00:00,超認真少年,imseriou,939405192077817,939405192077817,45,2069.0,102109.0,"一生中最重要的你 生日快樂
@playstationtaiwan @playstation #ps5 #psportal #ps4 #ps30th",26.65,"{'0': '879933278084828', '1': '26022778843983131', '2': '636665878674896'}",2025-01-03 00:00:00+08:00,2025-06-27 02:50:10+08:00,DEVEKzVzeMg,Yes,Instaloader
2025-01-06 04:55:00+00:00,2025-02-16 11:24:01+00:00,超認真少年,imseriou,2077515329739029,2077515329739029,36,1214.0,84032.0,"更年期的前兆
#Arpha #智慧門鎖 #近門即開 #3D人臉辨識 #AI掌靜脈 #台灣製造 
看詳細🔗 https://r.zecz.ec/re8Y",55.16,,2025-01-06 12:55:00+08:00,2025-02-16 19:24:01+08:00,DEeLRSKzXL7,Yes,Instaloader
2025-01-07 09:25:00+00:00,2025-02-16 11:24:01+00:00,超認真少年,imseriou,941004931826056,941004931826056,27,1148.0,73925.0,"獵人卡包之後會不會有YouTube西洋棋之亂
@youtube #youtuber #youtube #youtubecreator #chess #chessboard",58.35,,2025-01-07 17:25:00+08:00,2025-02-16 19:24:01+08:00,DEhO9RlT-1n,Yes,Instaloader
2025-01-08 13:02:49+00:00,2025-08-08 15:10:38+00:00,超認真少年,imseriou,1802723683735202,1802723683735202,2,,100108.0,日本老師傅傳承手打鐵鍋技術 #日本 #日本旅行 #kouba #燕三条,58.84,,2025-01-08 21:02:49+08:00,2025-08-08 23:10:38+08:00,DEkMaAlzOeB,Yes,Instaloader
2025-01-10 03:45:00+00:00,2025-07-08 18:42:40+00:00,超認真少年,imseriou,1428009412207944,1428009412207944,161,15968.0,651822.0,跨國CEO教我如何克服水土不服，這招到世界各地旅遊都有效 #印度 #旅遊 #旅遊日記,46.74,,2025-01-10 11:45:00+08:00,2025-07-09 02:42:40+08:00,DEoWaVWzvkd,Yes,Instaloader
2025-01-11 09:38:53+00:00,2025-08-01 22:33:12+00:00,超認真少年,imseriou,2963672627164887,2963672627164887,74,2741.0,220514.0,"印度街邊小吃
都請我同事吃 @imserioustudio",44.31,,2025-01-11 17:38:53+08:00,2025-08-02 06:33:12+08:00,DErjdiRT9zt,Yes,Instaloader
2025-01-14 11:02:43+00:00,2025-02-16 11:24:01+00:00,超認真少年,imseriou,1191787072941745,1191787072941745,31,1151.0,89724.0,過年買車你必須要知道...,88.77,,2025-01-14 19:02:43+08:00,2025-02-16 19:24:01+08:00,DEzbi50h60F,Yes,Instaloader
2025-01-17 06:14:57+00:00,2025-07-14 06:29:51+00:00,超認真少年,imseriou,1223084449966381,1223084449966381,118,17781.0,528126.0,"為什麼女生買車
非賓士不可 @mercedesbenztw #mercedesbenz #benz",29.73,,2025-01-17 14:14:57+08:00,2025-07-14 14:29:51+08:00,DE6o5IbzRl7,Yes,Instaloader
2025-01-21 10:11:22+00:00,2025-04-02 22:11:48+00:00,超認真少年,imseriou,1217654513339461,1217654513339461,3,375.0,66706.0,你的最後一口氣，會留給你的好朋友嗎？ 福特創辦人與愛迪生的超友誼 @ford_taiwan #ford,31.27,,2025-01-21 18:11:22+08:00,2025-04-03 06:11:48+08:00,DFFXE4eTuzU,Yes,Instaloader
2025-01-24 11:43:02+00:00,2025-02-16 11:24:01+00:00,超認真少年,imseriou,2192012024962511,2192012024962511,16,950.0,80600.0,過年快到了 尾款還收不到該怎麼辦,58.13,,2025-01-24 19:43:02+08:00,2025-02-16 19:24:01+08:00,DFNQHOapQLW,Yes,Instaloader
2025-01-26 11:01:20+00:00,2025-02-16 11:24:01+00:00,超認真少年,imseriou,1426762825609122,1426762825609122,3,594.0,74207.0,有了這個工具 學徒不再怕被罵,63.85,,2025-01-26 19:01:20+08:00,2025-02-16 19:24:01+08:00,DFSU7WGv3ri,Yes,Instaloader
2025-01-28 01:29:22+00:00,2025-02-16 11:24:01+00:00,超認真少年,imseriou,2749879935351897,2749879935351897,76,2890.0,89350.0,"拿去轉給你工業的兄弟們
新年快樂事事順心#新年 #恭喜發財 #新年快樂",23.83,,2025-01-28 09:29:22+08:00,2025-02-16 19:24:01+08:00,DFWcubYT5Dj,Yes,Instaloader
2025-01-31 10:54:10+00:00,2025-02-16 11:24:01+00:00,超認真少年,imseriou,847329131641469,847329131641469,17,1336.0,93315.0,"新春特別企劃 超認真收學徒啦
完整影片在YT",49.98,{'0': '3063178770551732'},2025-01-31 18:54:10+08:00,2025-02-16 19:24:01+08:00,DFfMFEARjk_,Yes,Instaloader
2025-02-01 05:31:17+00:00,2025-04-22 09:39:20+00:00,超認真少年,imseriou,1306649424831605,1306649424831605,25,1522.0,109053.0,"這樣算是去逛回收場嗎？

走春期間不知道要去哪嗎
不妨到台北大稻埕來逛逛台灣首間永續百貨 @houseofstorywear 
這裡有Storywear用舊牛仔褲做的獨一無二衣服
還有提供禮服租賃，快為春酒還有新的一年做準備
The Library的複合式空間最適合放鬆的下午

離捷運站走路也只要10分鐘喔！

▎House of Story Wear 永續時尚百貨
▎週二 ～ 週日 11:00 ～ 19:00
▎台北市西寧北路 65、67 號
​
#houseofstorywear #永續百貨 #迪化街  #永續時尚 #零廢時尚 #StoryWear #大稻埕 #EcoFriendlyLiving #永續品牌 #TaipeiShopping",61.42,"{'0': '904242925892781', '1': '1177120304220537', '2': '929555936075946', '3': '948013157769050', '4': '1871166883525464', '5': '1955977951727260', '6': '1573833437417566', '7': '921768647044558', '8': '829046443519950', '9': '1280726806480005', '10': '2800103100177938', '11': '2347310892407991', '12': '1118490586501565', '13': '476286951710831', '14': '1747316672897761'}",2025-02-01 13:31:17+08:00,2025-04-22 17:39:20+08:00,DFhL7P0qqEC,Yes,Instaloader
2025-02-02 11:01:05+00:00,2025-02-16 11:24:01+00:00,超認真少年,imseriou,1658289575587414,1658289575587414,4,503.0,67923.0,工地上解決一切問題的秘方：兄弟茶,42.13,,2025-02-02 19:01:05+08:00,2025-02-16 19:24:01+08:00,DFkWew1NHGt,Yes,Instaloader
2025-02-09 10:30:51+00:00,2025-02-16 11:24:01+00:00,超認真少年,imseriou,1563329414885314,1563329414885314,9,,98855.0,賺錢何必需要人 你有倉庫就夠了,26.54,,2025-02-09 18:30:51+08:00,2025-02-16 19:24:01+08:00,DF2UkGgoatU,Yes,Instaloader
2025-02-10 10:42:03+00:00,2025-02-16 11:24:01+00:00,超認真少年,imseriou,1443870634149355,1443870634149355,19,,101395.0,用不到衛生紙比戰爭更恐怖,32.64,,2025-02-10 18:42:03+08:00,2025-02-16 19:24:01+08:00,DF46pk5K-mG,Yes,Instaloader
2025-02-14 10:31:16+00:00,2025-10-16 19:47:59+00:00,超認真少年,imseriou,1334986181984555,1334986181984555,5,1009.0,107597.0,獵人卡包拿去典當 竟然值這個價,20.5,,2025-02-14 18:31:16+08:00,2025-10-17 03:47:59+08:00,DGDMmcxxj4u,Yes,Instaloader
2025-02-18 06:01:23+00:00,2025-05-03 11:46:09+00:00,超認真少年,imseriou,26054942830796820,26054942830796819,39,,95675.0,每一年來自賓士的愛 @mercedesbenztw #benz #mercedesbenz #賓士,48.81,,2025-02-18 14:01:23+08:00,2025-05-03 19:46:09+08:00,DGNA4yJMkQH,Yes,Instaloader
