creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-01 15:12:20+00:00,2025-04-30 20:09:43+00:00,王以甯 𝙸 𝙽 𝙴 𝚂,inesinesw,1664069751419355,1664069751419355,28,5352.0,80734.0,"跨年前在家練了16組啞鈴訓練
隔天起床獲得好看的臀型

2025新年快樂♥️

單邊直腿硬舉15*4組
相撲深蹲 15*4組
高腳杯深蹲 15*4組
直腿硬舉15*4組",7.03,{'0': '1956801588374823'},2025-01-01 23:12:20+08:00,2025-05-01 04:09:43+08:00,DESZsj2yJT0,Yes,Instaloader
2025-01-03 15:42:09+00:00,2025-02-13 08:08:37+00:00,王以甯 𝙸 𝙽 𝙴 𝚂,inesinesw,1908151376457456,1908151376457456,57,5908.0,59031.0,"今年冬天覺得粉色很可愛🎀

dress @wave_shine 
bag @wave_shine 
acc @lucys.tw",28.23,{'0': '1171402727908214'},2025-01-03 23:42:09+08:00,2025-02-13 16:08:37+08:00,DEXmt7dyOLD,Yes,Instaloader
2025-01-10 14:50:01+00:00,2025-07-14 07:41:55+00:00,王以甯 𝙸 𝙽 𝙴 𝚂,inesinesw,2795051127506667,2795051127506667,36,5322.0,47933.0,會逃跑的暖暖包🤎,24.75,{'0': '935020618991204'},2025-01-10 22:50:01+08:00,2025-07-14 15:41:55+08:00,DEpiSbhSuPc,Yes,Instaloader
2025-01-15 15:41:58+00:00,2025-02-13 08:08:37+00:00,王以甯 𝙸 𝙽 𝙴 𝚂,inesinesw,1588033552242530,1588033552242530,33,5543.0,51257.0,"應該不嫌棄我繼續發庫存吧🌺

明明上次出國是兩個月前
卻覺得過了好久好久🫣",12.54,,2025-01-15 23:41:58+08:00,2025-02-13 16:08:37+08:00,DE2gQ1ay0IQ,Yes,Instaloader
2025-01-16 15:25:27+00:00,2025-12-17 22:45:37+00:00,王以甯 𝙸 𝙽 𝙴 𝚂,inesinesw,1457995455915320,1457995455915320,31,5636.0,63333.0,淺色控🤍 @bellarena_fit_,22.17,"{'0': '1956801588374823', '1': '923657636717725'}",2025-01-16 23:25:27+08:00,2025-12-18 06:45:37+08:00,DE5DI-9ynMq,Yes,Instaloader
2025-01-18 15:12:50+00:00,2025-08-01 02:51:25+00:00,王以甯 𝙸 𝙽 𝙴 𝚂,inesinesw,4264870553786739,4264870553786739,21,5212.0,59240.0,"training record 💪🏻 #250116
sportswear @bellarena_fit_",34.83,"{'0': '1956801588374823', '1': '923657636717725'}",2025-01-18 23:12:50+08:00,2025-08-01 10:51:25+08:00,DE-LU01y4JP,Yes,Instaloader
2025-01-21 16:00:52+00:00,2026-01-09 04:56:13+00:00,王以甯 𝙸 𝙽 𝙴 𝚂,inesinesw,946204374736954,946204374736954,33,5486.0,73437.0,"差不多的穿搭差不多的喜歡
影片版還沒發過🐻‍❄️",21.76,,2025-01-22 00:00:52+08:00,2026-01-09 12:56:13+08:00,DFF_KFPyd7t,Yes,Instaloader
2025-01-25 15:06:15+00:00,2025-05-29 14:13:37+00:00,王以甯 𝙸 𝙽 𝙴 𝚂,inesinesw,1459311815833600,1459311815833600,52,5909.0,68227.0,"上週拍的運動衣都好舒適好修身
用原況照片剪一支短影片
給美女們回饋折扣碼🤍

@bellarena_fit_ 
官網結帳輸入優惠碼Ines100，現折100$
全館滿3000$免運費，滿5000再打九折
1月22日中午12:00開始到1月31日晚上23:59分截止",18.57,"{'0': '1956801588374823', '1': '923657636717725'}",2025-01-25 23:06:15+08:00,2025-05-29 22:13:37+08:00,DFQLlAKy8-U,Yes,Instaloader
2025-01-30 15:50:36+00:00,2025-02-13 08:08:37+00:00,王以甯 𝙸 𝙽 𝙴 𝚂,inesinesw,1176724170957931,1176724170957931,65,6069.0,64114.0,"初二報道🪭

初一初二都出門走走
累積了大量的照片
再來慢慢分享這個豐富的過年♥️

馬上戴上 @muir.official 的新年禮物
耳機太美了✨",23.38,,2025-01-30 23:50:36+08:00,2025-02-13 16:08:37+08:00,DFdHXaqyVow,Yes,Instaloader
2025-02-05 12:38:59+00:00,2025-05-03 11:11:36+00:00,王以甯 𝙸 𝙽 𝙴 𝚂,inesinesw,1439907960831915,1439907960831915,28,5214.0,53431.0,"2/1 初四練背 （影片不露臉你們是不是就不想看🤔）
平時照片我都沒有在修斜方肌，因為背練的好😎（自己講
背肌強壯後會把斜方肌往後拉
進而讓肩頸線條更好看，姿勢更挺拔
背肌有力後隨便站著就有好的儀態
不需要刻意抬頭挺胸，背肌會幫你出力💪🏻
天鵝頸小香肩就是這樣來的🤍
女生要把斜方肌練大真的很難，不要怕肌力訓練
斜方肌會大塊通常都是背肌無力！
肌肉是良好體態的良藥
不要再亂打肉毒了～～～❌
練了肌肉又把肌肉打掉太可惜了吧🥹",26.59,{'0': '1956801588374823'},2025-02-05 20:38:59+08:00,2025-05-03 19:11:36+08:00,DFsQBsEygDZ,Yes,Instaloader
2025-02-06 13:19:23+00:00,2026-01-09 08:06:52+00:00,王以甯 𝙸 𝙽 𝙴 𝚂,inesinesw,4399216580322601,4399216580322601,23,5013.0,48229.0,"年末年初真的超忙，肌膚蠟黃、暗沉、沒精神狀態亮紅燈，還好有 @cinquain_tw #思珂CQ 亮白組合
直接幫我逆轉膚況，亮回少女肌✨ 

💧 Step 1：CQ思珂 #璀璨光晶透活膚露
這瓶是我最近的心頭愛，化妝水+精華的雙重保養感
一抹就像肌膚喝飽水，輕盈彈潤沒有負擔
裡面添加了天女木蘭萃取、燕窩胜肽、α-熊果素
不只補水，還能抑制黑色素，讓膚色更均勻
特別是金箔成分加強吸收，上臉後肌膚真的透亮到發光

🍋 Step 2：CQ思珂 #搖搖維他命C亮白雙精萃
這罐真的很厲害！它是雙層精華，使用前搖一搖
油水黃金比例讓肌膚瞬間吸收，超水感完全不黏膩
最強的就是維他命C超強抗氧化+溫感超導技術
能夠深入毛孔幫助吸收，讓暗沉的肌膚重新亮起來！
早C晚A一瓶就搞定，懶人也能輕鬆保養到位

連續用了一週，素顏透亮，膚色變均勻，氣色提升好多！
這組美白雙星真的有夠可以
推薦給跟我一樣有 暗沉、蠟黃、熬夜肌困擾的美女們
快來體驗素顏發光的快樂吧🤍
https://cq-shop.com/澎潤透亮好命肌

#cinquain #CQ思珂 #思珂CQ
#璀璨光晶透活膚露
#搖搖維他命C亮白雙精萃",82.13,{'0': '4123658434564726'},2025-02-06 21:19:23+08:00,2026-01-09 16:06:52+08:00,DFu1YG9yoAr,Yes,Instaloader
2025-02-07 14:21:08+00:00,2025-02-13 08:08:37+00:00,王以甯 𝙸 𝙽 𝙴 𝚂,inesinesw,1843163739672218,1843163739672218,28,5342.0,53700.0,初二的仙女棒🪄,15.03,,2025-02-07 22:21:08+08:00,2025-02-13 16:08:37+08:00,DFxlV-0S1Ik,Yes,Instaloader
2025-02-10 13:14:31+00:00,2026-01-03 09:19:53+00:00,王以甯 𝙸 𝙽 𝙴 𝚂,inesinesw,822796167487075,822796167487075,19,5261.0,56398.0,"雖然健齡快八年了(沒中斷)
卻因為太愛吃零食，體態依然沒有很乾
體脂也沒有很低總是有小肉肉🐷
但從健身中獲得好的健康狀態卻是不可否認的
一定要記得給自己鼓鼓掌，不要太嚴苛對自己
我太容易陷在自己不夠好的焦慮中
最近在練習擺脫壓力，相信自己會戰勝它💪🏻

#250123 肩背訓練
#11nestalk",24.24,{'0': '1956801588374823'},2025-02-10 21:14:31+08:00,2026-01-03 17:19:53+08:00,DF5LWFXSGrc,Yes,Instaloader
2025-02-13 15:14:37+00:00,2025-09-19 01:39:47+00:00,王以甯 𝙸 𝙽 𝙴 𝚂,inesinesw,1171058901554875,1171058901554875,60,5840.0,71198.0,☁️🐩🤍+🌞,28.3,,2025-02-13 23:14:37+08:00,2025-09-19 09:39:47+08:00,DGBIGdgSVgY,Yes,Instaloader
2025-02-18 14:29:44+00:00,2025-09-15 07:24:22+00:00,王以甯 𝙸 𝙽 𝙴 𝚂,inesinesw,3647201455422022,3647201455422022,42,6387.0,72078.0,還有三支運動影片沒剪🦭,10.61,{'0': '1956801588374823'},2025-02-18 22:29:44+08:00,2025-09-15 15:24:22+08:00,DGN61atyEg3,Yes,Instaloader
2025-02-19 15:52:03+00:00,2025-09-08 09:16:58+00:00,王以甯 𝙸 𝙽 𝙴 𝚂,inesinesw,1470373177785404,1470373177785404,47,6021.0,55416.0,"突然好想看雪，但是春天已經要來了⛄️

這一週忙的眼睛又快發炎了，真希望一天有28小時
斜槓的事情怎麼做都做不完🫣
此時此刻我眼睛已經要闔上
先說聲晚安👋🏻",26.24,,2025-02-19 23:52:03+08:00,2025-09-08 17:16:58+08:00,DGQnWnfyfhO,Yes,Instaloader
2025-02-20 15:22:30+00:00,2025-05-01 22:12:18+00:00,王以甯 𝙸 𝙽 𝙴 𝚂,inesinesw,746752171527858,746752171527858,25,5718.0,66905.0,"自從考到證照後，訓練內容都是自己排的
最近也在做很多心理狀態的練習，學習跟自己對話
雖然還不確定目標在哪，但走在軌道上的感覺真好

sportswear @bellarena_fit_ 

參加活動完難得全妝健身 #250218
開心練胸，之後再發完整版🤍",36.99,"{'0': '1956801588374823', '1': '923657636717725'}",2025-02-20 23:22:30+08:00,2025-05-02 06:12:18+08:00,DGTKsGwS-_d,Yes,Instaloader
2025-02-24 14:53:50+00:00,2025-12-01 08:38:09+00:00,王以甯 𝙸 𝙽 𝙴 𝚂,inesinesw,2779290089088092,2779290089088092,20,5098.0,39190.0,"@tods #Tods #TodsSS25

Videographer @beautyholicphotography 
video editor @inesinesw",34.41,"{'0': '1235445845396015', '1': '969517335057151'}",2025-02-24 22:53:50+08:00,2025-12-01 16:38:09+08:00,DGdal4mSqH_,Yes,Instaloader
