creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-07 11:08:00+00:00,2026-01-10 00:23:46+00:00,布萊克薛薛 Drangadrang,k3okii,1469556721252400,1469556721252400,43,8541.0,308827.0,"最好的鬧鐘🙂

冰結不便宜！不准偷喝！

留言告訴我，你們可以喝幾瓶
目前戰績3而已..

@kirin_rtd_tw ❤️
#布萊克薛薛 #冰結 #好喝一直喝",24.77,{'0': '898875949496173'},2025-01-07 19:08:00+08:00,2026-01-10 08:23:46+08:00,DEhaR-Azqq7,Yes,Instaloader
2025-01-09 11:47:45+00:00,2025-07-08 01:18:38+00:00,布萊克薛薛 Drangadrang,k3okii,893523743575936,893523743575936,40,10337.0,474324.0,"不好意思！我們是火鍋店！
叫你們讓客人開心不是自己玩得很開心欸！

😂😂😂😂😂😂😂😂
有這樣的店員你一個月來幾次？

#布萊克薛薛 #瑞莎 #可謙 #一雞鍋林森店",21.43,"{'0': 'non_public_3481922825295735', '1': '1636415240851687', '2': '1905507296721921'}",2025-01-09 19:47:45+08:00,2025-07-08 09:18:38+08:00,DEmofcnzmEW,Yes,Instaloader
2025-01-14 12:00:00+00:00,2025-09-13 04:34:10+00:00,布萊克薛薛 Drangadrang,k3okii,2658795767852992,2658795767852992,22,8967.0,429477.0,"做過吧台的都知道
那個飲料灑出來會瞬間暴怒
完全不能原諒😂

誰是你的創業好幫手？
國泰金控CaaS一站式金融服務整合平台
一站連結開店所需的各類金融資訊
讓你輕鬆創業不煩惱！
詳情上官網諮詢！

#CaaS #國泰金控",52.13,{'0': '1876157793027215'},2025-01-14 20:00:00+08:00,2025-09-13 12:34:10+08:00,DEziK7PvMQz,Yes,Instaloader
2025-01-15 11:13:11+00:00,2025-02-07 12:23:33+00:00,布萊克薛薛 Drangadrang,k3okii,773748891838803,773748891838803,91,10665.0,385871.0,"認同請按讚分享
也tag你最需要的朋友 

太難了，真的好難🙂

#布萊克薛薛 #人生最難說出的三句話",26.37,,2025-01-15 19:13:11+08:00,2025-02-07 20:23:33+08:00,DE2BYqgTt-M,Yes,Instaloader
2025-01-17 12:00:00+00:00,2025-08-06 16:00:39+00:00,布萊克薛薛 Drangadrang,k3okii,25848010341500032,25848010341500027,70,13804.0,542623.0,"當朋友打來聊八卦的時候
那個網速可以嗎🥲
可以告訴我所以楊楊說了什麼嗎？

台灣大哥大好速成双
行動5G+光纖Wi-Fi 6一起辦更划算
只要5G吃到飽的月租再多$200
額外享受在家1Gbps光纖上網
還有三台Mesh Wi-Fi 6設備
走到哪訊號跟到哪！
搜尋👉🏾台灣大哥大好速成双
就可以線上申辦囉

@taiwanmobile_official
#台灣大大可能 #好速成双 #在外5G在家WiFi6",60.76,"{'0': '789969820091176', '1': '1876157793027215'}",2025-01-17 20:00:00+08:00,2025-08-07 00:00:39+08:00,DE7Qm33vOGY,Yes,Instaloader
2025-01-21 12:00:00+00:00,2025-07-29 15:30:47+00:00,布萊克薛薛 Drangadrang,k3okii,1214625936972439,1214625936972439,448,19007.0,556202.0,"有這樣的好爸爸，你幾點回家吃飯？

年末聚餐，有牛頭牌原味高湯
做料理要奪快就可以奪快！

@bullhead_1958 
#牛頭牌 #牛頭牌原味高湯 #料理神助攻",64.36,{'0': '1636415240851687'},2025-01-21 20:00:00+08:00,2025-07-29 23:30:47+08:00,DFFj0YBPRVX,Yes,Instaloader
2025-01-22 12:03:34+00:00,2025-06-29 12:48:59+00:00,布萊克薛薛 Drangadrang,k3okii,1141142661289519,1141142661289519,94,30289.0,1077861.0,"所以說
到底為什麼要擠在一起？
到底那個位置要放什麼東西？

JUST TELL ME 為什麼～ 
（好老的歌還有人知道嗎😂

#布萊克薛薛
#瑞莎
#可謙
#IG改版",15.57,{'0': '1636415240851687'},2025-01-22 20:03:34+08:00,2025-06-29 20:48:59+08:00,DFIIs4KTIM2,Yes,Instaloader
2025-01-23 12:00:00+00:00,2025-07-16 15:24:50+00:00,布萊克薛薛 Drangadrang,k3okii,1673602307338787,1673602307338787,86,7027.0,416596.0,"*文末抽獎
經紀人莎姐好兇！
阿不是我的臉也太醜了吧😂

NO1.牙醫推薦***舒酸定專業抗敏護齦牙膏
3倍更有效幫助舒緩敏感牙和清除牙菌斑^, 
2週有效^^降低牙齒敏感+幫助改善牙齦健康
抗敏護齦一次處理，不用擔心牙齦卡卡**或牙齒酸等問題！
現在還有新年中發白禮盒三入組！
購買舒酸定產品於LINE官方登錄發票
即享週週抽萬元金元寶機會！

抗敏護齦牙膏三入組加碼抽！
🎁即日起至2/2 於本文留言「 @sensodynetw 舒酸定抗敏護贏好運到！」
就抽出三位獲得舒酸定新春限定禮盒～

#舒酸定 #舒酸定專業抗敏護齦牙膏  #2種問題1次處理 

*每天刷牙兩次並配合正確刷牙習慣
**係指牙齦問題造成的牙齦不舒服，有任何牙齒及牙齦問題，請諮詢您的牙醫師
***係指No.1 牙醫推薦抗敏牙膏品牌，根據2023年6月~2023年7月Ipsos市場調查報告(抗敏牙膏品類)
^係指與一般含氟牙膏相比，3倍更有效幫助舒緩牙齒敏感(連續使用8週)及減少牙菌斑(連續使用6個月)。
^^係指連續使用兩週後，與一般含氟牙膏相比，可有效幫助舒緩牙齒敏感和改善牙齦健康。",77.31,{'0': '1636415240851687'},2025-01-23 20:00:00+08:00,2025-07-16 23:24:50+08:00,DFKtUJpvFtc,Yes,Instaloader
2025-01-24 11:25:27+00:00,2025-07-17 06:23:51+00:00,布萊克薛薛 Drangadrang,k3okii,26326965386908220,26326965386908221,99,18215.0,529310.0,"來來來！
最會幫你討債的網紅來了
今天已經是年前最後一個上班日
那些欠錢還沒有還的
看是要tag他們還是直接傳給他們都可以

對別人心軟就是對自己殘忍

欠錢不要欠過年！

祝大家新年快樂恭喜發財
每一位債主都能拿回自己的錢錢🧧

#布萊克薛薛 #還錢",24.07,,2025-01-24 19:25:27+08:00,2025-07-17 14:23:51+08:00,DFNMVZdTXAG,Yes,Instaloader
2025-02-04 12:00:00+00:00,2025-04-30 16:31:38+00:00,布萊克薛薛 Drangadrang,k3okii,956361570061316,956361570061316,25,4731.0,380494.0,"不得不說
不近女色我真的翻得非常好
大家覺得呢？😂

Speak代言人!
應該要選我吧！選我！選我！

另外轉發這篇Reels至限動並 tag @speak_zh 
就有機會抽中 AirPods 或其他神秘大禮唷！
*詳細活動辦法請查看speak置頂活動貼文

#英文講最爛代言人",44.48,{'0': '900124179602163'},2025-02-04 20:00:00+08:00,2025-05-01 00:31:38+08:00,DFpm9nYvctQ,Yes,Instaloader
