creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-01 16:14:41+00:00,2025-08-06 14:29:20+00:00,籃籃,lan0716,26325630407050168,26325630407050168,275,70761.0,2379143.0,一切就挺突然的,46.65,,2025-01-02 00:14:41+08:00,2025-08-06 22:29:20+08:00,DESgSo4S7fA,Yes,Instaloader
2025-01-02 13:22:45+00:00,2025-08-06 14:28:39+00:00,籃籃,lan0716,1819978231982968,1819978231982968,138,13986.0,806568.0,"送上新年禮 《瓦冬·北調 》 寫真掛曆 限量預購開跑 
用北海道的浪漫陪你渡過2025 ❄️

第一波預購即送親簽明信片!!!
快去賣場手刀購入 ʕง•ᴥ•ʔง

#瓦冬北調
#籃籃限量寫真掛曆",29.06,,2025-01-02 21:22:45+08:00,2025-08-06 22:28:39+08:00,DEUvn8-yLfW,Yes,Instaloader
2025-02-23 09:28:40+00:00,2025-07-25 02:57:29+00:00,籃籃,lan0716,962123093152641,962123093152641,126,26984.0,991987.0,"咱系勇敢A小飛俠 ☝🏻 台灣加油 !!!!! ⚾️
#wbcq #teamtaiwan",47.67,,2025-02-23 17:28:40+08:00,2025-07-25 10:57:29+08:00,DGaQHqhSMR9,Yes,Instaloader
2025-02-27 15:09:35+00:00,2025-08-06 08:20:43+00:00,籃籃,lan0716,957699230111268,957699230111268,139,39858.0,1793568.0,"我不是狗 我是人 我不是豬 #唸三次 

@rakuten_monkeys",58.75,{'0': '519085784439874'},2025-02-27 23:09:35+08:00,2025-08-06 16:20:43+08:00,DGlKXRYyGwD,Yes,Instaloader
2025-04-12 15:16:50+00:00,2025-07-27 13:26:01+00:00,籃籃,lan0716,2027102628188440,2027102628188440,222,42010.0,1542824.0,"🎤：耍酷啦 ～～

#林立可以耍酷啦啊欸哦
#推進隊長",17.2,,2025-04-12 23:16:50+08:00,2025-07-27 21:26:01+08:00,DIWePupPavS,Yes,Instaloader
2025-04-16 12:15:18+00:00,2025-11-14 06:33:55+00:00,籃籃,lan0716,1989815835278656,1989815835278656,132,19195.0,668145.0,繼續在本後見面吧❤️‍🔥 #推進隊長,24.45,,2025-04-16 20:15:18+08:00,2025-11-14 14:33:55+08:00,DIgctFdSv2w,Yes,Instaloader
2025-05-10 15:47:07+00:00,2025-08-06 14:27:47+00:00,籃籃,lan0716,883948797845299,883948797845299,103,29074.0,748609.0,"雖然分開在不同舞台  但心很靠近 
對吧？ <redacted_mention> ❤️

（下次我們會贏的😜）",36.18,{'0': 'non_public_1397608985710299'},2025-05-10 23:47:07+08:00,2025-08-06 22:27:47+08:00,DJen001yUk8,Yes,Instaloader
2025-06-07 04:45:51+00:00,2025-07-30 01:00:21+00:00,籃籃,lan0716,3946031515529933,3946031515529933,127,17912.0,1140508.0,青埔潘瑋柏,28.68,,2025-06-07 12:45:51+08:00,2025-07-30 09:00:21+08:00,DKliw08yfrI,Yes,Instaloader
2025-06-10 09:17:10+00:00,2025-07-31 05:07:09+00:00,籃籃,lan0716,1223565869984712,1223565869984712,88,16045.0,653344.0,"先不管催落  我剛好像看到魔鷹（？🤣 

#rakutenmonkeys 
#猴系因仔 
#催落",52.62,,2025-06-10 17:17:10+08:00,2025-07-31 13:07:09+08:00,DKtvj92yhBP,Yes,Instaloader
2025-06-21 08:22:04+00:00,2026-01-15 23:27:32+00:00,籃籃,lan0716,902293406054847,902293406054847,170,33240.0,1386981.0,"河哈！河哈！還沒開賽已經流汗了 💦

<redacted_mention> 👭🏻
#rakutenmonkeys#yokoso",22.31,{'0': 'non_public_3605577682923029'},2025-06-21 16:22:04+08:00,2026-01-16 07:27:32+08:00,DLJ-L3-SKtr,Yes,Instaloader
