creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-02-21 08:09:52+00:00,2025-02-23 12:00:00+00:00,Logan Beck 小貝,logandbeck,2722958664731576,2722958664731576,8,,17616.0,What’s so Special About KEELUNG Taiwan? 到了美國朋友去基隆，我們的時間不多，但是照可以逛「廟口夜市」吃知名的「營養三明治」 #Keelung #基隆,58.86,,2025-02-21 16:09:52+08:00,2025-02-23 20:00:00+08:00,DGU95fRPRZW,Yes,Instaloader
2025-03-06 01:18:32+00:00,2025-05-29 16:45:41+00:00,Logan Beck 小貝,logandbeck,938997531884770,938997531884770,36,4925.0,210156.0,外國人最佳台灣東北角一日遊：好瘋狂！金黃瀑布 · 茶壺山 · 九份老街 · 基隆 · 西門町 · 火鍋 — 滿滿的一天，你們還是會加什麼地方？ BEST one-day-touring Northern Taiwan! #TeapotMountain #Taipei #JoufenOldStreet,54.55,{'0': 'non_public_2236659660154966'},2025-03-06 09:18:32+08:00,2025-05-30 00:45:41+08:00,DG1s3aiy4lm,Yes,Instaloader
2025-03-07 02:13:55+00:00,2025-03-09 20:53:59+00:00,Logan Beck 小貝,logandbeck,1404717684167671,1404717684167671,4,288.0,22139.0,"這是你們會想吃的早餐嗎？美國猶他州特色的早餐：炸司康加蜂蜜奶油 + 馬鈴薯餅加 SOS 醬 ❤️ ❤️ 講了我的肚子就餓了，想回我故鄉吃吃吃！

這早餐不僅是台灣買不到的，也是在美國其他州買不到的 ... 就是那麼獨一無二的美食！鬆餅好像也他到了吧，這一餐到底可以給多少人吃？

Check out my favorite breakfast cuisine from my hometown: Utah Fried Scones with Honey-Butter and Hash Browns with S.O.S. Sauce!",88.84,{'0': 'non_public_2236659660154966'},2025-03-07 10:13:55+08:00,2025-03-10 04:53:59+08:00,DG4YFp6PLff,Yes,Instaloader
2025-03-19 09:02:27+00:00,2025-10-01 17:23:10+00:00,Logan Beck 小貝,logandbeck,2744196222588172,2744196222588172,8,746.0,27266.0,"我的夢想旅程是什麼？壯遊怎麼玩最好玩？What is my dream vacation like in Taiwan? — It may be a bit different than yours!

對我來說，就是一趟充滿新發現、挑戰自我、圓夢的旅程！這次，我決定來場真正的「壯遊」，從台灣觀光100亮點中，選出我一直想去但從未探索的地方——苗栗的苑港漁港和鯉魚潭水庫，用雙鐵旅遊（火車+單車）來完成夢想中的臺灣壯遊之旅！

🐟 前往苑港漁港感受漁港魅力，站在彩虹橋上看一望無際的海岸景色，心也跟著開闊！
🚴‍♂️ 騎單車環繞鯉魚潭水庫，看見全臺唯一的鋸齒堰溢洪道，感受微風吹拂，湖光山色美得不像話！
🚆 搭火車穿越苗栗的山水風光，慢旅最能體驗當地風情。
🧵 體驗傳承百年的藺草編織，手作的樂趣讓我更了解在地特色文化。
🍜 品嚐苗栗美食，客家板條、手工肉包，還有最愛的傳統米漿，每一口都充滿地方的故事和滿滿的人情味！
這趟旅行不只是探索新景點，更是我圓夢的一步——完成自己的台灣觀光100亮點壯遊挑戰！

📢 現在換你挑戰！你的夢想旅程是什麼？
交通部觀光署正舉辦台灣觀光100亮點「壯遊心體驗」圓夢企劃徵集活動！從3月17日到5月11日為止，只要你的壯遊計畫夠有挑戰、夠感人，就有機會獲得1萬元壯遊金，影片入選最高還能拿5萬元獎金！快來投稿，讓你的夢想旅行成真！

👉 活動詳情請見：https://100spotlights.taiwan.net.tw/travel.php

#台灣觀光100亮點 #壯遊心體驗  #台灣旅行 #台灣 #苗栗 #公路車 #客家 

（交通部觀光署 廣告）",89.64,,2025-03-19 17:02:27+08:00,2025-10-02 01:23:10+08:00,DHYAlxnsy3P,Yes,Instaloader
2025-08-22 23:44:16+00:00,2025-08-27 02:14:21+00:00,Logan Beck 小貝,logandbeck,906160725369513,906160725369513,0,,20797.0,"🇹🇼 在環法自行車賽我採訪了 Lidl-Trek 車隊的技師，他告訴我 Trek 為什麼是最快的單車！其中一個關鍵零件竟然來自台灣 🇹🇼 — @tripeakcycling 陶瓷培林！Tripeak 贊助 Lidl-Trek，助攻拿下綠衫衝刺積分冠軍！🚴‍♂️💨 Trek + Tripeak = 全場最速組合！
👉 www.tripeakbearing.com

⸻

At the Tour de France, I interviewed a Lidl-Trek mechanic who shared why Trek bikes are the fastest!
One key component comes from Taiwan 🇹🇼 — Tripeak ceramic bearings! With Tripeak’s support, Lidl-Trek sprinted to the green jersey victory! 🚴‍♂️💨 Trek + Tripeak = the fastest combo on the pro circuit!
👉 www.tripeakbearing.com",50.67,,2025-08-23 07:44:16+08:00,2025-08-27 10:14:21+08:00,DNrRdz42oKQ,Yes,Instaloader
2025-08-28 02:02:33+00:00,2025-08-30 04:42:49+00:00,Logan Beck 小貝,logandbeck,26303914629234380,26303914629234380,0,169.0,14506.0,Best part of watching the Tour de France? 觀看環法塞每次最期待看美國隊長衝過去！Seeing the Stars and Stripes zip through the street ~ These were the Star Bangled moments during the Tour that I saw Captain America shine! @skin.quimmons,59.33,,2025-08-28 10:02:33+08:00,2025-08-30 12:42:49+08:00,DN4ZRdGjXgp,Yes,Instaloader
2025-08-29 01:55:32+00:00,2025-08-29 03:15:59+00:00,Logan Beck 小貝,logandbeck,1290769363109008,1290769363109008,1,,21840.0,"🇫🇷 觀看環法賽的時候有機會跟別府史之 @fumybeppu 聊天 ～ 他是日本第一完成環法的自行車選手！很幸運能夠聽到他跟分享一位車手參加全球最大的比賽的心得. // During the Tour de France I had the opportunity to talk with Fumiyuki Beppu, the first Japanese to ever finish the TDF! This cyclist legend gives us a great insight on how it is to be a cyclist on the world’s biggest stage! #tourdefrance",128.15,,2025-08-29 09:55:32+08:00,2025-08-29 11:15:59+08:00,DN69ABoDc6P,Yes,Instaloader
2025-09-29 22:40:12+00:00,2025-09-30 23:40:16+00:00,Logan Beck 小貝,logandbeck,915568354456176,915568354456176,34,3665.0,183243.0,🇹🇼 必推的台灣美食：爌肉飯 | Must Eat Taiwanese Food: Soy Braised Pork #台灣美食 #爌肉飯 #Food #Taiwan,66.94,,2025-09-30 06:40:12+08:00,2025-10-01 07:40:16+08:00,DPNAUWgDeY-,Yes,Instaloader
2025-10-01 23:38:17+00:00,2025-10-04 07:49:01+00:00,Logan Beck 小貝,logandbeck,2296607130829539,2296607130829539,1,625.0,32854.0,台灣必推美食：彰化肉圓| Must Eat Taiwan Meatballs #TaiwanFood #台灣美食 #肉圓,46.25,{'0': '1958810938175685'},2025-10-02 07:38:17+08:00,2025-10-04 15:49:01+08:00,DPSQm4qjZNN,Yes,Instaloader
2025-10-17 00:28:32+00:00,2025-10-23 18:49:12+00:00,Logan Beck 小貝,logandbeck,942363991482709,942363991482709,19,2507.0,105308.0,必推台灣美食 ～ 彰化哪裡可以買這種「水果蛋糕麻糬」 - 零外國人吃一口就完全崩潰！It’s the best mochi in Taiwan! #TaiwanFood #台灣美食,53.03,,2025-10-17 08:28:32+08:00,2025-10-24 02:49:12+08:00,DP49z64DQuk,Yes,Instaloader
