creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-11 04:09:40+00:00,2025-01-13 05:50:00+00:00,黃小米 Mii,lovemiihuang,2898412683702839,2898412683702839,57,5487.0,429524.0,"開箱Gentle Monster 2025最新墨鏡🕶️
你們喜歡哪一副？

<redacted_mention> 
#GentleMonster 
#GentleMonsterJewelry 
#GentleMonster2025",90.03,{'0': 'non_public_1664183178280181'},2025-01-11 12:09:40+08:00,2025-01-13 13:50:00+08:00,DEq9zAYzQ0g,Yes,Instaloader
2025-01-13 12:12:25+00:00,2025-02-23 03:16:54+00:00,黃小米 Mii,lovemiihuang,2961220364074879,2961220364074879,56,3477.0,193241.0,"北海道企鵝遊行太太太可愛了😍🐧

每次都在網路上看到人家拍照影片
這次親自在現場感受企鵝的可愛魅力
會忍不住大呼「太可愛了吧」大概一千次

誰准你們這麼呆萌的!!!

📍旭山動物園
Kuranuma Higashiasahikawacho, Asahikawa, Hokkaido

企鵝遊行一天有兩場11:00 & 14:30
一入園跟著人潮走就對了

紀念品商店也有限定販售商品
太可愛了我直接打包好幾隻玩偶回家
趕快分享給喜歡動物的朋友們！

#travel #japan #hokkaido 
#北海道 #旭山動物園 #企鵝遊行",46.57,{'0': 'non_public_882604491267717'},2025-01-13 20:12:25+08:00,2025-02-23 11:16:54+08:00,DEw-oI9z65z,Yes,Instaloader
2025-01-15 12:42:53+00:00,2025-01-17 14:23:03+00:00,黃小米 Mii,lovemiihuang,926327513129629,926327513129629,452,,297366.0,"你們知道腮紅可以修飾臉型嗎？
分享三種腮紅畫法
想要顯臉小、拉提的趕快學起來！

今天用YSL新出的 #恆久完美透膚煙染腮紅 來示範
把精品皮革元素融入包裝中
粉質真～的很細緻，一抹就融入肌膚中
這樣上臉自然就很好暈染又服貼

第一種小臉畫法
縮短臉的長度，把視覺焦點集中
使用 #06玫瑰煙靄，質感百搭的乾燥玫瑰色
柔霧質地非常高級又融膚

第二種拉提畫法
用腮紅取代修容，在顴骨處往斜上方刷
使用帶有細閃燦光的 #93透光薔薇
這樣連打亮都一起搞定了

第三種是我平時很愛的眼下腮紅
選用黃皮膚也適合的 #57日暮珊瑚
內斂的珊瑚色搭配柔霧質地
視覺減齡同時也不擔心顯粉感

必須說它真的是一顆內外兼具的精品腮紅
持久度也是讚讚的！卸妝前腮紅都還乖乖待著

你們喜歡哪一種腮紅畫法？
留言跟我說！

📢現在買腮紅新品消費滿額
就可以獲得影片中使用的隨身訂製腮紅刷唷

#YSL皮革腮紅 #第一顆精品皮革腮紅 #24小時持色融膚 #yslbeautytw",59.63,{'0': '219778224554608'},2025-01-15 20:42:53+08:00,2025-01-17 22:23:03+08:00,DE2LuWQzK9L,Yes,Instaloader
2025-01-16 12:08:34+00:00,2026-01-20 16:08:06+00:00,黃小米 Mii,lovemiihuang,1283824306895910,1283824306895910,14,,170798.0,"最近打算開始有氧了
體脂太高真的要好好訓練心肺功能
讓身體代謝變得更好💪🏻

你們知道這觀念也適用在皮膚嗎？
如果肌膚擁有足夠的氧氣好好呼吸，就能產生更多ATP能量
聽說要1.2萬個ATP能量才能生成1個膠原蛋白
你們都知道膠原蛋白是緊緻澎潤的重要成分
所以肌膚好好呼吸就更能有效對抗衰老！
（你們看那些有運動習慣的人都比較不顯老態！）

之前出現在空空賞好幾次的DIOR逆時能量系列
這次全新升級DIOR逆時系列就抓住這個概念
提出「活氧膠原調控科技」，提供肌膚充足的氧氣

新包裝我覺得更精緻耶
精華質地像精華乳，滲透力真的超級好
抹上臉你會感覺有潤澤度但完全不黏

乳霜則是像奶酪一抹就化開
日常保養我就是全臉薄擦
兩頰特別乾的話可以厚敷加強保濕

保養完隔天早上會變得透明感又自帶光澤
膚況養好了底妝隨便上都很貼

其實前一代本來就很好用了
新版我用下來覺得更好吸收
但該有的保水度都沒有落掉這點很棒
想要全方位抗老，保持肌膚在緊緻澎潤狀態的人
推薦你們可以試試這系列！

@DiorBeauty
#DiorCapture #DiorSkinCare
#迪奧逆時系列 #氧生美肌 #肌膚有氧青春不老 #collab",71.67,,2025-01-16 20:08:34+08:00,2026-01-21 00:08:06+08:00,DE4soNJzY7t,Yes,Instaloader
2025-01-18 12:46:15+00:00,2025-06-14 12:16:18+00:00,黃小米 Mii,lovemiihuang,1510849507296133,1510849507296133,112,13830.0,1328253.0,"來開箱UniqloＸJil Sander聯名系列
這外套不買對不起自己啊！

外型極簡、高質感
兩款羽絨都用到750以上的蓬鬆度
所以穿起來又輕又暖又立體

女款外套做斗篷設計，特別喜歡領口跟袖子的篷篷感
我刻意買L號比較寬鬆
一件14900日圓退稅完換算台幣3000有找
完全對得起價格的一件單品

男款比較休閒的連帽外套
強烈推薦選灰綠色，本人真的很好看
看起來像是上萬元單品（但其實只要17900日圓）

+J復刻系列只有日本有賣喔
最近有要去玩的人趕快去逛逛！

#uniqlo #jilsander #+J #Japan",80.11,"{'0': '2031789930562338', '1': 'non_public_882604491267717', '2': '508929748343518'}",2025-01-18 20:46:15+08:00,2025-06-14 20:16:18+08:00,DE954dszPlv,Yes,Instaloader
2025-01-22 11:45:25+00:00,2025-06-27 17:53:06+00:00,黃小米 Mii,lovemiihuang,926756236922791,926756236922791,3106,8378.0,473747.0,"猜猜我有沒有抽中隱藏版？

影片有彩蛋～記得看到最後喔
別說我沒提醒你們😎

#popmart #crybaby #labubu
#泡泡瑪特",135.3,{'0': '1037079651715379'},2025-01-22 19:45:25+08:00,2025-06-28 01:53:06+08:00,DFIGrt7zQMP,Yes,Instaloader
2025-01-23 12:14:52+00:00,2025-01-29 12:54:58+00:00,黃小米 Mii,lovemiihuang,2218023845636353,2218023845636353,1883,7393.0,890573.0,"缺貨到一支難求的香奈兒雙頭唇釉好用嗎？

感謝日本友人幫忙採買
還多買了2支要送給你們喔喔喔！
最誠實心得看完再決定要不要下手吧

#chanel #liptint 
#專櫃唇彩 #小米美妝筆記",53.36,,2025-01-23 20:14:52+08:00,2025-01-29 20:54:58+08:00,DFKuy_mzkfy,Yes,Instaloader
2025-01-25 13:15:49+00:00,2025-08-09 12:44:24+00:00,黃小米 Mii,lovemiihuang,934067259151783,934067259151783,42,,254011.0,"0下溫度怎麼穿？
這趟北海道幾乎每天都是-5到-10度左右的天氣
出去玩不想每天包成棉被的話
跟你們分享三種穿搭靈感！存起來參考

#Look1 高領發熱衣＋針織上衣＋長版大衣
很怕冷的可以疊穿兩件發熱衣
牛仔長褲也能偷塞發熱褲在裡頭
URBAN RESEARCH這件針織衫已經成為我近期最愛
撞色設計跟彈性羅紋完全長在我審美上
不想要讓頭吹到風，圍巾繞頭做配件是最近很紅的穿法！

#Look2 高領發熱衣＋針織衫＋羽絨外套
這件毛衣太有設計感！好喜歡這種漸層配色
還有在限動被問爆的絎縫羽絨外套
米白色外套在雪地裡穿真的很亮眼
因為不會過於厚重，在台灣的冬天也很實穿

#Loo3 針織裙套裝＋羽絨外套
裙裝好處就是穿起來很舒服，也可以偷塞發熱褲
這套軟綿綿材質加上超有質感的淺灰色
那天一穿就被同行友人問哪裡買
如果去雪地會穿那種厚厚的雪靴也很好搭

謝謝Urban Reseach讓我穿好多新衣服去北海道玩
喜歡有點設計感又百搭單品的千萬別錯過啦

📢URBAN RESEARCH 新春折扣
全面4折起，結帳滿件再85折
新會員註冊領200元購物金
粉絲再加碼輸入折扣碼『MII』，滿3000現抵300
（優惠期限至2/7 10:00）
*以上優惠皆可疊加使用&部分商品不適用本次優惠

溫馨提醒：
想要快速看到我挑的單品可以在官網🔎小米

#japan #hokkaido #winteroutfits
#urbanresearch #miiootd",33.48,{'0': '1486618159651467'},2025-01-25 21:15:49+08:00,2025-08-09 20:44:24+08:00,DFP_fzIT-IE,Yes,Instaloader
2025-01-27 12:01:52+00:00,2025-01-27 14:22:01+00:00,黃小米 Mii,lovemiihuang,4185516225112543,4185516225112543,45,,218789.0,"分享我去年最愛的唇彩們💋
開架專櫃都有～想知道第一眼被哪款吸引到？

詳細的優缺點介紹
可以去YouTube頻道最新影片！

#lipstick #小米美妝筆記",23.85,,2025-01-27 20:01:52+08:00,2025-01-27 22:22:01+08:00,DFVAnWJzF0i,Yes,Instaloader
2025-02-03 12:28:14+00:00,2025-07-21 07:56:24+00:00,黃小米 Mii,lovemiihuang,2282735485865740,2282735485865740,136,7223.0,679452.0,"我找到破解唇紋的方法了
不用醫美、不用打玻尿酸
嘴唇直接變超澎超水嫩！

看完會想嘗試看看嗎？
留言跟我說👇🏻

#makeup #koreamakeup #lipbalm 
#小米美妝筆記",58.84,,2025-02-03 20:28:14+08:00,2025-07-21 15:56:24+08:00,DFnFMb0zUZN,Yes,Instaloader
