creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2024-12-31 17:48:49+00:00,2025-02-18 20:17:27+00:00,葳老闆｜周品均,mayukichou,1296429438977294,1296429438977294,53,3891.0,173027.0,"竟然是十年來第一次沒出門
在家裡陽台看煙火🎆
（這十年到底都在外面忙什麼？）

看完就可以沙發躺平🛋️
真舒服😌

希望2025可以躺平的時間多一點🤣

HAPPY NEW YEAR🎆🎊🎈

#happynewyear #taiwan
#新年快樂 #taipei
#跨年 #台北 #taipei101",10.1,,2025-01-01 01:48:49+08:00,2025-02-19 04:17:27+08:00,DEQFwcwzvdI,Yes,Instaloader
2024-12-31 18:17:58+00:00,2025-02-18 20:17:27+00:00,葳老闆｜周品均,mayukichou,1225343515786185,1225343515786185,9,1370.0,94934.0,"有沒有覺得今年的煙火又更精彩了？
一定是你的2025會很幸福！ 

4倍速煙火整個狂噴🎆
（ 廢話🤣

HAPPY NEW YEAR🎆🎊🎈

TAIWAN NO.1🫶🏻😝

#happynewyear #taiwan
#新年快樂 #taipei
#跨年 #台北 #taipei101",7.13,,2025-01-01 02:17:58+08:00,2025-02-19 04:17:27+08:00,DEQKHkOzefi,Yes,Instaloader
2025-01-01 06:10:27+00:00,2025-02-18 20:17:27+00:00,葳老闆｜周品均,mayukichou,1200034448998331,1200034448998331,43,3422.0,223154.0,"不愧是控制了90年代男生髮型的男人！

60歲還有這種髮量真的是讚嘆！

真的，我60歲肯定是阿嬤了欸👵🏻
他怎麼還像叔叔而已？

2024年底得到回憶殺🥰

HAPPY NEW YEAR🥳🎆🫶🏻🎈

#回憶殺 #郭富城 #郭富城演唱會 
#演唱會 #小巨蛋 #arronkwok 
#葳老闆 #對你愛不完",24.5,{'0': '963887221836953'},2025-01-01 14:10:27+08:00,2025-02-19 04:17:27+08:00,DERbkdzzx5O,Yes,Instaloader
2025-01-01 13:42:30+00:00,2025-02-18 20:17:27+00:00,葳老闆｜周品均,mayukichou,842881918832220,842881918832220,19,846.0,121851.0,"男生打算這樣追女生？！🤨
有錢才是重點？💰

男生原來是這樣想的？
女生聽完覺得呢？🤔

YouTube / #葳老闆的辣雞湯 🌶️
✔️這集是：男生打算這樣追女生？！🤨

#葳老闆 #戀愛經 #戀愛 #擇偶 
#交往 #結婚 #自我價值 #初戀",30.77,,2025-01-01 21:42:30+08:00,2025-02-19 04:17:27+08:00,DESPcKszipE,Yes,Instaloader
2025-01-03 12:01:30+00:00,2025-02-18 20:17:27+00:00,葳老闆｜周品均,mayukichou,1401242801733863,1401242801733863,2,797.0,107083.0,"用職場角度，分析影后裡的角色！
／ 史艾瑪拋棄胖姐被罵慘？她該怎麼辦？
／ 老薛因為愛情放棄個人事業，值得嗎？

／ 多數觀眾為何看劇會沒有同理心？
／ 為何老薛抓到李導出軌，卻不戳破？
／ 李導到底為何走歪？男人很容易這樣嗎？

✔️加入會員，看完整會員影片！
YouTube / #葳老闆的辣雞湯 🌶️
這集是：台劇影后看職場內鬥！🩸

#葳老闆 #職場經 #影集解析 #史艾瑪
#薛亞之 #李子齊 #周凡 #台劇 #職場暗黑學 
#影后 #職場 #內鬥 #演藝圈 #女明星",37.03,,2025-01-03 20:01:30+08:00,2025-02-19 04:17:27+08:00,DEXNcKUTCSQ,Yes,Instaloader
2025-01-04 04:51:18+00:00,2025-02-18 20:17:27+00:00,葳老闆｜周品均,mayukichou,2091358921630313,2091358921630313,1,663.0,76847.0,"新推出的＜自我療癒系列＞
超救贖的！！😭

歡迎新會員加入！老會員升級哦！🌶
現在加入，有80集會員影片可以慢慢看！

✔立即訂閱：
【葳老闆辣雞湯🌶訂閱制會員影片】

📍自我療癒系列 $450
幫助你自我修復！超多會員分享：
有被救贖、解開心結🥹

📍自我成長系列 $200
讓自己的腦袋、格局都得到成長！
非常多人得到加薪升職！💰💰

新的一年，最好的自我投資🫶🏻

#葳老闆 #自我成長 #職場 #職涯 #加薪
#會員影片 #求職 #療癒 #原生家庭",58.73,,2025-01-04 12:51:18+08:00,2025-02-19 04:17:27+08:00,DEZBEdFzYK1,Yes,Instaloader
2025-01-04 13:09:35+00:00,2025-05-16 04:44:14+00:00,葳老闆｜周品均,mayukichou,1971646090362398,1971646090362398,59,919.0,155923.0,"大家覺得是⋯⋯？

為什麼要提起 #前任送房 
這個話題呢？🤨

YouTube / #葳老闆的辣雞湯 🌶️
這集是：35+單身男！戀愛有多難？！

#葳老闆 #戀愛經 #男生 #求偶 
#搭訕 #買房 #前任 #女生 #單身
#戀愛 #擇偶 #交往 #結婚 #脫單",26.91,,2025-01-04 21:09:35+08:00,2025-05-16 12:44:14+08:00,DEZ55DXzu-v,Yes,Instaloader
2025-01-05 07:56:52+00:00,2025-02-18 20:17:27+00:00,葳老闆｜周品均,mayukichou,1214737864173727,1214737864173727,352,2452.0,292889.0,"女生聽了不舒服，但很多男生卻覺得很有道理？

$3000就能處理的事情，
何苦去慢慢追女生？

應該不是這樣子的吧🥹🥹🥹

歡迎男生說明一下？

YouTube / #葳老闆的辣雞湯 🌶️
這集是：男生的求偶焦慮😖

#葳老闆 #戀愛經 #男生 #求偶 
#戀愛 #擇偶 #交往 #結婚 #脫單",25.3,,2025-01-05 15:56:52+08:00,2025-02-19 04:17:27+08:00,DEb7Am0zcz5,Yes,Instaloader
2025-01-05 12:12:22+00:00,2025-06-06 12:23:35+00:00,葳老闆｜周品均,mayukichou,1387257622627675,1387257622627675,9,1257.0,113431.0,"很多人羨慕那個年代的創業者，
說他們很幸運，抓到第一波商機，
其實幸運以外，他們也承擔了很大的風險。

因為當時的社會，並不確定
#電商 、#網路 會是未來的趨勢，
大家根本不看好。

當初2000-2005年第一波的電商創業家，
其實是一群不被認同的孩子。

父母、朋友、社會，甚至都覺得
你們怎麼不好好去上班？
搞這什麼東西？

（就像剛開始的 YouTuber、KOL也是這樣的）
-

節目最後我說：

我也曾經是中年失業的單親媽媽呀！

年齡不是問題，只要你願意，
你也可以再站起來💪🏻

專訪節目哪裡看？
在YouTube 搜尋🔍周品均 決策者

@ftvnews 民視新聞台

#社會趨勢 #產業發展 
#周品均 #創業 #企業家 
#決策者 #民視 #專訪
#葳老闆 #Mayukichou",40.77,{'0': '1533097380773888'},2025-01-05 20:12:22+08:00,2025-06-06 20:23:35+08:00,DEcXDUZzT4l,Yes,Instaloader
2025-01-06 13:03:49+00:00,2025-02-18 20:17:27+00:00,葳老闆｜周品均,mayukichou,929046503414453,929046503414453,34,1194.0,132840.0,"真的有人這樣嗎？
會不會太誇張？

要從交往開始記錄、留發票欸🧾
想就覺得累（？

YouTube / #葳老闆的辣雞湯 🌶️
這集是：男女到底誰該付錢？

#葳老闆 #戀愛經 #AA制 #約會
#戀愛 #擇偶 #交往 #結婚 #付錢",27.26,,2025-01-06 21:03:49+08:00,2025-02-19 04:17:27+08:00,DEfBr7hzn3v,Yes,Instaloader
2025-01-06 13:29:40+00:00,2025-02-18 20:17:27+00:00,葳老闆｜周品均,mayukichou,2726857751025939,2726857751025939,45,3035.0,217241.0,"男生要聽一下🫶🏻

不要當工具人🔧
不要當舔狗👅
不要失去自己的魅力（撥頭髮

YouTube / #葳老闆的辣雞湯 🌶️
這集是：到底該怎麼追女生？

#葳老闆 #戀愛經 #約會 #交往
#戀愛 #擇偶 #曖昧 #追女生",47.83,,2025-01-06 21:29:40+08:00,2025-02-19 04:17:27+08:00,DEfF--jTiIY,Yes,Instaloader
2025-01-07 12:32:47+00:00,2025-09-03 08:28:21+00:00,葳老闆｜周品均,mayukichou,1688186059178476,1688186059178476,29,1778.0,166389.0,"網友的 #一秒想離婚 的瞬間💥

收集到超多鬼故事？😱

這種真的必須離吧？！😡

YouTube / #葳老闆的辣雞湯 🌶️
這集是：一秒想離婚的瞬間💥

#葳老闆 #戀愛經 #結婚 #離婚
#戀愛 #擇偶 #不婚 #老公 #老婆",26.3,,2025-01-07 20:32:47+08:00,2025-09-03 16:28:21+08:00,DEhkSzcTbMN,Yes,Instaloader
2025-01-08 12:22:59+00:00,2025-04-30 12:09:15+00:00,葳老闆｜周品均,mayukichou,2147014152721902,2147014152721902,24,1031.0,138068.0,"葳老闆粉絲見面會🌶️ 前往路線！

有時候計程車司機都找不到🚕
記得要看清楚這幾個地標！

不要迷路啦～～～

希望各位辣椒粉順利找到地點！
聽說還蠻冷的，而且可能下雨☔️
大家要攜帶雨具不要淋雨囉！

#見面會 #葳老闆 #周品均
#Mayukichou #辣椒粉",23.32,{'0': '624176416800525'},2025-01-08 20:22:59+08:00,2025-04-30 20:09:15+08:00,DEkHuaCzCA8,Yes,Instaloader
2025-01-08 12:26:53+00:00,2025-02-18 20:17:27+00:00,葳老闆｜周品均,mayukichou,1790889708269499,1790889708269499,19,1693.0,165560.0,"真實案例！要小心！

✔️加入會員，看完整會員影片！
YouTube / #葳老闆的辣雞湯 🌶️
這集是：離開有毒的職場！☠️

#葳老闆 #自我成長 #職場 #職涯 
#會員影片 #上班 #老闆 #有毒
#自我實現 #自我價值 #職場霸凌",31.6,,2025-01-08 20:26:53+08:00,2025-02-19 04:17:27+08:00,DEkIVS_TmZo,Yes,Instaloader
2025-01-08 13:57:54+00:00,2025-02-18 20:17:27+00:00,葳老闆｜周品均,mayukichou,1625957158752423,1625957158752423,15,1070.0,142698.0,"有一定要男生接送嗎？
會覺得不願意來接你，
就是不愛你嗎？

YouTube / #葳老闆的辣雞湯 🌶️
✔️這集是：男生超討厭台女？！

#葳老闆 #戀愛經 #戀愛 #曖昧
#擇偶 #交往 #結婚 #自我價值",20.69,,2025-01-08 21:57:54+08:00,2025-02-19 04:17:27+08:00,DEkS1gYzvmr,Yes,Instaloader
2025-01-09 10:37:59+00:00,2025-02-26 13:57:02+00:00,葳老闆｜周品均,mayukichou,1389509235707282,1389509235707282,29,1154.0,136727.0,"生⋯⋯日⋯⋯禮⋯⋯物🎁
以後再也不敢
問別人想要什麼生日禮物😓😓

YouTube / #葳老闆的辣雞湯 🌶️
這集是：35+單身男！戀愛有多難？！

#葳老闆 #戀愛經 #男生 #求偶 
#搭訕 #買房 #前任 #女生 #單身
#戀愛 #擇偶 #交往 #結婚 #脫單",17.51,,2025-01-09 18:37:59+08:00,2025-02-26 21:57:02+08:00,DEmgYO5TV9r,Yes,Instaloader
2025-01-09 12:30:15+00:00,2025-02-18 20:17:27+00:00,葳老闆｜周品均,mayukichou,1811814239488416,1811814239488416,49,1103.0,135266.0,"男生真的覺得自己被糟蹋嗎🥹🥹
還是並不是這樣呢？

而且這樣好像在購物欸？！💰

歡迎男生說明一下？

YouTube / #葳老闆的辣雞湯 🌶️
這集是：男生的求偶焦慮😖

#葳老闆 #戀愛經 #男生 #求偶 
#戀愛 #擇偶 #交往 #結婚 #脫單",40.3,,2025-01-09 20:30:15+08:00,2025-02-19 04:17:27+08:00,DEmtlLQziER,Yes,Instaloader
2025-01-09 13:12:58+00:00,2025-05-01 23:16:30+00:00,葳老闆｜周品均,mayukichou,2132179530931118,2132179530931118,2,359.0,73101.0,"葳老闆金句年曆！最後數量！
手刀去搶👉🏻 @wstyle2016 官網🔍年曆
每個月都會有 #葳老闆金句 陪伴妳❤️

#壞壞辣椒抱枕 也超受歡迎！😎
每天抱著睡覺超舒服的😂

#小辣椒吊飾 超可愛！🌶️
可以勾在包包上❤️
 
#辣椒榮耀徽章✨
可以別在包包上、外套上✔️

歡迎收集辣椒大全套❤️‍🔥❤️‍🔥

#葳老闆 #葳老闆的辣雞湯🌶️ 
#徽章 #抱枕 #年曆 #掛飾 #吊飾
#辣椒 #週邊 #Mayukichou",20.34,{'0': '624176416800525'},2025-01-09 21:12:58+08:00,2025-05-02 07:16:30+08:00,DEmyDgkTb-V,Yes,Instaloader
2025-01-10 10:21:46+00:00,2025-02-18 20:17:27+00:00,葳老闆｜周品均,mayukichou,1425508308961829,1425508308961829,12,820.0,118937.0,"沒有辣椒套頭裝！沒有辣椒套頭裝！

但若你要穿來我不介意！🤪

葳老闆2025粉絲見面會🌶️
倒數2天啦！！

大家注意事項看一下囉！

海外粉絲現場取票🎫

週日見❤️❤️❤️

#見面會 #葳老闆 #周品均
#Mayukichou #辣椒粉",19.57,,2025-01-10 18:21:46+08:00,2025-02-19 04:17:27+08:00,DEpC9MizAxO,Yes,Instaloader
2025-01-10 12:01:02+00:00,2026-02-06 15:52:36+00:00,葳老闆｜周品均,mayukichou,1417008116871373,1417008116871373,43,1671.0,171247.0,"又不是明星！憑什麼辦見面會$3980？
／ 辦在自己公司，是為了節省成本嗎？
／ 從市場、行銷角度，分析這場見面會！

／ 定價是最好的篩選？
／ 遭受批評，要如何不感到受傷？
／ 酸民是怎樣的思考邏輯？一次破解！

✔️加入會員，看完整會員影片！
YouTube / #葳老闆的辣雞湯 🌶️
這集是：見面會被說邪教？😈

#葳老闆 #邪教 #見面會 #售票
#辣椒粉 #明星 #行銷 #批評
#酸民 #篩選 #邏輯 #自我價值",36.2,,2025-01-10 20:01:02+08:00,2026-02-06 23:52:36+08:00,DEpOyIDzfFM,Yes,Instaloader
2025-01-11 04:57:27+00:00,2025-02-18 20:17:27+00:00,葳老闆｜周品均,mayukichou,1577569093476390,1577569093476390,38,1424.0,152739.0,"見面會$3980太貴？打5折就不會被罵了嗎？錯！❌

你是因為你是誰而被罵的，
不是因為你訂多少錢而被罵的🌶️

遭受批評，要如何不感到受傷？

👉🏻你得清楚自己在幹嘛～
就不會輕易受影響🥰🥰

✔️加入會員，看完整會員影片！
YouTube / #葳老闆的辣雞湯 🌶️
這集是：見面會被說邪教？😈

#葳老闆 #邪教 #見面會 #售票
#辣椒粉 #明星 #行銷 #批評
#酸民 #篩選 #邏輯 #自我價值",29.77,,2025-01-11 12:57:27+08:00,2025-02-19 04:17:27+08:00,DErDEZWzflA,Yes,Instaloader
2025-01-11 11:18:38+00:00,2025-02-18 20:17:27+00:00,葳老闆｜周品均,mayukichou,26106741912253020,26106741912253019,50,1991.0,154555.0,"葳老闆見面會！彩排花絮！🌶️ 

謝謝所有辛苦的工作人員
今天前置了一整天🙏🏻

我們的場佈都完成了❤️❤️❤️

明天就等辣椒粉來玩🌶️🌶️🌶️

#見面會 #葳老闆 #周品均
#Mayukichou #辣椒粉",22.75,,2025-01-11 19:18:38+08:00,2025-02-19 04:17:27+08:00,DEru9F9TAqX,Yes,Instaloader
2025-01-11 13:08:54+00:00,2025-02-18 20:17:27+00:00,葳老闆｜周品均,mayukichou,1221407373513289,1221407373513289,50,2150.0,174815.0,"據傳某台灣神秘邪教組織😈
即將在本週日進行聚會🌶️

重要核心教友超過500人
懇請有關單位密切注意⚠️

#見面會 #葳老闆 #周品均
#Mayukichou #辣椒粉
#邪教 #教主 #教友 #佈道
#身心靈 #洗腦 #能量水",25.52,,2025-01-11 21:08:54+08:00,2025-02-19 04:17:27+08:00,DEr7h1bTRD1,Yes,Instaloader
2025-01-15 10:42:47+00:00,2025-02-18 20:17:27+00:00,葳老闆｜周品均,mayukichou,2106445099896697,2106445099896697,51,2101.0,199166.0,"今晚YT上片！你會不會跟女生聊天💬

男生這樣難怪不OK！😓

到底為什麼男生會這樣呢？
這集女生來幫幫男生會聊天🤣❤

YouTube / #葳老闆的辣雞湯 🌶️
✔️這集是：會不會跟女生聊天？

#葳老闆 #戀愛經 #男生 #求偶 
#戀愛 #擇偶 #交往 #結婚 #脫單
#聊天 #女生 #焦慮 #直男",30.35,,2025-01-15 18:42:47+08:00,2025-02-19 04:17:27+08:00,DE1-ERJTEFW,Yes,Instaloader
2025-01-16 12:30:00+00:00,2025-02-18 20:17:27+00:00,葳老闆｜周品均,mayukichou,4270045343269060,4270045343269060,36,718.0,103292.0,"有錢，女生就會自動黏上來？

真的是這樣嗎？🤨🤨🤨

根本不用討論怎麼戀愛💕
也不用學習怎麼聊天？

YouTube / #葳老闆的辣雞湯 🌶️
✔️這集是：男生打算這樣追女生？！🤨

#葳老闆 #戀愛經 #戀愛 #擇偶 
#交往 #結婚 #自我價值 #初戀",30.88,,2025-01-16 20:30:00+08:00,2025-02-19 04:17:27+08:00,DE4vSQKzfrl,Yes,Instaloader
2025-01-16 13:14:16+00:00,2025-02-18 20:17:27+00:00,葳老闆｜周品均,mayukichou,25862571140051400,25862571140051398,25,980.0,116927.0,"這樣的話，你會給 #孝親費 嗎？
看在血緣的份上？

還是完全可以鐵了心不給？

✔️加入會員，看完整會員影片！
YouTube / #葳老闆的辣雞湯 🌶️
這集是：如何遠離有毒父母😥

#葳老闆 #父母 #原生家庭 #長輩
#小孩 #教育 #溝通 #爸媽 #療癒
#世代差異 #價值觀 #內耗 #有毒",28.61,,2025-01-16 21:14:16+08:00,2025-02-19 04:17:27+08:00,DE40CsaT7OI,Yes,Instaloader
2025-01-17 12:32:16+00:00,2025-02-18 20:17:27+00:00,葳老闆｜周品均,mayukichou,1436849887977983,1436849887977983,1,537.0,87170.0,"如何看劇，提升超強的觀察力？
／ 周凡到底為什麼沒戲拍？
／ 觀眾看到哭的閨蜜跳舞，葳老闆卻？

／ 私奔的妮妮真的最幸福嗎？
／ 妮妮在職場上是怎樣的人？
／ 柯麗芬、ＴＢ你絕對沒看到的盲點！！

✔️加入會員，看完整會員影片！
YouTube / #葳老闆的辣雞湯 🌶️
這集是：台劇影后看職場內鬥！🩸

#葳老闆 #職場經 #影集解析 #史艾瑪
#薛亞之 #李子齊 #周凡 #台劇 #職場暗黑學 
#影后 #職場 #內鬥 #演藝圈 #女明星",34.87,,2025-01-17 20:32:16+08:00,2025-02-19 04:17:27+08:00,DE7UJY1TDnn,Yes,Instaloader
2025-01-18 08:41:16+00:00,2025-05-01 06:49:16+00:00,葳老闆｜周品均,mayukichou,1236760278417166,1236760278417166,14,942.0,110312.0,"#壞壞辣椒抱枕 🌶️ 超受歡迎！😎
每天抱著睡覺超舒服的😂

歡迎收集辣椒大全套❤️‍🔥❤️‍🔥

@wstyle2016 官網搜尋🔍辣雞湯

#葳老闆 #葳老闆的辣雞湯🌶️ 
#徽章 #抱枕 #年曆 #掛飾 #吊飾
#辣椒 #週邊 #Mayukichou",20.63,{'0': '624176416800525'},2025-01-18 16:41:16+08:00,2025-05-01 14:49:16+08:00,DE9edV4TNl2,Yes,Instaloader
2025-01-18 10:27:13+00:00,2025-02-18 20:17:27+00:00,葳老闆｜周品均,mayukichou,933628339104837,933628339104837,18,1203.0,116904.0,"謝謝大家滿滿的愛❤️❤️🫶🏻🫶🏻

無論是禮物🎁
還是自己的手作、各地的好吃名產😋
自己插的花、手繪的畫、用心的作品🫡

還有你們手寫的卡片！

我都收到了❤️❤️

還有貼爆留言版的告白貼，
我都會好好珍藏☺️☺️

Ps. 咩姐最爽，不用去見面會
負責拆禮物，吃禮物？😒

#見面會 #葳老闆 #周品均
#Mayukichou #辣椒粉",27.37,,2025-01-18 18:27:13+08:00,2025-02-19 04:17:27+08:00,DE9qSayTrsT,Yes,Instaloader
