creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-13 03:51:06+00:00,2025-02-09 06:32:41+00:00,Allen,mensgametw,2313608622483478,2313608622483478,0,150.0,16070.0,"監控紀錄快速查犯罪證據?太神了! 公司資料+監控紀錄:Synology NAS 與 攝影機 完美結合! 高容量NAS解決儲存煩惱「Men's Game玩物誌」
Synology CC400W – AI 智慧監控 Wi-Fi 攝影機
momo：https://sy.to/momo_cc400w_mensgame
PChome：https://sy.to/pchome_cc400w_mensgame

3 分鐘找出適合自己的NAS：https://sy.to/nas_mensgame

#Synology #NAS #CC400W #TC500辦公室監控 #攝影機 #資料安全隱私",87.1,,2025-01-13 11:51:06+08:00,2025-02-09 14:32:41+08:00,DEwFWXQM9PL,Yes,Instaloader
2025-01-14 07:52:07+00:00,2025-02-09 06:32:41+00:00,Allen,mensgametw,1306677707996593,1306677707996593,0,139.0,14380.0,"中小企業效率翻倍 開店安心衝業績的小秘密：就用這個平台！一站式解決所有金融需求
身為中小企業主，處理金融需求曾經是我最大的痛點。過去辦信用卡收單、貸款或保險，整理文件、跑銀行常讓人耗時又煩心。
現在有了國泰金控的「CaaS 一站式金融服務整合平台」，這些問題迎刃而解！只需幾個點擊，就能快速連結試算預估信用卡收單手續費、保險費用等，輕鬆掌握所有資訊，省時又省力。

國泰金控CaaS讓我們不再被繁瑣手續牽絆，可以專注在更有價值的工作上。不管是剛起步的小店家，還是忙碌的中小企業經營者，國泰金控CaaS都是你不可或缺的好幫手！
用CaaS，讓創業更簡單，經營更高效！https://caas.cathayholdings.com/specialProject/planA

#CaaS #國泰金控",89.58,,2025-01-14 15:52:07+08:00,2025-02-09 14:32:41+08:00,DEzFuftJ48q,Yes,Instaloader
2025-01-15 15:47:04+00:00,2025-02-09 06:32:41+00:00,Allen,mensgametw,2185289528877735,2185289528877735,0,450.0,31912.0,我拍了Youtuber八年，隱藏了我的本業八年😝😝 我跟全日本銷售排名第一名的淺野毛巾海外部的部長剛吃完晚餐，喝了一點酒，我們認識四五年了，每次我來日本他都會找我吃飯，是很好的朋友，他們的產品在台灣也有在銷售，但不是我代理，各位想要買好的毛巾，一定要指名淺野毛巾。,26.37,,2025-01-15 23:47:04+08:00,2025-02-09 14:32:41+08:00,DE2gz-uSXyJ,Yes,Instaloader
2025-01-17 03:19:46+00:00,2025-02-09 06:32:40+00:00,Allen,mensgametw,1359196959584388,1359196959584388,5,205.0,16000.0,在東京出差的第三天…. 吃早餐後準備去開會,41.73,,2025-01-17 11:19:46+08:00,2025-02-09 14:32:40+08:00,DE6Uhikyrkk,Yes,Instaloader
2025-01-18 04:03:59+00:00,2025-07-10 11:52:53+00:00,Allen,mensgametw,1333125538853705,1333125538853705,5,107.0,15257.0,"除了墨鏡外 我最愛的就是鋼筆了
#處女座的男人",31.7,,2025-01-18 12:03:59+08:00,2025-07-10 19:52:53+08:00,DE8-sKuSs-7,Yes,Instaloader
2025-01-22 00:01:48+00:00,2025-02-09 06:32:40+00:00,Allen,mensgametw,1353175119947607,1353175119947607,4,199.0,14534.0,27歲剛創業的時候就是住這間飯店，一轉眼已經23年了時間過得好快這家是令我懷念的飯店以前每天晚上都住這個地方。,59.19,,2025-01-22 08:01:48+08:00,2025-02-09 14:32:40+08:00,DFG2Nn-hZ1I,Yes,Instaloader
2025-01-31 11:53:20+00:00,2025-02-09 06:32:40+00:00,Allen,mensgametw,796808099611685,796808099611685,4,72.0,10718.0,這個我沒在賣😂😂😂😂別看到我用什麼就覺得是業配，我只是閒閒沒事做拍一下下😆😆😆我又回到油頭了，超好整理，但缺點閔耳側二邊差不多二星期要修一次，有時候我會自己修。,49.39,,2025-01-31 19:53:20+08:00,2025-02-09 14:32:40+08:00,DFfSmtpP9yd,Yes,Instaloader
2025-02-02 08:04:35+00:00,2025-05-11 10:42:16+00:00,Allen,mensgametw,917527960658112,917527960658112,8,256.0,18105.0,我們林口到了冬天，就會起霧，如果是十年前，更常如此。,56.33,,2025-02-02 16:04:35+08:00,2025-05-11 18:42:16+08:00,DFkCJa8i3eu,Yes,Instaloader
2025-02-02 13:03:16+00:00,2025-02-09 06:32:40+00:00,Allen,mensgametw,935349945642925,935349945642925,1,146.0,14438.0,"哈哈哈這表情,,,,,,,,",62.65,,2025-02-02 21:03:16+08:00,2025-02-09 14:32:40+08:00,DFkkYmavJjU,Yes,Instaloader
2025-02-07 05:57:07+00:00,2025-02-09 06:32:40+00:00,Allen,mensgametw,1225231909812409,1225231909812409,2,155.0,11353.0,"開工大吉 收心啦! 靠AI提前作準備 Samsung Galaxy S25 Ultra 「Men's Game玩物誌」
詳情請見 https://www.samsung.com/tw/smartphones/galaxy-s25-ultra/

#GalaxyS25 
#GalaxyS25Ultra 
#GalaxyAI 
#AI神隊友說了算",86.68,,2025-02-07 13:57:07+08:00,2025-02-09 14:32:40+08:00,DFwrpYwhLC6,Yes,Instaloader
