creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-01 03:45:42+00:00,2025-02-17 12:18:16+00:00,喬老師 Mr.Joe Hobby,mr.joehobby,2071548093386744,2071548093386744,20,790.0,22378.0,"祝大家2025新年快樂!!
身體健康，事事順心～～～～🥰

真的帶了MAYDAY MAX到演唱會現場，
一起去參加跨年演唱會，
胸口燈光跟著螢光棒頻率一起連動！

都是出於主唱大人的任性～
當初開發時就說：我們做一個要可以合體，
還要可以演唱會連動發光的機甲機器人，好嗎？
就這樣⋯⋯
世界第一個可以連動演唱會光效的變形機甲問世了！

五月天除了演唱會狂以外，
就連第一次開發玩具，都要這麼瘋狂!!!!!🔥🔥🔥
這麼帥的MAYDAY MAX你不收嗎？

#mayday 
#maydaymax",8.27,,2025-01-01 11:45:42+08:00,2025-02-17 20:18:16+08:00,DERJS6eydCb,Yes,Instaloader
2025-01-02 08:32:53+00:00,2025-02-17 12:18:16+00:00,喬老師 Mr.Joe Hobby,mr.joehobby,1427295841580665,1427295841580665,8,2496.0,68967.0,"ゴジラ ACTION FIGURE
 #godzilla #bandai  #哥吉拉 #喬老師",86.75,,2025-01-02 16:32:53+08:00,2025-02-17 20:18:16+08:00,DEUQzWvS8rC,Yes,Instaloader
2025-01-06 02:06:42+00:00,2025-02-17 12:18:16+00:00,喬老師 Mr.Joe Hobby,mr.joehobby,2253116965100167,2253116965100167,6,684.0,36988.0,"絕版萬能麥斯玩具要六萬塊???
哥吉拉口袋玩具購買連結►https://store.mrjoe.com.tw/product/detail/2050124
#牛魔王 #萬能麥斯 #哥吉拉 #碧奧蘭蒂 #口袋玩具 #mightymax #godzilla
@pearia_studio",90.02,,2025-01-06 10:06:42+08:00,2025-02-17 20:18:16+08:00,DEd3q42S6Ll,Yes,Instaloader
2025-01-11 04:42:14+00:00,2025-04-16 13:19:56+00:00,喬老師 Mr.Joe Hobby,mr.joehobby,1990608421490118,1990608421490118,17,993.0,45617.0,"瘋狂數學家，在華碩特賣會，差點把天花板都翻了！
#華碩兄弟好棒棒👍
#瘋狂數學家",16.82,{'0': '1155055409882057'},2025-01-11 12:42:14+08:00,2025-04-16 21:19:56+08:00,DErBVWxSjSA,Yes,Instaloader
2025-01-14 10:30:59+00:00,2025-02-17 12:18:16+00:00,喬老師 Mr.Joe Hobby,mr.joehobby,1452925649764826,1452925649764826,2,872.0,24317.0,"只出現在小說設定中的夢幻機體～
CCSTOYS鐵魄福音戰士最終號機
►https://store.mrjoe.com.tw/product/detail/1834138
⚡全高約 30 公分的合金骨架可動完成品
⚡靈活的可動範圍，外加豐富的武裝設計
⚡還能裝上從背部展開的「光之翼」特效零件，再現劇中高速飛行的魄力姿態。",50.09,,2025-01-14 18:30:59+08:00,2025-02-17 20:18:16+08:00,DEzX6QaIFgp,Yes,Instaloader
2025-01-17 06:56:24+00:00,2025-02-17 12:18:16+00:00,喬老師 Mr.Joe Hobby,mr.joehobby,1849196135742865,1849196135742865,9,587.0,24161.0,"我們玩的不是玩具⋯⋯
這些都是我們的青春回憶！

#我的青春小鳥不回來
#閃電霹靂車
#megahouse 
#超級阿斯拉",9.23,,2025-01-17 14:56:24+08:00,2025-02-17 20:18:16+08:00,DE6tIIySC-1,Yes,Instaloader
2025-01-22 07:35:30+00:00,2025-02-17 12:18:16+00:00,喬老師 Mr.Joe Hobby,mr.joehobby,1190807642902776,1190807642902776,2,1219.0,38514.0,"好想念東京的SMALL WORLDS TOKYO 迷你世界博物館～
日本還有什麼適合逛玩具的地方嗎？😆😆😆

#小人國 #福音戰士 #EVA #evangelion #smallworlds #微縮模型 #微縮",58.56,,2025-01-22 15:35:30+08:00,2025-02-17 20:18:16+08:00,DFHpxB7SJ5v,Yes,Instaloader
2025-01-25 10:39:42+00:00,2025-05-04 12:31:19+00:00,喬老師 Mr.Joe Hobby,mr.joehobby,2952513415112326,2952513415112326,246,4710.0,343473.0,這就是模型店日常⋯⋯⋯暈暈的,48.67,,2025-01-25 18:39:42+08:00,2025-05-04 20:31:19+08:00,DFPtpP8SoIs,Yes,Instaloader
2025-01-25 14:09:53+00:00,2025-02-17 12:18:16+00:00,喬老師 Mr.Joe Hobby,mr.joehobby,1468701158197739,1468701158197739,2,391.0,33078.0,"終於收到了，興奮～錢包真的補不完！
@tec.528 

#福音戰士 #麥當勞",24.57,{'0': '1794942227853436'},2025-01-25 22:09:53+08:00,2025-02-17 20:18:16+08:00,DFQFbtsy6Bv,Yes,Instaloader
2025-01-27 11:24:02+00:00,2025-02-17 12:18:16+00:00,喬老師 Mr.Joe Hobby,mr.joehobby,1918557045452627,1918557045452627,5,169.0,17938.0,"靈活的胖子在這裡祝福大家～
蛇年行大運，步步高升～
山積滿滿，模型不砍量～
身體健康，蛇🐍麼都順利😍😍😍",17.3,,2025-01-27 19:24:02+08:00,2025-02-17 20:18:16+08:00,DFU8B70ymwr,Yes,Instaloader
