creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-04 05:10:00+00:00,2025-05-05 00:29:19+00:00,一隻阿圓,nanaciaociao,1253246316719483,1253246316719483,13,3440.0,229891.0,"TypeC線的泡泡瑪特小女警版好欠買…超實用
完蛋POPMART已經攻陷我們的錢包…

@popmarttw <redacted_mention>",51.41,{'0': 'non_public_914786584241149'},2025-01-04 13:10:00+08:00,2025-05-05 08:29:19+08:00,DEZDUdmSOsJ,Yes,Instaloader
2025-01-05 05:02:57+00:00,2025-05-29 17:09:23+00:00,一隻阿圓,nanaciaociao,1455217216219571,1455217216219571,62,3663.0,374424.0,"領薪水的阿簡……辛苦了。罒ω罒

#홍대 #서울 #눈왔다",16.51,{'0': 'non_public_903930078998757'},2025-01-05 13:02:57+08:00,2025-05-30 01:09:23+08:00,DEbt6SwSCiB,Yes,Instaloader
2025-01-09 10:46:38+00:00,2025-01-14 13:52:35+00:00,一隻阿圓,nanaciaociao,1680187229610250,1680187229610250,46,5640.0,507354.0,"天啊‼️我居然收到了泡泡瑪特的CRYBABY心碎女王400%❤️✨

#popmart #泡泡瑪特 #心碎女王 #crybaby #哭娃盲盒 
@popmarttw <redacted_mention>",27.91,,2025-01-09 18:46:38+08:00,2025-01-14 21:52:35+08:00,DEmnVpHSwbf,Yes,Instaloader
2025-01-11 05:30:00+00:00,2025-07-09 17:54:34+00:00,一隻阿圓,nanaciaociao,1625365501788193,1625365501788193,189,68605.0,2287910.0,"你們最想要哪一隻？

@popmarttw <redacted_mention> #popmart #spacemolly #megaspacemolly400",57.47,,2025-01-11 13:30:00+08:00,2025-07-10 01:54:34+08:00,DErHO0LzBs2,Yes,Instaloader
2025-01-13 10:50:00+00:00,2025-01-15 13:50:23+00:00,一隻阿圓,nanaciaociao,772953732512948,772953732512948,32,3201.0,400560.0,好久沒跟小花跳🤣🤣🤣🤣,27.03,{'0': '1146259733505270'},2025-01-13 18:50:00+08:00,2025-01-15 21:50:23+08:00,DEw1bDCSlpG,Yes,Instaloader
2025-01-15 10:30:00+00:00,2025-09-18 00:58:33+00:00,一隻阿圓,nanaciaociao,3025105321210636,3025105321210636,34,5054.0,556850.0,"可以嗎👵🏼🍑👩🏻‍🦰

#ダンダダン #膽大黨 #dandadan #cosplay",12.0,"{'0': '1061708622422039', '1': '1971862046615554'}",2025-01-15 18:30:00+08:00,2025-09-18 08:58:33+08:00,DE18q6PyNiF,Yes,Instaloader
2025-01-17 06:50:00+00:00,2025-05-01 23:23:52+00:00,一隻阿圓,nanaciaociao,913157877721437,913157877721437,178,23090.0,1259070.0,我們在馬來西亞怡保沒關係✨🔥,12.43,"{'0': '854113303896101', '1': 'non_public_903930078998757'}",2025-01-17 14:50:00+08:00,2025-05-02 07:23:52+08:00,DE6tFIryFRC,Yes,Instaloader
2025-01-18 06:50:38+00:00,2025-05-01 07:15:57+00:00,一隻阿圓,nanaciaociao,1410361370555535,1410361370555535,34,6869.0,1338291.0,"最後一盒！買不買💦
我懷疑SOGO的二樓泡泡瑪特門市風水偏好……

@popmarttw <redacted_mention> #飛天小女警",28.96,"{'0': 'non_public_914786584241149', '1': '854113303896101'}",2025-01-18 14:50:38+08:00,2025-05-01 15:15:57+08:00,DEw1c13SGst,Yes,Instaloader
2025-01-20 10:35:00+00:00,2025-01-22 13:25:11+00:00,一隻阿圓,nanaciaociao,880271241654124,880271241654124,42,4911.0,463375.0,"泰國的便利商店真的有夠好買🔥❤️
每次晚上回飯店前至少滯留半小時….",41.24,,2025-01-20 18:35:00+08:00,2025-01-22 21:25:11+08:00,DFC1OE6SOoq,Yes,Instaloader
2025-01-21 10:50:32+00:00,2025-09-10 00:25:26+00:00,一隻阿圓,nanaciaociao,4265586976992962,4265586976992962,29,4650.0,616838.0,"開始要踢到鐵板了？
我去每個國家都要逛當地的泡泡瑪特🤣",70.15,,2025-01-21 18:50:32+08:00,2025-09-10 08:25:26+08:00,DFIAixqyG6b,Yes,Instaloader
2025-01-23 10:55:22+00:00,2025-07-27 11:25:38+00:00,一隻阿圓,nanaciaociao,898899935954621,898899935954621,30,6429.0,580590.0,"Uncle Tim住在市中心跟我們分享
其實centralworld對面巷弄的按摩意外很便宜！",40.08,,2025-01-23 18:55:22+08:00,2025-07-27 19:25:38+08:00,DEza0NZS3eI,Yes,Instaloader
2025-01-24 08:28:45+00:00,2025-04-30 09:53:36+00:00,一隻阿圓,nanaciaociao,889548283997281,889548283997281,43,5140.0,413347.0,"先預祝大家「新年快樂」😍
各位今天是否開始搭車返鄉了
下周就要迎新年，趁著50PERCENT還有營業
趕快去挑一波過年的新衣！

50PERCENT是我從大學開始買的品牌
時尚流行兼具
但價格非常親民，款式也超多！
是我學生時代超喜歡的品牌

現在全館買3送1超級好買！
而且是全台門市都有這個優惠！
期待大家過年都能穿好衣過好年😍😍

#全省門市買3送1
#50PERCENT",79.0,"{'0': '1184674916989124', '1': 'non_public_903930078998757'}",2025-01-24 16:28:45+08:00,2025-04-30 17:53:36+08:00,DFNH2YIS2Ld,Yes,Instaloader
2025-01-25 09:49:00+00:00,2025-07-06 11:25:58+00:00,一隻阿圓,nanaciaociao,1197653512528506,1197653512528506,49,3864.0,479114.0,返鄉前最後一跳，三艾藝能股份有限公司…,31.37,{'0': '1420377633084137'},2025-01-25 17:49:00+08:00,2025-07-06 19:25:58+08:00,DFPqV3iyOKk,Yes,Instaloader
2025-01-26 07:12:37+00:00,2025-09-15 18:49:44+00:00,一隻阿圓,nanaciaociao,1420643732852460,1420643732852460,36,5678.0,574292.0,馬來西亞不限制數量真的太讚了🥹🔥,62.37,,2025-01-26 15:12:37+08:00,2025-09-16 02:49:44+08:00,DFKl7txTauQ,Yes,Instaloader
2025-01-27 10:50:00+00:00,2025-04-29 09:39:00+00:00,一隻阿圓,nanaciaociao,873248908667670,873248908667670,88,8252.0,680722.0,"射手女子來拜年🧧
看到這支影片的你，今年都會發財如意唷🏮🪭
祝大家新年快樂🎉❤️",14.87,"{'0': '1061708622422039', '1': '1971862046615554'}",2025-01-27 18:50:00+08:00,2025-04-29 17:39:00+08:00,DFU4jihyX-A,Yes,Instaloader
2025-01-30 04:58:06+00:00,2025-05-03 07:21:59+00:00,一隻阿圓,nanaciaociao,1195512479234880,1195512479234880,28,8211.0,655533.0,永和區張員瑛找我們拍IVE新歌,17.63,"{'0': '1061708622422039', '1': '1971862046615554'}",2025-01-30 12:58:06+08:00,2025-05-03 15:21:59+08:00,DFclOvaycfQ,Yes,Instaloader
2025-01-30 22:45:00+00:00,2025-05-01 16:13:42+00:00,一隻阿圓,nanaciaociao,755317494308976,755317494308976,67,8317.0,540933.0,拿出你們的：尖～叫～聲～(・Д・)ノ,7.93,"{'0': '1061708622422039', '1': '1971862046615554'}",2025-01-31 06:45:00+08:00,2025-05-02 00:13:42+08:00,DFd4yJxSFGR,Yes,Instaloader
2025-02-01 04:40:36+00:00,2025-07-30 10:50:47+00:00,一隻阿圓,nanaciaociao,889100723731277,889100723731277,72,3957.0,234052.0,韓國二月還下雪…٩(•̤̀ᵕ•̤́๑)ᵒᵏᵎᵎᵎᵎ,34.81,{'0': '25779370825088945'},2025-02-01 12:40:36+08:00,2025-07-30 18:50:47+08:00,DFPtyQrSR4Q,Yes,Instaloader
2025-02-02 08:17:12+00:00,2025-02-04 08:57:18+00:00,一隻阿圓,nanaciaociao,1339328057961383,1339328057961383,19,2859.0,244801.0,誰不演了🤣每年老爸老媽最期待的日子來啦🧧😍,19.83,,2025-02-02 16:17:12+08:00,2025-02-04 16:57:18+08:00,DFj_nfnSdkU,Yes,Instaloader
2025-02-09 08:57:43+00:00,2025-06-26 20:46:41+00:00,一隻阿圓,nanaciaociao,26542910301981448,26542910301981451,16,4309.0,394593.0,"有一種恐怖的都市傳說
進取韓國olive young，錢包會哭🥺

好物必買推薦❤️🇰🇷",43.37,,2025-02-09 16:57:43+08:00,2025-06-27 04:46:41+08:00,DF2MnMzyCU5,Yes,Instaloader
2025-02-11 10:45:00+00:00,2025-04-07 00:14:29+00:00,一隻阿圓,nanaciaociao,871058525810254,871058525810254,17,,198240.0,"一直覺得機上買wifi有必要嗎？

我覺得超級適合社群工作者📝
有買可以做的事情更多…
一千元對有些人來說可能不便宜
但我覺得如果可以花在工作效率上真的很划算！

你問我看影片也可以有產值嗎
當然…..任何發現都是創意的來源😬💗",31.48,,2025-02-11 18:45:00+08:00,2025-04-07 08:14:29+08:00,DF7f1SDyPGX,Yes,Instaloader
2025-02-12 13:55:17+00:00,2025-02-14 12:05:23+00:00,一隻阿圓,nanaciaociao,1584471109468097,1584471109468097,41,6038.0,729708.0,"泡泡瑪特的情人節禮盒🥹💗❤️猜我抽到誰

@popmarttw",31.65,,2025-02-12 21:55:17+08:00,2025-02-14 20:05:23+08:00,DF-aBDYyte2,Yes,Instaloader
2025-02-13 10:45:00+00:00,2025-09-06 03:37:29+00:00,一隻阿圓,nanaciaociao,910808188574120,910808188574120,51,7391.0,747188.0,"情人節💌嘿嘿…還是要約會的吧？
（不想被閃最好待在家，有伴的女生們想好怎麼穿了嗎）

𝓗𝓪𝓹𝓹𝔂 𝓥𝓪𝓵𝓮𝓷𝓽𝓲𝓷𝓮’𝓼 𝓓𝓪𝔂
讓愛，自在閃耀 ✨
這一天，可以為自己準備一份禮物，提醒自己
——無論何時，妳都值得被愛，也值得愛自己。

♡活動期間｜即日起至2/17(一)中午12:00
♡情人節特別獻禮｜1+1成套優惠$999
內衣+內褲成套優惠 心動價$999

💡
$999只有➡️
多way無痕無鋼圈平口內衣+內褲
絕對防滑平口內衣+內褲

各位❤️❤️❤️❤️
無鋼圈美波無痕內衣，一直都有成套優惠價$890

一年四季都要穿舒服好穿的內衣💗",28.05,"{'0': '2173853496350216', '1': '1808681669842811'}",2025-02-13 18:45:00+08:00,2025-09-06 11:37:29+08:00,DGApb9VSuUP,Yes,Instaloader
2025-02-14 10:50:00+00:00,2025-05-02 12:01:46+00:00,一隻阿圓,nanaciaociao,1201099948758731,1201099948758731,29,3216.0,238446.0,"原來我的夥伴們私下對我都是這麼沒耐心🤣🤣

生活中總是有各種不順遂的時候
我來分享自己的好了
沒什麼舞蹈底子的我這幾年很喜歡KPOP
尤其遇到喜歡的音樂，更想要把舞學起來

同時要記舞步+身體律動協調
又想要跟idol一樣有超強表情管理
長期反覆練習，狀態不如預期，老師也快發瘋😂

怎麼辦
當然是嚼一下，來兩粒 extra® 無糖口香糖
嚼出你的好狀態！😍😍
看我成功學會一首reels了！看樣子真的有差唷

extra® 無糖口香糖 10粒裝新上市
共有薄荷口味 & 清檸薄荷口味攜帶超方便
隨時隨地都可以來兩粒是真的！

開工啦 
如果覺得想要維持好狀態
可以試試看 很有用😎

即日起至2/18到7-ELEVEN門市購買extra®口香糖28克袋裝 
代收任兩件59元！

#extra  #無糖口香糖 #嚼出你的好狀態",84.1,,2025-02-14 18:50:00+08:00,2025-05-02 20:01:46+08:00,DGDO1t5S5Wn,Yes,Instaloader
2025-02-16 08:06:32+00:00,2025-07-20 12:25:00+00:00,一隻阿圓,nanaciaociao,893872963238539,893872963238539,29,11860.0,612334.0,"上週去拍攝跟阿簡撞見一間很特別的店😂
超多學生都在排隊想說是什麼🤣
Y2K復古ccd拍貼機店…..很kuso也很hito喔

地址是東區的頂好名店城3F",70.68,,2025-02-16 16:06:32+08:00,2025-07-20 20:25:00+08:00,DGIIckySwGb,Yes,Instaloader
2025-02-17 13:56:53+00:00,2025-05-02 06:39:48+00:00,一隻阿圓,nanaciaociao,4153402118211483,4153402118211483,43,10058.0,715244.0,飽妮第一次這麼爽快答應的reels,12.84,"{'0': '1061708622422039', '1': '1971862046615554'}",2025-02-17 21:56:53+08:00,2025-05-02 14:39:48+08:00,DGLVUN_SeGR,Yes,Instaloader
2025-02-18 10:50:00+00:00,2026-01-22 20:06:00+00:00,一隻阿圓,nanaciaociao,899564555987719,899564555987719,24,4287.0,240367.0,"（這集有爸爸記得看到最後😆😆）

剛開工被稱讚皮膚很好
哇哈哈到底要多開心🥳
大家今年放假都有睡飽飽嗎😄
我今年放假都在養皮膚 看起來效果有佳❤️

分享理膚寶水B5萬用霜
是我跟爸爸長期使用下來覺得
一定要推薦給大家的保養品
我們家族遺傳乾癬，分佈在身上不同位置
我的腳更多一些，另外我在醫美術後的肌膚修復也會使用B5
而爸爸年紀大了所以臉上也開始有出現部分乾癬
但擦B5萬用霜可以舒緩這些乾癢脫屑症狀唷
因為有超強成分組合，專利複合益生精粹
可以維持肌膚的微生態平衡增加我們皮膚的防禦力
還有高濃度5%維生素原B5、積雪草苷萃取
能舒緩不適感，像是泛紅、乾燥、皮膚敏感
0-100歲也都可以使用真的很方便，極速修復16種肌膚問題

醫美術後更適合使用B5萬用霜
使用前再搭配安心乳液跟最後一步瑰蜜霜
保濕跟防曬一次顧牢牢（做雷射更要好好做後續保養！

#理膚寶水 #50年奇肌修復力 #B5+全面修復霜",89.9,,2025-02-18 18:50:00+08:00,2026-01-23 04:06:00+08:00,DGNiAlXyDmG,Yes,Instaloader
2025-02-20 09:59:59+00:00,2025-04-29 21:34:38+00:00,一隻阿圓,nanaciaociao,1581811752969083,1581811752969083,28,2963.0,309896.0,敬業。,20.39,"{'0': '1061708622422039', '1': '1971862046615554'}",2025-02-20 17:59:59+08:00,2025-04-30 05:34:38+08:00,DGSrqeHyofq,Yes,Instaloader
2025-02-22 07:00:00+00:00,2025-05-03 04:17:39+00:00,一隻阿圓,nanaciaociao,761476686558782,761476686558782,24,,211028.0,越南🇻🇳峴港🌆❤️結尾那個現場真的好鬧好好玩😂,19.11,"{'0': '854113303896101', '1': 'non_public_903930078998757'}",2025-02-22 15:00:00+08:00,2025-05-03 12:17:39+08:00,DGXa2vBSf4P,Yes,Instaloader
2025-02-24 09:59:16+00:00,2025-04-30 22:18:34+00:00,一隻阿圓,nanaciaociao,1214963414152700,1214963414152700,28,5553.0,364645.0,大家覺得我們三個人誰是花花、泡泡、毛毛？,81.17,"{'0': '1061708622422039', '1': '1971862046615554'}",2025-02-24 17:59:16+08:00,2025-05-01 06:18:34+08:00,DGc4AN-yq0H,Yes,Instaloader
2025-03-01 07:05:00+00:00,2025-07-15 02:44:49+00:00,一隻阿圓,nanaciaociao,1292739006026762,1292739006026762,22,2759.0,215977.0,跟著我們一起順暢的呼吸🫁,14.63,"{'0': '1061708622422039', '1': '1971862046615554'}",2025-03-01 15:05:00+08:00,2025-07-15 10:44:49+08:00,DGsB0iFSMHS,Yes,Instaloader
