creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-08 12:41:01+00:00,2025-01-10 13:51:13+00:00,沛莉 Peri Chang,peri168,2408675162979712,2408675162979712,62,4228.0,204281.0,"難以置信…小陶德竟然抽到隱藏版！！！🤩🤩🤩
.
#labubu @popmarttw",36.31,{'0': '1037079651715379'},2025-01-08 20:41:01+08:00,2025-01-10 21:51:13+08:00,DEkJevuppzX,Yes,Instaloader
2025-01-25 02:44:02+00:00,2025-05-31 03:01:48+00:00,沛莉 Peri Chang,peri168,1660825541964206,1660825541964206,29,2890.0,129733.0,"小陶德開箱NBA盲盒😱😱😱 你是什麼幸運兒🍀上次LABUBU也抽到隱藏版….這手氣太強了👍我只買2個啊！

@nbalab 
#nba",50.5,,2025-01-25 10:44:02+08:00,2025-05-31 11:01:48+08:00,DFO1F4cJIzf,Yes,Instaloader
2025-01-26 23:14:53+00:00,2025-01-27 10:15:01+00:00,沛莉 Peri Chang,peri168,893529913668628,893529913668628,3,442.0,68827.0,🌈2025第一道彩虹🌈第一次看到完整的一道彩虹！好酷！！！分享好運給大家❤️新年快樂！！！,11.47,,2025-01-27 07:14:53+08:00,2025-01-27 18:15:01+08:00,DFTokBiSYF1,Yes,Instaloader
2025-02-12 05:45:54+00:00,2025-02-12 10:45:59+00:00,沛莉 Peri Chang,peri168,1148271357293213,1148271357293213,0,56.0,3923.0,"台灣好好玩❤️第一次體驗高雄的海上超跑！可以自駕很酷耶！我也是開過藍寶堅尼的女人了（撥頭髮）🤪哈哈哈哈！帥嗎？？？快約家人朋友一起玩！
.
#taiwan #travel #lamborghini",59.98,,2025-02-12 13:45:54+08:00,2025-02-12 18:45:59+08:00,,Yes,MetaTool
2025-02-13 05:05:58+00:00,2025-02-15 09:26:01+00:00,沛莉 Peri Chang,peri168,951668601118413,951668601118413,51,1699.0,88336.0,"㊗️小陶德10歲生日快樂🎂他很開心自己不是「個位數Baby」，他說蛋糕想要有2根蠟燭🕯️🕯️爸爸就說：那我多給你1根比較熱鬧…所以他今年蛋糕有3根蠟燭🤣咦？這是什麼奇怪的蠟燭數啦！？有人這樣隨意插蠟燭嗎？哈哈哈！但這種一根一根的蠟燭要怎麼計算？難道10歲插10根？？？好想念台灣蛋糕店給的數字蠟燭唷😂
.
然後，他當天晚上跟我說：我高興到睡不著！我今天10歲了！！！我說：快點睡吧！你明天也會是10歲、後天也是10歲…哈哈哈",44.7,,2025-02-13 13:05:58+08:00,2025-02-15 17:26:01+08:00,DGAB3hpxXVk,Yes,Instaloader
2025-02-21 06:52:12+00:00,2025-02-24 01:32:17+00:00,沛莉 Peri Chang,peri168,3164315863869761,3164315863869761,15,840.0,96864.0,"逛7-11是台灣日常吧？尤其夏天沒事就走進去吹冷氣（🤪）
但住美國6年，這是我們第2次去！哈哈哈！因為美國7-11通常是就是「加油站」附贈的小店。但…今天這家生意挺好的，披薩也不錯👍誰在美國也去過7-11？是不是覺得跟台灣差很多？",32.36,{'0': '1531516694409268'},2025-02-21 14:52:12+08:00,2025-02-24 09:32:17+08:00,DGU0BkrRwdh,Yes,Instaloader
2025-02-22 08:14:20+00:00,2025-04-04 19:52:33+00:00,沛莉 Peri Chang,peri168,1278318424155698,1278318424155698,23,316.0,88541.0,誰也是上次沒買到翻譯筆嗎？應觀眾要求…來示範我平時怎麼把看全英文影片、追美劇、讀書變成日常休閒！！！簡單說就是「差生文具多」，哈哈！可以掃描螢幕的翻譯筆超好用！沒有用iPad 也可以掃描手機，這支還能拍照翻譯。因為英文太難就會沒動力學，還是得從喜歡的影片開始多聽多看～才能堅持！這樣看片邊學習對我來說就輕鬆又好玩👍我知道有些人會說可以用手機翻譯，但翻譯筆掃一下超快！還有可以離線使用11種語言唷！出國沒網路也不怕啦～～～連結我放限時動態精選，或是留言跟我要也可以唷❤️,86.47,,2025-02-22 16:14:20+08:00,2025-04-05 03:52:33+08:00,DGXh2nXxo9P,Yes,Instaloader
2025-03-09 21:41:51+00:00,2025-03-12 14:31:55+00:00,沛莉 Peri Chang,peri168,2342030029608248,2342030029608248,5,,62617.0,"這是什麼酷東西！！！🫨🫨🫨
這樣是不是不用學衝浪了啊？",25.3,,2025-03-10 05:41:51+08:00,2025-03-12 22:31:55+08:00,DG_noVMSGKt,Yes,Instaloader
2025-03-25 13:59:58+00:00,2025-06-28 00:51:57+00:00,沛莉 Peri Chang,peri168,2778990422454183,2778990422454183,7,590.0,82199.0,"#歐美彩妝必買 如果只能帶一盒眼影……選她！
應該不會只有我一直在找完美眼影吧？😂
買了一堆彩盤，然後發現一半以上顏色都沒用…旅行出門在外行李、化妝包要精簡，當然就只想帶好用的、實用的！

這盒四色搞定日常妝！粉細緻、超好暈、臥蠶色很飽和
@sephora  @charlottetilbury 
Bigger Brighter Eyes Eyeshadow Palette

這顆單色眼影可當臥蠶陰影、鼻影、修容！不用帶一大盒啦！
@maccosmetics Matte Eyeshadow-Omega

便宜好用的眼線液筆、好上手、線條流暢
@yesstyle ISEHAN - Kiss Me Heroine Make Prime Liquid Eyeliner 

#makeup #makeuptutorial #sephora",76.72,"{'0': '7066369236786516', '1': '1012375560624236'}",2025-03-25 21:59:58+08:00,2025-06-28 08:51:57+08:00,DHn9UcWJdMc,Yes,Instaloader
2025-03-26 06:56:14+00:00,2025-07-31 18:30:06+00:00,沛莉 Peri Chang,peri168,1564814947925548,1564814947925548,84,3732.0,267322.0,"太神奇啦～～～你身邊有不會戴隱眼的朋友嗎？快召喚她！這個小工具可以買😆😆😆
.
#隱形眼鏡 #contactlens",55.47,,2025-03-26 14:56:14+08:00,2025-08-01 02:30:06+08:00,DHpzLHiu3ZP,Yes,Instaloader
2025-03-31 03:25:27+00:00,2025-07-22 16:24:11+00:00,沛莉 Peri Chang,peri168,1432199015355567,1432199015355567,31,1730.0,89127.0,"這一刻太感動了！我們家板凳球員發光了❤️
自從一年多前小陶德甄選加入城市最強的AAU球隊，他就從一般球隊明星球員變成板凳球員…大概像是放牛班都考第一，到A段班卻墊底的感覺🥲巨大的失落感、挫敗感一直挑戰著他…但能跟厲害的隊友們一起努力、一起進步的感覺真的很好👍今天比賽小陶德得到MVP！看他被教練、隊友們、家長們鼓勵著…大陶哽咽感謝著…這一切努力值得了😭😭😭我們就知道你做得到！你永遠是我們的驕傲！以你為榮👍面對身材高大對手也不怕，我的寶貝真的好帥！
.
Thank you coach Cam and all the best parents in the world for encouraging Derek. This truly meant the world to us. We have a lot to learn and we appreciate every little step forward.
.
#basketball #10yearsold",62.03,,2025-03-31 11:25:27+08:00,2025-07-23 00:24:11+08:00,DH2QLljp8nr,Yes,Instaloader
2025-04-15 18:14:38+00:00,2025-09-05 20:20:13+00:00,沛莉 Peri Chang,peri168,1250279893738705,1250279893738705,31,2368.0,171475.0,"誰也感冒？？？一直咳嗽？鼻塞？😷
如果咳到很不舒服，建議直接看醫生唷！我咳一個多月，本來只是晚上咳幾下，後來乾咳、咳到吐🤮咳到脖子像落枕、都快有腹肌了！就去急診～醫生開的處方藥止咳好厲害呀👍第一次吃到救命藥丸太驚艷！幾乎一整天沒咳！超神奇🤩但沒這麼嚴重的情況，可以在一般藥局CVS或Amazon買感冒藥就唷！分享幾款 #美國居家備藥 給有需要的朋友❤️祝大家都健康、快快復原🌸

醫生說多喝檸檬🍋、蜂蜜水🐝",82.17,,2025-04-16 02:14:38+08:00,2025-09-06 04:20:13+08:00,DIec8ixPC0A,Yes,Instaloader
2025-04-16 04:16:03+00:00,2025-04-18 11:36:10+00:00,沛莉 Peri Chang,peri168,3536829426472873,3536829426472873,28,868.0,97860.0,"買了！聽說現在很流行…閃亮雀斑！！！啊！一包2元我都用不完的感覺🤣😂🤣
.
<redacted_mention>  6 Sheets Glitter Freckles Silver Sparkle
Freckles 
@namedcollective  ENEMY RHINESTONE CROP ZIP HOODIE BLACK
#makeup #glitter #freckles #shein",24.24,"{'0': 'non_public_842104994032512', '1': '338242568683333'}",2025-04-16 12:16:03+08:00,2025-04-18 19:36:10+08:00,DIfjn9qRQBw,Yes,Instaloader
2025-04-20 16:36:36+00:00,2025-04-28 17:02:24+00:00,沛莉 Peri Chang,peri168,1742037913438895,1742037913438895,0,456.0,81194.0,"Amazing 🌈 這工作好幸福？彩虹看到飽！
.
#disneycruise #goodmorning",24.33,,2025-04-21 00:36:36+08:00,2025-04-29 01:02:24+08:00,DIrMqTwJJpf,Yes,Instaloader
2025-04-25 09:25:10+00:00,2025-09-05 04:04:48+00:00,沛莉 Peri Chang,peri168,1625916231773340,1625916231773340,15,545.0,109098.0,"最近包包必備👜小雲朵六合ㄧ行動電源☁️好可愛啊！
連結放限時動態精選😆👍",31.63,,2025-04-25 17:25:10+08:00,2025-09-05 12:04:48+08:00,DI3UH20xTdR,Yes,Instaloader
2025-04-26 02:59:58+00:00,2025-09-18 00:28:21+00:00,沛莉 Peri Chang,peri168,937993238588498,937993238588498,179,32463.0,1655750.0,警告⚠️每個睡前「愛滑手機的人」…都該知道這個「身體的開關」！哈哈哈哈哈哈😂落枕救星來了！！！連妝都沒畫就迫不及待想跟你們分享啊啊啊啊啊啊…….,97.45,,2025-04-26 10:59:58+08:00,2025-09-18 08:28:21+08:00,DI5MU0lJvRl,Yes,Instaloader
2025-04-26 14:00:50+00:00,2026-01-02 21:27:23+00:00,沛莉 Peri Chang,peri168,2286815095174183,2286815095174183,79,1009.0,130656.0,"我的睡覺好物😴💤喜歡嗎？？？
想買哪個可以問我唷❤️",51.0,,2025-04-26 22:00:50+08:00,2026-01-03 05:27:23+08:00,DI6YM_WpXRT,Yes,Instaloader
2025-05-07 06:58:39+00:00,2025-05-09 07:38:43+00:00,沛莉 Peri Chang,peri168,1975441623041474,1975441623041474,21,1743.0,183357.0,"人生第一次買Tiffany&Co.就踩雷😱😱😱
想要這款耳環好久了！但我一直捨不得買…$2100，差不多6萬多台幣！這是我買過最貴的耳環😂😂😂但想說反正要回台灣了！美國PayPal 帳戶裡有錢不花擺著也沒用，就買來當我的母親節禮物…沒想到第一天就掰掰👋這也是一種「特別」幸運吧？那就和大家一起分享這份幸運…哈哈哈🍀🤪聲響部分建議戴上感受一下唷！手搖沒有很大聲，但在耳邊滿吵的～扣除壞掉，它真的好輕、好好看啊………
.
#tiffanyandco #earrings",48.47,,2025-05-07 14:58:39+08:00,2025-05-09 15:38:43+08:00,DJV8HS0uq7I,Yes,Instaloader
2025-05-11 03:26:36+00:00,2025-05-11 11:46:40+00:00,沛莉 Peri Chang,peri168,1769350004470859,1769350004470859,22,2736.0,172736.0,"我媽媽說今天餐廳好難預約，要下午1:30才可以吃飯😂
大家都在慶祝母親節嗎？真好👍我想對於全世界的媽媽來說，能和孩子一起開開心心就是最棒的禮物💝祝大家母親節快樂🌸Happy Mother’s Day！！Happy everyday.😄
.
#labubu #crybaby",54.87,{'0': 'non_public_690116320731200'},2025-05-11 11:26:36+08:00,2025-05-11 19:46:40+08:00,DJf3dqgRlRU,Yes,Instaloader
2025-05-11 15:13:09+00:00,2025-05-12 12:13:15+00:00,沛莉 Peri Chang,peri168,3281251558711441,3281251558711441,11,636.0,133916.0,"#lululemon 必買推薦❤️我又挖到寶了！這款真的超讚👍
我夏天最愛的T-Shirt！😄😄😄
.
Lightweight Split-Back Training T-Shirt
輕盈透氣像沒穿衣服！
肩部顯瘦、飛袖袖長修飾手臂，
我最喜歡沒綁是傘狀很舒服，綁起來就有腰身很好看❤️",32.32,"{'0': '714371478091641', '1': '1110661503290045'}",2025-05-11 23:13:09+08:00,2025-05-12 20:13:15+08:00,DJhIWhQpNKc,Yes,Instaloader
2025-05-18 16:10:46+00:00,2025-05-19 21:10:51+00:00,沛莉 Peri Chang,peri168,1209297911287536,1209297911287536,10,908.0,120049.0,好啦～我承認我是被它顏值吸引！BOSE開放式耳機像「耳骨夾」好好看啊💔但是呀….誰沒缺點呢？這些小問題你們可以接受嗎？有幫你們滅火省到錢嗎？🤣🤣🤣,116.91,,2025-05-19 00:10:46+08:00,2025-05-20 05:10:51+08:00,DJzPqTnp0Wf,Yes,Instaloader
2025-05-18 16:58:45+00:00,2025-05-20 17:58:50+00:00,沛莉 Peri Chang,peri168,781642084492895,781642084492895,1,299.0,81973.0,最近喜歡不定時直播❤️姐妹們什麼時候比較有空啊？,7.9,,2025-05-19 00:58:45+08:00,2025-05-21 01:58:50+08:00,DJzWdBLpKDW,Yes,Instaloader
2025-05-19 05:37:07+00:00,2025-05-20 23:47:11+00:00,沛莉 Peri Chang,peri168,2143249089819859,2143249089819859,5,1050.0,125280.0,在美國AAU籃球旅行聯盟🏀週末常需要跑到其他城市比賽。我們的車上有些必備安全物品，但…希望永遠不會用到！！！,81.48,,2025-05-19 13:37:07+08:00,2025-05-21 07:47:11+08:00,DJ0szOqRVJ7,Yes,Instaloader
