creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-02 14:53:12+00:00,2025-06-30 15:51:39+00:00,Yun Chou,riceandshine.co,2452809891843581,2452809891843581,132,58834.0,1771899.0,".
-
遲來一天的，新 年 新 希 望！！！！！
-
（雖然似乎沒有一年完成但就主要一個儀式感嘛😎
-
去年我說要跑半馬，結果半半馬都沒個影子，好我放棄。
-
今年我覺得簡單一點，追求一個早睡早起就好，還有延續我去年希望能閱讀100本書的期望，這個我真的希望能挑戰成功！！！
-
（不過沒有也沒關係，如果能有一個目標讓自己成功培養一個習慣也很棒！！！
-
金該的我真的是，沒有要理他，我們就繼續看下去他那一坨肉肉在2025年底會變成什麼吧（？
-
祝大家新年快樂，真的不想立新年新希望的話，就跟我們家女兒一樣，一起吃一包洋芋片吧！！！！
-
❤️",62.13,,2025-01-02 22:53:12+08:00,2025-06-30 23:51:39+08:00,DEU7yLDT7q_,Yes,Instaloader
2025-01-07 14:18:39+00:00,2025-09-19 21:23:05+00:00,Yun Chou,riceandshine.co,919581647210064,919581647210064,183,56403.0,1721544.0,".
-
久違的開箱特輯，今天不是小廢物，今天的廢物偏大！🤣
-
是我之前一直在網路上看好久了的 @nikbentelstudio ，他們的包包真的超級有創意超級可愛！我收到真的要瘋掉！！！
-
（而且背起來明明就很好看！😒
-
重點是那個小菜刀！！！哈哈哈不覺得上桌之後拿來些蛋糕甜點很酷嗎？（我是覺得很酷
-
大家最喜歡哪一個！！！跟我説！
-
（我最喜歡包裹包包因為我很愛拆包裹哈哈哈哈",48.73,,2025-01-07 22:18:39+08:00,2025-09-20 05:23:05+08:00,DEhwHXOqE8V,Yes,Instaloader
2025-01-08 13:22:26+00:00,2025-03-21 12:51:31+00:00,Yun Chou,riceandshine.co,26038989682393208,26038989682393211,550,43835.0,1434081.0,".
-
今天我早上起床沒多久，這位仁兄就給我拿出來他昨天買給我的東西獻寶。
-
是一台CD隨身聽跟一張80年代音樂合輯。
-
整個過程超復古的，我感覺自己回到了以前學生時代跟同學（男友）一起合聽音樂的時代，但我心裡一直想說。
-
我 真 的 不 是 80 年 代 的 人。
-
我就1989年六月生！就剛活半年而已欸！這樣也算80年代的人嗎！！！！我明明就感覺自己是90年代的人啊！！！
-
1989年的朋友們站出來評評理欸！！！！！！！！！
-
😒
-
（我真的恨死他嗆聲中文就可以妙語如珠到底是為何）",46.14,,2025-01-08 21:22:26+08:00,2025-03-21 20:51:31+08:00,DEkNuz4KovZ,Yes,Instaloader
2025-01-09 14:18:04+00:00,2025-06-29 10:04:03+00:00,Yun Chou,riceandshine.co,2134634580405548,2134634580405548,221,53480.0,1845102.0,".
-
我明明就說了不再跟先生玩情侶挑戰了，為什麼我還是要這樣對自己呢？
-
真的是不期不待不受傷害。
-
這個人完全沒有浪漫因子在身體裡！！！！一點都沒有！！！！
-
：「妳叫我要自然的，誰在路上撞到人會那樣！我會被警察抓走！」
-
好謝謝，你說的對。",36.64,,2025-01-09 22:18:04+08:00,2025-06-29 18:04:03+08:00,DEm5hsUKA8i,Yes,Instaloader
2025-01-14 13:23:15+00:00,2025-08-03 05:22:35+00:00,Yun Chou,riceandshine.co,4151941858451703,4151941858451703,471,112550.0,2307212.0,".
-
Ida老愛跟著我煮飯好一陣子了，前幾天我忍不住拍下她幫忙的樣子，結果 爆 可 愛！很像什麼超萌煮飯節目主持人，她真的有夠怕冷場一直主持空檔哈哈哈哈哈哈。
-
重點是她平常雖然很皮，但跟著煮飯的時候我請她輕輕丟她就會輕輕的，下料也會等我一個一個下，根本比陪玩還輕鬆！！！
-
：「媽咪you are the best chef!」
「謝謝寶貝！you are the best sous chef！」
-
（而且自己煮的真的比較好吃！看她那浮誇樣就知道了🤣",43.7,,2025-01-14 21:23:15+08:00,2025-08-03 13:22:35+08:00,DEzrMq0q1u4,Yes,Instaloader
2025-01-21 14:11:35+00:00,2025-08-02 13:41:00+00:00,Yun Chou,riceandshine.co,865289553037840,865289553037840,280,99225.0,2267055.0,".
-
我想玩這遊戲很久了，剛好跟孩子們關在家關到要起笑，想說那來玩小孩好了。😎
-
雙Q真是沒讓媽媽失望欸，只是沒想到再給一次機會居然是給我重選吃的，三歲小孩字典裡真的沒有良心只有甜點！！！！
-
還好酒及後來良心發現整個人還憤怒起來，害我問都問不好整個笑場哈哈哈哈哈。
-
最後是完全沒中招的墨，我覺得他根本不是年紀問題是他真的心思太細膩了！！！！這種遊戲完全弄不到他他只會覺得媽很莫名其妙哈哈哈哈哈。
-
（很多小孩的好處是這種遊戲好多樣本可以玩🤣",56.59,,2025-01-21 22:11:35+08:00,2025-08-02 21:41:00+08:00,DFFyCQqK9Q6,Yes,Instaloader
2025-01-27 15:01:53+00:00,2025-09-02 09:39:29+00:00,Yun Chou,riceandshine.co,1622449512439398,1622449512439398,596,316551.0,17778322.0,".
-
相信大家都從動態看到了，我 們 家 被 頭 蝨 攻 擊。
-
其實一直以來我們都有很頻繁的收到學校頭蝨通知，也知道歐洲很多這種情況，但成功躲了一年半沒得到，讓這幾天頭髮跟身體癢到爆的我怎麼都沒聯想到！！！！！
-
直到看到墨突然狂抓頭髮的畫面我們才像被雷打到一樣驚覺，不 會 吧！！！！
-
（然後就看到一堆蟲卵了我哭）
-
還好歐洲很多專門清理的診所，不然我覺得我們自己清理一個月也清不乾淨！！！！！
-
診所說一個禮拜後請再過去檢查一次，這陣子也務必自行用細梳狂梳頭髮！！所有衣物跟寢具用60度高溫水洗，不能高溫的就綁在塑膠袋裡兩週直到他們全死光。
-
沙發床鋪全部吸好吸滿，完全是老天逼我們過年大掃除，也是幸運啦！！！
-
只希望這年我們可以越過越好啊。（哭",53.17,,2025-01-27 23:01:53+08:00,2025-09-02 17:39:29+08:00,DFVUhcmKw1J,Yes,Instaloader
2025-01-28 14:58:59+00:00,2025-03-01 13:58:12+00:00,Yun Chou,riceandshine.co,2038179143702438,2038179143702438,144,64507.0,1770025.0,".
-
昨天我們家的小年夜，媽媽第一次挑戰了兩小時完工的簡易年菜！！！！！
-
我立刻跟我媽說我做了油飯跟佛跳牆，不管有沒有成功都好感動哈哈哈哈哈（還好油飯很好吃！！！
-
（佛跳牆我好想做出以前阿嬤的味道啊啊啊太難了
-
配上蘋果西打跟一家人吵鬧了一個晚上，雖然沒辦法回台灣團聚，但還好我們六個也很熱鬧！！
-
祝大家新年快樂！吃到蛇麼都好吃！！蛇年一切順利！
-
（雖然我今年犯太歲但蛇年就是我的年啊啊🐍",72.73,,2025-01-28 22:58:59+08:00,2025-03-01 21:58:12+08:00,DFX5Cf0q0vT,Yes,Instaloader
2025-01-30 14:41:15+00:00,2025-05-30 18:32:48+00:00,Yun Chou,riceandshine.co,4292753764301713,4292753764301713,79,51959.0,1522286.0,".
-
因為不想讓孩子們因為不在台灣就錯失掉感受過年的快樂，我們兩個計劃了每天都要在他們下課後做些什麼活動，我們六個即使只是在家也可以很有年味！！！！
-
自己寫春聯跟佈置是基本必須！跟聖誕節一樣好喜歡家裡紅紅火火的！
-
（每年都期待我們家西洋張大千的畫😎
-
然後我想說今年來揪小孩包一下水餃！沒想到他們四個真的好有耐心包了4.50個，欸完全是個育兒好活動！！！！！！
-
重點是我本來抱持負面心態在煮水餃的，但居然沒破還很好吃！冰花的有夠好吃！大成功😍😍
-
每天都要祝大家新年快樂！！！",63.8,,2025-01-30 22:41:15+08:00,2025-05-31 02:32:48+08:00,DFdAy25KGta,Yes,Instaloader
2025-01-31 13:54:08+00:00,2025-07-26 15:46:44+00:00,Yun Chou,riceandshine.co,2121616565331201,2121616565331201,143,63327.0,1859256.0,".
-
是的，過年的第三個活動，我們幫孩子們做了一個 夜 市！！！！
-
因為我超喜歡以前小時候過年大半夜去拜拜然後很多攤販在路上的回憶，所以我一直在想怎麼樣能重置那樣的場景讓孩子們也能玩得盡興！
-
於是我們在網路上找了各種遊戲，從釣魚到射氣球都有！（我本來想做麥芽糖後來覺得我瘋了），棉花糖比較快！！
-
這就是為什麼我說我們的兩個累到小孩去上課之後整個癱在沙發上睡死，因為真的 好 累。
-
但真的好好玩欸！決定之後請同學來玩然後收門票！（好我開玩笑的
-
：「媽咪我好喜歡過年！」
-
值 得 了。🥹",49.2,,2025-01-31 21:54:08+08:00,2025-07-26 23:46:44+08:00,DFfgDn5qcoI,Yes,Instaloader
