creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-05 11:31:24+00:00,2025-07-12 22:38:05+00:00,Ru味春捲 Ru’s Piano,ruruspiano,921467557075234,921467557075234,74,4480.0,226999.0,"RuRu的本命火影阿，終於和 @xrage_jp 聯名了！🍥我還不穿爆 (๑•̀ㅂ•́)و✧

這次RuRu選了第一男主角鼬(?)短T、曉組織連帽上衣、萬花筒寫輪眼短T、曉組織長版外套，等等...這個還原度都可以直接拿來cos出片了吧🤣🤣🤣

大家記得1/8去搶購唷，不然依照以往經驗上架一小時內就會被秒殺了😏

－木葉飛舞之處，火亦生生不息。－

#XragexNaruto #Xrage #火影忍者",28.19,,2025-01-05 19:31:24+08:00,2025-07-13 06:38:05+08:00,DEcTsMcyFnh,Yes,Instaloader
2025-01-07 11:34:37+00:00,2025-02-10 20:22:55+00:00,Ru味春捲 Ru’s Piano,ruruspiano,2269219320240118,2269219320240118,67,4850.0,242685.0,"RuRu使用【GAME’NIR】這麼多年，終於等到鋼彈聯名手把啦！！(๑•̀ㅂ•́)و✧

【鋼彈SEED-流星幻影 典藏組】 收錄了「自由鋼彈套組」、「正義鋼彈套組」兩種款式，讓你用雙手駕駛這兩種機體、在各種平台上盡情享受遊戲吧！！🎮✨

這次的典藏組除了有手把本體外，還包含了自由/正義鋼彈造型收納硬殼、手把展示架、漸變色七段燈座，無論拿來展示手把還是您珍藏的鋼彈模型都是非常適合的唷！💪😎
-
@game.nir 
▶支援多平台遊玩PC/Steam Deck/Switch/手機平板/iOS/Android (遊戲需支援控制器) 
▶雙招式記憶背鍵/自動連點，提升遊戲體驗與打怪效率
▶24-30小時續航/金屬搖桿環抗磨耐用
▶五段震動/體感+陀螺儀瞄準
-
👉一起來蒐藏這兩款經典手把吧！：https://gamenir.fun/241202_ruru
-
#GAMENIR #電玩酒吧 #鋼彈SEED #自由鋼彈套組 #正義鋼彈套組 #遊戲最強後援",87.21,,2025-01-07 19:34:37+08:00,2025-02-11 04:22:55+08:00,DEhdcXNS3r7,Yes,Instaloader
2025-03-13 10:42:24+00:00,2025-03-13 11:22:28+00:00,Ru味春捲 Ru’s Piano,ruruspiano,1572945237314884,1572945237314884,35,1314.0,182942.0,這位彈琴的為什麼被粉絲稱作手把王？ 短影片告訴你 ʕ•̀ω•́ʔ✧,31.95,,2025-03-13 18:42:24+08:00,2025-03-13 19:22:28+08:00,DHIvVLgSX_J,Yes,Instaloader
2025-05-11 10:30:57+00:00,2026-01-03 08:45:06+00:00,Ru味春捲 Ru’s Piano,ruruspiano,4092662800998847,4092662800998847,91,6764.0,258301.0,"你還記得這首生物股長的神曲嗎？七大罪 OP1「熱情のスペクトラム」
-
這不是任務，這是「七罪追捕」🔥《決勝時刻M》x《七大罪》直接開送！
今晚，RuRu將成為魅惑之罪 ，帶大家回憶七大罪最經典的神曲「熱情のスペクトラム」☀️！
熱情光譜 x 伊麗莎白 x 史坦威厚實的琴聲，絕對是完美的一場音樂饗宴～♬
滷粉們欣賞完這次的作品後，別忘了和我一同進入七罪通緝世界觀，接受來自戰場的審判或反擊、轉化命運吧！！
-
RuRu已經衝進戰場，霍克也帶著梅利奧達斯跟伊麗莎白一起來 Carry💥
全球最受歡迎射擊手遊，立刻搜尋《決勝時刻M》：

✔ 伊麗莎白轉盤+梅利奧達斯轉盤火熱進行中
✔ 免費獲得聯動史詩角色：暗潮 - 帕西瓦爾
✔ 免費獲得聯動槍： Arctic.50 - 夢想之丘 / MG42 - 傲陽的雄獅
✔ 全新模式《經典再燃：黑色行動 4》經典BO4再燃🔥
-
#七大罪 #決勝時刻M #CODM #熱情光譜 #若淚水消失 #鋼琴演奏 #生物股長 #七つの大罪 #熱情のスペクトラム",56.12,,2025-05-11 18:30:57+08:00,2026-01-03 16:45:06+08:00,DJgni5IyElB,Yes,Instaloader
2025-05-18 10:30:05+00:00,2025-06-08 16:14:23+00:00,Ru味春捲 Ru’s Piano,ruruspiano,871421085525690,871421085525690,46,3179.0,243091.0,"如何優雅的彈出「露比醬～嗨！何が好き？」？迷因神曲「愛♡スクリ～ム！AiScReam」

完整版👉YT搜尋🔍迷因神曲「愛♡スクリ～ム！AiScReam」比起彈琴果然還是喜歡你

#AiScReam #愛スクリム #愛Scream #何が好き #露比醬 #步夢醬 #四季醬 #迷因神曲",29.16,,2025-05-18 18:30:05+08:00,2025-06-09 00:14:23+08:00,DJyqHnYycmc,Yes,Instaloader
2025-05-26 10:31:49+00:00,2025-09-03 13:13:56+00:00,Ru味春捲 Ru’s Piano,ruruspiano,2337469579999207,2337469579999207,201,53585.0,1466098.0,"Bunny Girl彈Bunny Girl的最佳範例🐰看好了我只示範一次！
👉🏻完整版🔍Ru's Piano Bunny Girl

#BunnyGirl #AKASAKI #JPOP #バニーガール #兔女郎 #熱門JPOP #JPOP榜首 #Cosplay",32.26,,2025-05-26 18:31:49+08:00,2025-09-03 21:13:56+08:00,DKHQkVXSQEz,Yes,Instaloader
2025-06-01 10:04:51+00:00,2025-07-14 02:35:33+00:00,Ru味春捲 Ru’s Piano,ruruspiano,2191020154975093,2191020154975093,80,3785.0,217730.0,"龍珠GT主題曲挑戰讓你一秒落淚！「DAN DAN 心魅かれてく」
👉完整版超四悟空彈琴：https://youtu.be/_Hvtlx9MaN4
#七龍珠GT #心漸漸被你吸引 #DANDAN心魅かれてく #DragonBallGT #ドラゴンボールGT #SSJ4 #超四",52.23,,2025-06-01 18:04:51+08:00,2025-07-14 10:35:33+08:00,DKWqVysy-u0,Yes,Instaloader
2025-06-08 12:03:19+00:00,2025-09-21 21:31:35+00:00,Ru味春捲 Ru’s Piano,ruruspiano,848914978145186,848914978145186,62,2243.0,172914.0,"Lumière - 光與影：33號遠征隊 鋼琴版也很有味道🌹
完整版搜尋🔎Lumière + Ru‘s Piano

#Lumière #Lumiere #Expedition33 #33號遠征隊 #光與影33號遠征隊 #エクスペディション33",54.94,,2025-06-08 20:03:19+08:00,2025-09-22 05:31:35+08:00,DKo5oEaSNnF,Yes,Instaloader
2025-06-15 10:50:28+00:00,2025-06-16 02:20:34+00:00,Ru味春捲 Ru’s Piano,ruruspiano,1342951044540093,1342951044540093,50,1962.0,169536.0,"Alicia - 光與影：33號遠征隊 鋼琴版開頭感覺就對了🥀
完整版搜尋🔎Alicia + Ru‘s Piano

#Alicia #Expedition33 #33號遠征隊 #光與影33號遠征隊 #エクスペディション33",59.3,,2025-06-15 18:50:28+08:00,2025-06-16 10:20:34+08:00,DK6y1Gtyt75,Yes,Instaloader
2025-06-22 10:29:42+00:00,2025-09-09 20:14:30+00:00,Ru味春捲 Ru’s Piano,ruruspiano,1233290722107685,1233290722107685,129,19411.0,542268.0,"當兔女郎彈「God knows...」，這..這直接封神了吧🐰🖤🤍
👉完整版🔎God knows...+Ru’s Piano

#Godknows #涼宮春日的憂鬱 #鋼琴演奏 #Godknows鋼琴 #涼宮春日Cosplay #京阿尼 #SOS團 #兔女郎",90.03,,2025-06-22 18:29:42+08:00,2025-09-10 04:14:30+08:00,DLMyDjdSIsu,Yes,Instaloader
