creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-03 11:01:17+00:00,2025-05-21 15:23:59+00:00,Shaogao 囂搞,shaogao,793263663818544,793263663818544,45,8392.0,501975.0,"You know how much I like you?
#couple #animation #cartoon #comedy #funny #shaogao #囂搞",12.89,,2025-01-03 19:01:17+08:00,2025-05-21 23:23:59+08:00,DEXGp-YvaCx,Yes,Instaloader
2025-01-10 11:01:26+00:00,2025-07-01 12:00:36+00:00,Shaogao 囂搞,shaogao,2072593313530811,2072593313530811,44,14478.0,550854.0,"Introverts at parties be like...
你看不到的 I 人在派對上...
#couple #animation #cartoon #comedy #funny #shaogao #囂搞",18.22,,2025-01-10 19:01:26+08:00,2025-07-01 20:00:36+08:00,DEpIPsrMVwy,Yes,Instaloader
2025-01-31 11:00:49+00:00,2025-02-02 13:40:57+00:00,Shaogao 囂搞,shaogao,1886882918615807,1886882918615807,7,2378.0,291702.0,"【 ✦囂搞多重宇宙✦】
↓↓↓預購連結在首頁/限動↓↓↓

.₊ ⟡ ★預購大優惠★⟡ ₊ .
➡️兩件店到店免運
➡️隨件附贈multiverse囂搞吊飾盲包（共9款設計）
➡️滿2500送親筆簽名拍立得 

⚠注意！預購只到2/9蟲洞關閉！
#肉團 #多重宇宙",29.97,,2025-01-31 19:00:49+08:00,2025-02-02 21:40:57+08:00,DFfM2yIITs7,Yes,Instaloader
2025-02-08 11:00:45+00:00,2025-07-21 14:23:36+00:00,Shaogao 囂搞,shaogao,1941055403162055,1941055403162055,92,14124.0,470140.0,"Secret to lasting relationship
為持幸福的秘訣
#couple #animation #cartoon #comedy #funny #shaogao #囂搞",28.06,,2025-02-08 19:00:45+08:00,2025-07-21 22:23:36+08:00,DFzzMlXMee9,Yes,Instaloader
2025-02-11 14:01:53+00:00,2025-08-09 04:54:51+00:00,Shaogao 囂搞,shaogao,25957861360537020,25957861360537014,19,2312.0,317116.0,"Send it to someone who needs to hear this 
傳給你那個需要這支影片的朋友
#everydaypositivity #animation #cartoon #comedy #funny #shaogao #囂搞",22.76,,2025-02-11 22:01:53+08:00,2025-08-09 12:54:51+08:00,DF72VgBMNim,Yes,Instaloader
2025-02-15 11:01:08+00:00,2025-08-01 15:59:31+00:00,Shaogao 囂搞,shaogao,1583779826402451,1583779826402451,391,118268.0,2105830.0,"When you're fighting but still care PART3
當你們在吵架但還是很愛彼此 PART3
#couple #animation #cartoon #comedy #funny #shaogao #囂搞",51.14,,2025-02-15 19:01:08+08:00,2025-08-01 23:59:31+08:00,DGF0wotBvGf,Yes,Instaloader
2025-02-22 11:00:20+00:00,2026-01-25 20:25:51+00:00,Shaogao 囂搞,shaogao,944267591355214,944267591355214,18,3902.0,392219.0,"Send this to someone you wanna hang out with
寄給你想約的那個人
inspired by: <redacted_mention> 
#animation #cartoon #comedy #funny #shaogao #囂搞",14.91,,2025-02-22 19:00:20+08:00,2026-01-26 04:25:51+08:00,DGX2TenRI5L,Yes,Instaloader
2025-02-25 13:00:28+00:00,2025-04-01 07:52:29+00:00,Shaogao 囂搞,shaogao,2146883059478410,2146883059478410,27,5665.0,383659.0,"Send it to someone who needs to hear this
傳給你那個需要這支影片的朋友
#everydaypositivity #animation #cartoon #comedy #funny #shaogao #囂搞",13.21,,2025-02-25 21:00:28+08:00,2025-04-01 15:52:29+08:00,DGfybxNK1eq,Yes,Instaloader
2025-03-10 06:28:17+00:00,2025-08-06 19:44:30+00:00,Shaogao 囂搞,shaogao,1240366934228048,1240366934228048,861,456315.0,8720421.0,"When you’re fighting but still care PART2
當你們在吵架但還是很愛彼此 PART2

#couple #animation #cartoon #comedy #funny #shaogao #囂搞",30.42,,2025-03-10 14:28:17+08:00,2025-08-07 03:44:30+08:00,,Yes,MetaTool
2025-03-13 14:39:56+00:00,2025-08-03 04:04:36+00:00,Shaogao 囂搞,shaogao,25857347053945672,25857347053945669,189,83829.0,1422311.0,"When you‘re fighting but still care PART3
當你們在吵架但還是很愛彼此 PART3
#couple #animation #cartoon #comedy #funny #shaogao #囂搞",51.13,,2025-03-13 22:39:56+08:00,2025-08-03 12:04:36+08:00,,Yes,MetaTool
