creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-02 10:04:19+00:00,2025-02-08 12:02:20+00:00,我是江老師,teacherchiang,1614638063011434,1614638063011434,0,1305.0,117126.0,"純享版｜AKMU How can I love the heartbreak, you`re the one I love 
Piano Cover | 악뮤-어떻게 이별까지 사랑하겠어, 널 사랑하는 거지

今天演奏會所以YT暫停更新一次喔
送給大家我最近的愛歌 💗💗
給大家寒冬間的溫暖",180.91,,2025-01-02 18:04:19+08:00,2025-02-08 20:02:20+08:00,DEUbGxahdnS,Yes,Instaloader
2025-01-03 14:02:00+00:00,2025-02-08 12:02:20+00:00,我是江老師,teacherchiang,1401854654955944,1401854654955944,110,10277.0,383120.0,"芒果全英文訪談真的太帥了
媽媽真的覺得很驕傲🥹🥹🥹
不是因為英文能力有多好
而是他願意大方 而且努力準備！

小孩是葛瑞囧日記的粉絲～～～
這次能夠和葛瑞的作者Jeff直接面對面訪談真的非常幸福
也是一個給孩子很好的學習機會

得知有這個機會以後
芒果超認真準備 
準備幾個跟書籍相關的問題
但其中有一個問題是媽媽準備的
就是「請問寫作需要練習嗎？我有學鋼琴，我平常都要一直練琴，我覺得很辛苦。」
媽媽就是希望從他的偶像口中說出來
「對！你就是要練琴」
哈哈哈哈哈哈計謀得逞

弟弟也自己畫了超級可愛的卡片給Jeff
充滿童趣真心的圖樣超可愛展現出他的真誠
只有小孩可以寫出這種有點亂
但可愛到不行的字體❤️

現在小孩都非常喜歡玩手機、iPad 
但我自己是會用一些獎勵機制 
讓他們換取時間玩自己想玩的手機遊戲
但週一到週五休閒時間 就是讓他們看書
所以芒果真的看很多課外讀物
「葛瑞的囧日記」芒果也全部都看完
這是相當適合小朋友看的讀物
無厘頭的幽默與荒唐的日常
小朋友都會覺得很有趣
很享受閱讀的時光

希望自己與孩子未來都還是能夠享受閱讀
在書中看見大大的世界🌍
葛瑞的囧日記最新系列-肉丸搞的鬼已經上市囉
推薦給大家年假或是寒假在家可以給小孩閱讀💗

@futureparenting",169.64,,2025-01-03 22:02:00+08:00,2025-02-08 20:02:20+08:00,DEXbQBhixvZ,Yes,Instaloader
2025-01-04 05:01:11+00:00,2025-02-08 12:02:20+00:00,我是江老師,teacherchiang,849935938024442,849935938024442,28,1761.0,148520.0,"我居然唱了一首湯咖哩之歌！
上次發了陶板屋的介紹文
真的很多人跟我一樣
對陶板屋有滿滿的回憶！

而我這次的新挑戰是為陶板屋獻唱湯咖哩主題曲！
還拍了很像MV的作品
拍MV初體驗超新奇
感謝拍攝團隊超級專業
把我跟肉都拍得很美（？

最後湯咖哩小公主
我本人要幫大家加菜！
即日起-2025/1/24拍照打卡
 #陶板屋和風洋食 
消費2客贈焗烤扇貝海鮮名物乙份

#陶板屋 #和風洋食 #歲末聚餐  @tokiya.wowprime",35.11,,2025-01-04 13:01:11+08:00,2025-02-08 20:02:20+08:00,DEZCO5JNEIe,Yes,Instaloader
2025-01-06 10:05:42+00:00,2025-02-08 12:02:20+00:00,我是江老師,teacherchiang,2098452180909673,2098452180909673,7,2089.0,130151.0,"2NE1粉絲在哪裡～～～
看到他們回歸真的太開心了
於是決定來一集2NE1 鋼琴開箱
但是這次還有特別上網請人編曲
兩種價位的編曲到底有沒有差呢？
21:00一起來聽聽看",34.09,,2025-01-06 18:05:42+08:00,2025-02-08 20:02:20+08:00,DEeurnBs2kD,Yes,Instaloader
2025-01-07 13:34:48+00:00,2025-12-02 00:52:48+00:00,我是江老師,teacherchiang,3249441918562281,3249441918562281,85,6945.0,241072.0,"這是一首蕉響樂🍌

8度香蕉 可以彈奏多少名曲？
讓我來跟大家分享不同風格的香蕉名曲
浪漫的、愉快的、悲傷的香蕉
通通都有～",64.27,,2025-01-07 21:34:48+08:00,2025-12-02 08:52:48+08:00,DEhrXfqpYhs,Yes,Instaloader
2025-01-08 13:02:08+00:00,2025-07-05 23:29:34+00:00,我是江老師,teacherchiang,1443466590438985,1443466590438985,156,13519.0,788625.0,"女明星的後台 💅
@itrainyourmom",40.1,{'0': '1419132479792160'},2025-01-08 21:02:08+08:00,2025-07-06 07:29:34+08:00,DEkMU-kSc6P,Yes,Instaloader
2025-01-09 11:21:02+00:00,2025-02-08 12:02:20+00:00,我是江老師,teacherchiang,25931591219791180,25931591219791186,5,1590.0,105526.0,"到超商演奏古典樂
會不會因此刺激大家購買高級禮盒的慾望呢？
跑去超商演奏了一個下午
實測結果真緊張😂",31.23,,2025-01-09 19:21:02+08:00,2025-02-08 20:02:20+08:00,DEmllH2yw1q,Yes,Instaloader
2025-01-10 13:02:19+00:00,2025-09-26 12:48:49+00:00,我是江老師,teacherchiang,3616352541870894,3616352541870894,17,818.0,115295.0,"身為一個文具控
擁有一個魔法橡皮擦也是合理的吧（才怪）
如果有什麼都能擦掉的橡皮擦
你們想擦掉什麼呢？

我很想擦掉手術留下的疤
開刀後我的肚子留下了12公分的疤痕
除了要拋棄露肚裝之外
影響最大的就是非常癢
冬天變更乾我更是會抓到流血破皮
所以看起來就更淒慘了

一開始我都是抹油來止癢
雖然可以減緩癢感但沒有淡疤的功能
後來我收到貝膚黛瑪超級28膠原修復霜
超級好用！！！
擦完真的皮膚不會癢之外疤也有慢慢地淡化
顏色不再那麼紅 

貝膚黛瑪超級28膠原修復霜
他的保濕真的超神！
你抹上皮膚一層就能感受到超級補水 
亮晶晶的水感直接扒上你的肌膚
加上『肌活膠原舒痕科技』肌活膠原
幫助肌膚可以有滿滿的膠原力！快速舒緩修復
還可以讓肌膚的膠原力達到撫平細紋深層修復的效果
加上超厲害的獨家專利科技『啡肽舒緩修復專利』
讓肌膚更好吸收之外一陣子就可以感受到止癢效果
不會亂抓而產生一些不必要的疤痕

當然疤痕不可能完全不見😭
但有看到淡化我已經很感動了
28膠原霜其實用途很廣
是可以用在任何需要被修復的地方的喔
包含臉部、小孩的屁屁也可以使用！！

除了修復之外
日常的第一道防線也很重要
絕對不能曬太陽！！！
避免色素沉澱也讓修復後的皮膚更漂亮
貝膚黛瑪痕也有推出日常使用的全面抗痕修復日霜
有spf50+  pa++++的超高防曬力
抵檔紫外線之外同樣有修復、舒緩、保濕功能喔！
日常保養也要跟上～",107.54,,2025-01-10 21:02:19+08:00,2025-09-26 20:48:49+08:00,DEpV9gZC9u6,Yes,Instaloader
2025-01-11 09:43:42+00:00,2025-02-08 12:02:20+00:00,我是江老師,teacherchiang,903756002300064,903756002300064,165,13665.0,369966.0,"這個垃圾車音樂太空靈了！！！
你們家旁邊的垃圾車有新音樂了嗎？
你們喜歡新的圓舞曲風格
還是喜歡原來的走音愛麗絲呢❤️",43.3,,2025-01-11 17:43:42+08:00,2025-02-08 20:02:20+08:00,DErj2QQyc7Y,Yes,Instaloader
2025-01-13 10:01:54+00:00,2025-02-08 12:02:20+00:00,我是江老師,teacherchiang,1229997485169826,1229997485169826,6,1053.0,77481.0,"記憶裡的聲音
不可能沒看過這幾部
完全就是回憶殺 ！
哆啦A夢、麵包超人還有更多
聽完一定回憶滿滿",30.04,,2025-01-13 18:01:54+08:00,2025-02-08 20:02:20+08:00,DEwvxLEIpCF,Yes,Instaloader
