creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-03 10:00:54+00:00,2025-04-29 18:45:18+00:00,The DoDo Men - 嘟嘟人,thedodomen,2323214931509030,2323214931509030,17,6303.0,536894.0,"今年的奧運網球選手家宜
沒想到才20歲而已就這麼厲害！
-
Podcast🎧跳脫Do式圈
更新時間：台灣時間每週一早上7.
陪你一起度過Monday Blue!
點擊 @thedodomen 主頁連結🔗
就能找到各大平台的收聽連結摟！
-
#網球 #奧運 #選手",46.68,"{'0': '756505280436569', '1': '1055597603320478'}",2025-01-03 18:00:54+08:00,2025-04-30 02:45:18+08:00,DEW_ud4Co-3,Yes,Instaloader
2025-01-06 10:00:59+00:00,2025-02-15 07:45:16+00:00,The DoDo Men - 嘟嘟人,thedodomen,1251796586914621,1251796586914621,62,8741.0,440066.0,"好喝一直喝的 OATSIDE 燕麥奶竟然有口袋瓶了！
像我這種工作狂真的太適合了哈哈哈😂
除了燕麥奶的濃郁香氣和很順口，
我愛它的一個原因是因為燕麥奶的製造對環境很友善～
相比牛奶，燕麥奶在生產過程中使用的土地和水資源都更少，
而且碳排放也大大降低，真的是一個很棒的選擇，
有乳糖不耐的人也很適合👍

這次 OATSIDE 真的很貼心～新推出 200ml 的口袋瓶，
不管是原味還是可可口味，都很適合忙碌的上班族喝欸！
這樣小小一瓶很輕很方便，所以趕通勤、工作累了
都能直接來一瓶！而且它有濃郁燕麥香氣，
喝起來很順口～讓人心情瞬間變好～

這款燕麥奶口袋瓶 >> 原味39元、可可45元
現在口袋瓶在 7-11 還有嚐鮮優惠哦✨
即日起到2/4，第二件還6折！！！
這麼佛的優惠不推給你們真的不行！去7-11可以買起來🙌

@oatside_tw

#OATSIDE #燕麥奶 #口袋瓶 #小小OATSIDE大大哇噻 #711搶先上市",39.28,,2025-01-06 18:00:59+08:00,2025-02-15 15:45:16+08:00,DEeuI6WJXmX,Yes,Instaloader
2025-01-07 13:01:14+00:00,2025-04-30 08:09:23+00:00,The DoDo Men - 嘟嘟人,thedodomen,1634032681343972,1634032681343972,19,7571.0,576675.0,"你最後一次嘗試新事物是什麼時候？
-
Podcast🎧跳脫Do式圈
更新時間：台灣時間每週一早上7.
陪你一起度過Monday Blue!
點擊 @thedodomen 主頁連結🔗
就能找到各大平台的收聽連結摟！
-
#採取行動 #勇敢 #嘗試",36.37,"{'0': '2291576077852444', '1': '442816181752832'}",2025-01-07 21:01:14+08:00,2025-04-30 16:09:23+08:00,DEhnjXAC8DT,Yes,Instaloader
2025-01-09 10:00:56+00:00,2025-02-15 07:45:16+00:00,The DoDo Men - 嘟嘟人,thedodomen,872308539108194,872308539108194,101,6568.0,421323.0,"今天上課氣到我差點爆炸，結果竟然是誤會一場！😡 
原來學生在滑手機，是在挑禮物要送我？😆 
還好你們眼光不錯，知道我要的就是這款
✨芳茲滴雞精✨！

我跟你們講，這真的就是我的元氣救星！
滴滴都是全雞精華，沒加水、沒加鹽，喝起來超純～
熱熱喝，像在喝媽媽的愛心雞湯❤️
尤其我這種常常飛來飛去的人
出國的話，帶著喝也完全沒問題～💼✈️
或者是忙到沒時間吃飯的外食族，
隨手拿一包常溫也能直接喝，超方便！

不只我，這也很適合你們長輩、熬夜加班的朋友，補充營養元氣超到位🙌
最近過年快到了，還有這款過年禮盒，送禮超有面子，還能暖心又暖身

不知道過年禮盒要挑什麼？
就買 @funs_bio 日月養生滴雞精啦！
現在用我們折扣碼：dodomen 還有折扣喔！
https://fun-s.cc/dodomen
下單輸入即可現折100元（定期購、隨身組，牛蒡系列商品、團購商品不適用）

#過年送禮推薦 #常溫滴雞精 #芳茲滴雞精 #最好喝的滴雞精  #日常保養",81.09,,2025-01-09 18:00:56+08:00,2025-02-15 15:45:16+08:00,DEmchDKhSMj,Yes,Instaloader
2025-01-15 10:00:48+00:00,2025-04-30 23:54:54+00:00,The DoDo Men - 嘟嘟人,thedodomen,874037558813320,874037558813320,36,12960.0,830291.0,"希望這次LA大火能夠盡快平息🙏
-
Podcast🎧跳脫Do式圈
更新時間：台灣時間每週一早上7.
陪你一起度過Monday Blue!
點擊 @thedodomen 主頁連結🔗
就能找到各大平台的收聽連結摟！
-
#洛杉磯 #大火 #LA大火",26.71,"{'0': '1055597603320478', '1': '442816181752832'}",2025-01-15 18:00:48+08:00,2025-05-01 07:54:54+08:00,DE15Rm-t9_h,Yes,Instaloader
2025-01-17 09:55:38+00:00,2025-06-15 19:04:44+00:00,The DoDo Men - 嘟嘟人,thedodomen,1201698882068727,1201698882068727,122,15109.0,712515.0,模仿GD有成功嗎,12.44,{'0': '1055597603320478'},2025-01-17 17:55:38+08:00,2025-06-16 03:04:44+08:00,DE7COkkSLgY,Yes,Instaloader
2025-01-20 13:01:09+00:00,2025-08-05 14:07:10+00:00,The DoDo Men - 嘟嘟人,thedodomen,955273370344821,955273370344821,541,47650.0,2359670.0,"台灣人threads都念脆？
-
Podcast🎧跳脫Do式圈
更新時間：台灣時間每週一早上7.
陪你一起度過Monday Blue!
點擊 @thedodomen 主頁連結🔗
就能找到各大平台的收聽連結摟！
-
#脆 #threads #台灣人",34.82,"{'0': '1055597603320478', '1': '442816181752832'}",2025-01-20 21:01:09+08:00,2025-08-05 22:07:10+08:00,DFDF4NdBzRG,Yes,Instaloader
2025-01-23 10:01:32+00:00,2025-09-11 14:18:02+00:00,The DoDo Men - 嘟嘟人,thedodomen,2268292086996917,2268292086996917,36,8406.0,542453.0,"過年大家都會做什麼？🧧

除了一定要回家大吃大喝之外
最重要的就是要刮刮樂！😍

身為一個好老闆，過年到了讓員工一起同樂是很重要的🙌
（雖然要先經過一些努力啦🤣）

今年台灣彩券推出的 2,000 萬超級紅包!!!
總共有八個小遊戲真的超好玩🤩
跟一群家人朋友一起刮～
大家又緊張又興奮，這個過年氛圍真的滿分😎
刮刮樂就是要過年的時候熱熱鬧鬧一起玩🤩

而且除了好玩之外，還可以做公益真的超棒的👍
趕快去買刮刮樂跟大家一起同樂吧！
P.S最後在公園刮刮樂的屑屑我們有掃起來喔🙌

*投注不過度 助人又樂己 未滿18歲不得購買或兌領彩券

#台灣彩券 #刮刮樂 #歡樂時刻就要刮刮樂 #刮刮樂就是一種過年的Style",86.55,,2025-01-23 18:01:32+08:00,2025-09-11 22:18:02+08:00,DFKfs6QJb26,Yes,Instaloader
2025-01-25 10:00:57+00:00,2025-07-26 16:58:47+00:00,The DoDo Men - 嘟嘟人,thedodomen,906710188718377,906710188718377,34,6737.0,560968.0,"如果讓你選三個詞，你希望怎麼被別人記得？
-
Podcast🎧跳脫Do式圈
更新時間：台灣時間每週一早上7.
陪你一起度過Monday Blue!
點擊 @thedodomen 主頁連結🔗
就能找到各大平台的收聽連結摟！
-
#自我對話 #形容詞 #我是誰",28.95,"{'0': '1055597603320478', '1': '442816181752832'}",2025-01-25 18:00:57+08:00,2025-07-27 00:58:47+08:00,DFPpPCkhn_h,Yes,Instaloader
2025-02-03 13:01:38+00:00,2025-04-30 14:31:00+00:00,The DoDo Men - 嘟嘟人,thedodomen,1536296647669683,1536296647669683,42,11994.0,822263.0,"住家裡跟搬出來，你們會選哪一個？
-
Podcast🎧跳脫Do式圈
更新時間：台灣時間每週一早上7.
陪你一起度過Monday Blue!
點擊 @thedodomen 主頁連結🔗
就能找到各大平台的收聽連結摟！
-
#搬家 #自己住 #獨立",31.21,"{'0': '1055597603320478', '1': '442816181752832'}",2025-02-03 21:01:38+08:00,2025-04-30 22:31:00+08:00,DFnJDl_tHYH,Yes,Instaloader
