creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-02 12:24:00+00:00,2025-07-06 22:31:21+00:00,陳彥婷 Tiffany,thetiffanychen,1628919054765614,1628919054765614,60,16425.0,1314664.0,"給我一個空間!!!
來自我內心深處的吶喊🤣
 
「媽媽～～媽咪～～」「老婆～～」
就連元寶現在也是「ㄇㄚㄚㄚㄇ」
 
有一次我認真的跟黃金說
我：你叫爸爸幫你用
黃金：爸爸戴耳機都聽不到
 
於是！新的家規出現了👇🏻
『小孩還沒睡，不要給我用電腦!!!!』
 
給我一個空間!!!!現在先讓我靜一靜!!!!
吸氣吐氣緩和情緒的好東西 
＃雀巢多趣酷思膠囊咖啡機 
一鍵開啟我的Me Time 享受一個人的寧靜🤎
 
工作室擺了一台，家裡也需要一台
每天早上先去廚房泡一杯，先身心靈加油
窄型機身輕巧不佔位子，消光機身美觀、耐看、耐髒
GENIO S TOUCH #灰精靈 咖啡機操作超方便
完全不用研讀說明書，簡單快速好上手、智慧觸控介面清晰好操作！
一鍵即可以享受近30多種口味選擇，在家享有居家咖啡館，擁有自己的星巴克☕️
 
月底就是過年，記得先想到自己
送給自己一個空間享受視覺跟嗅覺的療癒
當然！這個禮盒送禮自用兩相宜👍🏻

即日起在雀巢多趣酷思官網、百貨專櫃、momo購物網、蝦皮購物網、PChome熱賣中！
【雀巢多趣酷思 星巴克®新春膠囊咖啡機禮盒】 限量組合賣完就沒囉！
禮盒價: $3999 （原價: $4959，現在禮盒優惠省快1000元）

📣1/23前輸入專屬折扣碼【Tiffany】⭐️
即加贈品牌拿鐵咖啡玻璃杯限量30組

#NESCAFEDolceGusto #GenioSTouch灰精靈 #星巴克太妃核果風味拿鐵 #星巴克拿鐵 #星巴克新品",77.47,,2025-01-02 20:24:00+08:00,2025-07-07 06:31:21+08:00,DEUrM9jyhvA,Yes,Instaloader
2025-01-03 15:25:08+00:00,2025-09-20 14:47:33+00:00,陳彥婷 Tiffany,thetiffanychen,1957597265185901,1957597265185901,179,32396.0,1385152.0,"雙人特技養成17

看影片覺得很簡單
殊不知巨人太寬  我腳根本夾不住😂

下次身邊朋友生日
我們就這樣為他慶生（開玩笑🤣

#無聊夫妻 
#越打越生氣
#互相傷害的遊戲
#孩子睡了終於可以剪片",66.87,{'0': '2651447821912554'},2025-01-03 23:25:08+08:00,2025-09-20 22:47:33+08:00,DEXkSPES3gg,Yes,Instaloader
2025-01-05 13:36:03+00:00,2025-07-27 14:30:48+00:00,陳彥婷 Tiffany,thetiffanychen,745297851643685,745297851643685,89,24807.0,1045664.0,"一個在夏天☀️一個在冬天❄️

本來要拍快速+好幾個景
結果巨人昨天打球腳扭到
變成超慢版🤣

All / @chuchustyle_ 的討抱外套
#自訂機能款冰川極暖鋪棉外套 
雖然短版，但超保暖+防潑水
而且穿在身上超輕!!!!👍🏻

#巨人一個人在夏天
#冷風颼颼他說很剛好",17.79,"{'0': '2651447821912554', '1': '1584865722470538'}",2025-01-05 21:36:03+08:00,2025-07-27 22:30:48+08:00,DEcgWI8SiFW,Yes,Instaloader
2025-01-06 13:03:15+00:00,2025-02-18 11:10:02+00:00,陳彥婷 Tiffany,thetiffanychen,881776824763144,881776824763144,107,16430.0,882313.0,"有後援真的好幸福😍

黃金那時候我們自己帶
跟著我跑各種工作、攝影棚
所以懷元寶的時候，我還想說自己帶應該可以

結果完全無法！
完全沒辦法工作，OMG 🤣
於是我的超人公婆就立刻搬來台北
再次感恩我的公婆❤️

巨人：為了讓我爸媽顧得更久
我：必須補起來！！！

我從懷元寶就各種補（豪捕
因為以為懷女生（喂🤣 🤣
其中一個吃到生，到現在還在吃的就是 ＃燉燕窩

♡老協珍燉燕窩
榮獲國際A.A無添加驗證，沒有添加漂白劑、人工粘稠劑、低糖配方
對於女性、孕媽咪、產後媽媽、哺乳中，或是一般男女、長輩都可以滋補
✔而且喝下來燕窩量很多（而不是喝一個虛無）
✔無腥味、很順口、不甜不膩
✔最主要養顏美容外，也調節生理機能跟多種營養素
✔0脂肪、0防腐劑、0塑化劑

送禮自用兩相宜
還在想過年要送什麼給長輩？
老協珍燉燕窩可以作為參考
年節送禮外盒大器、送禮有面子外，全家一起補

#老協珍燉燕窩 #八十年頂級工藝 #年節送禮首選 #最值得的輕奢滋補禮盒",106.33,,2025-01-06 21:03:15+08:00,2025-02-18 19:10:02+08:00,DEfCuZESriN,Yes,Instaloader
2025-01-07 13:11:57+00:00,2025-07-06 13:14:32+00:00,陳彥婷 Tiffany,thetiffanychen,954988673654946,954988673654946,161,67725.0,2219553.0,"媽媽智商堪憂😃

在網路上看到這個魔術
「啊哈！很簡單！立刻來玩玩看！」

跟想像的相差甚遠😂😂😂

本來想在小孩面前耍帥的
結果被反制了一波

沒關係～
人家都說要養出聰明的小孩
就是爸媽不要太聰明🤣🤣

#我超慌張的手
#巨人一臉衝殺毀",64.11,,2025-01-07 21:11:57+08:00,2025-07-06 21:14:32+08:00,DEhoRiLyCkY,Yes,Instaloader
2025-01-08 13:12:30+00:00,2025-09-02 18:13:44+00:00,陳彥婷 Tiffany,thetiffanychen,906423618759502,906423618759502,140,19770.0,1023884.0,"成年 vs 未成年

對啊！是腕龍欸😂😂
對啊！不可能會看錯

巨人：哇 懶（消音）
巨人：喔…不是喔
黃金：那個是腕龍
我：對！他好厲害做腕龍

🤣🤣🤣🤣🤣🤣

#爸媽面壁
#不可能只有我看錯吧
#和孩子一起看手機要注意",14.21,,2025-01-08 21:12:30+08:00,2025-09-03 02:13:44+08:00,DEkNUKNSWJT,Yes,Instaloader
2025-01-09 13:01:03+00:00,2025-07-22 06:43:49+00:00,陳彥婷 Tiffany,thetiffanychen,910388071454463,910388071454463,20,8425.0,687272.0,"久違的開箱！
開一個春暖花開😜

我從以前就很喜歡買床單
從素面到花色、不然就法蘭絨
但大多數都走安全牌（不過花、不pink

這次來點special
趁過年前讓他有花有紅好過年
藉由這個床單讓他脾氣可以溫和起來
（但看來似乎更情緒化了🤣🤣

📢蝦皮1.11購物節 汰舊換新迎蛇年！
✔新年宅配＄499起免運
✔回購再享11％蝦幣回饋
✔全站刷卡加碼9折
月底就是過年，又是時候把購物車結單囉～～
@shopee_tw 

#蝦皮購物 #蝦皮111購物節",103.17,{'0': '262688493485484'},2025-01-09 21:01:03+08:00,2025-07-22 14:43:49+08:00,DEmw0e-Skoj,Yes,Instaloader
2025-01-10 13:45:40+00:00,2025-08-06 21:19:34+00:00,陳彥婷 Tiffany,thetiffanychen,3317940649053461,3317940649053461,15,14562.0,1104294.0,"居家魷魚遊戲—綁鈕扣🤪

今天發現外套鈕扣掉了
我：我們來比賽看誰先綁回去
巨人：來啊！有什麼難的

很無聊的事
但能一起玩都是幸福的事👍🏻

#無聊夫妻
#到底在緊張什麼
#happyfriday",74.91,{'0': '2651447821912554'},2025-01-10 21:45:40+08:00,2025-08-07 05:19:34+08:00,DEpZ2rES21F,Yes,Instaloader
2025-01-12 16:13:51+00:00,2025-07-23 18:05:44+00:00,陳彥婷 Tiffany,thetiffanychen,1182463636994668,1182463636994668,137,67281.0,1909966.0,"沒關係！我生的 x 3 🤣

⚠️申明：餐廳音樂比較大聲，所以才這樣玩

很多人都說 「黃金真的超乖」
但私底下跟著熟悉的人就是這個樣子
真的是燃燒耐心🤣

尤其4歲 歐哞哞 又是另一個等級
我最近覺得韓劇摸後頸高血壓不是假的
近期的我和巨人每天都如此😂😂

巨人：他就是像到你啊
我：你最好是啦
巨人：你跟他一模一樣啊

自己生的！自己生的！自己生的！
肯洽那～～登登登登登🤪

#我生的我生的我生的
#每長一歲的是另一個關卡",45.11,{'0': '2651447821912554'},2025-01-13 00:13:51+08:00,2025-07-24 02:05:44+08:00,DEu0fShSryC,Yes,Instaloader
2025-01-13 12:52:57+00:00,2026-01-18 20:53:21+00:00,陳彥婷 Tiffany,thetiffanychen,1192330699635902,1192330699635902,56,14753.0,947770.0,"大腿圍從51 👉🏻49
完全沒有要放過自己大腿的意思😎

很多人說顧小孩很常忘記吃飯就會瘦
我完全相反!! 顧小孩我不吃飯我真的會發瘋!!!
尤其近3個月，完全把飲控拋一邊
我現在就是要吃！然後吃完再懊悔這樣🤣🤣

悔的是 我吃多都是胖在下半身（就是不胖胸部
身高不高的人要看起來視覺好，下半身的比例佔了8成！
所以！既然不能放棄吃美食，那嚴以律己是必要的💪🏻

每天4個習慣：腿型自我養成！
♡不要久坐！坐一段時間就起來拉伸，同時眼睛也可以放鬆
♡有空就做一下腿部運動，我每次都邊動邊顧小孩（當重訓這樣）
♡拉筋真的很重要！腿部肌肉拉開線條才會好看！不求鉛筆腿，求的是健康的線條
♡按摩＋刮刮樂：小孩睡後我就開始刮全身，尤其腿部是我每天的重點，有刮不容易水腫、痠痛、肌肉也能放鬆（影片有刮的方向）

沒有刮棒沒關係，用手也可以
只要有夠滑順、好延伸的油就行👍🏻
#克莉絲丹身體精華油 @chrisdan.77 近期是我的愛用💛
流動性高是一定要的，而且不用多就能抹足全身（一瓶cp
擠個3下就能按摩整條腿，按摩吸收後不卡油、不油膩
而且高級香味奢華純淨不刺鼻～
擦上去很絲滑、很享受、質地好延展！不黏膩很舒服！
而且藉由油類按摩，在刮穴道的時候不摩擦，還能滲入肌膚更保濕！
同時按摩可以放空＋緩解焦慮，晚上自然睡得好！
全身按摩完了，手部也直接護手（冬天都不脫皮了）
晚上洗完澡後享受me time邊追劇邊擦身體精華油
乾癢、脫屑say bye !! 顧臉皮外，身體皮膚也要很好摸🤗

Ok ! 冬天進補過多 or 久坐
那就不要遲疑，刮起來！！
克莉絲丹身體精華油分享給你們
🛒 https://bit.ly/3Pw0A84

#克莉絲丹香氛奧秘  #香氛柔嫩身體精華油",119.47,{'0': '1278543140780514'},2025-01-13 20:52:57+08:00,2026-01-19 04:53:21+08:00,DExDDdjSQxp,Yes,Instaloader
2025-01-16 13:08:22+00:00,2025-07-13 14:00:55+00:00,陳彥婷 Tiffany,thetiffanychen,2550136885403419,2550136885403419,94,23036.0,1161790.0,"雙人特技養成18

這！次！好！難！
影片看起來很簡單…但真的超難!!!
難到我差點哭出來😂
整整一個小時，翻了一個小時!!!!

真的要休養一陣子了
兩個人遍體鱗傷🤣🤣🤣

#無聊夫妻
#一個手痛一個肩膀痛
#一個頭痛一個妹妹痛",97.5,{'0': '2651447821912554'},2025-01-16 21:08:22+08:00,2025-07-13 22:00:55+08:00,DE4zNvoSYo4,Yes,Instaloader
