creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-15 13:32:46+00:00,2025-08-04 16:37:18+00:00,找蔬食 Hao&Yang,traveggo,916191564143111,916191564143111,49,13730.0,601312.0,"#同居觀察日記 Ep1
同居是感情必修學分
兩人住進同一個屋簷下
首先迎來的 絕對是習慣上的小摩擦小吵架

但習慣沒有對錯
就當跳華爾滋 你退我進 你進我就退
順手清走堵排水孔的頭髮
暗自決定往後改坐著尿尿
生出更多同理和包容心
舞姿協調了 生活也和諧美滿✨

同居後吵架真的沒辦法冷戰欸（笑
因此設立情緒界限好重要
小爭執小不爽  練習自己消化
一個深呼吸或10分鐘的冥想時間
就將自己拉出情緒漩渦🌀

心靈打掃 靠溝通 靠內省
環境打掃 就靠「Goodies&co.」
👉🏻 https://citiesocial.co/y8Xdg

全台第一個
使用「#回收咖啡渣」製成的環保清潔組
和雲林古坑咖啡小農合作
回收咖啡渣 萃取出單寧酸
能有效去污垢、吸附異味、並保持成分活性
更使用 ECOCERT 認證原料
為環保更盡一份力
 
-

綠色｜#神奇萬用噴霧
這罐是全能型油污殺手⚡️
一瓶就能解決90%家庭清潔需求
輕噴幾下靜置幾分鐘
最難搞的廚房油污、各種廚房家電
居家空間任何角落髒污都能一乾二凈

藍色｜#去去水漬走
乾濕分離門、浴鏡水龍頭
甚至馬桶尿垢、磁磚陳年垢都能輕鬆瓦解
霧濛濛的浴室瞬間乾淨亮晶晶✨

黃色｜#免稀釋地板清潔
擦地板之外 也推薦擦鞋櫃櫥櫃
不但乾淨散發木質香！還自帶抗菌防蚊效果👍🏻
定期把零食櫃擦一遍
就不怕小強蚊子來打擾

Goodies&co. 不只環保又好用
沒有一般清潔劑的刺鼻味
還特別調製媲美香氛品牌的高級木質調
更是難得美到不用收進櫥櫃的清潔產品
美感在線、香氣在線、實用性在線、環保更加分
絕對是我們同居生活不可或缺的好幫手

建立一個家不容易
但屋簷下有另一個人相伴 是很幸福的事
一起建立心靈健康、維護環境整潔
讓同居成為甜蜜生活的延續吧❤️

-
@citiesocial
#everyday讓打掃變成一種享受
#Goodies好好照顧你居家生活品牌 
#台灣最美環保清潔劑組",90.02,{'0': '1833997590677795'},2025-01-15 21:32:46+08:00,2025-08-05 00:37:18+08:00,DE2RQZzy7ik,Yes,Instaloader
2025-01-23 13:50:50+00:00,2025-07-19 10:17:49+00:00,找蔬食 Hao&Yang,traveggo,3243955289117081,3243955289117081,73,28533.0,1416216.0,"#同居觀察日記 Ep2
經歷女生月經週期像換了4個女友……

#情侶日常 #vegancouple
#同居觀察日記 
#影片靈感來自於ig探索以月經週期為主題的影片
#腳本內容為自行創作喔",31.81,,2025-01-23 21:50:50+08:00,2025-07-19 18:17:49+08:00,DFK56DuvHOw,Yes,Instaloader
2025-01-24 13:35:47+00:00,2025-11-18 22:46:44+00:00,找蔬食 Hao&Yang,traveggo,1604802410544990,1604802410544990,30,2930.0,329556.0,"#同居觀察日記 Ep3
我以為我在女生界洗澡算快了
同居才發現男女洗澡速度真的差好多😂

洋可以一顆肥皂洗全身
從頭嚕到腳 再順便嚕臉
然後皺著一張臉 迅速搓洗 大力擦乾
到底是在趕什麼？？跟我同居像在當兵是嗎🤣🤣

還好有「FOREO LUNA 4洗臉機」
自從它入住我們家
我們洗沐步調終於比較平衡（笑

小小一台
真的可以把臉 徹！底！洗！乾！淨
使用２年下來粉刺黑頭減少超有感吶✨
多虧它的 #抗菌矽膠刷頭
溫和又柔軟 有效去除角質和死皮 重現肌膚健康光澤
搭配每分鐘 8000 次的 #聲波脈動科技
把累積一整天的毛孔髒污、殘妝通通帶出來
還能透過app #客製化調整
面部各區域清潔強度和時間 打造專屬你的清潔模式

小小一台
居然還將清潔＋保養功能二合一
背面的波紋設計 結合app內建5大按摩模式
在上完保養品之後用它按摩
可以緊緻肌膚 促進保養品吸收

小小一台如此好用又兩用
連洋這麼怕麻煩＋愛洗戰鬥澡的人
都用過一次就死心塌地！！！！

而且說麻煩其實也不麻煩
因為它全機防水又無耗材（不需替換刷頭
單次充電就可以使用600次（下次充電就是2年後的意思😂
完全就是好用到爆又符合我們理念的產品啊！！！

過完年 情人節就要到了
除了曬我們的同居生活
FOREO 最新優惠當然也要分享給你們
🔥一月限時優惠只到1/31，最低5折起🔥
使用限定折扣碼 「TRAVEGGO10」
再享額外10%優惠的專屬福利

@foreo_official
#洗臉機推薦 #FOREO洗臉機 #FOREOLUNA4",89.2,{'0': '459340223188257'},2025-01-24 21:35:47+08:00,2025-11-19 06:46:44+08:00,DFNcyBZSSvJ,Yes,Instaloader
2025-01-28 13:47:23+00:00,2025-02-16 17:26:48+00:00,找蔬食 Hao&Yang,traveggo,849685401437704,849685401437704,53,3699.0,308045.0,"帥哥帥妹祝大家新年快樂❤️
2025 蛇麼都順利 平安 健康 心中有愛",15.16,,2025-01-28 21:47:23+08:00,2025-02-17 01:26:48+08:00,DFXxOBDv1YN,Yes,Instaloader
2025-02-22 13:34:45+00:00,2025-09-17 06:44:07+00:00,找蔬食 Hao&Yang,traveggo,1452518233264809,1452518233264809,145,66645.0,2997336.0,"#同居觀察日記 Ep4 
啊不是要保護我？？？？？？",40.87,,2025-02-22 21:34:45+08:00,2025-09-17 14:44:07+08:00,DGYHxkTvIr9,Yes,Instaloader
2025-02-25 13:43:26+00:00,2025-02-27 14:53:32+00:00,找蔬食 Hao&Yang,traveggo,1267642718559912,1267642718559912,43,3514.0,324513.0,"#同居觀察日記 Ep5
小婕是誰！！！！？？？？還是小傑😳？",41.87,,2025-02-25 21:43:26+08:00,2025-02-27 22:53:32+08:00,DGf3SmcvG3j,Yes,Instaloader
2025-02-27 13:21:58+00:00,2025-09-04 09:50:49+00:00,找蔬食 Hao&Yang,traveggo,1627120895074436,1627120895074436,114,42475.0,1465696.0,"#Ep15 這個挑戰聽說女生一定贏😳
女孩們～快點tag男友來試試看！！！！！

#網友投稿系列
#挑戰來自 @yuqi122977 
#情侶挑戰",52.64,{'0': '25967114439623625'},2025-02-27 21:21:58+08:00,2025-09-04 17:50:49+08:00,DGk-MwJvW6y,Yes,Instaloader
2025-02-28 13:24:04+00:00,2025-10-01 00:28:48+00:00,找蔬食 Hao&Yang,traveggo,1481752773570382,1481752773570382,42,19518.0,902345.0,"以後不乖就……..（夾）
#記得看上一則挑戰😆",30.3,,2025-02-28 21:24:04+08:00,2025-10-01 08:28:48+08:00,DGnjbhcPnqj,Yes,Instaloader
2025-03-04 13:40:17+00:00,2025-08-06 20:10:14+00:00,找蔬食 Hao&Yang,traveggo,1563895354682954,1563895354682954,48,38576.0,1170537.0,"沒想到洋的反應是這樣🤣🤣

#babymonster #reallylikeyou #kpopdance",28.87,,2025-03-04 21:40:17+08:00,2025-08-07 04:10:14+08:00,DGx4Y3XTUJN,Yes,Instaloader
2025-03-07 12:22:40+00:00,2025-03-14 10:53:21+00:00,找蔬食 Hao&Yang,traveggo,1233523068355789,1233523068355789,64,4224.0,248466.0,"遇到一台蔬食拉麵販賣機 🍜😍
​
西門站2號出口
出現一台「專賣無麩蔬食拉麵」的販賣機🔥
而且是跟京都名店 @unoyukiko.ramen 合作
把店裡的美味複製來台灣喔！！！
​
​
#無麩質素食担担拉麵 純素｜$299
湯頭有比預期好喝！！！
豆乳香氣加上微辣刺激 溫和不死鹹
麵體使用日本米製作 Ｑ彈香甜
然後蔬菜量爆～炸～多
有白綠花椰菜、豆角、紅蘿蔔、玉米
雖然是冷凍蔬菜 但算是市面上少見蔬菜量足夠的速食麵了
還是要給一個讚👍
​
​
#無麩質素食醬油拉麵 五辛素｜$249
這款湯頭很像東京空之色的醬油拉麵
比較死鹹不是我喜歡的類型
但是配菜我非！常！之！愛
有玉米和菠菜之外，還有一大片豆包！！！
​
​
說實話
兩款拉麵都稱不上非常好吃
價錢也不是太親民🥺
​
但是！！！！
​
身為定居台中 需要常北上工作的我們
每次來台北工作都排得很密集
結束往往都是21.22點
這個時間真的只有超商可以溫飽了
現在多了這款拉麵販賣機的選擇
現煮、蔬菜量還挺夠
這麼晚又如此疲憊能吃到蔬食拉麵是幸福的！
​
而且這台蔬食拉麵販賣機是「#期間限定」喔
預計賣到3月底❗️賣完就沒了❗️
所以～還是希望蔬食者們多多支持啦～
希望廠商看見廣大蔬食族群的需求
讓這款販賣機的下一檔 繼續照顧素食者吧🥹
​
​
#有人吃過嗎
#沒吃過的話你會想支持嗎
​
​
.",74.88,"{'0': '1197021385808896', '1': '1709820693305452'}",2025-03-07 20:22:40+08:00,2025-03-14 18:53:21+08:00,DG5dz5iJsG7,Yes,Instaloader
2025-03-10 13:33:05+00:00,2025-09-08 20:07:05+00:00,找蔬食 Hao&Yang,traveggo,1571758354050240,1571758354050240,539,6864.0,754218.0,"最近常被說看不出來30歲😂 問我怎麼保養？
今天就公開以前的爛臉＋分享養膚4訣竅：
​
.
1. #每天一杯檸檬汁
檸檬汁補水、補維他命Ｃ、幫助抗氧化、還可以幫你身體大排毒、增強免疫力💪🏻 我已經養成這習慣5年了，連出國都會帶隨行榨汁器
​
2. #戒奶蛋
「奶、蛋、麩」是超級慢性過敏原，會誘使一系列身體過敏反應！自從2018成為vegan戒掉奶蛋之後，長年泛紅敏感冒痘的狀況真的改善一大半！！！相信我！調整肌膚狀況是由內而外的✨
​
3. #清潔保養程序
清潔 ⇨ 清潔是根本！務必用充足的泡沫輕輕按摩畫圈，沖水時間記得要比「你以為可以了」再久一點～ 
保養 ⇨ 洗完臉輕拍化妝水、擦水楊酸、平常使用最基本的保濕精華，2天用一次安綠雅的O3精粹（我的救命保養神器🔥），幫你深層補水、修復肌膚屏障、增強抵禦力、調節油水平衡，自從用了它敏弱肌從此乖到不行！臉變超嫩超透亮🥹 
面膜 ⇨ 我一週會敷1片安綠雅面膜（需要急救跟穩定選晨露、需要透亮發光選熹翠、抗老緊緻選韶日）重要日子或換季超推薦使用「油敷法」，滲透力跟效果直接double！！！
​
4. #枕頭套要常換啊啊啊啊
之前大概 2-4 週跟床單一起換，想想看每天頭髮上髒污油脂粘附在枕頭套上，睡覺時又用臉去蹭啊蹭（omg 現在想想覺得超噁心...）記得！枕頭套至少2-3天換一次喔！
​
​

\ 安 綠 雅 第 4 次 補 貨 團 /

◜開團期間：3/10-3/20
◜開團連結：https://skincare.annluya.com/TSfYS 
◜運費：國內滿$2500免運(含離島)、海外滿$8000免運
◜再送優惠券：
 (1)加入安綠雅官方LINE，結帳輸入找蔬食折扣碼，滿$2500現抵$150
 (2)註冊官網新會員領$150(滿$2000現抵/無使用期限)

*折扣優惠無法同時併用
*團購優惠不另外配合官網其他折扣或滿額贈活動
*韶日面膜剛開賣就缺貨🔥 本次團購有預購「韶日面膜」之訂單 將額外贈送晨露面膜x1片（以訂單為單位贈送）

-
#留言告訴我你有做到哪一點或哪一點對你有幫助
#並且分享貼文到限動
#送安綠雅面膜體驗組共5組
#活動到3/23截止隔日公布於留言處
#更多使用心得回饋請看精選動態👍🏻",135.63,{'0': '26908088065460120'},2025-03-10 21:33:05+08:00,2025-09-09 04:07:05+08:00,DHBUFCzPVcF,Yes,Instaloader
2025-03-16 13:23:15+00:00,2025-04-30 21:39:47+00:00,找蔬食 Hao&Yang,traveggo,3259093104252300,3259093104252300,3,923.0,67827.0,"#Ep12 不好意思我真的沒力🤣🤣🤣

#黃色小鴨 
#情侶挑戰 
#挑戰影片來自 <redacted_mention>",21.38,,2025-03-16 21:23:15+08:00,2025-05-01 05:39:47+08:00,,Yes,MetaTool
2025-03-17 14:06:57+00:00,2026-01-08 09:16:24+00:00,找蔬食 Hao&Yang,traveggo,1361682519046443,1361682519046443,0,37.0,4583.0,"最近常被說看不出來30歲😂 問我怎麼保養？
今天就公開以前的爛臉＋分享養膚4訣竅：
​
.
1. #每天一杯檸檬汁
檸檬汁補水、補維他命Ｃ、幫助抗氧化、還可以幫你身體大排毒、增強免疫力💪🏻 我已經養成這習慣5年了，連出國都會帶隨行榨汁器
​
2. #戒奶蛋
「奶、蛋、麩」是超級慢性過敏原，會誘使一系列身體過敏反應！自從2018成為vegan戒掉奶蛋之後，長年泛紅敏感冒痘的狀況真的改善一大半！！！相信我！調整肌膚狀況是由內而外的✨
​
3. #清潔保養程序
清潔 ⇨ 清潔是根本！務必用充足的泡沫輕輕按摩畫圈，沖水時間記得要比「你以為可以了」再久一點～ 
保養 ⇨ 洗完臉輕拍化妝水、擦水楊酸、平常使用最基本的保濕精華，2天用一次安綠雅的O3精粹（我的救命保養神器🔥），幫你深層補水、修復肌膚屏障、增強抵禦力、調節油水平衡，自從用了它敏弱肌從此乖到不行！臉變超嫩超透亮🥹 
面膜 ⇨ 我一週會敷1片安綠雅面膜（需要急救跟穩定選晨露、需要透亮發光選熹翠、抗老緊緻選韶日）重要日子或換季超推薦使用「油敷法」，滲透力跟效果直接double！！！
​
4. #枕頭套要常換啊啊啊啊
之前大概 2-4 週跟床單一起換，想想看每天頭髮上髒污油脂粘附在枕頭套上，睡覺時又用臉去蹭啊蹭（omg 現在想想覺得超噁心...）記得！枕頭套至少2-3天換一次喔！
​
​

\ 安 綠 雅 第 4 次 補 貨 團 /

◜開團期間：3/10-3/20
◜開團連結：https://skincare.annluya.com/TSfYS 
◜運費：國內滿$2500免運(含離島)、海外滿$8000免運
◜再送優惠券：
 (1)加入安綠雅官方LINE，結帳輸入找蔬食折扣碼，滿$2500現抵$150
 (2)註冊官網新會員領$150(滿$2000現抵/無使用期限)

*折扣優惠無法同時併用
*團購優惠不另外配合官網其他折扣或滿額贈活動
*韶日面膜剛開賣就缺貨🔥 本次團購有預購「韶日面膜」之訂單 將額外贈送晨露面膜x1片（以訂單為單位贈送）",135.58,,2025-03-17 22:06:57+08:00,2026-01-08 17:16:24+08:00,,Yes,MetaTool
2025-03-18 13:41:58+00:00,2025-12-01 09:28:26+00:00,找蔬食 Hao&Yang,traveggo,961771236178188,961771236178188,2,128.0,11042.0,"#Ep8 網友投稿加上小洋的私心
原來是他想深情一波啊😎

#影片來源 @manufitnesstrainer 
#情侶挑戰",57.31,,2025-03-18 21:41:58+08:00,2025-12-01 17:28:26+08:00,,Yes,MetaTool
2025-03-19 14:05:49+00:00,2025-03-21 23:05:53+00:00,找蔬食 Hao&Yang,traveggo,1456682096052871,1456682096052871,3,619.0,79333.0,把甜點當饅頭在吞？？？,27.73,,2025-03-19 22:05:49+08:00,2025-03-22 07:05:53+08:00,,Yes,MetaTool
