creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-07 08:30:15+00:00,2025-05-21 22:51:32+00:00,蔡哥,tsaibrotherderboofan,2294827064374046,2294827064374046,9,3405.0,179862.0,欸 小聲🤫小聲🤫,50.22,"{'0': 'non_public_1559076271838747', '1': '941301498285447'}",2025-01-07 16:30:15+08:00,2025-05-22 06:51:32+08:00,,Yes,MetaTool
2025-01-09 12:29:45+00:00,2026-01-18 05:04:54+00:00,蔡哥,tsaibrotherderboofan,2118831498879972,2118831498879972,44,6769.0,198785.0,食蝸鯛護子心切,40.77,,2025-01-09 20:29:45+08:00,2026-01-18 13:04:54+08:00,,Yes,MetaTool
2025-01-13 14:25:32+00:00,2025-02-09 06:19:49+00:00,蔡哥,tsaibrotherderboofan,1426392615851926,1426392615851926,20,3255.0,228713.0,欸 妳們已經大素顏囉🤭,12.65,"{'0': 'non_public_1559076271838747', '1': '941301498285447'}",2025-01-13 22:25:32+08:00,2025-02-09 14:19:49+08:00,,Yes,MetaTool
2025-01-14 11:38:55+00:00,2025-02-09 06:19:49+00:00,蔡哥,tsaibrotherderboofan,1228432378944642,1228432378944642,21,1581.0,134428.0,好老闆？！,32.33,"{'0': 'non_public_1559076271838747', '1': '941301498285447'}",2025-01-14 19:38:55+08:00,2025-02-09 14:19:49+08:00,,Yes,MetaTool
2025-01-21 10:37:26+00:00,2025-02-09 06:19:49+00:00,蔡哥,tsaibrotherderboofan,2149358332556421,2149358332556421,13,2080.0,143468.0,去年最喜歡的頻道影片,49.02,"{'0': 'non_public_1559076271838747', '1': '941301498285447'}",2025-01-21 18:37:26+08:00,2025-02-09 14:19:49+08:00,,Yes,MetaTool
2025-01-21 17:58:48+00:00,2025-02-09 06:19:49+00:00,蔡哥,tsaibrotherderboofan,762550176611765,762550176611765,49,6889.0,225177.0,跑步遇到觀眾救援,82.93,,2025-01-22 01:58:48+08:00,2025-02-09 14:19:49+08:00,,Yes,MetaTool
2025-01-28 13:51:06+00:00,2025-02-09 06:19:49+00:00,蔡哥,tsaibrotherderboofan,1348386380653286,1348386380653286,59,3239.0,148368.0,蛇年第一樁怪事⋯,34.2,,2025-01-28 21:51:06+08:00,2025-02-09 14:19:49+08:00,,Yes,MetaTool
2025-02-07 12:21:54+00:00,2025-08-03 09:28:22+00:00,蔡哥,tsaibrotherderboofan,1190567192908227,1190567192908227,37,9600.0,270111.0,小朋友是不會騙人的^^,20.8,,2025-02-07 20:21:54+08:00,2025-08-03 17:28:22+08:00,,Yes,MetaTool
2025-02-11 10:46:10+00:00,2025-02-14 15:06:15+00:00,蔡哥,tsaibrotherderboofan,948586231122124,948586231122124,9,1241.0,127757.0,現在不准笑遇上蔡哥能過關嗎？！,46.15,"{'0': 'non_public_1559076271838747', '1': '941301498285447'}",2025-02-11 18:46:10+08:00,2025-02-14 23:06:15+08:00,,Yes,MetaTool
2025-03-04 08:13:32+00:00,2025-09-09 19:31:12+00:00,蔡哥,tsaibrotherderboofan,1453352409783010,1453352409783010,7,2362.0,165723.0,明治神宮寶物殿方向真的一定要去！,72.87,"{'0': 'non_public_1559076271838747', '1': '941301498285447'}",2025-03-04 16:13:32+08:00,2025-09-10 03:31:12+08:00,,Yes,MetaTool
2025-03-18 08:44:08+00:00,2025-03-20 11:34:16+00:00,蔡哥,tsaibrotherderboofan,1107232088201053,1107232088201053,71,4001.0,194194.0,高雄人的秘密？！,28.8,"{'0': 'non_public_1559076271838747', '1': '941301498285447'}",2025-03-18 16:44:08+08:00,2025-03-20 19:34:16+08:00,,Yes,MetaTool
2025-03-24 14:51:16+00:00,2025-09-18 04:16:16+00:00,蔡哥,tsaibrotherderboofan,4255808608025708,4255808608025708,89,3502.0,160562.0,滑雪教練第一課直接教-樹林🌳,32.3,"{'0': '937156078825973', '1': 'non_public_943278935226845'}",2025-03-24 22:51:16+08:00,2025-09-18 12:16:16+08:00,,Yes,MetaTool
2025-03-25 12:28:57+00:00,2025-03-27 13:59:01+00:00,蔡哥,tsaibrotherderboofan,1907310923236042,1907310923236042,49,1897.0,86968.0,諧音王challenge 第一彈,145.88,,2025-03-25 20:28:57+08:00,2025-03-27 21:59:01+08:00,,Yes,MetaTool
2025-03-26 14:49:39+00:00,2026-01-15 03:16:18+00:00,蔡哥,tsaibrotherderboofan,1425121315912143,1425121315912143,78,3296.0,125694.0,"第二堂課直接教-Carving
📹 @uya_jj 
團體 @fox_dog_friend",61.46,"{'0': '937156078825973', '1': '1992473161371573'}",2025-03-26 22:49:39+08:00,2026-01-15 11:16:18+08:00,,Yes,MetaTool
2025-03-27 12:38:17+00:00,2025-03-29 15:58:23+00:00,蔡哥,tsaibrotherderboofan,1194428432503531,1194428432503531,27,2090.0,202816.0,DADA你有穿過嗎？,38.87,"{'0': 'non_public_1559076271838747', '1': '941301498285447'}",2025-03-27 20:38:17+08:00,2025-03-29 23:58:23+08:00,,Yes,MetaTool
2025-03-28 06:47:57+00:00,2025-06-30 16:00:51+00:00,蔡哥,tsaibrotherderboofan,2354282835037528,2354282835037528,6,1287.0,80766.0,"札幌國際山頂神社⛩️抽籤！
📹 @garry626226 
夥伴 @fox_dog_friend",54.82,,2025-03-28 14:47:57+08:00,2025-07-01 00:00:51+08:00,,Yes,MetaTool
2025-03-29 09:51:01+00:00,2025-03-31 15:21:06+00:00,蔡哥,tsaibrotherderboofan,2141332453285858,2141332453285858,48,2310.0,109871.0,"Coach Andy 第三集-認識雪道
📹 <redacted_mention> 
團隊 @fox_dog_friend",46.48,,2025-03-29 17:51:01+08:00,2025-03-31 23:21:06+08:00,,Yes,MetaTool
2025-03-30 08:54:53+00:00,2026-01-25 12:17:38+00:00,蔡哥,tsaibrotherderboofan,961349019896874,961349019896874,36,1400.0,85497.0,"今天3/30了竟然是滑pow日
攝影🤳
嘎逼用電影級拉兩倍拍
超穩超扯 @garry626226 
找舉重
找健身
找滑雪
找他",68.03,,2025-03-30 16:54:53+08:00,2026-01-25 20:17:38+08:00,,Yes,MetaTool
2025-04-08 08:06:56+00:00,2025-04-08 14:07:02+00:00,蔡哥,tsaibrotherderboofan,1714038349974802,1714038349974802,18,1521.0,104670.0,滑雪完隔天整個人怪掉⋯,34.4,,2025-04-08 16:06:56+08:00,2025-04-08 22:07:02+08:00,,Yes,MetaTool
2025-04-14 15:04:06+00:00,2025-04-15 00:24:11+00:00,蔡哥,tsaibrotherderboofan,2084018222332868,2084018222332868,27,4181.0,168848.0,這輩子最屌的生日🎂,91.06,,2025-04-14 23:04:06+08:00,2025-04-15 08:24:11+08:00,,Yes,MetaTool
2025-04-15 08:20:11+00:00,2025-04-17 09:40:15+00:00,蔡哥,tsaibrotherderboofan,1242386854714791,1242386854714791,8,1491.0,90621.0,吃飯遇到諧音人🙂🙂,69.74,,2025-04-15 16:20:11+08:00,2025-04-17 17:40:15+08:00,,Yes,MetaTool
2025-04-21 02:38:47+00:00,2025-12-17 20:57:52+00:00,蔡哥,tsaibrotherderboofan,1974278903517351,1974278903517351,70,6259.0,202652.0,第一次代滑就上手,54.43,"{'0': '1211442517761372', '1': '872124012395102', '2': '1385289819747533'}",2025-04-21 10:38:47+08:00,2025-12-18 04:57:52+08:00,,Yes,MetaTool
2025-04-23 10:00:00+00:00,2025-08-06 12:58:06+00:00,蔡哥,tsaibrotherderboofan,26328152610153920,26328152610153915,146,13092.0,492781.0,"樂團小分隊介紹好東西
-
這次大家都各自出現在各自的影片裡
超可愛
有一種懷念感
以前常做的串連
這次我設定
How哥是很會業配的人
阿傑是跟我勾肩搭背的麻吉
（簡直本色演出）
哈哈哈哈哈哈哈
-
不過最重要的是
我推薦的好檬鈣
很讚
幫助我在這個年紀可以好好補鈣
提前鈣質補充
也可以幫助調節身體機能
入睡也更好
吸收又高效率
-
而且不知道為什麼好好生醫
已經想好諧音了
是不是在搶我工作（？
哈哈哈哈哈
-
為什麼麵糰會變成麵皮
因為有橄了
就跟我吃好檬鈣一樣
有感了
-
-
-
好檬鈣
宜紘愛（雙押x1)
-
-
目前好檬鈣 外掛系列現正優惠中
馬上去看我推薦的萌guy保健！

#好好生醫 @betterbio_official",69.54,"{'0': '370469929354198', '1': '1598357264533191'}",2025-04-23 18:00:00+08:00,2025-08-06 20:58:06+08:00,,Yes,MetaTool
2025-04-24 13:30:37+00:00,2025-04-26 14:10:44+00:00,蔡哥,tsaibrotherderboofan,907249252276173,907249252276173,13,1154.0,89646.0,測試孤獨的方法,39.27,"{'0': 'non_public_1559076271838747', '1': '941301498285447'}",2025-04-24 21:30:37+08:00,2025-04-26 22:10:44+08:00,,Yes,MetaTool
2025-04-25 07:54:31+00:00,2025-04-25 08:22:58+00:00,蔡哥,tsaibrotherderboofan,1240898238148295,1240898238148295,7,617.0,64117.0,氣急攻心的電腦門外漢,3664.73,,2025-04-25 15:54:31+08:00,2025-04-25 16:22:58+08:00,,Yes,MetaTool
2025-04-29 13:14:21+00:00,2025-10-31 01:56:03+00:00,蔡哥,tsaibrotherderboofan,852691507803876,852691507803876,53,3389.0,98486.0,什麼動物不能玩狼人殺？,27.37,,2025-04-29 21:14:21+08:00,2025-10-31 09:56:03+08:00,,Yes,MetaTool
2025-04-30 06:24:31+00:00,2025-04-30 11:21:03+00:00,蔡哥,tsaibrotherderboofan,1420236526572375,1420236526572375,28,929.0,54565.0,"對愛滋病毒認識越多絕對有好處
-
以前對愛滋病毒最大的認識是
12/1是我的生日也是世界愛滋日
但隨著治療方式日益更新
大家對於這個疾病的認知
已經到全新的階段了
-
但說實話在我玩這款遊戲之前
我的資訊還很落後
當我玩完之後
可以感同身受感染者的心境
也觸發了我想去多多了解的心
-
原來現在愛滋病毒已經是
感染者穩定服藥、接受治療，當體內病毒量低至測不到超過6個月
感染者就不會透過性行為傳染愛滋病毒給他人！
當病毒量低至測不到時，愛滋病毒將100%不會透過性行為傳染！
-
所以我真的一股腦兒
想要把這個資訊分享給大家
那怎樣可以定住大家看著畫面呢
-
!
-
坐海盜船的我好像大家喜歡看
那我就去坐邊講
大家也可以順便吸收資訊
好像不錯!!
哈哈哈哈哈哈哈哈
-
-
-
有效治療
愛滋傳不了(單押X1)
-
-
大家快到 @lovemyself_tw 點選主頁連結
一起來玩愛の回憶疏通師吧！",81.77,"{'0': 'non_public_1559076271838747', '1': '941301498285447'}",2025-04-30 14:24:31+08:00,2025-04-30 19:21:03+08:00,,Yes,MetaTool
2025-04-30 11:24:58+00:00,2025-04-30 14:25:02+00:00,蔡哥,tsaibrotherderboofan,1316662516963070,1316662516963070,23,1952.0,80954.0,追星完的隔天,24.1,,2025-04-30 19:24:58+08:00,2025-04-30 22:25:02+08:00,,Yes,MetaTool
2025-05-01 07:09:49+00:00,2025-05-01 13:29:54+00:00,蔡哥,tsaibrotherderboofan,2471317716634862,2471317716634862,20,1877.0,87400.0,遊戲破壞者是我？,56.59,"{'0': 'non_public_1559076271838747', '1': '941301498285447'}",2025-05-01 15:09:49+08:00,2025-05-01 21:29:54+08:00,,Yes,MetaTool
