creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-13 10:52:46+00:00,2025-08-05 08:00:57+00:00,鹿人,twodeerman,1247733650782891,1247733650782891,538,162382.0,2197328.0,"王伯伯坐車遇到後面的人一直踢椅子，暖心應對
#搞笑 #圖文 #插畫 #漫畫 #語錄",59.36,,2025-01-13 18:52:46+08:00,2025-08-05 16:00:57+08:00,DEw1dwJykRr,Yes,Instaloader
2025-01-20 10:29:05+00:00,2025-07-07 05:40:42+00:00,鹿人,twodeerman,1953754825558028,1953754825558028,135,19984.0,515415.0,"過年大師王伯伯，教你怎麼回答長輩問候
大家學會了嗎？
#搞笑 #插畫 #圖文 #語錄 #過年 #新年",50.95,,2025-01-20 18:29:05+08:00,2025-07-07 13:40:42+08:00,DFCz-fSyWW7,Yes,Instaloader
2025-02-10 11:01:45+00:00,2025-08-05 11:16:35+00:00,鹿人,twodeerman,1650444816370511,1650444816370511,277,67493.0,903249.0,"泥鰍為了準時下班與客人爭吵，機智的王伯伯幫兩人上了一課
#搞笑 #圖文 #插畫 #漫畫 #語錄",59.76,,2025-02-10 19:01:45+08:00,2025-08-05 19:16:35+08:00,DF48WEKy3Ma,Yes,Instaloader
2025-02-17 11:15:03+00:00,2025-07-18 12:45:10+00:00,鹿人,twodeerman,4255581701323302,4255581701323302,168,25830.0,473483.0,"王伯伯也到了有初老症狀的年紀了
#搞笑 #圖文 #插畫 #漫畫 #健忘",20.95,,2025-02-17 19:15:03+08:00,2025-07-18 20:45:10+08:00,DGK_29vyJKx,Yes,Instaloader
2025-02-21 11:02:22+00:00,2025-07-27 00:16:00+00:00,鹿人,twodeerman,1422109532989387,1422109532989387,211,31704.0,557133.0,"王伯伯這首歌，獻給所有不知道自己是誰的客人，記得去醫院檢查
#搞笑 #插畫 #圖文 #漫畫 #語錄",46.48,,2025-02-21 19:02:22+08:00,2025-07-27 08:16:00+08:00,DGVRUbJyR5z,Yes,Instaloader
2025-03-10 11:19:06+00:00,2025-08-03 16:58:54+00:00,鹿人,twodeerman,1783987468963982,1783987468963982,123,23171.0,471247.0,"王伯伯在健身房遇到不收器材怪人，只好用智慧應付了
#搞笑 #圖文 #插畫 #漫畫 #語錄",59.96,,2025-03-10 19:19:06+08:00,2025-08-04 00:58:54+08:00,DHBE7dJSHu0,Yes,Instaloader
2025-03-24 12:29:24+00:00,2025-08-06 03:19:39+00:00,鹿人,twodeerman,1630813397910183,1630813397910183,184,31973.0,465960.0,"王伯伯的報恩，這就是善的循環
#搞笑 #插畫 #圖文 #漫畫 #語錄",60.03,,2025-03-24 20:29:24+08:00,2025-08-06 11:19:39+08:00,DHlQJCDyxPu,Yes,Instaloader
2025-04-09 11:00:25+00:00,2025-08-05 18:13:25+00:00,鹿人,twodeerman,879275471637928,879275471637928,122,21189.0,351449.0,"王伯伯投資股票後，決定去公園坐坐
#搞笑 #圖文 #插畫 #股票 #語錄",10.71,,2025-04-09 19:00:25+08:00,2025-08-06 02:13:25+08:00,DIOSiiDSDjQ,Yes,Instaloader
2025-04-14 10:23:21+00:00,2025-07-22 01:10:18+00:00,鹿人,twodeerman,1869931520314094,1869931520314094,71,14458.0,286078.0,"王伯伯的假日就這麼過了 這就是成年人的過假日方式
#搞笑 #插畫 #圖文 #語錄 #日常",23.36,,2025-04-14 18:23:21+08:00,2025-07-22 09:10:18+08:00,DIbGcniSUS6,Yes,Instaloader
2025-04-21 10:49:22+00:00,2025-08-06 16:18:21+00:00,鹿人,twodeerman,1200433548909224,1200433548909224,154,40999.0,658346.0,"遇到喜歡用問句回答問句的客人，王伯伯店長幫部下泥鰍上了一客
#搞笑 #圖文 #漫畫 #插畫 #語錄",37.17,,2025-04-21 18:49:22+08:00,2025-08-07 00:18:21+08:00,DItKmbzybIT,Yes,Instaloader
