creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-02 03:48:41+00:00,2025-11-05 22:56:11+00:00,微疼,weiteng0710,26463902266561712,26463902266561713,17,2422.0,97296.0,"被山賊掠奪的紅包故事

新春2025年組正式上線啦!
購買連結
https://weiteng710.shoplineapp.com",82.9,,2025-01-02 11:48:41+08:00,2025-11-06 06:56:11+08:00,DETwVr5vmY0,Yes,Instaloader
2025-01-04 09:52:42+00:00,2025-07-11 19:25:53+00:00,微疼,weiteng0710,1421871816622525,1421871816622525,22,2741.0,147365.0,"大⋯哥⋯哥⋯
偶們合體了！

✑ ✑ ✑
全新微疼漫畫作品 #微疼短篇月刊-異色篇 於 #LINEWEBTOON 獨家連載中
每個月倒數第二個週日 22:00更新
<redacted_mention>",59.95,,2025-01-04 17:52:42+08:00,2025-07-12 03:25:53+08:00,DEZjl1GsxCc,Yes,Instaloader
2025-01-10 11:57:16+00:00,2025-02-15 22:42:47+00:00,微疼,weiteng0710,922742424022037,922742424022037,54,6629.0,174137.0,"最高品質靜悄悄
新春組熱賣中
網址請看限時動態",144.61,,2025-01-10 19:57:16+08:00,2025-02-16 06:42:47+08:00,DEpOT47pBZZ,Yes,Instaloader
2025-01-23 08:38:08+00:00,2025-02-15 22:42:47+00:00,微疼,weiteng0710,2766264487049041,2766264487049041,10,1380.0,107701.0,大家記得取貨阿阿阿,38.96,,2025-01-23 16:38:08+08:00,2025-02-16 06:42:47+08:00,DFKWKCABxWx,Yes,Instaloader
2025-01-23 18:12:39+00:00,2025-11-08 16:41:17+00:00,微疼,weiteng0710,911231061734935,911231061734935,40,2986.0,168509.0,出去台北一趟，就變成戰損版了,53.8,,2025-01-24 02:12:39+08:00,2025-11-09 00:41:17+08:00,DFLX2vsB1XP,Yes,Instaloader
2025-02-21 11:02:09+00:00,2025-02-24 16:25:03+00:00,微疼,weiteng0710,909313848173207,909313848173207,68,5036.0,187952.0,我已經很棒了,317.44,,2025-02-21 19:02:09+08:00,2025-02-25 00:25:03+08:00,DGVRoJHNIBh,Yes,Instaloader
2025-02-28 11:01:48+00:00,2025-07-18 03:55:22+00:00,微疼,weiteng0710,1691717305150170,1691717305150170,29,3268.0,176597.0,北海道的台灣怪人,51.73,,2025-02-28 19:01:48+08:00,2025-07-18 11:55:22+08:00,DGnTOTCtAhN,Yes,Instaloader
2025-03-21 11:12:23+00:00,2025-03-23 02:42:29+00:00,微疼,weiteng0710,947982694578749,947982694578749,28,4111.0,158887.0,跨三小，我要全部!,135.38,,2025-03-21 19:12:23+08:00,2025-03-23 10:42:29+08:00,DHdZG9qKucq,Yes,Instaloader
2025-03-22 10:45:13+00:00,2025-03-22 13:46:04+00:00,微疼,weiteng0710,2340500239781529,2340500239781529,26,2910.0,147644.0,隔宿山難露營,303.04,,2025-03-22 18:45:13+08:00,2025-03-22 21:46:04+08:00,DHf6rWRimN9,Yes,Instaloader
2025-04-10 10:37:00+00:00,2025-08-06 11:44:17+00:00,微疼,weiteng0710,920646560508964,920646560508964,451,11196.0,441599.0,痛！太痛了,123.46,,2025-04-10 18:37:00+08:00,2025-08-06 19:44:17+08:00,DIQ07vQBuTQ,Yes,Instaloader
2025-04-12 14:39:44+00:00,2025-04-17 10:31:10+00:00,微疼,weiteng0710,789742390841995,789742390841995,7,2347.0,136352.0,"@miyokotour

Miyoko-jp.com

#美黛子包車
#美黛子滑雪
#美黛子之家
－－－－－－－－－－－－－－－－－
微疼親自認證住過的好房間!
https://villa.miyoko-jp.com/portfolio/no-13-札幌寂石清水包棟民宿/",118.77,,2025-04-12 22:39:44+08:00,2025-04-17 18:31:10+08:00,DIWaULdusBK,Yes,Instaloader
