creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-10 10:00:00+00:00,2025-02-15 10:23:58+00:00,含羞草,xiucao.han,957224416978340,957224416978340,14,,178759.0,賴皮光頭強VS賴皮草 想請假？先過我這一關😂,22.38,,2025-01-10 18:00:00+08:00,2025-02-15 18:23:58+08:00,DEpBRjdvmpq,Yes,Instaloader
2025-02-02 06:47:11+00:00,2025-09-14 21:53:24+00:00,含羞草,xiucao.han,1715575449685613,1715575449685613,4,785.0,139125.0,"初五迎財神！
也該收心了！
但還是祝福各位好運蛇進來！
👍👍👍",59.23,,2025-02-02 14:47:11+08:00,2025-09-15 05:53:24+08:00,DFj5XN1SR8k,Yes,Instaloader
2025-03-14 10:00:33+00:00,2025-09-19 20:47:39+00:00,含羞草,xiucao.han,1793234121370728,1793234121370728,0,371.0,140062.0,"🎉 《酒精麻將》正式開局！嘖嘖正式上線！
📦 馬上下單，讓你的聚會嗨翻全場  https://r.zecz.ec/5YKq

趁現在搶早鳥價，贈送市價899元的福袋！
現在加入，成為《酒精麻將》的首批玩家，一起創造歡樂傳奇吧！

打牌不再只是比技術，現在還要比酒量！

＃使用【酒精麻將】開啟全新麻將玩樂法🍻

🌟卡牌介面｜直觀性的卡牌介面｜顏色做區分不用怕微醺時刻看走眼
🌟靈活運用｜五種卡牌有不同效果跟使用時機，讓你更善用策略交流
🌟裁判制度｜讓不飲酒不會打牌的朋友也能一起參與不孤單
🌟質感酒具｜附上玻璃酒具組，上酒喝酒更享受
🌟療癒插畫｜卡通風格的喜感個性圖像，娛樂性十足
🌟精緻手感｜貼心設計防潑水的材質，讓玩樂更加輕鬆放肆
🌟詳盡的說明書｜包含使用方式、各項處罰細則的詳盡解說
🌟方便收納｜拎著買好酒備好冰塊，朋友一到就能開局

❤️‍🔥 超好評：「再也不怕聚會冷場！」
❤️‍🔥 不用賭輸贏，喝酒更開心！ 增進感情，笑聲不斷

#酒精麻將上線 #熱賣中 #聚會神器",17.32,,2025-03-14 18:00:33+08:00,2025-09-20 04:47:39+08:00,DHLPXDbyNF1,Yes,Instaloader
2025-05-01 06:40:59+00:00,2025-05-03 09:41:03+00:00,含羞草,xiucao.han,3524595254359728,3524595254359728,43,4781.0,298325.0,"真男人的眼睛都是斜的？

#李老闆直播開幕誌慶",17.5,,2025-05-01 14:40:59+08:00,2025-05-03 17:41:03+08:00,DJGekr_yeAs,Yes,Instaloader
2025-05-30 08:29:48+00:00,2025-08-06 17:45:27+00:00,含羞草,xiucao.han,2124370035049887,2124370035049887,88,24841.0,805060.0,"誰說羽毛球不能當棒球打！
端午節快樂！",8.9,{'0': 'non_public_1442066704367448'},2025-05-30 16:29:48+08:00,2025-08-07 01:45:27+08:00,DKRWKVdSqnU,Yes,Instaloader
2025-07-15 12:54:56+00:00,2025-07-27 08:48:40+00:00,含羞草,xiucao.han,1429183362035595,1429183362035595,88,2201.0,112803.0,"看過來
這裡有一束光
你們感受到了嗎?!
感受到了嗎??????
#正能量 
#開始把影片貼IG",71.08,,2025-07-15 20:54:56+08:00,2025-07-27 16:48:40+08:00,DMIRFmuR-3d,Yes,Instaloader
2025-07-21 08:24:45+00:00,2025-09-16 03:16:44+00:00,含羞草,xiucao.han,4316120318704448,4316120318704448,20,4148.0,286046.0,"照慣例 今年帝君誕辰
一樣是騎馬來 
又超速了啦！

@dsk08168 
@guan9.99",18.9,,2025-07-21 16:24:45+08:00,2025-09-16 11:16:44+08:00,DMXO1XSyMG4,Yes,Instaloader
2025-08-02 03:53:07+00:00,2025-08-02 23:01:18+00:00,含羞草,xiucao.han,2110536749742113,2110536749742113,24,1521.0,127678.0,"不論餐點多麼秀色可餐
依舊維持要好形象

#可愛的蓮花指",45.91,,2025-08-02 11:53:07+08:00,2025-08-03 07:01:18+08:00,DM1pSFiSmtz,Yes,Instaloader
2025-09-05 07:23:12+00:00,2025-09-06 14:43:16+00:00,含羞草,xiucao.han,2895159854013374,2895159854013374,20,1221.0,107821.0,"把軌道放家裡就是爽！
這年頭不要只看著手機
跟你爸對決啊！

#ミニ四駆 
#mini4wd 
#四驅車 
#軌道車 
#迷你軌道車 
#改裝",55.23,,2025-09-05 15:23:12+08:00,2025-09-06 22:43:16+08:00,DONgc1wkWAz,Yes,Instaloader
2025-09-10 07:11:32+00:00,2025-09-12 09:01:37+00:00,含羞草,xiucao.han,1338767151621957,1338767151621957,23,968.0,111944.0,"為什麼你要跑去田裡…
狼哥你想要回歸大自然嗎😆

#ミニ四駆
#Mini4WD
#四驅車
#軌道車
#迷你四驅車",30.13,,2025-09-10 15:11:32+08:00,2025-09-12 17:01:37+08:00,DOabDVjkYVs,Yes,Instaloader
