creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2024-12-31 16:19:29+00:00,2025-04-30 02:43:32+00:00,蔡阿嘎,yga0721,2373904119741533,2373904119741533,117,17081.0,635800.0,🎉台北101跨年煙火真的播 #就一起 了！榮登2025年的第一首歌，大家新年快樂😍😍😍,45.67,{'0': '3007104719477326'},2025-01-01 00:19:29+08:00,2025-04-30 10:43:32+08:00,,Yes,MetaTool
2025-01-01 04:04:22+00:00,2025-05-02 09:40:02+00:00,蔡阿嘎,yga0721,1261264749196499,1261264749196499,81,17470.0,788742.0,謝謝桃貴的可愛跨年，讓我們在2025年一開局就能發自內心的笑出來~🤣🤣🤣,32.37,"{'0': '872124012395102', '1': '1385289819747533', '2': '650495167222795'}",2025-01-01 12:04:22+08:00,2025-05-02 17:40:02+08:00,,Yes,MetaTool
2025-01-03 13:04:43+00:00,2025-04-29 07:03:41+00:00,蔡阿嘎,yga0721,1391040025446469,1391040025446469,21,9939.0,683150.0,🥲禁慾噴淚：跟這位弟弟比，我們遇到的事真的不算什麼！#完整版影片在蔡阿嘎543的YouTube頻道喔 #不代表本台立場107,58.36,{'0': '26275388795386732'},2025-01-03 21:04:43+08:00,2025-04-29 15:03:41+08:00,,Yes,MetaTool
2025-01-05 12:00:00+00:00,2025-05-02 03:00:05+00:00,蔡阿嘎,yga0721,825213347238686,825213347238686,96,16111.0,670223.0,男友老公們快學起來！超浪漫：雪愛心樹！😘😘😘,26.27,{'0': '650495167222795'},2025-01-05 20:00:00+08:00,2025-05-02 11:00:05+08:00,,Yes,MetaTool
2025-01-06 03:56:40+00:00,2025-05-02 16:17:06+00:00,蔡阿嘎,yga0721,1460932138918279,1460932138918279,15,3170.0,299125.0,"【🎉嘎哥的O卡桑年前補貨團來啦！】 #團購連結IG首頁跟限動都有喔

過年前除了年菜要準備，搭配的飲料你準備好了嗎？餐桌上的最佳配角就是O卡桑啦👍🏻

📍吃太油膩或是油炸的就要搭配「白鶴涼茶」或是「桑菊散月飲」，清爽又解膩

📍入門基本款可以選「柴燒桂圓黑木耳」跟「紅棗白木耳(銀耳朵朵) 」

📍長輩健康推薦「微甜杏仁美顏茶」還有「原味白木耳」

O卡桑就是成分天然又健康，熱量低全家大小都適喝，超多種口味任君挑選，家中冰箱一定要囤好囤滿，大魚大肉也要記得補充多膳食纖維~O卡桑好喝又健康❤️

📍想要美麗或是送美麗
還有紅潤公事-頂級紅棗精華，以及多款精美禮盒，趁著嘎哥團購優惠買起來！過年一起跟家人分享吧！",83.58,{'0': '1937114550566022'},2025-01-06 11:56:40+08:00,2025-05-03 00:17:06+08:00,,Yes,MetaTool
2025-01-06 11:48:41+00:00,2025-04-30 15:42:05+00:00,蔡阿嘎,yga0721,927066019741199,927066019741199,56,15157.0,783010.0,🔥打臉蘿拉抹黑#1：笑死！hahababy都台灣製的啦！#完整影片在蔡阿嘎YT主頻道,59.79,{'0': '650495167222795'},2025-01-06 19:48:41+08:00,2025-04-30 23:42:05+08:00,,Yes,MetaTool
2025-01-06 12:33:23+00:00,2025-04-30 06:07:58+00:00,蔡阿嘎,yga0721,1435500961616519,1435500961616519,169,16263.0,844843.0,🔥打臉蘿拉抹黑#2：林北早就百萬訂閱了啦！你就是來蹭的啦！#完整影片在蔡阿嘎YT主頻道,57.47,{'0': '1257017152945631'},2025-01-06 20:33:23+08:00,2025-04-30 14:07:58+08:00,,Yes,MetaTool
2025-01-06 13:03:18+00:00,2025-04-29 08:25:42+00:00,蔡阿嘎,yga0721,900814659316900,900814659316900,57,10322.0,534836.0,🔥打臉蘿拉抹黑#3：網軍嘎哥自己組的啦，關妳屁事別想邀功啦！#完整影片在蔡阿嘎YT主頻道,38.12,{'0': '26275388795386732'},2025-01-06 21:03:18+08:00,2025-04-29 16:25:42+08:00,,Yes,MetaTool
2025-01-06 13:36:22+00:00,2025-05-01 23:00:04+00:00,蔡阿嘎,yga0721,2345753715933560,2345753715933560,75,12458.0,616982.0,🔥打臉蘿拉抹黑#4：預判妳接下來四大爛招！#完整影片在蔡阿嘎YT主頻道,86.71,{'0': '1257017152945631'},2025-01-06 21:36:22+08:00,2025-05-02 07:00:04+08:00,,Yes,MetaTool
2025-01-07 11:59:39+00:00,2025-11-05 17:32:48+00:00,蔡阿嘎,yga0721,1220563339578319,1220563339578319,709,69915.0,2267601.0,"😡\還錢蘿拉/ \還錢蘿拉/ 全場都給我刷起來！
熟悉的靠北嘎哥最對味！自始自終堅定反毒立場，碰非法毒物不可取，欠債不還也不可取啦~👎👎👎

#帕拉梅拉
#愛你真的梅辦法",70.8,{'0': '1257017152945631'},2025-01-07 19:59:39+08:00,2025-11-06 01:32:48+08:00,,Yes,MetaTool
