creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-04-02 04:00:00+00:00,2025-04-02 04:40:06+00:00,小熊yuniko,yuniko0720,886410474301365,886410474301365,31,1514.0,87299.0,"這次跟Nash一起來寶可夢明耀之星特色店「MEZASTAR Station TAIPEI」

原本Nash算是被我抓來玩的
結果他一直到結束都還在投錢玩
整個大沉迷，一直想打贏哈哈哈

目前全台超過900個地點可以遊玩到寶可夢明耀之星

在遊玩時候不要忘記加入SEGA官方line 可以免費註冊訓練家ID
這次我們去的機台在K區地下街
大家有空也可以來體驗看看唷

更多資訊 https://www.pokemonmezastar.com.tw/

#寶可夢明耀之星 #PokémonMEZASTAR

🎉現在只要有在留言分享自己跟寶可夢的回憶
我會在4/8(二)在這篇貼文抽出五位幸運觀眾並@抽中的幸運兒
這五位幸運觀眾將會獲得 ✨路卡利歐卡匣✨",78.03,,2025-04-02 12:00:00+08:00,2025-04-02 12:40:06+08:00,DH7hS3VTDRV,Yes,Instaloader
2025-04-14 04:00:00+00:00,2025-05-07 01:31:57+00:00,小熊yuniko,yuniko0720,940206905012652,940206905012652,25,2548.0,97622.0,"今天來到小林眼鏡門市配眼鏡啦
好久沒有檢測自己的視力了
最近沉迷於遊戲，是時候配一副電腦專用的眼鏡了

小林眼鏡現在有獨家販售Converse 運動休閒眼鏡
鏡架還融入了鞋款的經典元素！
讓眼鏡整體造型更復古與潮流感
現在converse運動休閒眼鏡2980元起
4/1-7/15期間
只要是配Converse 運動休閒眼鏡
選擇指定的3C鏡片，享有買1片送1片
專為3C使用者的你提供舒適的視野

還符合亞洲人臉型，潮流又舒適
有空來 @kobayashi_optical 看看！ 

#小林眼鏡 #Converse #Kobayashi #新品上市 #小林你的神隊友",59.23,{'0': '1684536185869848'},2025-04-14 12:00:00+08:00,2025-05-07 09:31:57+08:00,DIaazt7zNl5,Yes,Instaloader
2025-05-14 03:52:11+00:00,2025-05-14 11:12:19+00:00,小熊yuniko,yuniko0720,1574007457208735,1574007457208735,31,2515.0,84615.0,"布布這段每天都要演個兩三次
分享愛吃鬼布布",11.91,,2025-05-14 11:52:11+08:00,2025-05-14 19:12:19+08:00,DJno38VTJVD,Yes,Instaloader
2025-05-15 08:23:15+00:00,2025-05-15 09:23:20+00:00,小熊yuniko,yuniko0720,1293447896173549,1293447896173549,11,2085.0,72164.0,"提醒一下，衣服預購明天5/16就要結束囉
還沒下單的朋友要記得
之後不會再販售囉🖤
賣場連結放在限動，感謝大家支持",15.58,,2025-05-15 16:23:15+08:00,2025-05-15 17:23:20+08:00,DJqtU35T0ew,Yes,Instaloader
2025-05-21 10:55:42+00:00,2025-05-23 12:15:47+00:00,小熊yuniko,yuniko0720,1268508601857589,1268508601857589,9,1569.0,69934.0,布布打擊樂，蠻好聽的,5.18,,2025-05-21 18:55:42+08:00,2025-05-23 20:15:47+08:00,DJ6bsaUTRBH,Yes,Instaloader
2025-06-06 04:25:49+00:00,2025-06-08 08:45:54+00:00,小熊yuniko,yuniko0720,1279530770402681,1279530770402681,27,3356.0,102217.0,"布布真的是一隻搞笑貓
只要她肚子餓，就會一直發出怪聲音碎念
問她要吃什麼就一邊這樣叫
一邊直直衝到罐頭區，整個頭埋進去🤦‍♀️",9.47,,2025-06-06 12:25:49+08:00,2025-06-08 16:45:54+08:00,DKi7nVvzzao,Yes,Instaloader
2025-06-22 13:39:04+00:00,2025-07-27 12:07:58+00:00,小熊yuniko,yuniko0720,2041861273329178,2041861273329178,131,7459.0,185115.0,"超好笑就是正常講話而已！！
身為LKK的我的無能狂怒",39.15,,2025-06-22 21:39:04+08:00,2025-07-27 20:07:58+08:00,DLNHnhgzG6w,Yes,Instaloader
2025-07-04 09:55:38+00:00,2025-07-08 07:01:39+00:00,小熊yuniko,yuniko0720,1446034533579745,1446034533579745,39,2912.0,100004.0,下午的手碟練習🛸,19.27,,2025-07-04 17:55:38+08:00,2025-07-08 15:01:39+08:00,DLrnEzpTrwV,Yes,Instaloader
2025-07-11 13:16:07+00:00,2025-09-01 08:38:58+00:00,小熊yuniko,yuniko0720,1197444685553404,1197444685553404,15,2245.0,96006.0,"我帶著放大鏡來解謎跟找路啦！

龍魂城解鎖行動 X 微星寵粉節
📅7/12(六)-7/13(日) 13:00-20:00 
📍台北三創生活園區1樓戶外廣場

可以來體驗MSI最新RTX50系列強效筆電
以及限量聯名筆電及AI電競掌機
現場有豐富小禮物可以拿

還有零食跟飲料超級實用啦哈哈

活動期間購買MSI筆電、電競掌機也有
寵粉加碼優惠

三個禮物取得方法🎁
體驗解鎖禮：只要來體驗MSI最新筆電與掌機完成闖關就可獲得小禮物
限量購機禮：購買MSI筆電或掌機可兌換限量好禮組合
寵粉加碼禮： 購買搭載RTX50顯示卡之最新筆電再送加碼禮
專屬寵粉禮：完成VIP龍粉會員登記可至現場兌換尊寵禮

@msigaming_taiwan 
#龍魂城解鎖行動 #微星寵粉節

2025微星寵粉節：
https://tw.msi.com/Promotion/2025VIPcare/nb",106.67,{'0': '1465121704088421'},2025-07-11 21:16:07+08:00,2025-09-01 16:38:58+08:00,DL-ANR9zBDz,Yes,Instaloader
2025-07-14 03:35:24+00:00,2025-09-18 08:00:21+00:00,小熊yuniko,yuniko0720,1448538550252743,1448538550252743,51,5950.0,143922.0,"地下偶像初登場❤️‍🔥昨天晚上大概真的有魔法吧
大家現場的應援聲真的超有力量！
非常謝謝你們

這次中途受邀，我負責的part只有兩首
所以宣傳上稍微隨緣一點哈哈哈

沒想到現場遇到不少老觀眾！
也有一直都在地偶圈玩的觀眾
突然發現舞台上的人很像我嚇了一大跳（嘿嘿驚喜包）

最讓我訝異的是同天其他的表演團體
有不少女地偶居然是我的觀眾
合照的時候真的覺得好幸福啊啊！
原來我的觀眾這麼可愛🥹

小魔女DoReMi陪伴我度過很孤單的童年
也影響我到現在一直相信每個人都有自己的魔法
感謝大家共同創立的夜晚
也祝福大家感染好運魔法

#おジャ魔女どれみ 
#小魔女doremi",95.83,,2025-07-14 11:35:24+08:00,2025-09-18 16:00:21+08:00,DMEsNAHz8JP,Yes,Instaloader
2025-08-15 08:33:22+00:00,2025-08-16 08:33:27+00:00,小熊yuniko,yuniko0720,1260723099454500,1260723099454500,25,2013.0,66130.0,"布布飯前大叫合集

布布真的 超 愛 吃！！
每次放飯都會這麼興奮，好像餓很久一樣
（不喜歡的罐頭就會興致缺缺，激動程度差很多）",30.63,,2025-08-15 16:33:22+08:00,2025-08-16 16:33:27+08:00,DNXmIeITT9i,Yes,Instaloader
2025-08-22 05:58:10+00:00,2025-08-23 15:08:16+00:00,小熊yuniko,yuniko0720,1569998164215421,1569998164215421,20,2262.0,54777.0,關於北鼻的早晨,8.33,,2025-08-22 13:58:10+08:00,2025-08-23 23:08:16+08:00,DNpXdQIz5H2,Yes,Instaloader
2025-09-10 03:28:41+00:00,2025-09-12 04:38:45+00:00,小熊yuniko,yuniko0720,888109294024361,888109294024361,24,2614.0,74600.0,"黑貓的保護色
北鼻每次路過這個小屋
都會很遲疑、不知道裡面到底有沒有貓
然後看到布布就會被嚇到彈起來哈哈哈哈哈

布布就是一臉問號",22.8,,2025-09-10 11:28:41+08:00,2025-09-12 12:38:45+08:00,DOaBLO1EQmr,Yes,Instaloader
2025-09-18 09:34:32+00:00,2025-09-20 22:24:36+00:00,小熊yuniko,yuniko0720,3153268834854014,3153268834854014,34,3146.0,70888.0,今天造型偏Q小不好意思嘿嘿,5.63,,2025-09-18 17:34:32+08:00,2025-09-21 06:24:36+08:00,DOvRoOOEQik,Yes,Instaloader
2025-10-01 02:09:43+00:00,2025-10-03 14:09:49+00:00,小熊yuniko,yuniko0720,1985926949023337,1985926949023337,24,3396.0,66183.0,"布布的暴暴虎牙太可愛了
還有小豬鼻子>< 根本是小蝙蝠
被我拍到很困惑哈哈
祝福大家都被好運布布造訪！

（ps黑貓襪襪已經全數出貨啦，有購買的記得取貨）",13.11,,2025-10-01 10:09:43+08:00,2025-10-03 22:09:49+08:00,DPP8-aVD5aZ,Yes,Instaloader
2025-10-05 03:25:44+00:00,2025-10-05 15:45:48+00:00,小熊yuniko,yuniko0720,932657489438249,932657489438249,12,2999.0,77195.0,"錄到手手開花🌸可愛瞬間！
最近布布非常黏我
真的很感謝世界能有這些動物朋友
他們強大得能給出那麼多無私的愛、支持和陪伴
無論時代怎麼進步，人類還是那個需要被教會怎麼愛的物種",7.47,,2025-10-05 11:25:44+08:00,2025-10-05 23:45:48+08:00,DPaX3KsETzy,Yes,Instaloader
