creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-01 10:01:05+00:00,2025-01-01 13:21:22+00:00,#肉比頭 #用奇怪方式環遊世界的情侶,zoebitalk,1966008960997105,1966008960997105,11,2180.0,154674.0,"新的一年！來去看落羽松🧡🧡🧡
-
羽粼落羽松
📍421台中市后里區安眉路5號
.
#肉比頭 #日常 #情侶 #落羽松 #季節限定 #旅遊 #台中旅遊 #羽粼落羽松",30.85,,2025-01-01 18:01:05+08:00,2025-01-01 21:21:22+08:00,DER2K4QpHfe,Yes,Instaloader
2025-01-02 10:01:35+00:00,2025-01-03 14:05:54+00:00,#肉比頭 #用奇怪方式環遊世界的情侶,zoebitalk,947358467715794,947358467715794,72,12035.0,560535.0,"爬山也可以遇到神秘人物😳😳😳？！
.
.
.
#飛鳳山 #肉比頭 #日常 #情侶 #登山 #爬山",79.55,,2025-01-02 18:01:35+08:00,2025-01-03 22:05:54+08:00,DEUbA_mvbVV,Yes,Instaloader
2025-01-03 10:01:43+00:00,2025-03-10 05:25:37+00:00,#肉比頭 #用奇怪方式環遊世界的情侶,zoebitalk,1634402611033216,1634402611033216,70,6833.0,654940.0,"這些嘉義新港一日遊美食你吃過嗎😍？
——————
創意早餐店
📍616嘉義縣新港鄉福德路104-3號

新港臭酸麵
📍616嘉義縣新港鄉中山路37號

新港鴨肉羹
📍616嘉義縣新港鄉中山路奉天大廈17號

大樹腳阿欽伯粉圓
📍616嘉義縣新港鄉福德路110號
——————
.
.
.
#嘉義 #嘉義旅遊 #嘉義新港 #嘉義一日遊 #新港美食 #嘉義美食 #嘉義景點 #嘉義觀光 #嘉義旅行 #嘉義約會 #嘉義必吃美食 #美食環島 #肉比頭美食環島",79.79,,2025-01-03 18:01:43+08:00,2025-03-10 13:25:37+08:00,DEW_0cLyKJi,Yes,Instaloader
2025-01-04 10:01:22+00:00,2025-04-07 09:41:58+00:00,#肉比頭 #用奇怪方式環遊世界的情侶,zoebitalk,1625269205171174,1625269205171174,13,3534.0,506441.0,"台中這家是『便宜又大碗』的代名詞？！ 
-
台中市東區高麗屋
📍401台中市東區十甲東路622號號旁
.
#台中美食 #台中旅遊 #台中 #美食 #肉比頭",50.69,,2025-01-04 18:01:22+08:00,2025-04-07 17:41:58+08:00,DEZklTnvORk,Yes,Instaloader
2025-01-06 10:01:09+00:00,2025-01-12 02:11:16+00:00,#肉比頭 #用奇怪方式環遊世界的情侶,zoebitalk,1701286977920430,1701286977920430,61,14515.0,607690.0,"冬季限定的深山粉白仙境又來了😍🤍💗
-
九尖茶廠
📍544南投縣國姓鄉南港村長石巷27-2號
（片中非即時花況，大家出發前記得先查詢好當下的花況和路況喔！）
.
#九尖梅花 #梅花 #賞花 #九份二山 #南投 #南投旅遊 #南投景點 #南投秘境 #梅花 #美景",38.44,,2025-01-06 18:01:09+08:00,2025-01-12 10:11:16+08:00,DEeuJsxpeTV,Yes,Instaloader
2025-01-08 10:01:17+00:00,2025-07-24 15:03:03+00:00,#肉比頭 #用奇怪方式環遊世界的情侶,zoebitalk,1793607612017671,1793607612017671,40,3974.0,276016.0,"最豪華3天2夜🤩頂級車聚！坐千萬跑車上賽道？！

這次我們參加的是『 LEXUS GRAND TOUR 2024 』 @lexus_taiwan 
最豪華3天2夜🤩頂級車聚！坐千萬跑車上賽道！

Ｑ：大家猜猜這次行程報名費多少錢呀？

.
.
.
#Lexus #GrandTour #台南 #高雄 #高雄景點 #高雄旅遊 #高雄觀光 #高雄必去景點 #屏東 #屏東景點 #屏東旅遊 #屏東觀光 #屏東必去景點 #晶英酒店 #航空教育展示館 #台灣天壇 #南國樹海隧道 #東港東隆宮 #大鵬灣賽車場",89.0,,2025-01-08 18:01:17+08:00,2025-07-24 23:03:03+08:00,DEj3u-_hdsl,Yes,Instaloader
2025-01-10 10:01:19+00:00,2025-06-10 18:10:01+00:00,#肉比頭 #用奇怪方式環遊世界的情侶,zoebitalk,1251040580454378,1251040580454378,9,639.0,104695.0,"🇰🇷韓國這裡竟然有”好玩/美味”一次滿足的飯店？！
-
東南行程：https://reurl.cc/nqD2xe 
完整行程資訊也可以去看我們的長片喔><
YT🔍：濟州島 肉比頭
.
.
.
#韓國旅遊 #韓國觀光 #韓國旅行 #韓國渡假 #韓國景點 #韓國 #旅行社 #東南旅遊 #濟州島 #濟州島觀光 #濟州島旅遊 #濟州島行程 #濟州島怎麼玩",88.21,,2025-01-10 18:01:19+08:00,2025-06-11 02:10:01+08:00,DEpBVb5I6GL,Yes,Instaloader
2025-01-11 10:01:03+00:00,2025-01-16 08:57:06+00:00,#肉比頭 #用奇怪方式環遊世界的情侶,zoebitalk,1544832603269856,1544832603269856,91,5708.0,273708.0,"挑戰跟職業賽車手說『開太慢？！』會...
LFA＋職業賽車手＝？（沒有地心引力.....）
-
教練我錯了對不起...
（開始前已跟教練說明會執行企劃！感謝教練毫無保留的甩爆我們🤣🤣🤣）

這次我們參加的是『 LEXUS GRAND TOUR 2024 』 @lexus_taiwan
最豪華3天2夜🤩頂級車聚！坐千萬跑車上賽道！

Ｑ：大家猜猜這次行程報名費多少錢呀？
.
#Lexus #GrandTour #LFA #賽車 #賽場 #職業賽車手 #大鵬灣賽車場 #肉比頭 #挑戰 #搞笑 #日常",50.3,,2025-01-11 18:01:03+08:00,2025-01-16 16:57:06+08:00,DErmG8Ho4vD,Yes,Instaloader
2025-01-13 10:01:49+00:00,2025-02-03 12:32:46+00:00,#肉比頭 #用奇怪方式環遊世界的情侶,zoebitalk,906967751740717,906967751740717,27,9278.0,456879.0,"一年一度的司馬庫斯櫻花季🌸詳細申請資訊在內文！
-
📍司馬庫斯巨木群步道
-
2025司馬庫斯櫻花季於2/8～3/9進行交通管制，期間內需要申請通行證才能進入喔！
🌸開放申請日期：2025年1月16日9:00起
🔍申請網站：https://smangus.org/permit_request.php（開放日當天才會啟用）
更多詳細資訊搜尋🔍司馬庫斯官網！
趕快收藏筆記起來！2月揪伴一起去賞櫻吧💕
（⚠️片中非即時花況！大家出發前記得先查詢好當下的花況和路況喔！）
.
#櫻花季 #櫻花 #櫻花步道 #司馬庫斯 #季節限定 #肉比頭 #賞花 #美景 #新竹",42.75,,2025-01-13 18:01:49+08:00,2025-02-03 20:32:46+08:00,DEwvyfRt-ye,Yes,Instaloader
2025-01-15 10:00:57+00:00,2025-01-21 23:11:05+00:00,#肉比頭 #用奇怪方式環遊世界的情侶,zoebitalk,2416011278914931,2416011278914931,42,3994.0,201696.0,"上萬燕子龍捲風！？ 沒看過的台灣動物奇景！
-
前幾年空拍環島時，我們被這個驚奇景象嚇到！
此片攝於2021年！大家可以來去解鎖看看這個超神奇景喔！
-
台南_麻豆代天府
📍72146台南市麻豆區關帝廟60號
.
#台南 #台南景點 #燕子龍捲風 #燕子 #奇觀 #動物奇觀 #麻豆 #台南麻豆 #肉比頭",57.86,,2025-01-15 18:00:57+08:00,2025-01-22 07:11:05+08:00,DE15SDdM6sJ,Yes,Instaloader
2025-01-17 10:01:29+00:00,2025-01-19 16:21:36+00:00,#肉比頭 #用奇怪方式環遊世界的情侶,zoebitalk,940250015184279,940250015184279,13,1488.0,144735.0,"🇵🇭菲律賓遊學一個月都在幹嘛？開箱語言學校！
-
🌟我的代辦澳貝客國際顧問！
專業顧問一對一諮詢，當地有有完善的駐點服務😍❤️
想知道更多遊學資訊🏫，歡迎點下方的連結了解更多～～
➡️官網 : https://www.ioutback.com/
➡️專業顧問諮詢 :  https://lin.ee/EUrE0Wh
也可以到他們的IG看更多資訊喔！➡️ @ioutback100
.
#菲律賓 #菲律賓語言學校 #I.BREEZE #宿霧 #肉比頭  #菲律賓旅遊",88.83,,2025-01-17 18:01:29+08:00,2025-01-20 00:21:36+08:00,DE7C6GZJRuH,Yes,Instaloader
2025-01-18 10:01:55+00:00,2025-07-16 13:39:03+00:00,#肉比頭 #用奇怪方式環遊世界的情侶,zoebitalk,1893361714881623,1893361714881623,65,10317.0,698069.0,"一家人來挑戰烤蚵吃到飽!!最終戰績出乎意料🤣🤣
-
塭ㄚ 烤蚵呷通海烤蚵（200元吃到飽）
📍614嘉義縣東石鄉
.
#肉比頭 #嘉義東石 #嘉義 #烤蚵 #蚵仔 #吃到飽 #挑戰 #日常 #搞笑",67.87,,2025-01-18 18:01:55+08:00,2025-07-16 21:39:03+08:00,DE9nvqIK8zB,Yes,Instaloader
2025-01-20 10:01:38+00:00,2025-01-22 20:41:53+00:00,#肉比頭 #用奇怪方式環遊世界的情侶,zoebitalk,904048662557704,904048662557704,1,337.0,74403.0,"菲律賓遊學花費？治安？口音？60秒ＱＡ🇵🇭
-
🌟我的代辦澳貝客國際顧問！
專業顧問一對一諮詢，當地有有完善的駐點服務😍❤️
想知道更多遊學資訊🏫，歡迎點下方的連結了解更多～～
➡️官網 : https://www.ioutback.com/
➡️專業顧問諮詢 : https://lin.ee/EUrE0Wh
也可以到他們的IG看更多資訊喔！➡️ @ioutback100
.
#菲律賓 #菲律賓語言學校 #I.BREEZE #宿霧 #肉比頭 #菲律賓旅遊",78.42,,2025-01-20 18:01:38+08:00,2025-01-23 04:41:53+08:00,DFCxUZWCu8B,Yes,Instaloader
2025-01-21 10:01:16+00:00,2025-01-23 11:41:25+00:00,#肉比頭 #用奇怪方式環遊世界的情侶,zoebitalk,26244002551906060,26244002551906058,18,1667.0,182653.0,"來買烏魚子結果老闆大誤會？！😂😂😂
-
豐樺水產行
📍653雲林縣口湖鄉成龍路250號
.
#肉比頭 #搞笑 #日常 #烏魚子 #豐樺水產行",58.07,,2025-01-21 18:01:16+08:00,2025-01-23 19:41:25+08:00,DFFWEiovBZH,Yes,Instaloader
2025-01-23 10:01:03+00:00,2025-04-30 18:57:04+00:00,#肉比頭 #用奇怪方式環遊世界的情侶,zoebitalk,4314102345502275,4314102345502275,34,2566.0,206106.0,"2025第一個超猛黑科技😱不只是一台空拍機？！
-
🌟DJI Care 隨心換 ➡️
低價置換，極速換新！

🌟舊客優惠活動 ➡️
-活動期間：1/14～2/2
-購買管道：全台DJI實體門市
-優惠方案：曾購買Neo或Mini全系列的消費者，只要攜帶機器至全臺DJI實體門市，購買FLIP可享加購Care1年升級2年喔😍！
購買連結 ➡️https://24h.pchome.com.tw/prod/DGCS2Z-A900I7YQC
@dji.taiwan
.
#DJIFlip #DJI空拍機 #Vlog空拍機 #DJI飛行相機",80.23,{'0': '1620148636062811'},2025-01-23 18:01:03+08:00,2025-05-01 02:57:04+08:00,DFKfox5NGTt,Yes,Instaloader
